,date,EMA
0,2000-01-31,107.114
1,2000-02-01,106.7165
2,2000-02-02,106.154
3,2000-02-03,105.9126
4,2000-02-04,105.9743
5,2000-02-07,106.0358
6,2000-02-08,106.4076
7,2000-02-09,106.1783
8,2000-02-10,106.1613
9,2000-02-11,105.5688
10,2000-02-14,105.0023
11,2000-02-15,104.3887
12,2000-02-16,103.7441
13,2000-02-17,103.3513
14,2000-02-18,102.5617
15,2000-02-22,101.7282
16,2000-02-23,101.016
17,2000-02-24,100.4192
18,2000-02-25,99.5517
19,2000-02-28,98.7906
20,2000-02-29,97.8934
21,2000-03-01,97.2187
22,2000-03-02,96.8522
23,2000-03-03,96.7825
24,2000-03-06,96.1956
25,2000-03-07,95.8788
26,2000-03-08,95.8485
27,2000-03-09,96.2439
28,2000-03-10,96.6968
29,2000-03-13,96.8209
30,2000-03-14,96.6589
31,2000-03-15,96.5362
32,2000-03-16,96.4251
33,2000-03-17,96.7056
34,2000-03-20,96.7689
35,2000-03-21,97.3385
36,2000-03-22,97.9015
37,2000-03-23,99.2318
38,2000-03-24,100.4183
39,2000-03-27,100.7651
40,2000-03-28,101.1028
41,2000-03-29,101.6825
42,2000-03-30,101.8432
43,2000-03-31,102.2629
44,2000-04-03,101.1779
45,2000-04-04,99.9762
46,2000-04-05,98.6803
47,2000-04-06,97.4727
48,2000-04-07,96.6715
49,2000-04-10,95.6609
50,2000-04-11,94.5379
51,2000-04-12,93.0934
52,2000-04-13,91.7749
53,2000-04-14,90.0935
54,2000-04-17,88.7389
55,2000-04-18,87.96
56,2000-04-19,87.0771
57,2000-04-20,86.3021
58,2000-04-24,84.4277
59,2000-04-25,82.9936
60,2000-04-26,81.5656
61,2000-04-27,80.446
62,2000-04-28,79.4274
63,2000-05-01,78.8571
64,2000-05-02,78.0012
65,2000-05-03,77.2925
66,2000-05-04,76.6399
67,2000-05-05,76.1142
68,2000-05-08,75.5138
69,2000-05-09,74.7801
70,2000-05-10,73.962
71,2000-05-11,73.3818
72,2000-05-12,72.9464
73,2000-05-15,72.6058
74,2000-05-16,72.31
75,2000-05-17,71.87
76,2000-05-18,71.3291
77,2000-05-19,70.732
78,2000-05-22,70.109
79,2000-05-23,69.45
80,2000-05-24,69.0795
81,2000-05-25,68.3577
82,2000-05-26,67.6988
83,2000-05-30,67.2875
84,2000-05-31,66.8373
85,2000-06-01,66.6204
86,2000-06-02,66.5908
87,2000-06-05,66.6174
88,2000-06-06,66.9034
89,2000-06-07,67.2459
90,2000-06-08,67.3949
91,2000-06-09,67.5297
92,2000-06-12,67.4668
93,2000-06-13,67.5052
94,2000-06-14,67.7904
95,2000-06-15,68.2266
96,2000-06-16,68.6393
97,2000-06-19,69.1203
98,2000-06-20,69.6746
99,2000-06-21,70.7237
100,2000-06-22,71.5947
101,2000-06-23,72.1752
102,2000-06-26,72.8728
103,2000-06-27,73.4383
104,2000-06-28,73.9623
105,2000-06-29,74.2697
106,2000-06-30,74.8154
107,2000-07-03,75.3092
108,2000-07-05,75.6131
109,2000-07-06,76.1204
110,2000-07-07,76.6804
111,2000-07-10,76.9432
112,2000-07-11,77.1505
113,2000-07-12,77.4514
114,2000-07-13,77.6884
115,2000-07-14,77.8076
116,2000-07-17,77.844
117,2000-07-18,77.9065
118,2000-07-19,77.4506
119,2000-07-20,77.1992
120,2000-07-21,76.7335
121,2000-07-24,76.1456
122,2000-07-25,75.465
123,2000-07-26,74.736
124,2000-07-27,74.2249
125,2000-07-28,73.793
126,2000-07-31,73.4137
127,2000-08-01,72.9638
128,2000-08-02,72.6216
129,2000-08-03,72.3957
130,2000-08-04,72.0837
131,2000-08-07,71.8853
132,2000-08-08,72.0981
133,2000-08-09,72.303
134,2000-08-10,72.3332
135,2000-08-11,72.3434
136,2000-08-14,72.3288
137,2000-08-15,72.2613
138,2000-08-16,72.1412
139,2000-08-17,72.0858
140,2000-08-18,71.9824
141,2000-08-21,71.8527
142,2000-08-22,71.7953
143,2000-08-23,71.6957
144,2000-08-24,71.6409
145,2000-08-25,71.5437
146,2000-08-28,71.5214
147,2000-08-29,71.466
148,2000-08-30,71.3264
149,2000-08-31,71.182
150,2000-09-01,71.0875
151,2000-09-05,70.9954
152,2000-09-06,70.8472
153,2000-09-07,70.7723
154,2000-09-08,70.633
155,2000-09-11,70.4594
156,2000-09-12,70.2366
157,2000-09-13,70.0474
158,2000-09-14,69.6438
159,2000-09-15,69.1244
160,2000-09-18,68.5411
