,date,TRIX
0,2000-03-27,-0.1365
1,2000-03-28,-0.1017
2,2000-03-29,-0.067
3,2000-03-30,-0.0365
4,2000-03-31,-0.0073
5,2000-04-03,0.0068
6,2000-04-04,0.0074
7,2000-04-05,-0.004
8,2000-04-06,-0.0243
9,2000-04-07,-0.048
10,2000-04-10,-0.0761
11,2000-04-11,-0.1088
12,2000-04-12,-0.1477
13,2000-04-13,-0.1905
14,2000-04-14,-0.2394
15,2000-04-17,-0.2901
16,2000-04-18,-0.3366
17,2000-04-19,-0.3803
18,2000-04-20,-0.4204
19,2000-04-24,-0.4676
20,2000-04-25,-0.5163
21,2000-04-26,-0.5659
22,2000-04-27,-0.6132
23,2000-04-28,-0.6573
24,2000-05-01,-0.6944
25,2000-05-02,-0.7281
26,2000-05-03,-0.7575
27,2000-05-04,-0.7826
28,2000-05-05,-0.8027
29,2000-05-08,-0.8193
30,2000-05-09,-0.8343
31,2000-05-10,-0.8487
32,2000-05-11,-0.8602
33,2000-05-12,-0.8678
34,2000-05-15,-0.8711
35,2000-05-16,-0.8703
36,2000-05-17,-0.8677
37,2000-05-18,-0.8646
38,2000-05-19,-0.8618
39,2000-05-22,-0.8596
40,2000-05-23,-0.8585
41,2000-05-24,-0.855
42,2000-05-25,-0.8535
43,2000-05-26,-0.8532
44,2000-05-30,-0.851
45,2000-05-31,-0.8478
46,2000-06-01,-0.8411
47,2000-06-02,-0.8294
48,2000-06-05,-0.8129
49,2000-06-06,-0.7894
50,2000-06-07,-0.7595
51,2000-06-08,-0.7267
52,2000-06-09,-0.692
53,2000-06-12,-0.6582
54,2000-06-13,-0.6243
55,2000-06-14,-0.5875
56,2000-06-15,-0.5466
57,2000-06-16,-0.5031
58,2000-06-19,-0.4567
59,2000-06-20,-0.4074
60,2000-06-21,-0.3499
61,2000-06-22,-0.2884
62,2000-06-23,-0.2277
63,2000-06-26,-0.1667
64,2000-06-27,-0.1079
65,2000-06-28,-0.0519
66,2000-06-29,-0.0016
67,2000-06-30,0.0466
68,2000-07-03,0.0919
69,2000-07-05,0.1319
70,2000-07-06,0.1697
71,2000-07-07,0.2061
72,2000-07-10,0.2371
73,2000-07-11,0.2627
74,2000-07-12,0.2848
75,2000-07-13,0.3029
76,2000-07-14,0.3163
77,2000-07-17,0.3245
78,2000-07-18,0.3288
79,2000-07-19,0.3235
80,2000-07-20,0.3129
81,2000-07-21,0.2956
82,2000-07-24,0.2715
83,2000-07-25,0.241
84,2000-07-26,0.205
85,2000-07-27,0.1675
86,2000-07-28,0.1302
87,2000-07-31,0.0939
88,2000-08-01,0.058
89,2000-08-02,0.0239
90,2000-08-03,-0.0069
91,2000-08-04,-0.0359
92,2000-08-07,-0.0617
93,2000-08-08,-0.0797
94,2000-08-09,-0.0913
95,2000-08-10,-0.0996
96,2000-08-11,-0.1054
97,2000-08-14,-0.1094
98,2000-08-15,-0.1126
99,2000-08-16,-0.1156
100,2000-08-17,-0.1178
101,2000-08-18,-0.1198
102,2000-08-21,-0.122
103,2000-08-22,-0.1234
104,2000-08-23,-0.1247
105,2000-08-24,-0.1253
106,2000-08-25,-0.126
107,2000-08-28,-0.1256
108,2000-08-29,-0.1249
109,2000-08-30,-0.125
110,2000-08-31,-0.1257
111,2000-09-01,-0.1264
112,2000-09-05,-0.1269
113,2000-09-06,-0.1281
114,2000-09-07,-0.1289
115,2000-09-08,-0.1301
116,2000-09-11,-0.1322
117,2000-09-12,-0.1355
118,2000-09-13,-0.1394
119,2000-09-14,-0.1464
120,2000-09-15,-0.1574
121,2000-09-18,-0.1725
122,2000-09-19,-0.1876
123,2000-09-20,-0.2031
124,2000-09-21,-0.2186
125,2000-09-22,-0.2345
126,2000-09-25,-0.2526
127,2000-09-26,-0.2701
128,2000-09-27,-0.2889
129,2000-09-28,-0.3072
130,2000-09-29,-0.3258
131,2000-10-02,-0.3452
132,2000-10-03,-0.3679
133,2000-10-04,-0.3934
134,2000-10-05,-0.4204
135,2000-10-06,-0.4474
136,2000-10-09,-0.4751
137,2000-10-10,-0.5019
138,2000-10-11,-0.5256
139,2000-10-12,-0.5478
140,2000-10-13,-0.5688
141,2000-10-16,-0.5923
142,2000-10-17,-0.6169
143,2000-10-18,-0.6394
144,2000-10-19,-0.6463
145,2000-10-20,-0.6363
146,2000-10-23,-0.6173
147,2000-10-24,-0.5922
148,2000-10-25,-0.563
149,2000-10-26,-0.5266
150,2000-10-27,-0.4807
151,2000-10-30,-0.4265
152,2000-10-31,-0.3673
153,2000-11-01,-0.3043
154,2000-11-02,-0.2389
155,2000-11-03,-0.176
156,2000-11-06,-0.1147
157,2000-11-07,-0.0546
158,2000-11-08,0.0015
159,2000-11-09,0.0551
160,2000-11-10,0.1005
161,2000-11-13,0.1374
162,2000-11-14,0.1699
163,2000-11-15,0.2001
164,2000-11-16,0.2259
165,2000-11-17,0.2478
166,2000-11-20,0.2633
167,2000-11-21,0.2743
168,2000-11-22,0.2822
169,2000-11-24,0.2895
170,2000-11-27,0.297
171,2000-11-28,0.2991
172,2000-11-29,0.2943
173,2000-11-30,0.274
174,2000-12-01,0.2416
175,2000-12-04,0.2007
176,2000-12-05,0.1592
177,2000-12-06,0.1137
178,2000-12-07,0.0617
179,2000-12-08,0.0079
180,2000-12-11,-0.0411
181,2000-12-12,-0.0849
182,2000-12-13,-0.1253
183,2000-12-14,-0.1644
184,2000-12-15,-0.2099
185,2000-12-18,-0.2608
186,2000-12-19,-0.3184
187,2000-12-20,-0.384
188,2000-12-21,-0.4513
189,2000-12-22,-0.5139
190,2000-12-26,-0.5708
191,2000-12-27,-0.6223
192,2000-12-28,-0.671
193,2000-12-29,-0.7176
194,2001-01-02,-0.7613
195,2001-01-03,-0.7949
196,2001-01-04,-0.8189
197,2001-01-05,-0.8336
198,2001-01-08,-0.8406
199,2001-01-09,-0.8368
200,2001-01-10,-0.8226
201,2001-01-11,-0.7971
202,2001-01-12,-0.7651
203,2001-01-16,-0.7298
204,2001-01-17,-0.6915
205,2001-01-18,-0.6475
206,2001-01-19,-0.591
207,2001-01-22,-0.5274
208,2001-01-23,-0.4586
209,2001-01-24,-0.3836
210,2001-01-25,-0.3072
211,2001-01-26,-0.2279
212,2001-01-29,-0.1475
213,2001-01-30,-0.07
214,2001-01-31,-0.0004
215,2001-02-01,0.0637
216,2001-02-02,0.1192
217,2001-02-05,0.1687
218,2001-02-06,0.2132
219,2001-02-07,0.2559
220,2001-02-08,0.292
221,2001-02-09,0.3171
222,2001-02-12,0.3325
223,2001-02-13,0.3392
224,2001-02-14,0.3394
225,2001-02-15,0.3351
226,2001-02-16,0.325
227,2001-02-20,0.3085
228,2001-02-21,0.2881
229,2001-02-22,0.2633
230,2001-02-23,0.2383
231,2001-02-26,0.2178
232,2001-02-27,0.2006
233,2001-02-28,0.1855
234,2001-03-01,0.1729
235,2001-03-02,0.1581
236,2001-03-05,0.1432
237,2001-03-06,0.1314
238,2001-03-07,0.124
239,2001-03-08,0.1177
240,2001-03-09,0.1085
241,2001-03-12,0.0902
242,2001-03-13,0.0689
243,2001-03-14,0.0457
244,2001-03-15,0.021
245,2001-03-16,-0.0028
246,2001-03-19,-0.0257
247,2001-03-20,-0.0497
248,2001-03-21,-0.078
249,2001-03-22,-0.1027
250,2001-03-23,-0.1202
251,2001-03-26,-0.1327
252,2001-03-27,-0.1376
253,2001-03-28,-0.1408
254,2001-03-29,-0.1428
255,2001-03-30,-0.1447
256,2001-04-02,-0.1447
257,2001-04-03,-0.1468
258,2001-04-04,-0.1525
259,2001-04-05,-0.1534
260,2001-04-06,-0.1513
261,2001-04-09,-0.1456
262,2001-04-10,-0.1332
263,2001-04-11,-0.1156
264,2001-04-12,-0.0911
265,2001-04-16,-0.0642
266,2001-04-17,-0.035
267,2001-04-18,0.0011
268,2001-04-19,0.0454
269,2001-04-20,0.096
270,2001-04-23,0.1487
271,2001-04-24,0.2003
272,2001-04-25,0.2527
273,2001-04-26,0.3031
274,2001-04-27,0.3473
275,2001-04-30,0.3863
276,2001-05-01,0.4236
277,2001-05-02,0.4576
278,2001-05-03,0.4858
279,2001-05-04,0.5119
280,2001-05-07,0.5361
281,2001-05-08,0.5586
282,2001-05-09,0.5762
283,2001-05-10,0.5886
284,2001-05-11,0.5954
285,2001-05-14,0.5963
286,2001-05-15,0.5918
287,2001-05-16,0.5841
288,2001-05-17,0.5723
289,2001-05-18,0.5572
290,2001-05-21,0.5406
291,2001-05-22,0.5249
292,2001-05-23,0.509
293,2001-05-24,0.4957
294,2001-05-25,0.483
295,2001-05-29,0.4699
296,2001-05-30,0.4548
297,2001-05-31,0.4383
298,2001-06-01,0.4223
299,2001-06-04,0.4074
300,2001-06-05,0.3956
301,2001-06-06,0.3858
302,2001-06-07,0.379
303,2001-06-08,0.3737
304,2001-06-11,0.3678
305,2001-06-12,0.3612
306,2001-06-13,0.3522
307,2001-06-14,0.339
308,2001-06-15,0.3217
309,2001-06-18,0.3
310,2001-06-19,0.2761
311,2001-06-20,0.2535
312,2001-06-21,0.2329
313,2001-06-22,0.2127
314,2001-06-25,0.1933
315,2001-06-26,0.1763
316,2001-06-27,0.1627
317,2001-06-28,0.1539
318,2001-06-29,0.1489
319,2001-07-02,0.1438
320,2001-07-03,0.1384
321,2001-07-05,0.1303
322,2001-07-06,0.1174
323,2001-07-09,0.1006
324,2001-07-10,0.0797
325,2001-07-11,0.0589
326,2001-07-12,0.045
327,2001-07-13,0.0362
328,2001-07-16,0.031
329,2001-07-17,0.0296
330,2001-07-18,0.0293
331,2001-07-19,0.0323
332,2001-07-20,0.0335
333,2001-07-23,0.0307
334,2001-07-24,0.0239
335,2001-07-25,0.0159
336,2001-07-26,0.006
337,2001-07-27,-0.0065
338,2001-07-30,-0.0201
339,2001-07-31,-0.0337
340,2001-08-01,-0.0465
341,2001-08-02,-0.0573
342,2001-08-03,-0.0669
343,2001-08-06,-0.0762
344,2001-08-07,-0.0849
345,2001-08-08,-0.0945
346,2001-08-09,-0.1044
347,2001-08-10,-0.1136
348,2001-08-13,-0.1214
349,2001-08-14,-0.1294
350,2001-08-15,-0.1392
351,2001-08-16,-0.148
352,2001-08-17,-0.1593
353,2001-08-20,-0.1711
354,2001-08-21,-0.1851
355,2001-08-22,-0.2005
356,2001-08-23,-0.2183
357,2001-08-24,-0.2337
358,2001-08-27,-0.2463
359,2001-08-28,-0.2584
360,2001-08-29,-0.2702
361,2001-08-30,-0.2855
362,2001-08-31,-0.3029
363,2001-09-04,-0.3222
364,2001-09-05,-0.3403
365,2001-09-06,-0.3589
366,2001-09-07,-0.3781
367,2001-09-10,-0.3941
368,2001-09-17,-0.4133
369,2001-09-18,-0.4321
370,2001-09-19,-0.4506
371,2001-09-20,-0.4723
