Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,1425871.0,49.91,49.61,50.49,50.77,44.5842
2015-01-05,2079801.0,49.52,47.44,47.8,49.52,42.2088
2015-01-06,2380724.0,47.61,46.26,46.58,48.42,41.1315
2015-01-07,2030329.0,47.34,46.18,46.48,47.63,41.0432
2015-01-08,2919549.0,47.06,46.72,48.57,48.59,42.8888
2015-01-09,1368721.0,48.56,47.63,48.51,48.87,42.8358
2015-01-12,2201387.0,47.29,46.08,46.74,47.36,41.2728
2015-01-13,2058949.0,46.95,45.84,46.63,47.32,41.1757
2015-01-14,1822036.0,46.45,44.84,46.36,46.55,40.9373
2015-01-15,1338615.0,47.2,45.44,45.48,47.3,40.1602
2015-01-16,2741078.0,45.79,45.65,47.68,47.76,42.1029
2015-01-20,1537278.0,47.03,46.54,47.37,47.37,41.8291
2015-01-21,1366427.0,47.52,47.41,48.03,48.39,42.4119
2015-01-22,1282598.0,48.34,47.17,48.11,48.49,42.4826
2015-01-23,2368385.0,47.73,46.52,46.63,48.39,41.1757
2015-01-26,1678027.0,46.66,46.17,46.87,47.1,41.3876
2015-01-27,2131470.0,46.58,46.19,46.78,47.03,41.3081
2015-01-28,4028284.0,46.38,43.0,43.4,46.56,38.3235
2015-01-29,3957408.0,43.83,42.19,43.68,43.98,38.5707
2015-01-30,3165094.0,43.39,43.05,44.91,45.82,39.6569
2015-02-02,2804000.0,46.2,45.69,47.65,47.68,42.0764
2015-02-03,3059631.0,48.8,48.71,49.91,50.59,44.072
2015-02-04,2875600.0,48.89,48.35,49.17,49.84,43.4186
2015-02-05,1836438.0,49.6,49.31,50.19,50.43,44.3193
2015-02-06,2209806.0,50.77,49.8,50.51,50.77,44.6018
2015-02-09,3357996.0,50.98,50.36,51.07,51.43,45.0963
2015-02-10,3349853.0,51.17,50.45,51.07,51.295,45.0963
2015-02-11,2693010.0,50.28,49.79,50.93,51.04,44.9727
2015-02-12,1723165.0,51.31,50.69,50.89,51.85,45.2465
2015-02-13,1815384.0,51.78,51.26,51.77,52.0,46.0289
2015-02-17,1618953.0,51.49,51.13,51.6,51.79,45.8777
2015-02-18,1916907.0,50.81,50.41,50.51,51.61,44.9086
2015-02-19,2156229.0,46.98,46.98,50.04,50.63,44.4907
