Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,56.54,56.35,56.35,57.32,1404556.0,56.06
2015-01-05,56.12,55.72,55.72,56.28,3002128.0,55.43
2015-01-06,56.21,54.18,54.18,56.83,6610871.0,53.77
2015-01-07,54.72,56.11,56.11,56.35,3663022.0,53.83
2015-01-08,56.68,56.65,56.65,57.29,3164005.0,56.35
2015-01-09,56.68,55.84,55.84,56.94,2132832.0,55.77
2015-01-12,55.94,55.27,55.27,56.49,2955056.0,54.93
2015-01-13,56.01,55.48,55.48,56.68,2327265.0,54.81
2015-01-14,55.37,54.59,54.59,55.86,2420470.0,54.17
2015-01-15,55.0,52.74,52.74,55.66,4026406.0,52.68
2015-01-16,52.65,56.0,56.0,56.11,5626919.0,52.39
2015-01-20,56.0,55.13,55.13,56.33,3342485.0,54.36
2015-01-21,55.03,54.59,54.59,55.5,2651584.0,54.31
2015-01-22,54.94,54.44,54.44,55.26,3947095.0,53.595
2015-01-23,54.36,54.21,54.21,55.0,3124194.0,53.845
2015-01-26,54.02,56.8,56.8,57.04,6471755.0,54.02
2015-01-27,56.63,56.295,56.295,56.98,3883101.0,55.66
2015-01-28,56.4,55.24,55.24,56.5,3501934.0,55.13
2015-01-29,55.2,54.885,54.885,55.23,3470665.0,54.48
2015-01-30,54.25,53.15,53.15,55.0,6399419.0,53.01
2015-02-02,53.55,53.19,53.19,53.84,4618801.0,52.21
2015-02-03,52.82,54.59,54.59,54.67,5857610.0,52.313
2015-02-04,54.01,53.22,53.22,54.04,3370530.0,52.82
2015-02-05,53.44,54.3,54.3,54.55,3989478.0,53.4
2015-02-06,54.23,53.89,53.89,54.49,1910851.0,53.55
2015-02-09,53.8,53.0,53.0,53.84,1492284.0,52.92
2015-02-10,53.33,53.97,53.97,54.2899,2149468.0,52.7
2015-02-11,53.97,53.755,53.755,54.42,1566194.0,53.64
2015-02-12,54.17,54.51,54.51,54.54,1417646.0,53.85
2015-02-13,54.57,55.85,55.85,55.99,2740939.0,54.32
2015-02-17,55.13,56.53,56.53,56.73,2246879.0,55.13
2015-02-18,56.65,56.55,56.55,56.72,1890694.0,56.04
2015-02-19,56.37,57.22,57.22,57.36,2865858.0,56.31
2015-02-20,57.28,57.87,57.87,57.9,3163136.0,56.86
2015-02-23,58.0,57.65,57.65,58.03,1988311.0,57.41
2015-02-24,57.74,57.215,57.215,57.83,1952482.0,57.11
2015-02-25,57.11,56.5,56.5,57.32,3365278.0,56.095
2015-02-26,56.5,57.245,57.245,57.28,2029526.0,56.18
2015-02-27,57.92,57.325,57.325,58.37,5229157.0,56.89
2015-03-02,58.0,57.89,57.89,58.36,3572755.0,57.05
2015-03-03,56.76,55.435,55.435,57.2,6511135.0,55.002
2015-03-04,55.79,55.605,55.605,55.95,3810065.0,54.89
2015-03-05,56.26,56.685,56.685,58.26,4946797.0,56.09
2015-03-06,56.43,55.44,55.44,56.64,2302150.0,55.17
2015-03-09,55.76,55.74,55.74,56.0,1853177.0,55.14
2015-03-10,55.27,55.305,55.305,55.945,2784587.0,54.81
2015-03-11,55.64,59.0,59.0,59.92,12635315.0,55.25
2015-03-12,59.07,62.3,62.3,62.45,11356372.0,59.05
2015-03-13,61.26,59.76,59.76,61.39,7191090.0,59.19
2015-03-16,60.36,61.27,61.27,61.3,5429151.0,59.94
2015-03-17,60.47,62.72,62.72,62.84,3630339.0,60.47
2015-03-18,62.41,64.96,64.96,65.63,6325156.0,62.06
2015-03-19,64.44,63.94,63.94,64.75,4970463.0,62.9
2015-03-20,64.37,63.06,63.06,64.57,5245978.0,63.06
2015-03-23,63.15,63.28,63.28,64.3,3974324.0,62.11
2015-03-24,63.04,63.09,63.09,64.06,3973466.0,62.94
2015-03-25,62.88,61.23,61.23,63.97,4423918.0,60.93
2015-03-26,60.41,61.88,61.88,63.02,5428020.0,60.02
2015-03-27,61.88,61.63,61.63,62.45,4802364.0,61.29
2015-03-30,58.8,60.0,60.0,60.06,9994074.0,57.615
2015-03-31,59.56,59.35,59.35,60.405,8447303.0,58.9
2015-04-01,58.44,57.94,57.94,58.52,35152867.0,57.46
2015-04-02,58.37,58.095,58.095,58.65,8827694.0,58.02
2015-04-06,58.12,58.48,58.48,58.765,10176563.0,58.0
2015-04-07,58.98,59.57,59.57,59.74,13511057.0,58.4
2015-04-08,60.17,68.36,68.36,70.2,10600347.0,60.0
2015-04-09,67.95,70.095,70.095,72.62,26635269.0,67.51
2015-04-10,69.87,70.24,70.24,70.44,10947419.0,68.3
2015-04-13,69.72,68.56,68.56,71.1,7770101.0,68.32
2015-04-14,68.36,68.62,68.62,69.37,6172536.0,67.745
2015-04-15,68.49,66.77,66.77,68.7399,8302214.0,66.71
2015-04-16,67.02,66.835,66.835,68.47,9038607.0,66.15
2015-04-17,66.48,69.815,69.815,72.16,19396822.0,66.3101
2015-04-20,69.64,68.045,68.045,69.8099,9735730.0,67.21
2015-04-21,74.3,74.07,74.07,74.9,42315773.0,72.99
2015-04-22,75.0,72.4,72.4,75.4,19062810.0,71.12
2015-04-23,72.33,73.69,73.69,73.82,10276903.0,72.01
2015-04-24,73.58,76.06,76.06,76.685,12236778.0,72.71
2015-04-27,75.4,71.72,71.72,75.4,20059738.0,71.21
