Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,942587.0,21.71,21.52,21.82,22.0099,19.0628
2015-01-05,1102299.0,21.67,21.04,21.1,21.78,18.4338
2015-01-06,1419926.0,21.17,20.715,20.9,21.325,18.2591
2015-01-07,2889334.0,21.0,20.66,20.92,21.12,18.2766
2015-01-08,3124252.0,21.1,20.4,20.6,21.51,17.997
2015-01-09,1629940.0,20.56,20.36,20.54,20.78,17.9446
2015-01-12,1431640.0,20.51,20.02,20.17,20.688,17.6213
2015-01-13,2188825.0,20.28,19.965,20.22,20.58,17.665
2015-01-14,1753463.0,20.1,19.8435,20.14,20.32,17.5951
2015-01-15,1608205.0,20.07,19.87,20.11,20.44,17.5689
2015-01-16,1804628.0,20.01,19.81,20.15,20.268,17.6039
2015-01-20,1791675.0,20.24,19.57,19.67,20.275,17.1845
2015-01-21,3084051.0,19.22,17.16,19.96,20.09,17.4379
2015-01-22,2551708.0,20.0,19.2772,19.69,20.3799,17.202
2015-01-23,2134458.0,19.57,19.34,19.47,20.09,17.0098
2015-01-26,2113521.0,19.36,19.27,19.55,19.62,17.0797
2015-01-27,3047923.0,19.43,19.41,19.8,19.88,17.2981
2015-01-28,2721528.0,19.8,19.45,19.47,19.8,17.0098
2015-01-29,5054293.0,19.12,19.1,19.5,19.58,17.036
2015-01-30,4173880.0,19.38,19.2,19.74,19.97,17.2457
2015-02-02,3120747.0,19.75,19.57,20.05,20.15,17.5165
2015-02-03,2543134.0,20.12,20.07,21.08,21.1,18.4163
2015-02-04,2554434.0,20.93,20.629,21.0,21.21,18.3464
2015-02-05,2165708.0,20.95,20.77,21.31,21.39,18.6173
2015-02-06,1764050.0,21.38,21.18,21.35,21.46,18.6522
2015-02-09,2107723.0,22.17,21.19,21.57,22.17,18.8444
2015-02-10,1598800.0,21.6,21.35,21.67,21.71,18.9318
2015-02-11,1928712.0,21.57,21.43,21.95,22.05,19.1764
2015-02-12,2427991.0,21.95,21.81,22.21,22.285,19.4035
2015-02-13,2490613.0,22.07,21.87,22.37,22.405,19.5433
2015-02-17,3000023.0,22.27,21.92,21.98,22.37,19.2026
2015-02-18,1882322.0,21.92,21.57,21.65,22.04,18.9143
2015-02-19,1418279.0,21.64,21.38,21.66,21.75,18.923
2015-02-20,1670522.0,21.66,21.4,21.72,21.86,18.9755
2015-02-23,1290575.0,21.63,21.455,21.81,21.83,19.0541
2015-02-24,1657127.0,21.76,21.68,21.68,21.98,18.9405
2015-02-25,2443935.0,21.73,21.63,21.7,21.915,18.958
2015-02-26,1742617.0,21.71,21.61,21.85,22.0,19.089
2015-02-27,2271775.0,21.76,21.33,21.4,21.9099,18.6959
2015-03-02,10895823.0,19.07,18.44,19.51,19.67,17.0447
2015-03-03,4902313.0,19.4,19.15,20.05,20.18,17.5165
2015-03-04,3011930.0,19.74,19.53,20.01,20.38,17.6213
2015-03-05,1830410.0,20.02,19.76,19.99,20.115,17.6037
2015-03-06,2117156.0,19.91,19.6,19.64,20.23,17.2955
2015-03-09,2075723.0,19.62,19.59,19.59,19.77,17.2515
2015-03-10,4398944.0,19.37,19.2115,19.37,19.66,17.0577
2015-03-11,3948114.0,19.46,18.97,19.16,19.58,16.8728
2015-03-12,2605666.0,19.28,19.28,19.54,19.59,17.2074
