Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,2962394.0,47.07,45.96,46.88,47.6,44.9346
2015-01-05,7058559.0,46.04,42.19,42.39,46.21,40.6309
2015-01-06,3831904.0,42.28,41.31,41.9,42.88,40.1613
2015-01-07,3108422.0,42.5,41.49,41.74,42.94,40.0079
2015-01-08,3824767.0,42.14,41.56,43.18,43.42,41.3881
2015-01-09,2979698.0,43.21,42.59,43.57,43.88,41.762
2015-01-12,3513397.0,42.49,41.01,41.52,42.82,39.797
2015-01-13,5025671.0,41.78,41.32,42.54,42.82,40.7747
2015-01-14,3661791.0,42.04,41.39,42.85,42.96,41.0718
2015-01-15,4062217.0,43.78,42.95,42.98,44.22,41.1964
2015-01-16,3466671.0,43.34,43.24,45.49,45.53,43.6023
2015-01-20,4098455.0,44.88,44.16,45.91,46.05,44.0048
2015-01-21,3183949.0,46.36,46.3,46.93,47.44,44.9825
2015-01-22,2552628.0,47.15,45.8,46.74,47.36,44.8004
2015-01-23,2820480.0,46.29,46.04,46.27,46.99,44.3499
2015-01-26,3087762.0,46.42,45.68,47.52,47.57,45.548
2015-01-27,3009298.0,47.26,46.62,47.58,48.11,45.6055
2015-01-28,4142967.0,47.06,45.5,46.06,47.3,44.1486
2015-01-29,3649706.0,46.54,45.09,47.51,47.58,45.5385
2015-01-30,3959474.0,46.92,46.26,47.74,48.14,45.7589
2015-02-02,3691764.0,48.75,48.34,49.73,49.76,47.6663
2015-02-03,5787422.0,50.71,49.661,50.21,52.417,48.1264
2015-02-04,4475803.0,49.19,47.63,47.89,49.2508,45.9027
2015-02-05,2973433.0,48.45,47.991,48.49,49.1,46.6503
2015-02-06,3898990.0,49.12,46.83,47.72,49.2,45.9095
2015-02-09,3236335.0,48.09,46.865,46.98,48.58,45.1976
2015-02-10,3327190.0,47.01,45.77,47.88,48.0,46.0635
2015-02-11,3110193.0,46.82,46.61,47.94,48.4328,46.1212
2015-02-12,2392737.0,48.95,48.33,48.85,49.47,46.9967
2015-02-13,3158588.0,49.68,49.53,50.79,50.88,48.8631
2015-02-17,3032771.0,50.42,50.05,50.81,51.3,48.8823
2015-02-18,4653791.0,50.16,49.9,50.69,51.77,48.7668
2015-02-19,5125481.0,48.37,47.34,49.7,49.77,47.8144
2015-02-20,2955139.0,49.61,48.58,49.08,50.14,47.2179
2015-02-23,2338902.0,48.46,48.12,48.5,49.27,46.6599
2015-02-24,2632894.0,49.14,48.5,49.67,49.71,47.7855
2015-02-25,2207236.0,49.35,49.168,49.81,50.04,47.9202
2015-02-26,19819790.0,47.47,47.03,47.32,48.17,45.5247
2015-02-27,6800558.0,47.85,46.75,47.23,48.15,45.4381
2015-03-02,6016025.0,47.07,46.18,46.41,47.22,44.6492
2015-03-03,4292301.0,46.78,46.43,46.98,47.58,45.1976
2015-03-04,4021817.0,47.06,46.11,47.21,47.45,45.4189
2015-03-05,5837891.0,46.97,46.01,46.07,47.5,44.3221
2015-03-06,5692576.0,45.45,45.19,45.39,46.58,43.6679
2015-03-09,3258694.0,45.39,45.0,45.02,45.9,43.312
2015-03-10,2520793.0,44.33,44.27,44.27,45.33,42.5904
2015-03-11,3101906.0,44.3,43.965,44.38,44.69,42.6962
2015-03-12,2309936.0,44.73,44.13,44.25,44.8,42.5712
2015-03-13,3543480.0,43.69,43.31,44.03,44.27,42.3595
2015-03-16,4153553.0,43.66,43.62,45.61,45.65,43.8796
2015-03-17,3563757.0,45.32,44.91,45.61,46.07,43.8796
2015-03-18,5033686.0,45.25,45.17,48.12,48.7,46.2944
2015-03-19,3169491.0,47.1,46.81,47.58,47.9,45.7748
2015-03-20,5140253.0,48.0,47.64,47.84,48.82,46.025
2015-03-23,3238683.0,48.02,46.38,46.4,48.48,44.6396
2015-03-24,3505584.0,46.56,45.58,45.89,46.64,44.149
2015-03-25,3905383.0,46.32,45.47,46.77,47.2,44.9956
2015-03-26,3267158.0,47.78,46.92,47.94,48.15,46.1212
2015-03-27,3383400.0,47.47,47.2,48.0,48.615,46.1789
2015-03-30,3237444.0,48.51,47.7201,49.05,49.16,47.1891
2015-03-31,4132257.0,48.26,48.23,48.9,49.72,47.0448
2015-04-01,3238529.0,49.27,48.77,48.87,49.86,47.0159
2015-04-02,3100204.0,48.51,48.24,49.92,49.99,48.0261
2015-04-06,2592108.0,50.52,49.88,50.65,50.93,48.7284
2015-04-07,2802217.0,50.66,50.135,50.3,51.42,48.3916
2015-04-08,2454824.0,50.65,49.86,49.93,51.05,48.0357
2015-04-09,3062833.0,50.21,49.88,50.92,50.98,48.9881
2015-04-10,1560408.0,51.06,50.7,50.92,51.29,48.9881
2015-04-13,1896752.0,51.37,50.34,50.57,51.61,48.6514
2015-04-14,2734294.0,51.01,50.83,51.73,51.74,49.7674
2015-04-15,3495422.0,52.16,51.79,53.47,53.675,51.4414
2015-04-16,3608365.0,53.06,52.53,52.59,53.43,50.5948
2015-04-17,3880314.0,52.23,51.83,52.1,52.91,50.1234
2015-04-20,2301027.0,52.3,52.17,52.76,53.23,50.7583
2015-04-21,2703779.0,52.33,51.02,51.13,52.63,49.1902
2015-04-22,2424362.0,51.67,50.92,51.18,51.89,49.2383
2015-04-23,2314818.0,51.29,51.29,51.51,52.3,49.5557
2015-04-24,2979652.0,51.25,50.01,50.49,51.38,48.5744
2015-04-27,3872308.0,50.94,49.59,49.77,51.145,47.8818
2015-04-28,4144764.0,49.68,49.14,50.09,50.15,48.1896
2015-04-29,3198826.0,49.93,49.75,50.62,51.13,48.6995
2015-04-30,3113867.0,50.89,50.05,50.72,51.36,48.7957
2015-05-01,2429396.0,50.76,50.0938,50.24,51.0,48.3339
2015-05-04,3722241.0,50.36,50.11,50.99,51.2,49.0555
2015-05-05,7426727.0,52.34,49.78,49.79,52.69,47.901
2015-05-06,3697587.0,50.4,48.65,49.18,51.142,47.3141
2015-05-07,3640604.0,48.92,47.49,48.12,48.92,46.4675
2015-05-08,4166803.0,48.61,47.75,49.12,49.38,47.4332
2015-05-11,20885790.0,46.72,45.31,46.07,47.35,44.4879
2015-05-12,6718508.0,45.87,45.63,46.0,46.32,44.4203
2015-05-13,6508430.0,46.43,45.13,45.28,46.63,43.7251
2015-05-14,6765072.0,45.44,44.22,44.5,45.52,42.9718
2015-05-15,4237946.0,44.48,44.11,44.88,45.25,43.3388
2015-05-18,3485772.0,44.93,44.6,45.11,45.27,43.5609
2015-05-19,3482919.0,44.6,43.87,44.23,44.71,42.7111
2015-05-20,3468098.0,44.24,43.46,44.01,44.37,42.4987
2015-05-21,4967113.0,44.44,43.74,43.8,44.49,42.2959
2015-05-22,3883262.0,43.43,43.16,43.8,44.2,42.2959
2015-05-26,6190398.0,43.94,43.73,44.15,44.78,42.6339
2015-05-27,4745310.0,44.09,42.98,43.32,44.3448,41.8324
2015-05-28,5195967.0,43.18,42.8,43.65,43.92,42.151
2015-05-29,4578430.0,43.78,43.26,43.78,44.26,42.2766
2015-06-01,4065994.0,43.58,42.985,43.33,43.77,41.842
2015-06-02,2709912.0,43.67,43.09,44.03,44.45,42.518
2015-06-03,3965878.0,43.96,43.65,44.31,44.43,42.7884
2015-06-04,5211168.0,43.82,43.4,43.7,44.0,42.1993
2015-06-05,5337775.0,43.39,43.38,44.59,44.96,43.0587
2015-06-08,5231535.0,44.34,44.11,44.69,44.76,43.1553
2015-06-09,6903868.0,45.43,45.41,45.75,46.56,44.1789
2015-06-10,4937134.0,46.61,46.21,46.63,46.9,45.0287
2015-06-11,3634343.0,46.67,46.17,46.64,46.9335,45.0383
2015-06-12,3494070.0,46.41,46.075,46.37,46.76,44.7776
