Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,26.84,26.6,26.6,27.43,4059488.0,26.12
2015-01-05,25.94,24.9,24.9,26.13,4016121.0,24.53
2015-01-06,24.67,24.6,24.6,25.13,3993140.0,23.83
2015-01-07,24.94,23.61,23.61,25.18,4913239.0,23.39
2015-01-08,23.64,23.98,23.98,24.39,7448172.0,23.18
2015-01-09,24.25,24.5,24.5,24.71,4479868.0,23.59
2015-01-12,23.94,22.73,22.73,24.05,3784579.0,22.48
2015-01-13,22.77,22.9,22.9,23.31,3228549.0,22.5
2015-01-14,22.62,24.19,24.19,24.235,4849829.0,22.31
2015-01-15,24.75,23.5,23.5,24.96,4249042.0,23.48
2015-01-16,23.69,25.88,25.88,25.97,4604055.0,23.69
2015-01-20,25.69,26.28,26.28,26.51,4659551.0,24.82
2015-01-21,26.67,28.09,28.09,28.14,5337595.0,26.55
2015-01-22,28.31,28.53,28.53,28.58,4997648.0,27.44
2015-01-23,28.76,28.49,28.49,29.57,5077583.0,28.27
2015-01-26,28.71,28.29,28.29,28.76,3507931.0,27.64
2015-01-27,28.12,28.77,28.77,29.12,2695662.0,28.01
2015-01-28,28.43,27.43,27.43,28.43,3576171.0,27.25
2015-01-29,27.82,28.51,28.51,28.635,4304631.0,27.15
2015-01-30,28.05,29.78,29.78,30.255,4538937.0,27.78
2015-02-02,30.13,30.93,30.93,30.94,5025322.0,29.56
2015-02-03,31.1,32.18,32.18,32.54,6199636.0,31.02
2015-02-04,31.37,30.99,30.99,31.97,4398118.0,30.42
2015-02-05,31.66,30.89,30.89,32.05,5097562.0,30.595
2015-02-06,31.24,30.79,30.79,31.48,3550344.0,30.32
2015-02-09,31.02,30.56,30.56,31.68,3287329.0,30.38
2015-02-10,30.2,30.18,30.18,30.33,4403049.0,28.96
2015-02-11,29.34,29.91,29.91,30.18,3085979.0,28.68
2015-02-12,30.62,30.89,30.89,31.11,2584002.0,30.28
2015-02-13,31.38,32.24,32.24,32.465,4031659.0,31.25
2015-02-17,32.0,33.09,33.09,33.46,3995035.0,31.95
2015-02-18,32.63,32.85,32.85,33.21,3674229.0,32.08
2015-02-19,31.81,32.78,32.78,33.025,2470834.0,31.23
2015-02-20,32.83,32.09,32.09,33.13,2768912.0,31.69
2015-02-23,31.59,31.71,31.71,32.36,3206351.0,31.48
2015-02-24,32.1,31.67,31.67,32.4,3360193.0,31.37
2015-02-25,31.92,36.0,36.0,36.26,9043127.0,31.92
2015-02-26,33.88,33.6,33.6,33.99,22585890.0,32.91
2015-02-27,33.81,33.03,33.03,34.07,6640433.0,32.99
2015-03-02,32.91,32.43,32.43,33.08,5177241.0,31.6
2015-03-03,32.64,32.94,32.94,33.55,3588325.0,32.48
2015-03-04,33.11,33.18,33.18,33.5,4726714.0,31.96
2015-03-05,33.15,32.77,32.77,33.15,2915592.0,32.26
2015-03-06,32.31,32.0,32.0,32.94,2248834.0,31.81
2015-03-09,31.99,31.69,31.69,32.38,1920484.0,31.47
2015-03-10,31.09,30.96,30.96,31.73,2113100.0,30.86
2015-03-11,31.02,31.28,31.28,31.56,1871653.0,30.91
2015-03-12,31.34,31.1,31.1,31.69,2117848.0,31.03
2015-03-13,30.7,31.36,31.36,31.4,3598692.0,30.15
2015-03-16,31.09,31.73,31.73,31.8,2310909.0,30.66
2015-03-17,31.49,31.57,31.57,32.1,1889096.0,31.4
2015-03-18,31.12,33.37,33.37,33.74,4436554.0,31.07
2015-03-19,32.46,32.47,32.47,33.06,2440952.0,32.17
2015-03-20,33.04,33.29,33.29,34.36,4875972.0,32.89
2015-03-23,33.26,32.65,32.65,33.75,2117912.0,32.65
2015-03-24,32.57,32.94,32.94,33.04,2006812.0,32.12
2015-03-25,33.33,33.77,33.77,34.28,2644612.0,33.02
2015-03-26,34.48,34.24,34.24,35.19,3234172.0,33.95
2015-03-27,33.94,34.28,34.28,34.765,2800458.0,33.62
2015-03-30,34.82,35.18,35.18,35.43,2686263.0,34.73
2015-03-31,34.69,35.09,35.09,35.58,4294215.0,34.37
2015-04-01,35.4,36.09,36.09,36.93,3474336.0,35.4
2015-04-02,35.81,36.28,36.28,37.5,3551289.0,35.73
2015-04-06,36.75,37.73,37.73,38.19,3998597.0,36.56
2015-04-07,37.6,37.01,37.01,38.31,2723194.0,36.95
2015-04-08,37.19,36.1,36.1,37.57,2657449.0,35.97
2015-04-09,36.11,37.1,37.1,37.34,2184425.0,36.11
2015-04-10,37.45,37.19,37.19,37.63,2260244.0,36.9
2015-04-13,37.6,36.56,36.56,37.7,1919093.0,36.39
2015-04-14,36.93,37.44,37.44,37.485,1922033.0,36.71
2015-04-15,37.7,38.78,38.78,39.14,3707979.0,37.26
2015-04-16,38.43,38.75,38.75,39.26,2937850.0,37.99
2015-04-17,38.5,38.48,38.48,38.75,1965884.0,37.92
2015-04-20,38.53,38.16,38.16,39.37,2050431.0,38.0
2015-04-21,38.08,36.98,36.98,38.32,2696984.0,36.7903
2015-04-22,37.52,37.77,37.77,38.51,1753287.0,36.93
2015-04-23,37.61,38.04,38.04,38.83,1889908.0,37.61
2015-04-24,37.9,38.76,38.76,38.96,2928868.0,37.68
2015-04-27,39.02,38.18,38.18,39.46,1528474.0,38.16
2015-04-28,38.14,39.09,39.09,39.13,2614592.0,37.84
2015-04-29,39.04,39.69,39.69,40.27,2263315.0,38.84
2015-04-30,39.78,39.24,39.24,40.18,3214058.0,38.52
2015-05-01,39.15,38.99,38.99,39.46,1789261.0,38.59
2015-05-04,39.09,38.99,38.99,39.6,1984706.0,38.42
2015-05-05,39.98,36.99,36.99,39.98,5522879.0,36.71
2015-05-06,37.48,36.05,36.05,37.53,5941397.0,34.78
2015-05-07,36.06,35.24,35.24,36.29,4086310.0,34.89
2015-05-08,35.64,36.44,36.44,36.51,3418314.0,35.01
2015-05-11,36.9,35.93,35.93,36.9,2645043.0,35.52
2015-05-12,36.02,35.95,35.95,36.54,2544730.0,35.62
2015-05-13,36.23,35.34,35.34,36.32,1835202.0,35.0
2015-05-14,35.45,34.54,34.54,35.79,3157542.0,34.47
2015-05-15,34.42,35.54,35.54,35.77,2517900.0,33.96
2015-05-18,35.96,36.74,36.74,36.845,3430078.0,35.48
2015-05-19,36.25,36.97,36.97,37.075,3448440.0,35.86
2015-05-20,37.11,37.4,37.4,38.09,3647083.0,36.76
2015-05-21,37.7,38.29,38.29,38.45,2516239.0,37.7
2015-05-22,37.83,38.04,38.04,38.48,1781033.0,37.66
2015-05-26,37.56,37.29,37.29,38.0598,1333768.0,37.13
2015-05-27,37.0,37.38,37.38,37.75,1627621.0,36.65
2015-05-28,37.24,36.79,36.79,37.27,1836556.0,36.11
2015-05-29,36.9,37.81,37.81,38.17,2616883.0,36.63
2015-06-01,37.88,37.33,37.33,37.88,3453595.0,37.035
2015-06-02,37.64,37.37,37.37,38.08,2723727.0,37.21
2015-06-03,37.19,36.26,36.26,37.71,2266226.0,36.195
2015-06-04,36.01,36.15,36.15,36.335,2152228.0,35.48
2015-06-05,35.77,37.3,37.3,37.71,2359197.0,35.7
2015-06-08,37.06,36.95,36.95,37.5,2538610.0,36.72
2015-06-09,37.54,37.26,37.26,38.16,2412134.0,37.23
2015-06-10,37.94,37.92,37.92,38.27,1721224.0,37.4
2015-06-11,38.05,37.44,37.44,38.29,1354624.0,37.42
2015-06-12,37.07,36.67,36.67,37.32,2151246.0,36.595
2015-06-15,36.29,36.37,36.37,36.79,2167335.0,36.07
2015-06-16,36.36,37.4,37.4,37.42,1907476.0,36.3
2015-06-17,37.8,36.9,36.9,38.0,2507564.0,36.85
2015-06-18,37.43,37.38,37.38,38.07,2573342.0,37.21
2015-06-19,37.06,36.76,36.76,37.48,3770912.0,36.39
2015-06-22,36.88,37.17,37.17,37.345,1623758.0,36.51
2015-06-23,37.05,37.95,37.95,38.03,2329589.0,37.03
2015-06-24,37.84,37.97,37.97,38.64,1537342.0,37.76
2015-06-25,38.12,37.63,37.63,38.34,2688553.0,37.62
2015-06-26,37.48,36.47,36.47,37.67,4656256.0,36.4
2015-06-29,35.92,34.84,34.84,36.255,3675732.0,34.83
2015-06-30,35.55,36.12,36.12,36.29,2913421.0,35.07
2015-07-01,36.07,35.26,35.26,36.42,4699787.0,34.74
2015-07-02,35.28,35.04,35.04,35.94,1837805.0,34.89
2015-07-06,34.06,34.36,34.36,34.87,3350443.0,33.68
2015-07-07,34.37,35.63,35.63,35.81,3548223.0,33.51
2015-07-08,35.5,34.85,34.85,36.06,4665949.0,34.71
2015-07-09,35.55,35.46,35.46,36.07,2214312.0,35.19
2015-07-10,35.76,35.47,35.47,36.02,2892318.0,35.07
2015-07-13,35.48,35.7,35.7,35.86,1845183.0,35.03
2015-07-14,35.59,36.53,36.53,36.77,1946014.0,35.51
2015-07-15,36.07,34.78,34.78,36.23,2533182.0,34.33
2015-07-16,35.13,35.3,35.3,35.425,3357700.0,34.275
2015-07-17,35.17,34.14,34.14,35.17,2903399.0,33.84
2015-07-20,34.01,33.61,33.61,34.18,4855116.0,33.11
2015-07-21,33.95,33.83,33.83,34.69,3011136.0,33.7
2015-07-22,33.53,33.4,33.4,34.05,3013080.0,33.17
2015-07-23,33.46,33.72,33.72,33.92,3616328.0,32.67
2015-07-24,33.68,32.78,32.78,33.76,2516531.0,32.5
2015-07-27,32.08,30.88,30.88,32.6,7818911.0,30.15
2015-07-28,31.04,31.53,31.53,31.81,5375790.0,29.84
2015-07-29,31.38,32.88,32.88,32.96,5450208.0,30.83
2015-07-30,32.8,33.36,33.36,33.67,4420313.0,32.19
2015-07-31,33.17,32.79,32.79,33.63,3189762.0,32.66
2015-08-03,32.31,32.44,32.44,33.22,4021083.0,32.03
2015-08-04,32.63,32.65,32.65,33.38,5844794.0,32.24
2015-08-05,33.74,32.55,32.55,34.23,9540307.0,31.53
2015-08-06,32.53,34.77,34.77,34.85,4450950.0,32.21
2015-08-07,34.62,34.23,34.23,35.4,3788463.0,34.02
2015-08-10,34.36,35.65,35.65,35.73,4710077.0,33.22
2015-08-11,34.59,35.36,35.36,35.45,2595626.0,34.3
2015-08-12,35.16,36.61,36.61,36.68,3546250.0,35.14
2015-08-13,36.07,36.08,36.08,36.49,2385443.0,35.424
2015-08-14,36.03,36.19,36.19,36.61,2478594.0,35.3
2015-08-17,35.86,35.48,35.48,36.28,2431609.0,35.19
2015-08-18,35.37,35.3,35.3,35.59,2502252.0,34.73
2015-08-19,34.88,33.93,33.93,35.185,4245342.0,32.88
2015-08-20,33.82,32.5,32.5,34.02,3628278.0,32.49
2015-08-21,32.13,30.82,30.82,32.78,5342927.0,30.75
2015-08-24,28.84,27.63,27.63,29.87,7626058.0,26.78
2015-08-25,29.26,27.05,27.05,29.26,3463234.0,27.03
2015-08-26,27.85,28.06,28.06,28.15,4437728.0,27.0
2015-08-27,29.15,30.7,30.7,31.78,5860797.0,28.91
2015-08-28,30.38,31.6,31.6,32.31,7266437.0,30.32
2015-08-31,31.04,33.31,33.31,33.68,5124872.0,30.44
2015-09-01,32.29,31.86,31.86,33.32,5759108.0,31.525
2015-09-02,32.33,32.82,32.82,32.87,3644573.0,31.12
2015-09-03,33.09,33.14,33.14,34.4,3316770.0,32.51
2015-09-04,32.41,33.21,33.21,33.5,3122777.0,32.3
2015-09-08,33.49,34.14,34.14,34.45,3828406.0,32.89
2015-09-09,34.57,33.95,33.95,35.76,4072181.0,33.79
2015-09-10,34.22,34.47,34.47,34.87,4979769.0,33.85
2015-09-11,33.76,34.13,34.13,34.25,3908106.0,33.24
2015-09-14,33.97,33.51,33.51,33.99,2732461.0,33.22
2015-09-15,33.7,34.01,34.01,34.36,2440724.0,33.43
2015-09-16,34.45,35.93,35.93,36.025,5023810.0,34.33
2015-09-17,35.92,35.38,35.38,36.57,4034383.0,35.05
2015-09-18,34.44,33.68,33.68,34.85,4335266.0,33.34
2015-09-21,34.21,33.67,33.67,34.25,2519546.0,33.28
2015-09-22,32.88,33.75,33.75,34.18,3536009.0,32.86
2015-09-23,33.92,33.18,33.18,34.26,1886917.0,33.11
2015-09-24,32.85,33.35,33.35,33.63,3112776.0,32.51
2015-09-25,33.77,33.3,33.3,34.14,2824450.0,33.0
2015-09-28,32.82,31.4,31.4,33.01,3134693.0,31.36
2015-09-29,31.68,32.21,32.21,32.68,3132511.0,31.52
2015-09-30,32.5,32.9,32.9,33.36,2341227.0,32.06
2015-10-01,33.67,33.81,33.81,34.22,3743897.0,33.31
2015-10-02,33.35,35.52,35.52,35.62,3418663.0,33.12
2015-10-05,35.9,36.36,36.36,36.8,4067686.0,35.74
2015-10-06,36.41,36.89,36.89,37.72,5769467.0,36.2
2015-10-07,37.77,37.1,37.1,38.05,5533278.0,36.405
2015-10-08,37.05,38.21,38.21,38.58,3516353.0,36.61
2015-10-09,38.6,38.82,38.82,39.02,3415469.0,37.74
2015-10-12,38.84,38.35,38.35,38.92,1909397.0,37.81
2015-10-13,37.83,38.21,38.21,38.98,2436992.0,37.59
2015-10-14,38.17,38.51,38.51,38.96,2372014.0,37.96
2015-10-15,38.26,40.17,40.17,40.36,3694080.0,37.99
