Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,96.55,45.8507,95.03,96.95,2492872.0,94.11
2015-01-05,94.51,45.1124,93.5,94.55,3444586.0,93.13
2015-01-06,93.89,44.8471,92.95,94.15,3787690.0,92.07
2015-01-07,93.61,45.7735,94.87,95.3,3628022.0,93.1
2015-01-08,95.66,46.8301,97.06,97.1,2998522.0,95.62
2015-01-09,96.93,46.3138,95.99,96.99,2323612.0,95.6
2015-01-12,95.91,46.2511,95.86,96.52,2815367.0,95.23
2015-01-13,96.34,45.841,95.01,97.45,3105115.0,94.63
2015-01-14,93.38,45.2138,93.71,94.37,3375127.0,92.91
2015-01-15,94.63,44.7795,92.81,94.68,2117475.0,92.57
2015-01-16,92.77,44.8664,92.99,93.13,4384999.0,92.03
2015-01-20,93.44,45.1655,93.61,93.89,4695289.0,92.62
2015-01-21,93.11,45.1173,93.51,94.13,2927030.0,93.01
2015-01-22,94.35,46.2463,95.85,96.11,3475366.0,93.56
2015-01-23,96.14,46.3959,96.16,96.75,3390503.0,95.65
2015-01-26,96.0,46.4875,96.35,96.465,2481990.0,95.55
2015-01-27,95.3,45.5949,94.5,95.45,3348432.0,94.12
2015-01-28,95.0,45.0208,93.31,95.32,3201338.0,93.25
2015-01-29,93.67,45.7735,94.87,94.87,3401183.0,93.17
2015-01-30,93.92,44.5093,92.25,94.36,4052859.0,92.1
2015-02-02,92.68,44.3501,91.92,92.69,4028278.0,90.77
2015-02-03,92.23,45.0401,93.35,93.39,3970058.0,92.03
2015-02-04,92.77,44.6493,92.54,93.27,3593557.0,92.27
2015-02-05,92.88,45.0353,93.34,93.59,2877154.0,92.56
2015-02-06,93.4,44.2874,91.79,93.47,3690692.0,91.54
2015-02-09,91.5,43.9883,91.17,91.7,3669698.0,90.6901
2015-02-10,91.74,44.7506,92.75,93.1,3847303.0,91.22
2015-02-11,92.49,44.0558,91.31,92.75,4270096.0,90.95
2015-02-12,91.46,44.3887,92.0,92.66,5927893.0,90.8
2015-02-13,92.02,44.408,92.04,92.57,3847781.0,91.9
2015-02-17,91.74,44.3212,91.86,92.9,3685478.0,91.72
2015-02-18,91.54,45.1703,93.62,93.765,4071858.0,91.43
2015-02-19,93.48,45.2089,93.7,94.26,3302616.0,93.48
2015-02-20,93.61,45.8024,94.93,95.29,3698875.0,93.35
2015-02-23,94.92,45.841,95.01,95.23,2311108.0,94.28
2015-02-24,94.75,46.0388,95.42,95.54,2619714.0,94.75
2015-02-25,95.42,46.7143,96.82,97.2,3526777.0,95.42
2015-02-26,96.66,46.9314,96.99,97.33,2967471.0,96.65
2015-02-27,96.95,46.9943,97.12,97.405,3559328.0,96.63
2015-03-02,96.89,47.783,98.75,98.86,5512474.0,96.75
2015-03-03,98.44,47.4056,97.97,98.47,3494333.0,97.12
2015-03-04,97.67,47.1879,97.52,97.87,2421052.0,96.96
2015-03-05,97.96,47.6427,98.46,98.68,3316847.0,97.79
2015-03-06,98.46,46.8927,96.91,98.69,3587348.0,96.6
2015-03-09,97.09,47.1443,97.43,97.82,2969434.0,96.94
2015-03-10,96.42,46.6992,96.51,96.9701,3547993.0,96.25
2015-03-11,96.38,46.133,95.34,97.08,3726346.0,95.18
2015-03-12,95.5,46.9556,97.04,97.1,2904898.0,95.38
2015-03-13,97.04,46.3604,95.81,97.48,3697443.0,95.3
2015-03-16,96.2,46.6653,96.44,96.8,4248144.0,95.93
2015-03-17,96.14,46.7137,96.54,96.78,3203770.0,95.51
2015-03-18,96.54,47.183,97.51,97.87,4426465.0,95.61
2015-03-19,97.81,47.575,98.32,98.62,6712390.0,97.21
2015-03-20,102.63,49.346,101.98,103.79,14889910.0,101.25
2015-03-23,101.55,49.0944,101.46,102.6,5235934.0,101.2
2015-03-24,101.05,48.7024,100.65,101.66,3798977.0,100.6
2015-03-25,101.0,47.8992,98.99,101.18,4066647.0,98.94
2015-03-26,98.34,48.0637,99.33,100.09,4739846.0,97.67
2015-03-27,99.12,48.3298,99.88,100.18,2201650.0,99.12
2015-03-30,101.23,48.8186,100.89,101.55,2717129.0,100.54
2015-03-31,100.88,48.5476,100.33,101.84,3154617.0,100.29
2015-04-01,100.0,48.1702,99.55,100.28,3302678.0,98.34
2015-04-02,100.04,48.2234,99.66,100.32,1920221.0,99.3906
2015-04-06,98.75,48.2573,99.73,100.63,2513707.0,98.55
2015-04-07,99.73,48.1992,99.61,100.26,1996819.0,99.47
2015-04-08,100.0,48.7944,100.84,100.97,3261184.0,99.72
2015-04-09,101.0,48.7363,100.72,101.69,2650094.0,100.6
2015-04-10,100.92,48.3734,99.97,101.08,2959020.0,99.93
2015-04-13,99.97,48.0347,99.27,100.06,3656866.0,99.06
2015-04-14,99.06,48.1605,99.53,99.81,2385422.0,98.7
2015-04-15,100.63,48.3056,99.83,100.73,2858142.0,99.73
2015-04-16,99.49,48.3395,99.9,100.17,2051969.0,99.4
2015-04-17,99.17,47.6863,98.55,99.37,3024566.0,98.14
2015-04-20,99.08,48.3831,99.99,100.34,3104286.0,99.02
2015-04-21,100.76,48.5282,100.29,100.85,2562651.0,99.72
2015-04-22,100.3,48.4605,100.15,100.39,1952895.0,99.29
2015-04-23,99.78,48.925,101.11,101.6,2332843.0,99.45
2015-04-24,100.46,48.8476,100.95,101.28,2166951.0,100.21
2015-04-27,101.27,48.8427,100.94,102.0,2565425.0,100.77
2015-04-28,100.8,48.3202,99.86,100.8,3015812.0,99.1903
2015-04-29,99.53,48.4702,100.17,100.49,2695914.0,99.26
2015-04-30,99.75,47.8266,98.84,100.51,3248480.0,98.46
2015-05-01,99.88,48.7653,100.78,100.82,3341749.0,99.41
2015-05-04,101.0,48.7895,100.83,101.2,2278890.0,100.4845
2015-05-05,100.43,48.5911,100.42,100.87,2552252.0,100.26
2015-05-06,100.27,48.4944,100.22,101.0,2697950.0,99.68
2015-05-07,100.45,49.0895,101.45,101.59,2763164.0,100.015
2015-05-08,102.29,49.5686,102.44,103.3,2767371.0,102.29
2015-05-11,102.42,49.7379,102.79,103.22,2668832.0,102.09
2015-05-12,101.98,49.5347,102.37,102.69,2338220.0,101.6
2015-05-13,102.69,49.4331,102.16,102.73,2254143.0,101.79
2015-05-14,102.94,50.0524,103.44,103.505,2716427.0,102.31
2015-05-15,103.65,50.7976,104.98,105.03,3932508.0,103.37
2015-05-18,105.11,50.6863,104.75,105.5,2522491.0,104.42
