Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,64.64,66.02,64.97,65.49,61.2366,3239124.0
2015-01-05,61.39,64.6,64.6,62.5,58.4408,6708133.0
2015-01-06,61.15,63.0,62.23,61.73,57.7208,5654469.0
2015-01-07,61.17,62.72,62.36,61.79,57.7769,4634711.0
2015-01-08,61.955,63.66,62.28,63.63,59.4974,6686541.0
2015-01-09,61.71,64.2,63.96,61.88,57.861,4948244.0
2015-01-12,58.18,61.03,60.8,58.6,54.7941,7612816.0
2015-01-13,57.18,59.05,58.34,57.97,54.205,8961301.0
2015-01-14,56.42,57.84,57.65,57.79,54.0367,7870074.0
2015-01-15,56.73,58.97,58.75,56.79,53.1016,5227852.0
2015-01-16,57.25,58.325,57.33,58.28,54.4948,7132920.0
2015-01-20,57.05,58.4,58.19,58.31,54.5229,5783278.0
2015-01-21,58.31,59.77,58.59,59.73,55.8507,3090077.0
2015-01-22,58.14,59.82,59.46,58.82,54.9998,4658485.0
2015-01-23,57.07,59.16,58.78,57.15,53.4382,6212939.0
2015-01-26,56.65,57.78,56.66,57.74,53.9899,6088605.0
2015-01-27,56.73,57.85,57.34,57.7,53.9525,4818774.0
2015-01-28,53.44,57.47,57.29,53.53,50.0533,11017907.0
2015-01-29,52.14,54.16,54.15,53.26,49.8009,9604212.0
2015-01-30,52.64,55.4,52.9,54.43,50.8949,7953746.0
2015-02-02,54.34,56.4,55.16,56.39,52.7276,7454496.0
2015-02-03,53.14,57.66,57.53,54.08,50.5676,17343910.0
2015-02-04,51.73,53.49,52.95,52.33,48.9313,12116494.0
2015-02-05,52.36,53.5799,53.12,53.24,49.7822,6543189.0
2015-02-06,49.25,53.75,53.75,51.43,48.0897,15010579.0
2015-02-09,51.49,53.25,51.56,52.78,49.352,9154175.0
2015-02-10,51.68,52.96,52.79,52.35,48.95,8193257.0
2015-02-11,51.34,52.44,51.77,51.89,48.5199,6927406.0
2015-02-12,52.23,53.63,52.78,52.56,49.1463,6955962.0
2015-02-13,52.44,53.62,53.2,53.36,49.8944,6960060.0
2015-02-17,52.78,55.16,53.32,55.13,51.5494,8032522.0
2015-02-18,54.35,55.92,54.6,55.84,52.2133,9429198.0
2015-02-19,52.88,55.0497,53.48,54.24,50.7172,10179365.0
2015-02-20,53.52,54.56,54.11,54.47,50.9323,5417592.0
2015-02-23,53.22,54.8,53.5,54.3,50.7733,5512257.0
2015-02-24,53.815,54.75,54.68,54.68,51.1286,5802994.0
2015-02-25,54.07,55.0,54.72,54.74,51.1847,3748772.0
2015-02-26,52.8,54.5,54.3,53.27,49.8102,5113427.0
2015-02-27,53.2138,54.5,53.5,54.35,50.8201,5206630.0
2015-03-02,53.9,55.82,54.25,55.79,52.1666,9182786.0
2015-03-03,54.23,56.165,55.84,54.44,50.9042,6267487.0
2015-03-04,53.9,54.95,54.6,54.78,51.2222,4327888.0
2015-03-05,53.53,54.55,54.55,53.6,50.1188,5107024.0
2015-03-06,52.3701,53.33,53.1,52.54,49.1276,5153106.0
2015-03-09,51.65,52.93,52.52,51.65,48.2954,6198812.0
2015-03-10,50.3,51.49,51.12,50.68,47.3884,6891920.0
2015-03-11,49.87,50.87,50.87,50.16,47.3323,4501441.0
2015-03-12,49.78,50.32,50.25,49.8,46.9926,5869831.0
2015-03-13,48.07,49.59,49.34,49.07,46.3038,7428674.0
2015-03-16,47.79,48.845,48.71,48.67,45.9263,6963252.0
2015-03-17,47.37,48.48,48.18,47.46,44.7845,9078717.0
2015-03-18,46.08,48.785,47.21,48.59,45.8508,11927060.0
2015-03-19,47.78,48.45,47.9,47.89,45.1903,6668800.0
2015-03-20,48.3,49.94,48.34,49.66,46.8605,15174344.0
2015-03-23,49.35,50.34,49.66,49.36,46.5774,4996354.0
2015-03-24,48.48,49.63,49.48,48.51,45.7754,5745883.0
2015-03-25,48.69,49.43,49.05,49.04,46.2755,5571008.0
2015-03-26,48.73,49.81,49.69,48.95,46.1905,4492238.0
2015-03-27,48.48,49.65,48.99,49.25,46.4736,6237849.0
2015-03-30,48.75,50.035,49.19,49.84,47.0304,5763613.0
2015-03-31,49.2,50.17,49.4,49.99,47.1719,11090504.0
2015-04-01,49.87,50.47,50.19,49.92,47.1059,4704045.0
2015-04-02,49.6,51.14,49.62,51.01,48.1344,5401622.0
