Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,4712883.0,27.03,26.85,27.5,27.58,25.9892
2015-01-05,4980185.0,27.9,26.24,26.45,27.9,24.9969
2015-01-06,4629874.0,26.55,25.86,26.11,26.66,24.6756
2015-01-07,3568044.0,26.38,26.12,26.23,26.72,24.789
2015-01-08,3245404.0,26.25,26.22,26.81,26.9,25.3371
2015-01-09,3488761.0,27.19,26.88,27.14,27.315,25.649
2015-01-12,3448941.0,27.1,26.51,26.69,27.1,25.2237
2015-01-13,5944854.0,26.37,26.33,26.88,27.03,25.4033
2015-01-14,4111984.0,26.44,26.28,26.97,27.01,25.4883
2015-01-15,4819663.0,27.11,26.5001,26.57,27.42,25.1103
2015-01-16,5447770.0,26.54,26.06,26.3,26.95,24.8551
2015-01-20,6384910.0,26.5,24.6,24.68,26.5,23.3241
2015-01-21,8804084.0,24.96,24.57,25.47,25.58,24.0707
2015-01-22,4536306.0,25.5,24.72,25.09,25.63,23.7116
2015-01-23,3082983.0,25.15,25.0,25.04,25.3,23.6644
2015-01-26,2051309.0,24.93,24.87,25.54,25.55,24.1369
2015-01-27,2478712.0,25.45,25.23,25.34,25.6,23.9479
2015-01-28,3536237.0,25.37,24.585,24.61,25.57,23.258
2015-01-29,6014621.0,24.51,23.76,24.43,24.54,23.2249
2015-01-30,5081111.0,24.2,24.13,24.66,25.255,23.4436
2015-02-02,4732694.0,24.7,24.34,25.22,25.37,23.9759
2015-02-03,6356531.0,25.21,25.21,26.04,26.37,24.7555
2015-02-04,5278601.0,25.89,25.56,26.04,26.19,24.7555
2015-02-05,3833352.0,26.18,26.03,26.34,26.51,25.0407
2015-02-06,3337288.0,26.24,25.155,25.28,26.29,24.033
2015-02-09,4397176.0,25.34,25.26,26.03,26.47,24.746
2015-02-10,3870639.0,26.08,25.65,26.55,26.66,25.2403
2015-02-11,3923567.0,26.3,25.73,25.79,26.32,24.5178
2015-02-12,2969262.0,25.86,25.32,25.46,25.91,24.2041
2015-02-13,2776740.0,25.3,25.18,25.37,25.62,24.1185
2015-02-17,4148186.0,25.22,24.64,24.98,25.22,23.7478
2015-02-18,3628233.0,25.39,24.78,25.92,26.13,24.6414
2015-02-19,5299819.0,25.9,24.92,25.34,25.92,24.09
2015-02-20,3259427.0,25.4,24.97,25.39,25.47,24.1376
2015-02-23,2538917.0,25.36,24.915,25.34,25.43,24.09
2015-02-24,3262503.0,25.33,25.32,25.88,26.17,24.6034
2015-02-25,2414788.0,25.87,25.29,25.38,25.92,24.1281
2015-02-26,4176816.0,25.37,24.75,24.77,25.4,23.5481
2015-02-27,5528832.0,25.8,23.62,23.98,25.85,22.7971
2015-03-02,5422977.0,23.98,23.21,23.39,23.98,22.2362
2015-03-03,4761340.0,23.41,23.39,24.14,24.295,22.9492
2015-03-04,4188697.0,24.05,23.82,24.39,24.44,23.1869
2015-03-05,4996651.0,24.54,24.39,25.07,25.19,23.8333
2015-03-06,5034774.0,24.95,24.41,24.49,24.97,23.282
2015-03-09,5089425.0,24.56,23.635,23.72,24.65,22.5499
2015-03-10,5691370.0,23.55,23.33,23.39,23.76,22.2362
