Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,2059663.0,41.68,41.02,41.46,41.789,38.6517
2015-01-05,2802177.0,41.2,39.905,40.05,41.37,37.3372
2015-01-06,3367733.0,40.05,39.52,39.685,40.33,36.997
2015-01-07,1716439.0,39.78,39.43,39.73,39.87,37.1927
2015-01-08,1959947.0,39.92,39.88,40.55,40.89,37.9604
2015-01-09,1527804.0,40.45,40.09,40.645,40.89,38.0493
2015-01-12,2332756.0,40.77,39.64,39.87,40.86,37.3238
2015-01-13,4010292.0,39.38,38.86,39.315,40.42,36.8042
2015-01-14,2960072.0,38.94,38.52,38.89,39.14,36.4064
2015-01-15,3159078.0,38.9,38.23,38.455,38.9,35.9992
2015-01-16,1944265.0,38.42,38.28,38.75,38.78,36.2753
2015-01-20,1860569.0,38.89,38.25,38.53,39.095,36.0694
2015-01-21,1911838.0,38.3,38.14,38.51,38.71,36.0507
2015-01-22,2378746.0,38.33,38.3,39.66,39.68,37.1272
2015-01-23,1990737.0,39.7,39.23,39.48,39.74,36.9587
2015-01-26,2353216.0,39.16,38.41,38.9,39.19,36.4157
2015-01-27,2203653.0,38.31,37.95,38.07,38.77,35.6388
2015-01-28,3044812.0,38.45,37.895,38.005,38.77,35.5779
2015-01-29,3773758.0,37.83,37.69,38.06,38.47,35.6294
2015-01-30,3105505.0,37.8,37.54,37.8,38.36,35.386
2015-02-02,2208338.0,37.8,37.46,38.29,38.35,35.8447
2015-02-03,2279103.0,38.38,38.23,39.26,39.29,36.7528
2015-02-04,2634445.0,39.06,38.7801,38.92,39.34,36.4345
2015-02-05,2028247.0,38.99,38.5,38.79,39.14,36.3128
2015-02-06,1959817.0,38.91,38.45,38.87,39.37,36.3877
2015-02-09,1606299.0,38.86,38.7,38.85,39.09,36.3689
2015-02-10,1953038.0,39.16,38.59,39.435,39.46,36.9166
2015-02-11,3255021.0,39.22,39.12,39.79,39.9,37.2489
2015-02-12,14347329.0,36.23,35.88,36.895,37.28,34.5388
2015-02-13,5255608.0,37.12,36.99,38.22,38.41,35.7792
2015-02-17,4573256.0,38.06,37.18,37.79,38.19,35.3766
2015-02-18,3111365.0,37.88,37.64,37.8,38.23,35.386
2015-02-19,2765573.0,37.78,37.72,37.845,38.06,35.4281
2015-02-20,4000926.0,37.9,37.63,38.2,38.32,35.7605
2015-02-23,2575504.0,38.19,37.8001,38.51,38.51,36.0507
2015-02-24,3157172.0,38.59,38.11,38.57,38.74,36.1068
2015-02-25,2136761.0,38.66,38.52,38.62,38.78,36.1536
2015-02-26,2912952.0,38.65,38.491,38.65,39.14,36.1817
2015-02-27,2851830.0,38.72,38.39,38.65,38.93,36.1817
2015-03-02,2182035.0,38.29,38.25,38.58,38.93,36.1162
2015-03-03,2883837.0,38.36,37.91,38.03,38.56,35.6013
2015-03-04,3993925.0,37.94,37.55,37.8,38.14,35.386
2015-03-05,2793961.0,37.82,37.72,38.545,38.6,36.0834
2015-03-06,2471887.0,38.4,38.1,38.2,38.76,35.7605
2015-03-09,3176150.0,38.21,38.05,38.44,38.49,35.9851
2015-03-10,4051813.0,38.15,37.93,37.94,38.26,35.5171
2015-03-11,2390544.0,37.87,37.585,37.815,38.11,35.4
2015-03-12,4017602.0,37.71,37.22,37.405,38.86,35.0162
2015-03-13,3875259.0,37.21,36.46,36.815,37.44,34.4639
2015-03-16,2109504.0,36.97,36.69,37.16,37.17,34.7869
2015-03-17,2189758.0,37.11,36.74,36.78,37.4,34.4311
2015-03-18,3278244.0,36.78,36.53,37.3,37.5599,34.9179
2015-03-19,3775492.0,37.28,36.64,36.7,37.42,34.3562
2015-03-20,3994576.0,36.9,36.7,37.32,37.5,34.9367
2015-03-23,3895709.0,36.52,36.42,36.635,36.84,34.2954
2015-03-24,6220690.0,36.74,35.83,35.85,36.79,33.5605
2015-03-25,4567267.0,35.79,35.61,35.745,36.09,33.4622
2015-03-26,5171059.0,35.43,35.26,35.55,35.68,33.2797
2015-03-27,4975924.0,35.64,34.975,35.1,35.64,32.8584
2015-03-30,3443522.0,35.22,35.01,35.38,35.44,33.1205
2015-03-31,2945108.0,35.34,35.06,35.46,35.7,33.1954
2015-04-01,2787781.0,35.4,34.94,35.27,35.43,33.0176
2015-04-02,4377450.0,35.32,35.14,35.625,35.93,33.3499
2015-04-06,2686874.0,35.36,35.21,36.03,36.14,33.729
2015-04-07,3231627.0,36.07,35.77,35.805,36.16,33.5184
2015-04-08,3282902.0,35.75,35.43,35.82,35.92,33.6869
2015-04-09,3285671.0,35.69,35.45,35.74,35.92,33.6117
2015-04-10,4165685.0,35.71,35.19,35.47,35.78,33.3577
2015-04-13,2480964.0,35.47,35.38,35.41,35.68,33.3013
2015-04-14,4476919.0,35.32,35.23,35.87,35.98,33.7339
2015-04-15,3795300.0,35.95,35.74,36.73,36.75,34.5427
2015-04-16,3152980.0,36.57,36.22,36.36,36.66,34.1947
2015-04-17,4618339.0,36.09,35.65,35.97,36.55,33.828
2015-04-20,2855635.0,36.24,35.8,35.99,36.43,33.8468
2015-04-21,3194874.0,36.19,35.74,36.0,36.21,33.8562
2015-04-22,1881491.0,36.01,35.96,36.14,36.295,33.9879
2015-04-23,1701661.0,36.01,35.98,36.29,36.42,34.1289
2015-04-24,2276153.0,36.36,35.92,36.12,36.36,33.969
2015-04-27,2725679.0,36.12,35.96,36.37,36.585,34.2042
2015-04-28,1486069.0,36.43,36.13,36.6,36.67,34.4205
2015-04-29,3079560.0,36.37,36.28,36.8,37.07,34.6085
2015-04-30,2558368.0,36.54,36.17,36.25,36.9557,34.0913
2015-05-01,1277334.0,36.45,36.33,36.69,36.79,34.5051
2015-05-04,1489263.0,36.7,36.62,36.71,36.98,34.5239
2015-05-05,2126262.0,36.54,35.85,35.91,36.66,33.7715
2015-05-06,2910035.0,35.9,35.325,35.39,36.03,33.2825
2015-05-07,1865126.0,35.43,35.23,35.57,35.77,33.4518
2015-05-08,2589534.0,35.69,35.35,35.645,35.88,33.5223
2015-05-11,5266305.0,35.28,34.78,34.955,35.44,32.8734
2015-05-12,3604093.0,34.75,34.62,34.86,35.05,32.7841
2015-05-13,4991461.0,34.9,34.75,35.3,35.375,33.1979
2015-05-14,3470948.0,35.63,35.51,35.96,36.055,33.8186
2015-05-15,3879047.0,36.0,35.39,35.4,36.1,33.2919
2015-05-18,6203336.0,35.37,34.74,34.8,35.48,32.7276
2015-05-19,4520525.0,34.69,34.57,35.35,35.54,33.2449
2015-05-20,4799278.0,35.4,35.17,35.33,35.68,33.2261
2015-05-21,25743849.0,31.05,30.85,31.77,32.129,29.8781
2015-05-22,12065395.0,31.65,31.46,33.14,33.26,31.1665
2015-05-26,5687833.0,32.97,32.33,32.56,33.14,30.621
2015-05-27,4781652.0,32.67,32.58,33.02,33.1,31.0536
2015-05-28,3661389.0,33.01,32.83,33.26,33.35,31.2794
2015-05-29,7223708.0,33.26,32.97,33.4,33.42,31.411
2015-06-01,4324907.0,33.27,32.87,33.155,33.4,31.1806
2015-06-02,5554653.0,33.04,32.98,33.335,33.58,31.3499
2015-06-03,3286938.0,33.4,33.21,33.245,33.83,31.2652
2015-06-04,5443100.0,33.01,32.94,33.865,33.87,31.8483
2015-06-05,5039985.0,33.87,33.52,33.94,34.0,31.9189
2015-06-08,4179384.0,33.95,32.92,33.16,33.98,31.1853
2015-06-09,4099624.0,33.29,32.97,33.1,33.39,31.1289
2015-06-10,5439208.0,33.92,33.18,33.54,33.92,31.5427
2015-06-11,3124767.0,33.54,33.4,33.68,33.96,31.6743
2015-06-12,2830385.0,33.48,33.27,33.48,33.61,31.4863
2015-06-15,3632976.0,33.35,32.97,33.55,33.61,31.5521
2015-06-16,2460124.0,33.45,33.3,33.55,33.73,31.5521
2015-06-17,3019993.0,33.65,33.56,33.78,33.925,31.7684
2015-06-18,3325407.0,33.81,33.715,33.765,34.07,31.7543
2015-06-19,6715556.0,33.82,33.68,33.93,34.0,31.9095
2015-06-22,3570841.0,34.0,33.94,34.39,34.48,32.3421
2015-06-23,3909235.0,34.16,34.16,34.55,34.72,32.4925
2015-06-24,5315601.0,34.47,33.085,33.18,34.506,31.2041
2015-06-25,6070984.0,33.2,32.455,32.645,33.2854,30.701
2015-06-26,4692397.0,32.62,32.24,32.36,32.84,30.433
2015-06-29,4804819.0,32.04,31.63,31.675,32.37,29.7887
2015-06-30,3358093.0,31.88,31.42,31.56,31.99,29.6806
2015-07-01,2782030.0,32.28,31.46,31.59,32.28,29.7088
2015-07-02,2803150.0,31.5,31.375,31.495,31.72,29.6195
2015-07-06,2857067.0,31.22,31.1,31.3,31.49,29.4361
2015-07-07,3726165.0,31.44,30.91,31.6,31.63,29.7182
2015-07-08,4466018.0,31.62,30.51,30.6,31.62,28.947
2015-07-09,4698458.0,30.73,30.26,30.35,30.99,28.7105
2015-07-10,2364857.0,30.74,30.4,30.6,30.92,28.947
2015-07-13,2656449.0,30.69,30.5,30.91,30.97,29.2403
2015-07-14,2913229.0,30.97,30.72,30.89,31.1,29.2214
2015-07-15,4241064.0,31.21,30.93,31.14,31.3985,29.4579
2015-07-16,3851202.0,31.14,31.06,31.22,31.37,29.5335
2015-07-17,3505098.0,31.17,30.97,31.14,31.21,29.4579
2015-07-20,4063190.0,31.19,30.87,30.94,31.29,29.2687
2015-07-21,3298643.0,30.84,30.25,30.89,30.92,29.2214
2015-07-22,3544421.0,30.68,30.4201,31.15,31.25,29.4673
2015-07-23,4703956.0,31.23,31.11,31.4,32.18,29.7038
2015-07-24,3067809.0,31.46,31.03,31.1,31.62,29.42
2015-07-27,3924549.0,30.87,30.62,30.8,31.03,29.1362
2015-07-28,4003841.0,31.0,30.77,30.95,31.11,29.2781
2015-07-29,3509084.0,30.89,30.81,30.96,31.17,29.2876
2015-07-30,2484428.0,30.9,30.84,31.57,31.64,29.8646
2015-07-31,2641858.0,31.62,31.1,31.15,31.62,29.4673
2015-08-03,1839392.0,31.17,30.5701,30.69,31.45,29.0322
2015-08-04,2128302.0,30.64,30.44,30.58,30.76,28.9281
2015-08-05,3228149.0,30.86,30.55,30.87,31.24,29.2025
