Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,67.68,63.7628,67.55,67.95,676063.0,66.79
2015-01-05,67.01,61.4218,65.07,67.15,1421353.0,64.99
2015-01-06,65.22,59.6944,63.24,65.348,1524089.0,63.005
2015-01-07,63.78,60.6572,64.26,64.42,798628.0,63.33
2015-01-08,64.75,61.6012,65.26,65.5,801321.0,64.7455
2015-01-09,65.2,60.5157,64.11,65.39,1032964.0,64.1
2015-01-12,64.14,59.7888,63.34,64.42,1101971.0,63.065
2015-01-13,63.97,59.9021,63.46,64.55,1121984.0,62.945
2015-01-14,62.6,58.7599,62.25,63.18,1339178.0,61.33
2015-01-15,62.28,58.3257,61.79,62.61,1219763.0,61.48
2015-01-16,61.64,58.8071,62.3,62.32,1224088.0,61.1
2015-01-20,62.45,58.9393,62.44,62.81,1423808.0,61.71
2015-01-21,67.39,62.6017,66.32,68.14,3360333.0,65.74
2015-01-22,66.48,64.1876,68.0,68.62,2236768.0,66.24
2015-01-23,67.66,63.1303,66.88,68.29,1863303.0,66.82
2015-01-26,66.84,63.8194,67.61,67.62,947390.0,66.38
2015-01-27,66.96,62.5876,66.305,67.44,1286237.0,66.24
2015-01-28,66.64,61.2047,64.84,66.73,1524870.0,64.84
2015-01-29,64.73,62.682,66.405,66.45,1399200.0,64.49
2015-01-30,65.52,61.7144,65.38,66.67,1570908.0,64.32
2015-02-02,65.95,62.8802,66.615,66.665,1249084.0,65.46
2015-02-03,66.82,64.3197,68.14,68.25,1325586.0,66.82
2015-02-04,67.86,63.9516,67.75,68.75,1255859.0,67.56
2015-02-05,67.84,64.6642,68.505,68.88,981572.0,67.69
2015-02-06,68.85,65.712,69.615,70.42,1499009.0,68.51
2015-02-09,69.15,65.0749,68.94,69.59,709870.0,68.82
2015-02-10,69.27,65.981,69.9,70.01,1338001.0,69.1
2015-02-11,69.87,66.6229,70.58,70.92,1321581.0,69.62
2015-02-12,70.6,66.6323,70.59,71.01,1490317.0,70.14
2015-02-13,70.52,66.1509,70.08,70.89,1370290.0,69.73
2015-02-17,69.85,66.2737,70.21,70.28,927124.0,69.78
2015-02-18,70.1,65.3014,69.18,70.31,996258.0,68.89
2015-02-19,69.11,65.7262,69.63,69.64,1452786.0,68.93
2015-02-20,69.31,66.1509,70.08,70.21,1393019.0,68.87
2015-02-23,69.89,66.2076,70.14,70.15,1099714.0,69.4
2015-02-24,70.18,67.1043,71.09,71.8399,1523259.0,70.1
2015-02-25,70.94,67.1279,71.115,71.275,886537.0,70.61
2015-02-26,71.16,66.2453,70.18,71.37,1488357.0,69.905
2015-02-27,69.96,65.915,69.83,70.38,1086440.0,69.82
2015-03-02,70.08,66.5568,70.51,70.59,654765.0,69.68
2015-03-03,70.44,66.2359,70.17,70.6975,835983.0,69.72
2015-03-04,69.42,65.7922,69.37,69.74,746538.0,68.98
2015-03-05,69.35,65.8966,69.48,69.72,546495.0,69.0101
2015-03-06,69.15,66.7312,70.36,71.75,1776533.0,68.73
2015-03-09,70.46,66.8734,70.51,70.74,970772.0,69.867
2015-03-10,69.59,65.8017,69.38,70.01,1254307.0,69.26
2015-03-11,69.42,66.219,69.82,70.08,844856.0,69.34
2015-03-12,70.49,67.2433,70.9,71.36,1089223.0,70.05
2015-03-13,70.74,67.2149,70.87,70.97,795697.0,70.02
2015-03-16,71.13,68.1633,71.87,71.9,705074.0,70.85
2015-03-17,71.68,68.372,72.09,72.17,1073383.0,71.19
2015-03-18,72.1,67.6322,71.31,72.72,1906677.0,70.81
2015-03-19,71.03,67.2718,70.93,71.52,1094697.0,70.31
2015-03-20,71.12,67.6701,71.35,71.62,1396726.0,70.71
2015-03-23,71.47,67.0726,70.72,71.68,844178.0,70.63
2015-03-24,70.55,66.0388,69.63,70.69,1113926.0,69.61
2015-03-25,69.66,65.2991,68.85,69.66,1271467.0,68.5
2015-03-26,68.63,66.0294,69.62,69.94,1569842.0,68.17
2015-03-27,69.47,65.7543,69.33,69.56,689173.0,68.87
2015-03-30,69.92,66.3234,69.93,70.34,739759.0,69.55
2015-03-31,69.64,66.0578,69.65,70.16,1036307.0,69.048
2015-04-01,69.36,66.4372,70.05,70.24,1315228.0,68.88
2015-04-02,69.88,67.0537,70.7,70.8,987009.0,69.71
2015-04-06,70.14,66.8023,70.435,70.71,921761.0,69.54
2015-04-07,70.48,67.3382,71.0,71.175,941347.0,70.07
2015-04-08,70.97,67.5089,71.18,71.42,766847.0,70.71
2015-04-09,71.31,67.5326,71.205,71.31,891999.0,70.52
2015-04-10,71.25,67.2054,70.86,71.34,1147565.0,70.66
2015-04-13,70.86,67.7697,71.455,71.71,1245234.0,70.61
2015-04-14,71.29,67.6606,71.34,71.52,726091.0,70.77
2015-04-15,71.33,67.4804,71.15,71.54,1370012.0,71.1
2015-04-16,70.95,67.3429,71.005,71.11,867700.0,70.415
2015-04-17,70.4,66.2285,69.83,70.76,1362907.0,69.62
2015-04-20,70.5,66.6079,70.23,70.62,1133291.0,70.06
