Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,839582.0,192.86,190.71,192.11,195.03,192.11
2015-01-05,971501.0,191.51,188.54,188.72,192.38,188.72
2015-01-06,898893.0,189.73,186.57,188.08,189.92,188.08
2015-01-07,939739.0,189.17,187.98,189.79,190.9006,189.79
2015-01-08,1288836.0,191.27,190.505,193.24,194.37,193.24
2015-01-09,1366185.0,191.04,187.62,187.81,191.99,187.81
2015-01-12,1061243.0,186.94,184.41,185.58,187.61,185.58
2015-01-13,1154386.0,184.16,181.0,182.75,186.5853,182.75
2015-01-14,860248.0,182.03,180.45,182.455,183.24,182.455
2015-01-15,636361.0,183.1,179.81,179.96,183.95,179.96
2015-01-16,687571.0,179.51,179.0,182.91,182.99,182.91
2015-01-20,975540.0,183.7,182.58,186.42,186.91,186.42
2015-01-21,685882.0,185.61,183.98,184.97,186.42,184.97
2015-01-22,554466.0,185.35,184.64,189.32,189.99,189.32
2015-01-23,497517.0,189.27,188.37,190.08,190.93,190.08
2015-01-26,552660.0,189.6,188.82,191.28,191.94,191.28
2015-01-27,497139.0,189.69,189.5237,190.97,191.8,190.97
2015-01-28,955940.0,192.49,191.19,191.27,194.29,191.27
2015-01-29,656817.0,190.46,189.32,192.65,192.74,192.65
2015-01-30,868040.0,192.14,187.23,187.36,192.6637,187.36
2015-02-02,832378.0,187.7,184.76,190.28,190.35,190.28
2015-02-03,1034709.0,191.65,188.87,193.28,193.79,193.28
2015-02-04,1058082.0,193.19,191.06,192.71,193.3,192.71
2015-02-05,2992152.0,201.72,200.87,208.24,214.15,208.24
2015-02-06,1326221.0,209.22,205.4,206.775,209.91,206.775
2015-02-09,757489.0,205.66,204.31,205.07,206.28,205.07
2015-02-10,696651.0,204.4,203.66,206.03,206.48,206.03
2015-02-11,484169.0,206.24,205.76,207.45,208.24,207.45
2015-02-12,615348.0,207.57,206.0,206.57,208.05,206.57
2015-02-13,541354.0,206.38,205.01,205.55,207.08,205.55
2015-02-17,497181.0,205.21,203.89,205.7,206.32,205.7
2015-02-18,298782.0,206.07,204.32,205.78,206.49,205.78
2015-02-19,383069.0,206.06,204.09,204.91,206.68,204.91
2015-02-20,469101.0,205.27,203.168,205.84,206.64,205.84
2015-02-23,689155.0,206.15,205.74,208.52,208.68,208.52
2015-02-24,435963.0,208.21,206.86,207.54,209.5499,207.54
2015-02-25,580288.0,207.34,207.34,208.69,209.39,208.69
2015-02-26,493371.0,208.1,207.34,209.34,209.65,209.34
2015-02-27,453731.0,209.8,207.81,208.13,209.98,208.13
2015-03-02,797671.0,209.12,208.202,212.0,212.0,212.0
2015-03-03,573649.0,212.2,210.393,211.66,213.279,211.66
2015-03-04,440699.0,211.28,207.75,207.83,211.94,207.83
2015-03-05,554546.0,207.54,207.1059,208.02,209.56,208.02
2015-03-06,612066.0,207.15,203.63,204.19,208.64,204.19
2015-03-09,532382.0,204.6,203.69,206.58,206.66,206.58
2015-03-10,471200.0,205.34,202.44,203.06,205.47,203.06
2015-03-11,429536.0,202.94,202.94,204.275,205.6,204.275
2015-03-12,591045.0,205.37,205.09,209.55,210.11,209.55
2015-03-13,407836.0,208.69,207.7,210.23,210.7104,210.23
2015-03-16,637233.0,211.12,210.4,215.055,215.49,215.055
2015-03-17,405389.0,213.88,212.965,214.04,215.01,214.04
2015-03-18,502348.0,213.28,209.6001,214.315,214.95,214.315
2015-03-19,368019.0,214.33,213.38,214.97,215.23,214.97
2015-03-20,992629.0,216.41,213.76,214.79,217.6,214.79
2015-03-23,576171.0,214.97,214.79,215.29,217.0431,215.29
2015-03-24,500318.0,214.51,214.0,214.515,216.23,214.515
2015-03-25,591378.0,214.96,208.95,208.98,215.52,208.98
2015-03-26,575184.0,208.42,206.86,211.19,211.89,211.19
2015-03-27,594303.0,210.38,209.93,215.42,215.87,215.42
2015-03-30,657877.0,217.24,216.25,219.38,220.11,219.38
2015-03-31,707574.0,217.57,216.14,216.24,219.98,216.24
2015-04-01,804274.0,216.64,212.77,215.3,216.78,215.3
2015-04-02,480103.0,215.34,214.31,215.58,216.8,215.58
2015-04-06,569246.0,213.28,212.81,216.2,218.3,216.2
2015-04-07,351245.0,216.47,215.595,216.125,217.77,216.125
2015-04-08,589197.0,216.54,215.1,218.1,218.14,218.1
2015-04-09,461963.0,217.28,216.47,218.52,222.935,218.52
2015-04-10,363803.0,219.29,218.07,220.015,220.52,220.015
2015-04-13,516045.0,220.39,217.95,218.22,220.69,218.22
2015-04-14,396699.0,218.35,216.92,217.04,219.13,217.04
2015-04-15,504662.0,217.25,215.53,215.91,218.375,215.91
2015-04-16,599373.0,216.06,214.5,215.41,216.57,215.41
2015-04-17,495476.0,214.25,212.15,214.05,215.69,214.05
2015-04-20,566244.0,215.66,214.34,217.15,218.11,217.15
2015-04-21,475866.0,218.72,216.135,217.07,219.9199,217.07
2015-04-22,770523.0,217.07,214.19,216.67,217.36,216.67
2015-04-23,1374785.0,225.0,224.0,228.31,230.77,228.31
2015-04-24,747589.0,228.05,227.09,229.35,229.7999,229.35
2015-04-27,498525.0,230.0,224.82,225.13,230.0,225.13
2015-04-28,709550.0,225.2,223.55,226.26,226.56,226.26
2015-04-29,687614.0,225.46,220.57,220.96,225.8,220.96
2015-04-30,657049.0,220.87,216.72,217.83,222.86,217.83
2015-05-01,691948.0,219.0,218.21,222.04,222.48,222.04
2015-05-04,407854.0,221.85,220.61,222.79,223.51,222.79
2015-05-05,576434.0,221.82,218.76,219.52,223.1,219.52
2015-05-06,671424.0,220.26,216.41,217.38,220.6,217.38
2015-05-07,584488.0,217.88,217.84,219.38,220.66,219.38
2015-05-08,586685.0,221.03,220.39,221.09,223.86,221.09
2015-05-11,634532.0,220.81,220.0,220.48,222.61,220.48
2015-05-12,501726.0,219.35,218.58,220.195,221.31,220.195
2015-05-13,507225.0,220.01,218.6,219.58,222.02,219.58
2015-05-14,456622.0,221.23,218.86,222.28,222.62,222.28
2015-05-15,485683.0,222.78,221.7775,223.05,223.452,223.05
2015-05-18,440871.0,223.05,222.81,224.27,225.0,224.27
2015-05-19,395113.0,224.6,223.62,223.93,225.93,223.93
2015-05-20,339988.0,224.54,222.11,222.33,224.98,222.33
2015-05-21,465442.0,220.98,220.98,224.94,225.46,224.94
2015-05-22,356353.0,224.37,223.62,224.4,226.0,224.4
2015-05-26,562938.0,224.23,222.46,222.83,225.87,222.83
2015-05-27,360434.0,223.25,222.37,222.54,223.85,222.54
2015-05-28,438622.0,222.72,221.26,222.67,223.585,222.67
2015-05-29,821940.0,221.68,219.27,219.53,222.92,219.53
2015-06-01,568537.0,220.8,218.82,222.49,223.18,222.49
2015-06-02,577978.0,221.14,221.14,222.9,223.79,222.9
2015-06-03,336903.0,223.78,222.9,224.22,225.0,224.22
2015-06-04,433607.0,223.11,221.87,222.12,224.86,222.12
