Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,2384763.0,53.48,53.06,53.34,53.79,48.7758
2015-01-05,6398845.0,53.95,53.64,54.24,54.45,49.5988
2015-01-06,5959468.0,54.33,54.06,54.16,55.6,49.5256
2015-01-07,2595277.0,54.25,53.95,54.59,54.77,49.9188
2015-01-08,2598476.0,54.75,54.71,55.28,55.5,50.5498
2015-01-09,5314613.0,55.88,55.09,55.83,56.11,51.0527
2015-01-12,2669755.0,55.92,55.06,55.43,56.05,50.687
2015-01-13,4563381.0,55.94,55.94,56.51,57.28,51.6746
2015-01-14,4303822.0,56.58,56.01,57.65,57.72,52.717
2015-01-15,4236881.0,57.67,57.0,57.61,57.895,52.6804
2015-01-16,3036841.0,57.63,57.28,58.16,58.18,53.1834
2015-01-20,2413249.0,58.55,57.825,58.3,58.63,53.3114
2015-01-21,2888353.0,58.17,57.71,58.47,58.62,53.4668
2015-01-22,2518360.0,58.65,57.95,58.2,58.83,53.2199
2015-01-23,2742422.0,58.44,58.34,58.87,59.1001,53.8326
2015-01-26,2344258.0,59.1,58.52,59.4,59.43,54.3173
2015-01-27,3414878.0,59.27,59.15,59.41,59.765,54.3264
2015-01-28,2783271.0,59.38,59.1,59.29,60.09,54.2167
2015-01-29,2913212.0,59.29,59.0,60.15,60.21,55.0031
2015-01-30,3172883.0,60.14,58.755,58.81,60.15,53.7777
2015-02-02,2550625.0,58.85,58.01,58.63,59.03,53.6131
2015-02-03,3172071.0,58.66,58.2,58.85,58.935,53.8143
2015-02-04,3780499.0,58.82,57.81,57.91,58.82,52.9548
2015-02-05,4917789.0,58.36,57.85,58.06,58.53,53.0919
2015-02-06,3613018.0,57.76,55.72,56.06,57.82,51.2631
2015-02-09,3013385.0,56.02,55.54,55.77,56.35,50.9979
2015-02-10,4218655.0,55.7,54.805,56.81,56.9,51.9489
2015-02-11,5351800.0,56.52,55.04,55.2,56.81,50.4766
2015-02-12,3883619.0,55.45,54.87,55.2,55.54,50.4766
2015-02-13,4574321.0,55.02,53.38,54.06,55.08,49.4342
