Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,21.59,20.2266,21.26,21.62,5481666.0,20.84
2015-01-05,21.19,19.9317,20.95,21.19,5094079.0,20.81
2015-01-06,21.05,19.6939,20.7,21.06,6824675.0,20.589
2015-01-07,20.88,20.6643,21.72,22.12,11698888.0,20.84
2015-01-08,21.92,21.3017,22.39,22.4,9436489.0,21.9
2015-01-09,22.48,21.5396,22.64,22.82,6628369.0,22.36
2015-01-12,22.68,21.5871,22.69,22.845,6798383.0,22.33
2015-01-13,23.1,21.0543,22.13,23.28,11171120.0,21.675
2015-01-14,21.87,21.1495,22.23,22.39,6075446.0,21.75
2015-01-15,22.25,20.0078,21.03,22.58,10701641.0,20.74
2015-01-16,20.95,20.5216,21.57,21.61,10363797.0,20.27
2015-01-20,21.22,19.789,20.8,21.29,8206740.0,20.38
2015-01-21,20.85,19.9888,21.01,21.27,5478771.0,20.79
2015-01-22,21.12,19.9127,20.93,21.2,5411796.0,20.78
2015-01-23,20.99,19.6843,20.69,21.08,5026909.0,20.58
2015-01-26,20.95,20.1791,21.21,21.25,6081767.0,20.79
2015-01-27,20.94,19.9412,20.96,21.15,6191456.0,20.77
2015-01-28,21.09,19.5797,20.58,21.18,10193292.0,20.55
2015-01-29,20.88,20.7594,21.82,21.96,11779032.0,20.72
2015-01-30,21.4,19.5892,20.59,21.45,18817290.0,20.23
2015-02-02,20.63,19.5607,20.56,20.81,7245711.0,20.16
2015-02-03,20.55,20.0649,21.09,21.2,6874282.0,20.54
2015-02-04,21.04,20.5406,21.59,21.88,8005792.0,21.03
2015-02-05,21.54,20.4359,21.48,21.8,5515388.0,21.16
2015-02-06,21.55,21.178,22.26,22.49,12547965.0,21.53
2015-02-09,22.27,21.2351,22.32,22.48,4736984.0,22.23
2015-02-10,22.49,21.6632,22.77,22.85,7324832.0,22.3
2015-02-11,22.84,21.3207,22.41,22.99,6588395.0,22.25
2015-02-12,22.48,21.7584,22.87,22.91,3248317.0,22.37
2015-02-13,22.77,21.7774,22.89,22.9,5395776.0,22.45
2015-02-17,22.68,21.8059,22.92,22.935,4648809.0,22.45
2015-02-18,22.92,21.6062,22.71,22.95,4049337.0,22.475
2015-02-19,22.76,21.6062,22.71,22.97,3106883.0,22.62
2015-02-20,22.65,21.6442,22.75,22.79,3237748.0,22.45
2015-02-23,22.73,21.4825,22.58,22.9,3610798.0,22.32
2015-02-24,22.92,22.1104,23.24,23.36,6493529.0,22.73
2015-02-25,23.26,21.8155,22.93,23.35,3769200.0,22.8
2015-02-26,22.84,21.5586,22.66,22.919,3991644.0,22.41
2015-02-27,22.62,21.4634,22.56,22.78,3258871.0,22.45
2015-03-02,22.63,21.3398,22.43,22.755,4308900.0,22.29
2015-03-03,22.27,20.7214,21.78,22.3,11055065.0,21.43
2015-03-04,21.72,21.0734,22.15,22.265,4038294.0,21.67
2015-03-05,22.24,21.159,22.24,22.265,2881815.0,22.05
2015-03-06,22.06,20.1886,21.22,22.06,8504717.0,20.98
2015-03-09,21.55,20.3123,21.35,21.62,3949554.0,21.31
2015-03-10,21.14,20.0934,21.04,21.33,3506619.0,21.04
2015-03-11,21.14,20.2176,21.17,21.37,2857386.0,20.955
2015-03-12,21.2,20.3226,21.28,21.58,3541018.0,21.16
2015-03-13,21.16,20.103,21.05,21.39,3968845.0,20.97
2015-03-16,21.17,20.1221,21.07,21.35,3276710.0,20.95
2015-03-17,20.98,20.0075,20.95,21.0,5247919.0,20.59
2015-03-18,20.99,20.3513,21.31,21.47,5680014.0,20.66
2015-03-19,21.5,20.4086,21.37,21.69,3824897.0,21.11
2015-03-20,21.58,20.7906,21.77,22.14,5050328.0,21.56
2015-03-23,21.76,20.5709,21.54,21.97,3013219.0,21.54
2015-03-24,21.56,20.9529,21.94,22.3,4952775.0,21.35
2015-03-25,22.0,20.6282,21.6,22.13,3178002.0,21.59
2015-03-26,21.52,20.5518,21.52,21.72,3477525.0,21.4
2015-03-27,21.53,21.0293,22.02,22.21,7100460.0,21.51
2015-03-30,22.24,21.4305,22.44,22.65,4119898.0,22.11
2015-03-31,22.41,21.2299,22.23,22.77,6007557.0,22.15
2015-04-01,22.27,21.2872,22.29,22.32,4487699.0,21.95
2015-04-02,22.27,21.6788,22.7,22.72,3495378.0,22.24
2015-04-06,22.63,21.6501,22.67,22.95,3016422.0,22.55
2015-04-07,22.67,21.1726,22.17,22.7,4261830.0,22.125
2015-04-08,22.2,21.4591,22.47,22.505,3313616.0,22.16
2015-04-09,21.99,21.3063,22.31,22.42,6233228.0,21.82
2015-04-10,22.31,21.3158,22.32,22.43,3098108.0,22.04
2015-04-13,22.38,21.2299,22.23,22.53,2905670.0,22.2
2015-04-14,22.26,21.526,22.54,22.58,3219285.0,22.07
2015-04-15,22.65,21.7552,22.78,22.9,3565021.0,22.5
2015-04-16,22.65,21.335,22.34,22.65,4059324.0,22.205
2015-04-17,22.11,21.1917,22.19,22.26,5245057.0,21.705
2015-04-20,22.3,20.9147,21.9,22.42,4519062.0,21.7
2015-04-21,21.95,21.2108,22.21,22.37,5060619.0,21.95
2015-04-22,22.18,20.7142,21.69,22.2,7439984.0,21.455
2015-04-23,20.52,19.0716,19.97,20.74,27580445.0,19.65
2015-04-24,19.87,19.2148,20.12,20.59,14884567.0,19.86
2015-04-27,20.24,18.9761,19.87,20.32,7623377.0,19.74
2015-04-28,19.84,19.0429,19.94,19.99,5308955.0,19.555
2015-04-29,19.7,18.9665,19.86,19.885,5837127.0,19.47
2015-04-30,19.76,18.4317,19.3,19.77,7395726.0,19.27
2015-05-01,19.39,18.7373,19.62,19.8,4854419.0,19.31
2015-05-04,19.69,18.6132,19.49,19.83,3736595.0,19.37
2015-05-05,19.53,18.5845,19.46,19.68,7734717.0,19.35
2015-05-06,19.5,18.5368,19.41,19.63,4240748.0,19.24
2015-05-07,19.36,18.8137,19.7,19.78,4832066.0,19.33
2015-05-08,19.92,18.8997,19.79,20.2,4635041.0,19.73
2015-05-11,19.82,18.6418,19.52,19.885,4176240.0,19.46
2015-05-12,19.4,18.6514,19.53,19.655,5748423.0,19.205
2015-05-13,19.56,18.5559,19.43,19.78,4013866.0,19.325
2015-05-14,19.5,18.6991,19.58,19.68,3480429.0,19.43
2015-05-15,19.44,18.9952,19.89,20.03,7860725.0,19.4
2015-05-18,19.91,19.0047,19.9,20.05,6608755.0,19.77
2015-05-19,20.27,19.148,20.05,20.44,8652888.0,19.875
2015-05-20,20.16,19.2148,20.12,20.24,5861695.0,19.75
2015-05-21,20.12,19.1002,20.0,20.185,5628531.0,19.94
2015-05-22,19.96,18.871,19.76,19.99,6721259.0,19.64
2015-05-26,19.68,18.6132,19.49,19.81,4292320.0,19.47
