Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,43.31,39.2112,43.43,43.5,1971119.0,43.06
2015-01-05,43.32,39.1841,43.4,43.77,3034088.0,43.06
2015-01-06,43.6,39.3195,43.55,43.94,3641419.0,43.47
2015-01-07,43.73,39.9154,44.21,44.41,2574286.0,43.54
2015-01-08,44.41,39.9245,44.22,44.46,2414011.0,44.01
2015-01-09,44.3,39.8613,44.15,44.49,2220021.0,43.78
2015-01-12,44.27,40.2675,44.6,44.68,2328759.0,44.18
2015-01-13,44.54,39.464,43.71,44.66,3051139.0,43.44
2015-01-14,43.39,39.473,43.72,43.74,3255856.0,43.08
2015-01-15,43.85,39.5182,43.77,44.09,2423364.0,43.521
2015-01-16,43.77,39.8613,44.15,44.22,3229879.0,43.35
2015-01-20,44.37,39.5814,43.84,44.47,2173286.0,43.56
2015-01-21,43.66,39.7529,44.03,44.24,2881018.0,43.53
2015-01-22,44.35,40.737,45.12,45.15,4264114.0,44.16
2015-01-23,45.13,40.9086,45.31,45.525,4720781.0,45.02
2015-01-26,45.5,41.3961,45.85,45.86,4010729.0,45.21
2015-01-27,46.06,42.5518,47.13,47.56,7773442.0,46.02
2015-01-28,47.33,41.9107,46.42,47.47,4958769.0,46.41
2015-01-29,46.41,41.7482,46.24,46.58,3201722.0,45.805
2015-01-30,45.95,40.7551,45.14,46.06,4935749.0,45.06
2015-02-02,45.38,40.7641,45.15,45.41,4428340.0,44.21
2015-02-03,45.11,40.8273,45.22,45.55,2705393.0,44.4
2015-02-04,45.1,40.7822,45.17,45.43,2976192.0,44.74
2015-02-05,45.18,41.3419,45.79,45.81,3874360.0,45.04
2015-02-06,45.65,40.3037,44.64,45.66,4204055.0,44.41
2015-02-09,44.63,40.3398,44.68,44.96,3971042.0,44.38
2015-02-10,44.74,40.5203,44.88,44.98,3425830.0,44.245
2015-02-11,44.85,40.096,44.41,45.06,2112083.0,43.96
2015-02-12,44.57,40.421,44.77,44.78,1694898.0,44.12
2015-02-13,44.72,39.5543,43.81,44.77,3539869.0,43.61
2015-02-17,43.85,39.464,43.71,44.1,2800998.0,43.4601
2015-02-18,43.73,39.6897,43.96,44.01,2427451.0,43.47
2015-02-19,43.78,38.6875,42.85,43.78,3235357.0,42.68
2015-02-20,42.73,38.841,43.02,43.19,3097999.0,42.65
2015-02-23,43.16,39.2383,43.46,43.57,2863360.0,43.04
2015-02-24,43.33,38.5431,42.69,43.38,3980714.0,42.515
2015-02-25,42.69,38.7327,42.9,43.39,2886137.0,42.69
2015-02-26,42.97,38.3083,42.43,42.98,4129238.0,42.42
2015-02-27,42.55,38.5611,42.71,42.82,2736168.0,42.32
2015-03-02,42.71,38.5521,42.7,43.31,3509225.0,42.67
2015-03-03,42.54,38.507,42.65,42.76,2381413.0,42.35
2015-03-04,42.61,38.2632,42.38,42.72,2526698.0,42.18
2015-03-05,42.62,38.516,42.66,42.95,3883221.0,42.54
2015-03-06,41.63,37.3784,41.4,41.92,3911825.0,41.31
2015-03-09,41.53,37.4326,41.46,41.665,3178769.0,41.195
2015-03-10,41.35,37.1527,41.15,41.65,2379834.0,41.15
2015-03-11,41.41,37.6673,41.72,41.91,3335936.0,41.17
2015-03-12,42.05,38.4257,42.56,42.63,3260957.0,41.89
2015-03-13,42.59,38.3264,42.45,43.25,4341308.0,42.27
2015-03-16,42.52,38.9674,42.8,43.17,3194139.0,42.44
2015-03-17,42.64,38.9492,42.78,42.915,4147036.0,42.5
2015-03-18,42.71,39.6047,43.5,43.625,3735104.0,42.6
2015-03-19,43.29,39.7686,43.68,43.815,3884946.0,43.17
2015-03-20,43.71,40.415,44.39,44.45,8011034.0,43.69
2015-03-23,44.39,40.7246,44.73,44.885,3777427.0,44.29
2015-03-24,44.61,40.4059,44.38,44.96,3196979.0,44.38
2015-03-25,44.46,39.714,43.62,44.57,2522215.0,43.61
2015-03-26,43.36,39.2132,43.07,43.56,3573454.0,42.92
2015-03-27,43.06,39.1859,43.04,43.25,2906096.0,42.9
2015-03-30,43.1,40.0235,43.96,43.99,2765795.0,42.91
2015-03-31,43.92,39.6594,43.56,44.09,2655930.0,43.45
2015-04-01,43.56,39.5046,43.39,43.81,1918602.0,43.13
2015-04-02,43.46,39.6867,43.59,43.68,2387546.0,43.33
2015-04-06,43.72,40.3968,44.37,44.48,3177333.0,43.61
2015-04-07,44.23,39.4682,43.35,44.39,3329276.0,43.34
2015-04-08,43.38,39.6047,43.5,43.6875,3044144.0,43.38
2015-04-09,43.45,38.5759,42.37,43.46,3317301.0,42.29
2015-04-10,42.55,38.6852,42.49,42.9551,2031000.0,42.37
2015-04-13,42.52,38.6306,42.43,42.78,2047110.0,42.4
2015-04-14,42.63,39.0038,42.84,43.085,2393314.0,42.58
2015-04-15,42.94,38.9219,42.75,43.08,1681119.0,42.69
2015-04-16,42.61,39.1222,42.97,43.29,2718107.0,42.47
2015-04-17,42.71,39.0403,42.88,43.04,3453908.0,42.47
2015-04-20,42.88,39.195,43.05,43.508,8130934.0,42.67
2015-04-21,43.4,38.931,42.76,43.45,5015427.0,42.51
2015-04-22,42.85,38.5668,42.36,42.89,2953670.0,42.21
2015-04-23,42.36,38.7489,42.56,42.89,4120035.0,42.34
2015-04-24,42.69,38.7489,42.56,42.89,4549830.0,42.51
2015-04-27,42.71,38.6488,42.45,42.915,2510222.0,42.38
2015-04-28,42.31,38.4485,42.23,42.4,2480510.0,42.11
2015-04-29,41.83,37.4014,41.08,41.99,3649045.0,41.06
2015-04-30,41.02,36.6002,40.2,41.08,4598872.0,39.9846
2015-05-01,40.4,36.8005,40.42,40.7,3155478.0,40.18
2015-05-04,40.6,36.755,40.37,40.82,3074134.0,40.21
2015-05-05,40.18,35.972,39.51,40.38,3139659.0,39.46
2015-05-06,39.49,36.0631,39.61,39.85,4174170.0,39.34
2015-05-07,39.75,36.6276,40.23,40.34,3379157.0,39.52
2015-05-08,40.69,37.101,40.75,41.44,2779144.0,40.69
2015-05-11,40.61,36.8187,40.44,40.81,3966323.0,40.36
2015-05-12,40.1,36.7368,40.35,40.46,3409984.0,39.73
2015-05-13,40.46,36.3362,39.91,40.73,2418036.0,39.77
2015-05-14,40.2,36.664,40.27,40.615,2934416.0,40.08
2015-05-15,40.47,37.0828,40.73,40.81,3541596.0,40.36
2015-05-18,40.55,36.9462,40.58,40.69,2442032.0,40.4
2015-05-19,40.37,36.9189,40.55,40.83,2402737.0,40.37
2015-05-20,40.61,37.101,40.75,40.995,3039646.0,40.3
2015-05-21,40.81,36.7186,40.33,40.81,2607479.0,40.17
2015-05-22,40.29,36.6731,40.28,40.56,1723076.0,40.12
2015-05-26,40.16,36.3726,39.95,40.25,2870005.0,39.845
2015-05-27,39.97,36.755,40.37,40.54,2390717.0,39.93
2015-05-28,40.3,36.6549,40.26,40.46,1538499.0,40.05
2015-05-29,40.23,36.0449,39.59,40.37,4352672.0,39.5
2015-06-01,39.47,36.5274,40.12,40.215,2589337.0,39.46
2015-06-02,40.07,36.5729,40.17,40.18,2373716.0,39.685
2015-06-03,40.13,36.3726,39.95,40.24,2610101.0,39.88
2015-06-04,39.88,36.4728,40.06,40.1499,3184230.0,39.71
2015-06-05,39.67,36.3999,39.98,40.19,3446455.0,39.38
2015-06-08,40.08,36.2361,39.8,40.23,3936215.0,39.8
2015-06-09,39.54,35.8992,39.07,39.54,2222307.0,38.955
2015-06-10,39.13,36.1932,39.39,39.75,2338081.0,39.03
2015-06-11,39.68,36.4321,39.65,39.89,2681750.0,39.57
2015-06-12,39.64,36.1013,39.29,39.7257,2321440.0,39.26
2015-06-15,38.99,35.8624,39.03,39.2,2536782.0,38.8475
2015-06-16,39.04,36.0186,39.2,39.34,2458052.0,38.99
2015-06-17,39.31,36.2024,39.4,39.51,2674785.0,38.77
2015-06-18,39.47,36.524,39.75,40.05,3606532.0,39.34
2015-06-19,39.68,36.1105,39.3,39.79,5698969.0,39.19
2015-06-22,39.59,36.037,39.22,39.68,3513843.0,39.2
2015-06-23,39.3,35.6511,38.8,39.32,3385279.0,38.715
