Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,91.84,84.4701,90.82,92.1,2083710.0,89.88
2015-01-05,90.21,81.8844,88.04,90.6297,3416689.0,88.02
2015-01-06,88.35,79.7639,85.76,89.32,4422103.0,85.38
2015-01-07,86.81,80.6846,86.75,87.27,2249154.0,86.09
2015-01-08,87.49,82.2379,88.42,88.59,2124191.0,87.45
2015-01-09,88.43,80.7032,86.77,88.46,2318328.0,86.61
2015-01-12,86.68,80.1359,86.16,86.96,2543965.0,85.85
2015-01-13,86.15,79.057,84.52,87.01,3591416.0,84.14
2015-01-14,83.17,77.6352,83.0,83.98,6015413.0,81.84
2015-01-15,82.62,77.0927,82.42,83.39,4736968.0,82.07
2015-01-16,82.87,78.9822,84.44,84.91,4162317.0,82.6
2015-01-20,84.73,79.1505,84.62,85.45,5253615.0,84.12
2015-01-21,83.94,79.3002,84.78,85.55,3550188.0,83.66
2015-01-22,85.31,81.4328,87.06,87.31,3769937.0,85.095
2015-01-23,86.78,80.7032,86.28,87.23,2841319.0,86.25
2015-01-26,86.0,81.1709,86.78,86.85,1860919.0,85.737
2015-01-27,85.76,79.9736,85.5,86.28,2218579.0,85.19
2015-01-28,85.96,78.2432,83.65,86.23,2668381.0,83.62
2015-01-29,83.65,80.0111,85.54,85.54,3586761.0,83.58
2015-01-30,84.45,79.0757,84.54,85.81,4301174.0,84.18
2015-02-02,85.01,80.6097,86.18,86.39,2625712.0,84.29
2015-02-03,86.69,81.9473,87.61,87.695,2546125.0,86.58
2015-02-04,87.23,82.0782,87.75,88.46,3292890.0,87.23
2015-02-05,87.88,83.0791,88.82,88.93,2571860.0,87.77
2015-02-06,90.13,84.5943,90.44,91.79,3618653.0,89.8
2015-02-09,89.5,83.7245,89.51,90.33,2212836.0,89.36
2015-02-10,90.27,84.3699,90.2,90.55,1485638.0,89.45
2015-02-11,89.86,83.9864,89.79,90.0276,1515042.0,89.23
2015-02-12,90.3,85.642,91.56,91.56,2227811.0,89.88
2015-02-13,91.46,86.409,92.38,92.58,2737119.0,91.33
2015-02-17,92.05,86.409,92.38,92.64,2644232.0,91.88
2015-02-18,92.18,85.4081,91.31,92.23,2099779.0,91.0801
2015-02-19,90.93,85.6981,91.62,91.66,1455634.0,90.55
2015-02-20,91.13,86.3061,92.27,92.43,2524534.0,90.64
2015-02-23,91.79,85.6981,91.62,92.07,1458801.0,91.29
2015-02-24,91.48,86.3715,92.34,92.6799,2317661.0,91.26
2015-02-25,92.14,86.3061,92.27,92.51,1310175.0,91.99
2015-02-26,92.34,86.2032,92.16,92.37,1512856.0,91.64
2015-02-27,91.71,86.0161,91.96,92.33,1638169.0,91.67
2015-03-02,91.83,86.9421,92.95,92.95,1298751.0,91.58
2015-03-03,92.5,86.3622,92.33,92.78,1449250.0,91.68
2015-03-04,91.65,86.119,92.07,92.31,2112779.0,91.52
