Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,66.78,62.3515,66.68,67.19,1573796.0,66.26
2015-01-05,66.26,59.8081,63.96,66.26,1744291.0,63.75
2015-01-06,64.22,59.2938,63.41,64.71,1962961.0,62.68
2015-01-07,64.0,59.7426,63.89,64.1971,1183627.0,63.32
2015-01-08,64.09,61.2949,65.55,65.56,1538323.0,64.0401
2015-01-09,65.69,60.8928,65.12,65.76,1371120.0,65.0
2015-01-12,64.79,60.4346,64.63,65.21,1405985.0,64.13
2015-01-13,65.16,60.7806,65.0,65.84,2040720.0,63.82
2015-01-14,63.87,61.0705,65.31,65.5,2235763.0,63.87
2015-01-15,65.79,60.7432,64.96,66.56,2225137.0,64.88
2015-01-16,64.91,60.2943,64.48,65.05,2835899.0,63.6
2015-01-20,64.82,60.6216,64.83,65.06,1685456.0,64.02
2015-01-21,64.66,62.0055,66.31,66.52,1463225.0,64.66
2015-01-22,66.18,62.0055,66.31,66.72,1953243.0,65.31
2015-01-23,65.96,60.0793,64.25,66.21,2254901.0,63.83
2015-01-26,64.36,59.8268,63.98,64.63,1310007.0,63.66
2015-01-27,63.04,58.6299,62.7,63.71,1675675.0,62.04
2015-01-28,62.67,57.6761,61.36,63.002,1633521.0,61.31
2015-01-29,61.28,58.6255,62.37,62.61,2648849.0,60.73
2015-01-30,61.97,58.0991,61.81,62.25,2337724.0,61.16
2015-02-02,62.33,60.4208,64.28,64.29,2291099.0,62.185
2015-02-03,63.78,61.7461,65.69,66.08,2306935.0,63.78
2015-02-04,64.61,59.7158,63.53,64.72,2209816.0,63.205
2015-02-05,63.89,60.1106,63.95,64.0,1275878.0,63.46
2015-02-06,64.14,60.4584,64.32,64.5251,1990624.0,63.91
2015-02-09,64.21,61.5393,65.47,65.56,1506924.0,64.21
2015-02-10,65.92,61.1446,65.05,66.24,1632483.0,64.305
2015-02-11,64.78,60.7592,64.64,65.24,871218.0,64.29
2015-02-12,65.14,61.8307,65.78,65.82,987989.0,64.96
2015-02-13,64.82,62.8553,66.87,67.2,1541686.0,64.65
2015-02-17,66.74,63.0339,67.06,67.18,1107687.0,65.95
2015-02-18,67.2,62.8459,66.86,67.92,1094783.0,66.7
2015-02-19,66.53,62.9305,66.95,67.22,844766.0,66.32
2015-02-20,66.88,63.9456,68.03,68.24,1173533.0,66.29
2015-02-23,68.0,62.9305,66.95,68.1,886835.0,66.53
2015-02-24,66.85,63.5697,67.63,67.83,795975.0,66.71
2015-02-25,67.58,63.4851,67.54,68.0,683588.0,67.17
2015-02-26,67.42,63.2971,67.34,67.77,865322.0,66.89
2015-02-27,67.33,62.4793,66.47,67.62,1204703.0,66.35
2015-03-02,66.64,62.2349,66.21,66.728,1141268.0,65.92
2015-03-03,65.75,61.9153,65.87,66.23,1098362.0,65.64
2015-03-04,65.55,60.5242,64.39,65.61,1495235.0,64.13
2015-03-05,64.52,60.9096,64.8,64.85,903611.0,64.25
2015-03-06,64.13,59.603,63.41,64.79,1050335.0,63.16
2015-03-09,63.41,60.3926,64.25,64.32,1343239.0,63.04
2015-03-10,63.53,59.086,62.86,63.91,984544.0,62.8
2015-03-11,63.01,58.7476,62.5,63.062,1066744.0,62.02
2015-03-12,62.9,60.3362,64.19,64.3699,1305370.0,62.71
2015-03-13,63.99,59.932,63.76,63.99,1173633.0,63.13
