Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,36.48,29.5238,36.36,36.58,3770594.0,35.9899
2015-01-05,36.14,28.8417,35.52,36.32,5514405.0,35.27
2015-01-06,35.46,28.8336,35.51,35.92,5248050.0,35.28
2015-01-07,35.58,28.9635,35.67,35.89,4038485.0,35.36
2015-01-08,35.81,28.8498,35.53,35.96,5508290.0,35.4
2015-01-09,35.65,28.7037,35.35,35.7,4374501.0,35.3
2015-01-12,35.47,28.5575,35.17,35.51,5063747.0,34.855
2015-01-13,35.42,28.2571,34.8,35.68,10441075.0,34.73
2015-01-14,34.76,28.5981,35.22,35.27,4437385.0,34.7
2015-01-15,35.28,28.6793,35.32,35.46,4349861.0,35.1
2015-01-16,35.35,28.6874,35.33,35.35,5238617.0,35.08
2015-01-20,35.5,28.8985,35.59,35.63,3891359.0,35.31
2015-01-21,35.42,29.2477,36.02,36.11,4304777.0,35.31
2015-01-22,36.23,28.9879,35.7,36.26,4467190.0,35.365
2015-01-23,35.82,29.0447,35.77,35.99,2914345.0,35.7
2015-01-26,35.64,28.996,35.71,35.72,2630594.0,35.321
2015-01-27,35.56,28.9879,35.7,35.86,3168440.0,35.5
2015-01-28,35.53,28.8417,35.52,36.02,5262096.0,35.43
2015-01-29,35.42,29.1502,35.9,35.97,4269366.0,35.2
2015-01-30,35.77,28.8255,35.5,35.95,5586958.0,35.43
2015-02-02,35.5,29.1502,35.9,35.9,5087251.0,35.05
2015-02-03,35.86,29.54,36.38,36.38,5582323.0,35.65
2015-02-04,36.29,29.0772,35.81,36.38,4131882.0,35.76
2015-02-05,36.14,29.4913,36.32,36.74,3684203.0,35.94
2015-02-06,36.14,28.5981,35.22,36.23,6803650.0,35.025
2015-02-09,35.1,28.1353,34.65,35.27,6203877.0,34.52
2015-02-10,34.62,28.6631,35.3,35.33,4114181.0,34.62
2015-02-11,35.06,28.2002,34.73,35.14,4276519.0,34.55
2015-02-12,34.74,28.2977,34.85,34.96,4995779.0,34.62
2015-02-13,34.73,28.1677,34.69,34.83,5089693.0,34.27
2015-02-17,34.55,28.0703,34.57,34.82,5520969.0,34.32
2015-02-18,34.53,28.7605,35.42,35.46,5093665.0,34.505
2015-02-19,35.43,28.5494,35.16,35.47,4823295.0,34.96
2015-02-20,35.14,28.4032,34.98,35.2,5702468.0,34.49
2015-02-23,35.05,28.5575,35.17,35.17,3273929.0,34.78
2015-02-24,35.11,28.6225,35.25,35.48,3927163.0,35.0
2015-02-25,35.14,28.1109,34.62,35.25,4316218.0,34.53
2015-02-26,34.7,27.8348,34.28,34.7636,4383894.0,34.14
2015-02-27,34.38,27.6887,34.1,34.38,5347508.0,34.02
2015-03-02,34.03,27.1203,33.4,34.09,6819582.0,33.18
2015-03-03,33.34,27.2015,33.5,33.59,3845154.0,33.13
2015-03-04,33.38,26.9985,33.25,33.3828,3994705.0,32.98
2015-03-05,33.4,27.1284,33.41,33.67,5565438.0,33.24
2015-03-06,32.56,26.0749,31.74,32.56,7068037.0,31.6
2015-03-09,31.87,26.0749,31.74,32.03,5303733.0,31.52
2015-03-10,31.64,25.9845,31.63,32.05,4837670.0,31.5203
2015-03-11,31.74,25.7955,31.4,31.8,3259395.0,31.31
2015-03-12,31.63,26.2145,31.91,32.03,4736114.0,31.6
2015-03-13,31.83,26.1241,31.8,31.905,4314927.0,31.52
2015-03-16,31.93,26.5349,32.3,32.49,3469228.0,31.93
2015-03-17,32.16,26.5267,32.29,32.53,4188918.0,32.11
2015-03-18,32.3,27.9726,34.05,34.23,12947149.0,32.22
2015-03-19,33.9,27.6768,33.69,34.11,6104977.0,33.54
2015-03-20,33.9,28.2272,34.36,34.47,10864069.0,33.83
2015-03-23,34.36,28.0629,34.16,34.39,5230785.0,33.97
2015-03-24,34.22,27.7754,33.81,34.37,5578635.0,33.74
2015-03-25,33.84,27.2003,33.11,33.9999,10860356.0,33.04
2015-03-26,33.03,27.1264,33.02,33.41,4587998.0,32.93
2015-03-27,33.08,27.2332,33.15,33.43,3026387.0,32.87
2015-03-30,33.26,27.57,33.56,33.65,4132879.0,32.99
2015-03-31,33.46,27.6522,33.66,33.83,5808133.0,33.415
2015-04-01,33.23,27.6604,33.67,33.74,5761411.0,32.84
2015-04-02,33.64,27.8083,33.85,34.03,3347094.0,33.64
2015-04-06,33.95,28.2437,34.38,34.6,4392246.0,33.9
2015-04-07,34.38,27.8822,33.94,34.4,3165200.0,33.9
2015-04-08,34.02,27.9972,34.08,34.15,3627637.0,33.725
2015-04-09,33.97,27.7015,33.72,34.02,4498513.0,33.41
2015-04-10,33.76,27.9726,34.05,34.17,4049985.0,33.72
2015-04-13,33.98,27.5454,33.53,34.0,3315916.0,33.5
2015-04-14,33.69,27.8165,33.86,33.93,2906817.0,33.56
2015-04-15,33.89,27.57,33.56,34.19,4991708.0,33.51
2015-04-16,33.55,27.4879,33.46,33.55,4558424.0,33.06
2015-04-17,33.33,27.3482,33.29,33.6,3044837.0,33.21
2015-04-20,33.38,27.7672,33.8,33.9,3464693.0,33.38
2015-04-21,33.85,27.6111,33.61,34.1,2479984.0,33.5162
2015-04-22,33.67,27.9068,33.97,34.0462,4616926.0,33.5
2015-04-23,33.92,28.1286,34.24,34.495,4247822.0,33.9
2015-04-24,34.23,28.408,34.58,34.72,4283569.0,34.1
2015-04-27,34.24,27.9479,34.02,34.75,4333602.0,33.95
2015-04-28,33.9,28.2354,34.37,34.385,3842616.0,33.81
2015-04-29,34.03,28.2683,34.41,34.49,3669558.0,33.96
2015-04-30,34.36,27.9561,34.03,34.49,5945518.0,33.81
2015-05-01,34.12,28.0876,34.19,34.24,4769492.0,33.76
2015-05-04,34.22,28.3012,34.45,34.73,3149382.0,34.14
2015-05-05,34.29,27.7261,33.75,34.38,3719134.0,33.7
2015-05-06,33.7,27.4221,33.38,33.84,5847438.0,32.92
2015-05-07,33.57,27.4386,33.4,33.86,5431194.0,33.19
2015-05-08,33.99,27.8493,33.9,34.24,5450945.0,33.68
2015-05-11,33.75,27.7261,33.75,34.225,4233739.0,33.72
2015-05-12,33.58,27.6357,33.64,33.76,4049335.0,33.37
2015-05-13,33.67,27.3482,33.29,33.76,4229336.0,33.08
2015-05-14,33.42,27.5864,33.58,33.6827,3268525.0,33.36
2015-05-15,33.68,27.874,33.93,34.05,2926019.0,33.62
2015-05-18,33.76,28.1615,34.28,34.33,3541493.0,33.68
2015-05-19,34.11,28.4244,34.6,34.75,6574341.0,33.98
2015-05-20,34.63,28.6298,34.85,35.09,4737496.0,34.52
2015-05-21,34.84,28.3915,34.56,34.98,4573340.0,34.46
2015-05-22,34.44,28.2765,34.42,34.61,3595871.0,34.13
2015-05-26,34.4,28.1944,34.32,34.44,3780371.0,34.157
2015-05-27,34.46,28.4819,34.67,34.77,3804131.0,34.3801
2015-05-28,34.67,28.5887,34.8,34.92,4345327.0,34.52
2015-05-29,34.75,28.5148,34.71,34.9,3628440.0,34.58
2015-06-01,34.73,28.564,34.77,34.965,5041976.0,34.56
2015-06-02,32.35,28.1907,31.81,32.42,10570157.0,31.65
2015-06-03,31.9,27.8805,31.46,31.97,6317424.0,31.38
2015-06-04,31.42,27.8716,31.45,31.69,5658197.0,31.37
2015-06-05,31.12,27.4285,30.95,31.16,6069047.0,30.75
2015-06-08,30.52,27.0231,30.12,30.57,7184711.0,30.1
2015-06-09,30.17,27.0051,30.1,30.255,5471988.0,30.06
2015-06-10,30.34,27.1128,30.22,30.485,5853134.0,30.14
2015-06-11,30.47,27.3909,30.53,30.6,5840440.0,30.3
2015-06-12,30.4,27.05,30.15,30.51,3058482.0,30.12
2015-06-15,30.13,26.8436,29.92,30.22,3994562.0,29.92
2015-06-16,29.92,26.9423,30.03,30.13,5661950.0,29.75
2015-06-17,30.0,27.2384,30.36,30.43,4897549.0,29.95
2015-06-18,30.37,27.6511,30.82,30.96,4600812.0,30.36
2015-06-19,30.7,27.3909,30.53,30.95,4644879.0,30.52
2015-06-22,30.89,27.4627,30.61,30.93,3807711.0,30.54
2015-06-23,30.57,26.9692,30.06,30.64,3933954.0,30.03
2015-06-24,30.06,26.6642,29.72,30.21,4777101.0,29.72
2015-06-25,29.82,26.5924,29.64,29.89,3430983.0,29.6
2015-06-26,29.63,26.6911,29.75,29.92,4237350.0,29.51
2015-06-29,29.77,26.422,29.45,30.09,5166331.0,29.44
2015-06-30,29.58,26.4399,29.47,29.6,6454162.0,29.33
2015-07-01,29.66,26.5117,29.55,29.68,5556204.0,29.32
2015-07-02,29.75,26.736,29.8,30.0,5986652.0,29.605
2015-07-06,29.89,26.9333,30.02,30.08,7679694.0,29.775
2015-07-07,30.13,27.7498,30.93,31.05,7925509.0,30.13
2015-07-08,30.79,27.678,30.85,30.99,5764825.0,30.7101
2015-07-09,30.98,27.4896,30.64,31.07,4454061.0,30.525
2015-07-10,30.78,27.8395,31.03,31.29,7854646.0,30.64
2015-07-13,31.16,27.7857,30.97,31.2,3792067.0,30.82
2015-07-14,31.07,27.8036,30.99,31.17,3470250.0,30.8449
2015-07-15,30.99,28.0189,31.23,31.23,4693796.0,30.77
2015-07-16,31.23,28.1894,31.42,31.53,4679787.0,31.22
2015-07-17,31.36,27.9023,31.1,31.36,3527441.0,31.09
2015-07-20,31.1,27.8485,31.04,31.12,3179056.0,30.8
2015-07-21,30.9,27.7229,30.9,31.04,3326749.0,30.8
2015-07-22,30.89,27.7946,30.98,31.1999,4076335.0,30.88
2015-07-23,30.95,27.5524,30.71,30.98,4534805.0,30.5632
2015-07-24,30.68,27.5434,30.7,30.835,3662499.0,30.535
2015-07-27,30.74,27.8664,31.06,31.21,3582124.0,30.73
2015-07-28,31.21,28.01,31.22,31.34,3603634.0,31.03
2015-07-29,31.15,28.0817,31.3,31.3,3278647.0,31.01
2015-07-30,31.14,28.2701,31.51,31.56,4286970.0,31.13
2015-07-31,31.75,28.5393,31.81,32.08,3787922.0,31.74
2015-08-03,31.9,28.6021,31.88,32.1,4393422.0,31.7
2015-08-04,31.77,28.2881,31.53,31.85,2881189.0,31.48
2015-08-05,31.67,28.4675,31.73,31.89,3013083.0,31.58
2015-08-06,31.75,28.7905,32.09,32.13,3003308.0,31.45
2015-08-07,32.08,29.0327,32.36,32.5601,5414243.0,31.8
2015-08-10,32.32,29.0776,32.41,32.67,3252762.0,32.32
2015-08-11,32.57,29.2929,32.65,32.82,3975548.0,32.36
2015-08-12,32.54,29.8312,33.25,33.28,6109166.0,32.52
2015-08-13,33.14,29.7415,33.15,33.29,5110108.0,32.785
2015-08-14,33.15,29.9299,33.36,33.4399,2515550.0,32.93
2015-08-17,33.48,30.1273,33.58,33.68,3477057.0,33.285
2015-08-18,33.51,29.9927,33.43,33.55,3044144.0,33.29
2015-08-19,33.32,30.0735,33.52,33.67,2775721.0,33.16
2015-08-20,33.3,29.9389,33.37,33.83,3333855.0,33.2
2015-08-21,33.24,29.5172,32.9,33.47,4153828.0,32.9
2015-08-24,31.89,28.1445,31.37,32.47,7912547.0,31.2
2015-08-25,31.9,27.3999,30.54,31.98,6987909.0,30.52
2015-08-26,30.94,28.0638,31.28,31.39,6394328.0,30.505
2015-08-27,31.51,28.4855,31.75,31.76,3626743.0,31.2551
2015-08-28,31.72,28.1445,31.37,31.74,4667776.0,30.925
2015-08-31,31.26,27.8036,30.99,31.29,4992316.0,30.63
2015-09-01,30.6,26.9154,30.0,30.67,6138478.0,29.825
2015-09-02,30.34,27.05,30.15,30.39,4539725.0,29.87
2015-09-03,30.25,27.1487,30.26,30.48,3509491.0,30.07
