Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,165.99,163.7927,166.63,167.34,712584.0,165.17
2015-01-05,165.06,162.102,164.91,166.71,726570.0,164.29
2015-01-06,164.38,161.7973,164.6,166.35,878482.0,161.97
2015-01-07,165.11,164.5005,167.35,168.8,851457.0,164.504
2015-01-08,169.05,168.2554,171.17,171.5,1118658.0,168.96
2015-01-09,172.0,166.8596,169.75,172.0,398437.0,169.1735
2015-01-12,170.89,166.4369,169.32,171.45,489929.0,168.21
2015-01-13,170.59,161.0011,163.79,171.11,1488092.0,161.58
2015-01-14,163.21,159.9198,162.69,164.87,920270.0,162.12
2015-01-15,163.09,155.811,158.51,163.86,934941.0,158.33
2015-01-16,157.95,157.7868,160.52,160.55,767902.0,157.69
2015-01-20,161.35,159.2121,161.97,162.33,562253.0,159.12
2015-01-21,162.62,156.1845,158.89,162.62,689879.0,158.38
2015-01-22,158.59,153.5502,156.21,158.95,1613110.0,152.71
2015-01-23,156.46,154.3267,157.0,158.67,637782.0,156.15
2015-01-26,156.56,154.8477,157.53,157.62,895114.0,155.16
2015-01-27,157.11,153.3536,156.01,157.59,474792.0,155.7802
2015-01-28,156.91,150.8961,153.51,157.76,631247.0,153.08
2015-01-29,153.91,151.3778,154.0,154.43,1023241.0,151.43
2015-01-30,152.88,149.1563,151.74,153.77,1138829.0,151.39
2015-02-02,151.88,149.805,152.4,152.645,1104243.0,150.8501
2015-02-03,152.4,148.7631,151.34,153.25,1357856.0,149.76
2015-02-04,151.66,148.9007,151.48,151.95,1528954.0,150.73
2015-02-05,151.71,152.3903,155.03,157.65,1628402.0,150.51
2015-02-06,155.47,147.7703,150.33,155.47,1479548.0,148.0
2015-02-09,149.56,145.3325,147.85,150.49,1173904.0,147.77
2015-02-10,149.11,147.4066,149.96,150.39,813327.0,148.48
2015-02-11,150.45,145.2539,147.77,150.46,1024011.0,147.21
2015-02-12,148.28,148.1143,150.68,151.24,1273805.0,147.82
2015-02-13,150.52,148.3306,150.9,151.39,1012429.0,150.2
2015-02-17,152.35,149.3136,151.9,152.65,1176660.0,151.0
2015-02-18,152.26,148.0357,150.6,152.26,869693.0,150.19
2015-02-19,151.3,149.0088,151.59,152.0275,840601.0,151.06
2015-02-20,151.1,148.7926,151.37,151.81,933987.0,149.53
2015-02-23,152.22,149.461,152.05,152.649,1684149.0,151.18
2015-02-24,152.21,150.8667,153.48,153.75,847971.0,151.9
2015-02-25,153.74,150.2523,152.73,154.04,865590.0,151.3
2015-02-26,153.22,152.7314,155.25,155.29,864596.0,152.58
2015-02-27,155.13,151.9641,154.47,155.95,1312011.0,153.7
2015-03-02,155.39,154.9941,157.55,158.17,1184625.0,155.15
2015-03-03,157.55,153.6857,156.22,157.55,1410876.0,153.69
2015-03-04,155.54,155.4368,158.0,158.08,1014876.0,154.32
2015-03-05,158.57,157.4044,160.0,160.32,872329.0,157.8101
2015-03-06,159.43,154.2858,156.83,160.73,866361.0,156.57
