Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,91.01,82.1054,90.11,91.35,1701618.0,89.2
2015-01-05,89.7,79.4995,87.25,89.7,2665361.0,86.73
2015-01-06,87.01,77.8503,85.44,87.28,3957499.0,84.69
2015-01-07,86.3,77.8958,85.49,86.87,2585575.0,85.11
2015-01-08,86.39,79.1441,86.86,87.55,2172531.0,86.32
2015-01-09,86.99,77.7409,85.32,87.16,1811197.0,85.1
2015-01-12,85.5,76.7295,84.21,85.74,2396964.0,83.8
2015-01-13,85.19,75.9732,83.38,85.97,2815460.0,82.57
2015-01-14,81.66,73.9687,81.18,82.3,3377954.0,80.25
2015-01-15,81.32,72.693,79.78,81.85,2814327.0,79.76
2015-01-16,79.59,73.8047,81.0,81.1,2093654.0,79.18
2015-01-20,81.06,73.3582,80.51,81.45,3176466.0,79.55
2015-01-21,80.01,73.4402,80.6,80.84,3002409.0,79.51
2015-01-22,81.0,74.9163,82.22,82.33,3303521.0,80.17
2015-01-23,81.92,73.5222,80.69,82.06,2403175.0,80.65
2015-01-26,80.27,73.5769,80.75,80.9668,3760270.0,79.9
2015-01-27,79.45,72.4106,79.47,80.06,2504638.0,79.16
2015-01-28,80.1,70.1509,76.99,80.1,3260379.0,76.93
2015-01-29,77.23,70.1235,76.96,77.89,4348723.0,76.26
2015-01-30,75.93,69.1395,75.88,77.44,4938546.0,75.75
2015-02-02,76.38,71.1805,78.12,78.4604,5278174.0,75.92
2015-02-03,78.53,72.9755,80.09,80.17,3701271.0,78.53
2015-02-04,79.88,72.7933,79.89,80.92,3333555.0,79.76
2015-02-05,75.05,68.6292,75.32,77.48,9818785.0,74.51
2015-02-06,76.89,70.8889,77.8,79.27,5946116.0,76.36
2015-02-09,77.03,70.3969,77.26,77.73,3375051.0,76.85
2015-02-10,78.26,71.1441,78.08,78.381,2898804.0,77.02
2015-02-11,77.92,72.1555,79.19,79.69,3138092.0,77.5
2015-02-12,79.01,71.709,78.7,79.75,3507301.0,78.41
2015-02-13,78.64,73.1942,80.33,80.57,4656500.0,78.51
2015-02-17,80.13,73.7591,80.95,81.27,3767551.0,80.02
2015-02-18,80.5,72.4926,79.56,81.04,2447346.0,79.31
2015-02-19,79.09,73.1668,80.3,80.42,2657797.0,78.75
