Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,28.57,28.35,28.35,28.68,1268080.0,28.05
2015-01-05,28.18,27.55,27.55,28.18,2303119.0,27.45
2015-01-06,27.53,27.21,27.21,27.85,3381769.0,27.04
2015-01-07,27.55,27.19,27.19,27.76,2766914.0,27.06
2015-01-08,27.42,28.02,28.02,28.1,4004580.0,27.14
2015-01-09,28.17,27.53,27.53,28.37,2553975.0,27.29
2015-01-12,27.5,26.68,26.68,27.55,2891243.0,26.555
2015-01-13,26.91,26.47,26.47,27.22,3343994.0,26.25
2015-01-14,26.02,26.34,26.34,26.48,2934964.0,25.721
2015-01-15,26.56,25.79,25.79,26.86,3487295.0,25.74
2015-01-16,25.74,26.37,26.37,26.41,2538382.0,25.67
2015-01-20,26.41,26.38,26.38,26.55,2135424.0,25.898
2015-01-21,26.37,27.17,27.17,27.21,2743928.0,26.34
2015-01-22,27.33,27.24,27.24,27.48,2207017.0,27.01
2015-01-23,27.04,27.35,27.35,27.685,2205180.0,26.93
2015-01-26,27.33,27.56,27.56,27.69,2119892.0,27.07
2015-01-27,26.98,27.33,27.33,27.54,2145901.0,26.64
2015-01-28,27.52,26.32,26.32,27.62,2668129.0,26.28
2015-01-29,26.31,26.79,26.79,26.895,2658851.0,25.87
2015-01-30,26.52,26.48,26.48,26.83,1889561.0,26.26
2015-02-02,26.73,28.15,28.15,28.25,3098041.0,26.645
2015-02-03,28.47,29.02,29.02,29.32,3149187.0,28.47
2015-02-04,29.17,28.23,28.23,29.17,2492338.0,28.12
2015-02-05,28.59,28.94,28.94,29.0073,2010800.0,28.5
2015-02-06,29.04,28.95,28.95,29.3,1584106.0,28.865
2015-02-09,28.87,28.75,28.75,29.17,1653122.0,28.63
2015-02-10,28.95,28.6,28.6,28.96,1123341.0,28.23
2015-02-11,28.43,28.53,28.53,28.67,1638045.0,28.23
2015-02-12,28.61,28.86,28.86,29.0099,1121113.0,28.61
2015-02-13,29.04,28.76,28.76,29.16,2893410.0,28.64
2015-02-17,28.73,28.68,28.68,28.78,3387644.0,28.1
2015-02-18,28.6,29.38,29.38,29.42,3728861.0,28.5901
2015-02-19,28.79,29.61,29.61,29.94,2965226.0,28.75
2015-02-20,29.54,29.51,29.51,29.64,3737044.0,28.64
2015-02-23,29.51,28.76,28.76,29.56,3186958.0,28.63
2015-02-24,28.78,29.04,29.04,29.19,2004143.0,28.725
2015-02-25,29.14,29.14,29.14,29.22,1354725.0,28.85
2015-02-26,29.08,28.86,28.86,29.2,1626036.0,28.74
2015-02-27,28.91,28.78,28.78,28.99,1530054.0,28.592
2015-03-02,28.76,28.66,28.66,28.83,2868657.0,28.45
2015-03-03,28.61,28.7,28.7,28.82,1781581.0,28.553
2015-03-04,28.54,28.6,28.6,28.725,1851451.0,28.32
2015-03-05,28.63,28.7,28.7,28.75,1055061.0,28.39
2015-03-06,28.48,28.33,28.33,28.93,1488764.0,28.24
2015-03-09,28.32,28.39,28.39,28.5,1152661.0,28.171
2015-03-10,28.13,28.13,28.13,28.44,2330421.0,28.05
2015-03-11,28.15,28.14,28.14,28.25,1127445.0,27.965
2015-03-12,28.07,28.14,28.14,28.33,1969123.0,28.01
2015-03-13,28.01,27.67,27.67,28.02,2546210.0,27.5276
2015-03-16,27.82,28.16,28.16,28.16,2359380.0,27.62
2015-03-17,28.0,27.98,27.98,28.16,1123180.0,27.84
2015-03-18,27.83,28.39,28.39,28.53,1830023.0,27.53
2015-03-19,28.19,27.82,27.82,28.21,1220083.0,27.605
2015-03-20,28.09,28.04,28.04,28.49,2935245.0,27.9
2015-03-23,28.04,28.31,28.31,28.51,1462331.0,28.03
