Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,147.54,149.6543,149.89,151.75,2136637.0,147.02
2015-01-05,146.6,139.6101,139.83,147.04,2266843.0,139.44
2015-01-06,139.48,139.2407,139.46,142.445,2171521.0,137.52
2015-01-07,141.38,137.7131,137.93,142.57,2397975.0,137.11
2015-01-08,139.36,141.1877,141.41,145.25,2491167.0,138.6
2015-01-09,141.57,142.2959,142.52,144.57,1578022.0,140.06
2015-01-12,139.48,134.7178,134.93,139.56,2510989.0,133.95
2015-01-13,135.23,137.6732,137.89,140.41,3112902.0,135.04
2015-01-14,135.99,142.0064,142.23,142.4199,3205560.0,134.6
2015-01-15,145.09,141.0878,141.31,147.61,3074520.0,141.17
2015-01-16,142.88,149.7342,149.97,150.74,4083755.0,141.88
2015-01-20,146.8,147.1483,147.38,148.3,2179437.0,144.31
2015-01-21,149.21,152.6995,152.94,154.315,1482215.0,148.35
2015-01-22,154.21,152.2203,152.46,154.49,1714232.0,148.0
2015-01-23,152.38,152.6196,152.86,156.06,1789571.0,151.9301
2015-01-26,152.91,154.7862,155.03,155.48,1476402.0,150.7501
2015-01-27,153.83,154.8761,155.12,156.61,1444560.0,152.36
2015-01-28,154.35,144.3227,144.55,154.35,2467360.0,144.04
2015-01-29,147.0,146.03,146.26,147.0,1840209.0,141.71
2015-01-30,145.57,150.2933,150.53,151.81,2411958.0,144.31
2015-02-02,153.5,156.8729,157.12,158.45,2690623.0,153.06
2015-02-03,160.15,161.3659,161.62,162.8299,3476108.0,157.78
2015-02-04,159.17,157.2623,157.51,160.86,2271191.0,155.36
2015-02-05,159.98,158.3406,158.59,162.2,2170167.0,157.15
2015-02-06,160.05,156.4037,156.65,160.26,2540891.0,154.28
2015-02-09,157.99,153.8777,154.12,159.665,3540206.0,153.59
2015-02-10,154.01,152.8792,153.12,154.9,3120339.0,149.78
2015-02-11,143.69,146.7389,146.97,151.23,5715618.0,143.24
2015-02-12,149.43,147.9071,148.14,151.98,3686560.0,147.81
2015-02-13,151.64,157.6018,157.85,158.215,3421525.0,150.0
2015-02-17,155.23,157.4121,157.66,158.72,1670353.0,154.89
2015-02-18,155.38,156.7032,156.95,161.26,2011776.0,155.38
2015-02-19,151.35,159.9082,160.16,160.83,2347048.0,151.2
2015-02-20,159.85,158.5104,158.76,160.63,1973280.0,157.855
2015-02-23,158.55,155.9544,156.2,158.55,1928080.0,153.68
2015-02-24,157.03,157.1226,157.37,158.13,1655945.0,154.93
2015-02-25,157.03,160.0979,160.35,161.42,1333991.0,155.78
2015-02-26,159.4,155.7847,156.03,160.43,1543720.0,155.0
2015-02-27,156.05,152.2802,152.52,156.5,1532873.0,151.92
2015-03-02,151.93,154.5067,154.75,155.45,1138872.0,150.59
2015-03-03,155.24,159.2492,159.5,161.5,2598910.0,155.01
2015-03-04,159.0,162.7537,163.01,163.36,3336219.0,156.69
2015-03-05,162.01,160.1877,160.44,162.8,2467934.0,160.37
