Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,74.51,66.9066,74.28,74.8699,6667808.0,73.75
2015-01-05,73.71,66.5914,73.93,74.5,12042759.0,73.63
2015-01-06,73.86,65.6456,72.88,74.61,11093997.0,72.74
2015-01-07,73.37,66.4112,73.73,74.47,10030724.0,72.96
2015-01-08,74.3,67.1093,74.505,75.3,10937230.0,74.14
2015-01-09,74.57,67.0327,74.42,74.87,8965292.0,73.64
2015-01-12,74.14,66.2671,73.57,74.3799,8749315.0,72.88
2015-01-13,73.96,65.7267,72.97,75.05,12584518.0,72.55
2015-01-14,72.46,65.0511,72.22,73.0,13203501.0,71.44
2015-01-15,72.26,64.2945,71.38,72.59,10858404.0,71.045
2015-01-16,70.85,64.2134,71.29,71.43,12372285.0,70.12
2015-01-20,71.75,65.2853,72.48,73.21,12036676.0,71.18
2015-01-21,70.28,64.4836,71.59,72.61,17008909.0,69.95
2015-01-22,71.86,64.7674,71.905,72.09,10450061.0,70.84
2015-01-23,72.01,65.0106,72.175,72.35,8142053.0,71.43
2015-01-26,72.17,65.4024,72.61,72.9,9203712.0,71.715
2015-01-27,71.9,64.6458,71.77,72.495,11398770.0,70.945
2015-01-28,72.5,63.9432,70.99,72.5,15722069.0,70.85
2015-01-29,65.51,57.3678,63.69,65.69,47115329.0,62.47
2015-01-30,63.04,56.2599,62.46,64.01,26407796.0,62.39
2015-02-02,62.49,59.0252,65.53,65.9299,21130636.0,62.26
2015-02-03,65.78,60.3132,66.96,67.04,16354186.0,65.48
2015-02-04,66.59,60.3132,66.96,67.71,13089575.0,66.12
2015-02-05,67.17,61.205,67.95,67.99,10650494.0,66.79
2015-02-06,67.81,59.7638,66.35,67.95,11779472.0,66.07
2015-02-09,68.16,60.4484,67.11,68.96,15651094.0,66.96
2015-02-10,69.09,63.2857,70.26,70.455,36081176.0,68.83
2015-02-11,70.57,63.2406,70.21,70.9518,13439345.0,70.0
2015-02-12,69.58,63.4028,70.39,70.39,12798277.0,69.56
2015-02-13,70.49,63.8441,70.88,70.93,8050179.0,70.27
2015-02-17,70.76,63.7721,70.8,70.91,8764262.0,70.46
2015-02-18,70.34,63.5379,70.54,70.88,8097382.0,70.11
2015-02-19,70.23,63.9342,70.98,71.27,9785320.0,70.21
2015-02-20,70.83,64.4206,71.52,71.72,8657328.0,70.59
2015-02-23,71.26,63.8982,70.94,71.55,8617718.0,70.36
2015-02-24,70.74,64.2855,71.37,71.47,10131932.0,70.37
2015-02-25,71.01,64.5647,71.68,72.23,10578052.0,71.01
2015-02-26,71.87,64.862,72.01,72.2699,9838730.0,71.61
2015-02-27,71.81,65.3123,72.51,72.57,10297418.0,71.2
2015-03-02,71.8,65.8212,72.655,72.9,8979340.0,71.61
2015-03-03,72.01,64.6888,71.405,72.49,9236352.0,71.35
2015-03-04,71.1,64.1815,70.845,71.5,8476227.0,70.561
2015-03-05,71.2,64.2585,70.93,71.27,6955767.0,70.685
2015-03-06,70.56,64.7794,71.505,71.69,12022148.0,70.51
2015-03-09,71.64,65.8665,72.705,72.87,12754658.0,71.64
2015-03-10,73.87,65.1237,71.885,74.09,29111628.0,71.86
2015-03-11,71.52,63.6606,70.27,71.7199,21690244.0,70.24
2015-03-12,70.0,62.8452,69.37,70.55,16004288.0,69.2
2015-03-13,69.012,62.1839,68.64,69.64,13946833.0,68.32
2015-03-16,69.14,63.416,70.0,70.03,11643352.0,68.91
2015-03-17,69.44,63.2484,69.815,70.17,11540349.0,69.21
2015-03-18,69.6,63.6243,70.23,70.49,10245719.0,69.06
2015-03-19,70.23,63.262,69.83,70.59,6959833.0,69.78
2015-03-20,70.2,63.4522,70.04,70.61,22646574.0,69.79
2015-03-23,69.92,63.4749,70.065,70.585,7700583.0,69.81
2015-03-24,69.99,62.4874,68.975,70.2299,9964722.0,68.97
2015-03-25,68.86,60.8884,67.21,68.87,11980492.0,67.2
2015-03-26,66.54,60.8386,67.155,67.45,13835913.0,65.68
2015-03-27,67.22,60.7208,67.025,67.93,8560377.0,66.75
2015-03-30,67.74,62.4013,68.88,69.0,11404465.0,67.46
2015-03-31,68.16,62.818,69.34,69.54,13035272.0,68.16
2015-04-01,68.47,62.8996,69.43,69.47,10455804.0,68.4505
2015-04-02,69.52,61.5769,67.97,69.61,14206170.0,67.76
2015-04-06,66.19,61.3867,67.76,67.96,11906307.0,66.18
2015-04-07,67.72,60.9835,67.315,68.12,13947968.0,67.26
2015-04-08,66.94,60.9337,67.26,67.59,15783095.0,66.93
2015-04-09,67.42,62.3379,68.81,69.09,14169160.0,67.31
2015-04-10,68.67,62.655,69.16,69.2,10437909.0,68.47
2015-04-13,71.23,62.2654,68.73,71.9,28612894.0,68.64
2015-04-14,69.16,62.4828,68.97,69.2,12305130.0,68.6
2015-04-15,69.29,62.0208,68.46,69.5,11923436.0,68.19
2015-04-16,68.16,61.5225,67.91,68.25,10649873.0,67.73
2015-04-17,67.49,60.8023,67.115,67.95,14011108.0,66.96
2015-04-20,67.25,62.1839,68.64,68.8,12893801.0,67.19
2015-04-21,68.84,62.1205,68.57,68.94,7839274.0,68.38
2015-04-22,68.76,62.4557,68.94,69.205,13289516.0,68.25
2015-04-23,67.35,61.9121,68.34,68.43,18341076.0,66.96
2015-04-24,68.03,61.8215,68.24,68.32,8757832.0,67.67
2015-04-27,68.77,62.7184,69.23,69.68,11818352.0,68.61
2015-04-28,69.04,63.0989,69.65,69.82,8272889.0,69.01
2015-04-29,69.19,62.2111,68.67,69.34,7660433.0,68.0
2015-04-30,68.33,61.6041,68.0,68.59,8319804.0,67.61
2015-05-01,68.31,61.9846,68.42,68.5402,7166205.0,67.955
2015-05-04,68.45,62.5598,69.055,69.36,7013837.0,68.22
2015-05-05,68.85,61.9393,68.37,69.0,8660553.0,68.1295
2015-05-06,68.2,61.432,67.81,68.85,7858176.0,67.5
2015-05-07,67.8,61.9936,68.43,68.45,6513976.0,67.79
2015-05-08,68.85,62.8815,69.41,69.41,7393302.0,68.55
2015-05-11,69.17,62.5553,69.05,69.35,6379210.0,68.82
2015-05-12,68.7,62.3152,68.785,69.02,8070350.0,68.1001
2015-05-13,69.23,63.1714,69.73,70.5,12031238.0,69.0
2015-05-14,69.99,63.8871,70.52,70.66,10945698.0,69.8101
2015-05-15,70.61,64.3763,71.06,71.09,9858575.0,70.43
2015-05-18,70.99,63.7965,70.42,71.13,5352527.0,70.25
2015-05-19,70.33,63.0717,69.62,70.42,7609093.0,69.47
2015-05-20,69.8,62.7637,69.28,69.84,8420245.0,69.22
2015-05-21,69.63,63.4975,70.09,70.95,27529727.0,69.03
2015-05-22,69.57,62.9721,69.51,69.9399,13177282.0,69.44
2015-05-26,69.53,62.8362,69.36,69.62,14768568.0,68.75
2015-05-27,69.4,64.34,71.02,71.14,17559105.0,69.1
2015-05-28,70.95,63.9595,70.6,71.318,11938952.0,70.51
2015-05-29,70.69,63.1261,69.68,70.9,18256901.0,69.6
2015-06-01,69.51,63.3208,69.415,69.9,8600482.0,69.11
2015-06-02,69.36,63.2615,69.35,69.66,12071298.0,69.06
2015-06-03,69.8,63.7268,69.86,70.05,6533305.0,69.45
2015-06-04,69.36,62.8511,68.9,69.51,9909305.0,68.76
2015-06-05,68.96,62.2627,68.255,68.96,8067943.0,68.22
2015-06-08,68.03,61.3687,67.275,68.2,9158392.0,67.25
2015-06-09,67.38,60.9719,66.84,67.47,7611718.0,66.77
2015-06-10,66.91,61.4006,67.31,67.69,12825937.0,66.91
2015-06-11,67.59,61.6652,67.6,67.81,10609823.0,67.385
2015-06-12,67.06,61.1407,67.025,67.55,6855597.0,66.79
2015-06-15,66.54,60.7758,66.625,66.845,6817541.0,66.06
