Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,4218773.0,69.0,68.01,70.4,71.9995,70.4
2015-01-05,4534786.0,71.23,67.06,67.63,71.3,67.63
2015-01-06,3749900.0,67.93,63.02,64.67,67.9899,64.67
2015-01-07,2122624.0,65.01,63.51,66.65,66.76,66.65
2015-01-08,2514567.0,67.95,67.13,67.69,69.69,67.69
2015-01-09,890633.0,68.45,66.61,67.11,68.45,67.11
2015-01-12,1259246.0,67.39,64.8,65.52,67.99,65.52
2015-01-13,1230742.0,65.74,63.61,65.02,67.59,65.02
2015-01-14,980702.0,64.65,63.11,64.59,65.45,64.59
2015-01-15,1246849.0,64.23,63.6,64.39,64.94,64.39
2015-01-16,1392888.0,64.02,63.81,65.81,66.42,65.81
2015-01-20,1096239.0,65.75,65.23,67.96,68.2,67.96
2015-01-21,1451616.0,67.61,67.57,68.84,70.8,68.84
2015-01-22,1332703.0,69.54,67.03,70.61,70.68,70.61
2015-01-23,1677595.0,70.72,70.57,73.37,74.34,73.37
2015-01-26,1571826.0,72.4,72.3,73.15,74.0,73.15
2015-01-27,1246687.0,73.0,71.5,73.75,73.88,73.75
2015-01-28,3063005.0,75.0,74.22,75.5,78.05,75.5
2015-01-29,2636706.0,72.7,72.2,75.76,75.88,75.76
2015-01-30,1623369.0,74.64,73.31,73.87,75.26,73.87
2015-02-02,3348309.0,73.08,66.88,68.72,74.0,68.72
2015-02-03,2551794.0,68.74,67.05,68.52,70.0,68.52
2015-02-04,1499558.0,67.53,66.76,68.33,69.3999,68.33
2015-02-05,1322918.0,67.66,66.5,67.39,68.73,67.39
2015-02-06,1302192.0,67.5,65.53,65.89,68.5,65.89
2015-02-09,1563602.0,65.2,63.35,63.74,65.8245,63.74
2015-02-10,1306622.0,63.87,63.67,65.02,65.12,65.02
2015-02-11,1096587.0,64.93,63.17,64.75,65.65,64.75
2015-02-12,1159026.0,65.63,65.0,66.2,66.33,66.2
2015-02-13,1870878.0,66.35,65.6301,70.03,70.27,70.03
2015-02-17,973963.0,70.0,68.06,69.44,70.0,69.44
2015-02-18,1056656.0,69.15,67.31,67.54,70.0,67.54
2015-02-19,1225397.0,67.0,65.25,65.3,68.17,65.3
2015-02-20,1463428.0,65.57,64.04,65.17,65.77,65.17
2015-02-23,889737.0,65.16,64.3,65.05,65.88,65.05
2015-02-24,1700103.0,65.36,65.2,69.34,69.35,69.34
2015-02-25,965173.0,68.95,66.6,67.21,69.28,67.21
2015-02-26,2116352.0,68.0,67.89,71.53,71.72,71.53
2015-02-27,1400857.0,70.75,69.2,69.4,71.428,69.4
2015-03-02,1127924.0,69.39,68.8,69.35,70.8,69.35
2015-03-03,1509044.0,69.36,68.35,70.84,70.96,70.84
2015-03-04,1397547.0,70.23,70.11,72.02,73.25,72.02
2015-03-05,1621943.0,72.2,72.02,74.51,75.16,74.51
2015-03-06,988083.0,73.41,72.75,72.98,74.5,72.98
2015-03-09,1076610.0,73.24,73.13,74.83,75.45,74.83
2015-03-10,1365519.0,74.13,71.74,72.15,74.31,72.15
2015-03-11,1039697.0,72.67,72.05,72.95,73.6,72.95
2015-03-12,794838.0,73.34,72.92,73.42,74.35,73.42
2015-03-13,761933.0,73.35,71.8,72.57,73.99,72.57
2015-03-16,1822376.0,74.21,74.0,76.33,76.75,76.33
2015-03-17,1824736.0,76.16,75.9,77.71,78.12,77.71
2015-03-18,2272864.0,77.86,77.69,79.96,80.8,79.96
2015-03-19,1885961.0,81.52,79.21,80.38,82.27,80.38
2015-03-20,4740960.0,81.44,79.695,80.8,81.4999,80.8
2015-03-23,2001013.0,81.15,81.07,84.09,84.19,84.09
2015-03-24,1792326.0,84.6,82.66,83.21,85.6275,83.21
2015-03-25,3728849.0,83.55,75.52,77.13,83.79,77.13
2015-03-26,3005851.0,73.5,72.1,77.19,77.75,77.19
2015-03-27,2634855.0,77.63,77.51,79.28,80.69,79.28
2015-03-30,1820353.0,80.22,79.71,81.4,81.4,81.4
2015-03-31,2006906.0,80.93,78.5503,79.7,81.0,79.7
2015-04-01,1430165.0,78.53,77.81,78.8,79.3,78.8
2015-04-02,1603809.0,79.2,76.67,77.79,79.2,77.79
2015-04-06,1613574.0,76.88,75.2,76.51,77.15,76.51
2015-04-07,2251917.0,77.08,72.73,73.23,77.69,73.23
2015-04-08,2108002.0,73.8,72.51,72.84,75.2,72.84
2015-04-09,1385059.0,72.71,71.22,74.63,74.9,74.63
2015-04-10,1315407.0,75.61,72.7601,73.58,75.93,73.58
2015-04-13,1243676.0,73.79,72.11,72.63,75.12,72.63
2015-04-14,2457067.0,72.38,69.3,70.5,73.17,70.5
2015-04-15,1714594.0,71.0,69.37,70.91,72.0,70.91
2015-04-16,1495531.0,70.8,68.61,71.46,71.5,71.46
2015-04-17,1177836.0,70.7,69.61,70.07,71.11,70.07
2015-04-20,1216884.0,70.4,70.4,72.01,72.35,72.01
2015-04-21,1159958.0,72.5,72.01,74.07,74.26,74.07
2015-04-22,817874.0,74.25,73.06,74.48,74.54,74.48
2015-04-23,1121670.0,73.93,71.55,73.27,73.95,73.27
2015-04-24,1633801.0,73.08,69.7003,70.12,73.1,70.12
2015-04-27,1512928.0,69.93,68.9,69.37,71.69,69.37
2015-04-28,2044430.0,69.97,65.442,67.86,70.308,67.86
2015-04-29,994215.0,67.59,66.51,68.65,69.0,68.65
2015-04-30,1632031.0,68.47,65.8,65.91,68.8499,65.91
2015-05-01,1708891.0,66.8,66.68,69.6,69.61,69.6
2015-05-04,1621588.0,69.85,68.6601,68.99,70.5,68.99
2015-05-05,1532575.0,68.51,66.02,67.07,69.2217,67.07
2015-05-06,2131898.0,67.7,66.5,69.06,69.4,69.06
2015-05-07,4721326.0,77.63,73.21,75.56,78.0,75.56
2015-05-08,1991630.0,76.38,76.21,76.56,77.97,76.56
2015-05-11,1697885.0,75.99,73.84,74.56,76.0,74.56
2015-05-12,1381572.0,74.13,74.0,74.75,75.85,74.75
2015-05-13,804124.0,75.35,74.33,74.96,76.1,74.96
2015-05-14,1556393.0,75.17,75.04,76.98,77.215,76.98
2015-05-15,1711316.0,76.7,75.83,76.54,77.14,76.54
2015-05-18,2668764.0,75.76,75.5,80.3,80.39,80.3
2015-05-19,1644055.0,80.75,79.4,80.1,81.89,80.1
2015-05-20,1213533.0,79.8,79.4,81.15,81.99,81.15
2015-05-21,1937811.0,81.15,79.79,81.26,81.85,81.26
2015-05-22,3055359.0,82.0,82.0,84.03,84.6426,84.03
2015-05-26,2157360.0,83.44,81.39,82.46,83.73,82.46
2015-05-27,2807004.0,82.96,82.7,86.4,86.75,86.4
2015-05-28,2310460.0,86.21,82.06,82.3,86.33,82.3
2015-05-29,2770204.0,82.87,82.03,82.15,84.33,82.15
2015-06-01,2210923.0,82.5,80.09,80.94,83.3632,80.94
2015-06-02,1703772.0,80.59,79.0,80.86,80.96,80.86
2015-06-03,2263414.0,81.35,80.9,81.55,81.907,81.55
2015-06-04,1203774.0,80.68,80.08,81.32,82.1,81.32
2015-06-05,1801268.0,81.06,80.12,83.7,83.85,83.7
2015-06-08,2193013.0,83.42,79.75,80.24,83.769,80.24
2015-06-09,2807660.0,80.51,77.6,80.05,81.0,80.05
2015-06-10,6108678.0,81.375,80.29,82.5,82.74,82.5
2015-06-11,28866259.0,82.49,81.651,82.0,83.0,82.0
2015-06-12,2641046.0,81.99,81.75,83.51,83.7,83.51
2015-06-15,2640829.0,82.51,82.05,82.18,82.99,82.18
2015-06-16,2476532.0,82.22,82.11,84.75,84.99,84.75
2015-06-17,1894035.0,84.81,83.09,84.56,85.07,84.56
2015-06-18,2013364.0,84.63,83.623,84.65,85.46,84.65
2015-06-19,2833108.0,84.89,84.33,85.25,86.28,85.25
2015-06-22,2664696.0,86.27,85.86,87.81,88.35,87.81
2015-06-23,2469367.0,87.9,84.85,85.31,87.96,85.31
2015-06-24,1488568.0,85.13,84.56,84.59,85.88,84.59
2015-06-25,1391270.0,84.75,84.75,84.98,85.86,84.98
2015-06-26,20596323.0,84.85,79.66,80.41,84.9999,80.41
2015-06-29,2892520.0,78.75,77.83,79.06,81.69,79.06
2015-06-30,1957799.0,80.0,78.5768,80.27,81.0,80.27
2015-07-01,1639714.0,81.25,80.01,80.36,82.25,80.36
2015-07-02,1151395.0,80.72,80.2,81.36,81.55,81.36
2015-07-06,2121645.0,80.33,78.59,79.99,81.935,79.99
2015-07-07,3086401.0,80.29,74.36,79.95,80.43,79.95
2015-07-08,3271840.0,77.43,74.4808,74.68,77.45,74.68
2015-07-09,2011298.0,76.3,74.33,74.63,77.27,74.63
2015-07-10,2365795.0,75.22,73.71,76.16,76.5,76.16
2015-07-13,1397443.0,77.17,75.24,76.61,78.21,76.61
2015-07-14,1047521.0,77.14,76.93,77.96,78.52,77.96
2015-07-15,1051254.0,78.6,77.427,77.88,79.1,77.88
2015-07-16,1501041.0,78.07,77.7,80.24,80.52,80.24
2015-07-17,1327631.0,80.14,78.1,78.86,80.79,78.86
2015-07-20,2117605.0,78.5,76.5,76.7,79.58,76.7
2015-07-21,1692304.0,76.22,75.41,77.45,77.95,77.45
2015-07-22,3345645.0,72.55,71.01,74.17,74.88,74.17
2015-07-23,1777362.0,74.71,74.44,75.24,77.22,75.24
2015-07-24,1952249.0,76.51,72.2,72.28,77.1699,72.28
2015-07-27,1926702.0,71.45,69.01,69.94,71.45,69.94
2015-07-28,1371697.0,70.5,68.5,70.75,71.084,70.75
2015-07-29,2562748.0,70.33,68.94,70.47,70.85,70.47
2015-07-30,10331417.0,60.65,57.1,60.485,62.348,60.485
2015-07-31,4389313.0,60.61,57.64,57.95,60.79,57.95
2015-08-03,3662936.0,57.52,56.55,57.52,58.61,57.52
2015-08-04,5794839.0,56.68,54.37,55.06,58.14,55.06
2015-08-05,4071828.0,55.16,54.25,54.83,56.83,54.83
2015-08-06,3199748.0,54.73,50.8,51.83,54.83,51.83
2015-08-07,1874090.0,51.54,51.0,52.2,53.07,52.2
2015-08-10,2160562.0,53.18,53.17,54.53,55.1,54.53
2015-08-11,2311339.0,53.5,53.13,53.86,54.91,53.86
2015-08-12,3352155.0,52.74,51.71,56.96,57.6,56.96
2015-08-13,3508380.0,57.23,55.84,58.32,59.68,58.32
2015-08-14,2517344.0,57.58,56.31,58.24,58.68,58.24
2015-08-17,1251786.0,57.71,57.35,58.28,58.43,58.28
2015-08-18,1585966.0,57.6,55.85,55.93,57.94,55.93
2015-08-19,1820140.0,55.9,55.01,55.59,56.85,55.59
2015-08-20,2399474.0,54.61,52.23,52.36,55.355,52.36
2015-08-21,3704004.0,51.83,49.86,49.99,51.99,49.99
2015-08-24,3978164.0,45.5,45.0,48.5,51.07,48.5
2015-08-25,2656140.0,51.79,49.78,49.81,52.972,49.81
2015-08-26,2350959.0,51.67,49.77,52.75,52.97,52.75
2015-08-27,2540710.0,54.13,54.02,54.74,55.89,54.74
2015-08-28,1757971.0,54.37,54.22,55.79,55.92,55.79
2015-08-31,2092778.0,54.79,54.17,55.51,56.28,55.51
2015-09-01,2299274.0,53.89,53.12,53.45,55.94,53.45
2015-09-02,1925130.0,54.75,53.51,54.82,55.4399,54.82
2015-09-03,2281855.0,55.0,54.86,56.57,58.36,56.57
2015-09-04,1332220.0,55.29,54.72,55.79,56.64,55.79
2015-09-08,1411267.0,57.04,56.68,58.19,58.4,58.19
2015-09-09,2079930.0,58.54,56.05,56.55,59.45,56.55
2015-09-10,2971263.0,56.98,53.61,53.98,57.16,53.98
2015-09-11,1532035.0,53.77,52.61,53.52,54.38,53.52
2015-09-14,1540124.0,54.1,52.91,53.49,54.497,53.49
2015-09-15,1825687.0,53.86,51.73,52.73,54.08,52.73
2015-09-16,1621702.0,52.64,51.3,51.74,53.28,51.74
2015-09-17,1528336.0,51.49,51.2144,51.39,52.66,51.39
2015-09-18,3070117.0,50.7,49.77,50.73,51.73,50.73
2015-09-21,1527102.0,50.97,49.8,49.9,51.35,49.9
2015-09-22,2027102.0,49.27,47.19,47.37,49.82,47.37
2015-09-23,1479155.0,47.95,47.8,48.06,49.81,48.06
2015-09-24,1784350.0,47.66,45.8801,46.77,47.96,46.77
2015-09-25,1714148.0,47.5,47.01,47.68,49.15,47.68
2015-09-28,3153547.0,46.52,43.14,43.25,46.97,43.25
2015-09-29,1548697.0,43.01,42.73,43.57,44.67,43.57
2015-09-30,1852136.0,44.23,44.04,45.05,45.47,45.05
2015-10-01,2323863.0,44.46,42.43,43.63,44.63,43.63
2015-10-02,1406788.0,42.88,42.24,44.96,44.98,44.96
2015-10-05,1159040.0,45.35,44.6,44.77,45.86,44.77
2015-10-06,1702268.0,44.83,42.67,44.28,45.04,44.28
2015-10-07,1634975.0,44.74,44.18,45.55,45.73,45.55
2015-10-08,1396474.0,45.25,43.68,45.26,45.43,45.26
2015-10-09,1027020.0,45.03,44.91,45.66,46.275,45.66
2015-10-12,1264307.0,45.85,45.24,46.43,46.73,46.43
2015-10-13,1550028.0,46.0,43.9399,44.14,46.198,44.14
2015-10-14,2130835.0,44.43,44.2,46.5,46.97,46.5
2015-10-15,1890991.0,47.06,46.88,48.31,48.79,48.31
2015-10-16,961479.0,48.44,46.53,47.32,48.44,47.32
2015-10-19,845421.0,47.29,46.29,46.85,47.71,46.85
2015-10-20,1179375.0,47.18,46.66,48.2,48.25,48.2
2015-10-21,1378201.0,48.48,47.84,48.5,48.9,48.5
2015-10-22,1460763.0,49.25,48.81,49.55,50.81,49.55
2015-10-23,1303514.0,50.11,49.0,51.5,51.625,51.5
2015-10-26,1925467.0,50.89,46.43,46.76,50.95,46.76
2015-10-27,1693251.0,46.25,45.25,45.89,46.75,45.89
2015-10-28,2344333.0,47.0,44.5,45.17,47.07,45.17
2015-10-29,1587757.0,43.9,43.4901,43.81,45.17,43.81
2015-10-30,1312137.0,44.07,43.65,43.93,44.8,43.93
