Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,90.61,93.64,93.24,92.28,86.6295,604517.0
2015-01-05,89.16,91.585,91.29,89.32,83.8507,575991.0
2015-01-06,87.59,90.05,89.82,88.34,82.9307,692202.0
2015-01-07,88.27,89.47,89.05,88.8,83.3625,450460.0
2015-01-08,89.49,91.08,89.75,90.93,85.3621,675141.0
2015-01-09,89.29,90.96,90.96,89.34,83.8695,413099.0
2015-01-12,87.77,89.65,89.64,88.14,82.743,578110.0
2015-01-13,87.5,90.64,89.03,88.49,83.0715,463044.0
2015-01-14,86.43,88.05,86.91,87.56,82.1985,414789.0
2015-01-15,86.84,88.46,88.11,86.95,81.6258,633279.0
2015-01-16,86.55,88.42,86.55,88.34,82.9307,455051.0
2015-01-20,87.59,89.6499,88.98,88.59,83.1654,339984.0
2015-01-21,88.18,90.32,88.39,88.97,83.5221,641121.0
2015-01-22,89.28,90.615,90.1,90.57,85.0242,587500.0
2015-01-23,89.91,91.308,90.3,90.61,85.0617,404326.0
2015-01-26,89.9,91.22,90.41,90.41,84.874,553364.0
2015-01-27,88.43,90.254,88.77,89.95,84.4421,610697.0
2015-01-28,87.85,91.06,90.95,88.03,82.6397,397473.0
2015-01-29,85.74,88.37,87.58,86.24,80.9593,1365232.0
2015-01-30,82.29,85.9,85.25,82.79,77.7206,1347091.0
2015-02-02,82.89,84.55,83.36,84.03,78.8846,1345109.0
2015-02-03,82.65,89.3399,82.78,88.54,83.1185,2074450.0
2015-02-04,86.3,89.02,87.61,88.46,83.0434,1295505.0
2015-02-05,88.472,89.75,88.98,88.86,83.4189,739153.0
2015-02-06,88.79,91.12,88.85,90.33,84.7989,747838.0
2015-02-09,89.37,91.03,89.7,90.36,84.827,656357.0
2015-02-10,89.61,91.22,91.22,90.63,85.0805,740637.0
2015-02-11,90.81,92.8,91.09,92.28,86.6295,682660.0
2015-02-12,92.34,93.69,92.34,93.51,87.7841,478407.0
2015-02-13,93.35,93.96,93.55,93.92,88.169,406193.0
2015-02-17,93.06,94.14,93.41,94.12,88.3568,457055.0
2015-02-18,93.65,94.45,94.0,93.82,88.0752,462416.0
2015-02-19,93.58,94.76,93.58,94.03,88.6196,254948.0
2015-02-20,93.07,94.99,93.7,94.76,89.3076,470871.0
2015-02-23,94.1,94.91,94.79,94.59,89.1474,320388.0
2015-02-24,94.11,95.46,94.38,95.09,89.6187,468723.0
