Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,181.41,186.67,185.975,183.1,172.234,504270.0
2015-01-05,176.815,180.5,179.78,177.88,167.3237,1765039.0
2015-01-06,173.25,178.494,178.04,174.41,164.0597,1490128.0
2015-01-07,175.5,178.9,175.67,178.78,168.1703,620386.0
2015-01-08,177.09,179.57,177.7,178.57,167.9728,793597.0
2015-01-09,174.28,177.41,177.17,175.99,165.5459,744247.0
2015-01-12,173.23,176.0,174.65,174.42,164.0691,1003248.0
2015-01-13,172.2,177.53,175.88,173.64,163.3354,923372.0
2015-01-14,169.72,173.4499,171.8,172.3,162.0749,774513.0
2015-01-15,169.41,172.83,172.83,169.46,159.4034,532479.0
2015-01-16,167.54,170.32,169.57,170.05,159.9584,1250084.0
2015-01-20,167.82,170.95,170.85,168.22,158.237,1083189.0
2015-01-21,167.252,171.0,167.56,169.52,159.4599,744342.0
2015-01-22,169.29,172.09,170.23,170.83,160.6921,1208441.0
2015-01-23,168.66,171.53,170.48,168.77,158.7544,956239.0
2015-01-26,166.5335,169.63,168.2,169.29,159.2435,1030718.0
2015-01-27,164.49,168.65,168.48,167.5,157.5597,1303739.0
2015-01-28,166.11,169.14,168.7,166.2,156.3369,922767.0
2015-01-29,166.78,170.53,167.12,170.03,159.9396,764202.0
2015-01-30,166.0,169.87,167.81,166.89,156.9859,959543.0
2015-02-02,164.01,168.44,166.44,167.8,157.8419,1068051.0
2015-02-03,168.14,171.27,168.79,170.83,160.6921,1181492.0
2015-02-04,139.2101,153.27,151.5,139.71,131.4189,10494375.0
2015-02-05,136.5,143.2,138.09,141.77,133.3567,4374950.0
2015-02-06,138.4,142.24,142.24,138.87,130.6288,2437839.0
2015-02-09,135.1,138.69,138.55,136.09,128.0138,1949722.0
2015-02-10,134.88,137.49,137.04,135.11,127.0919,1805151.0
2015-02-11,134.34,136.28,135.49,135.17,127.1484,1852115.0
2015-02-12,134.26,136.2,135.32,135.8,127.741,1341561.0
2015-02-13,134.87,137.15,135.9,135.2,127.1766,1364659.0
2015-02-17,133.495,136.74,135.21,136.34,128.2489,1206368.0
2015-02-18,136.005,137.14,136.3,136.42,128.3242,1025650.0
2015-02-19,135.692,137.5,136.05,136.97,128.8415,1175061.0
2015-02-20,136.44,140.475,136.75,139.3,131.0333,1517946.0
2015-02-23,138.3,140.013,139.77,138.67,130.4407,1094013.0
2015-02-24,137.8664,139.0699,138.37,138.09,129.8951,720664.0
2015-02-25,137.91,139.01,138.1,138.44,130.2243,983743.0
2015-02-26,137.21,139.02,138.43,137.48,129.3213,758265.0
2015-02-27,136.02,137.98,137.48,137.41,129.2554,813939.0
2015-03-02,136.92,138.59,137.85,138.06,129.8669,775550.0
2015-03-03,135.65,138.47,138.47,135.93,127.8633,901188.0
2015-03-04,134.44,136.04,135.79,134.94,126.932,1138820.0
2015-03-05,134.14,135.66,134.99,134.29,126.3206,634526.0
2015-03-06,131.5,134.8,134.15,131.93,124.1006,1125378.0
2015-03-09,131.18,133.0099,131.79,132.86,124.9754,975500.0
2015-03-10,129.5,132.01,132.01,130.46,122.7179,1165002.0
2015-03-11,127.29,131.32,130.5,127.66,120.084,1248371.0
2015-03-12,127.6,130.65,128.13,130.48,122.7367,1049534.0
2015-03-13,128.93,130.53,129.73,130.01,122.2946,752470.0
2015-03-16,129.0,130.6,130.11,129.7,122.003,864419.0
2015-03-17,128.71,130.23,129.02,129.1,121.4386,779791.0
2015-03-18,128.824,132.66,128.95,132.3,124.4487,1020426.0
2015-03-19,131.59,133.44,132.1,132.64,124.7685,890701.0
2015-03-20,132.5,133.88,132.94,133.18,125.2765,1187555.0
2015-03-23,133.115,134.355,133.16,133.87,125.9255,538735.0
2015-03-24,133.2,134.12,133.55,133.73,125.7938,647882.0
2015-03-25,132.86,134.3969,133.44,132.86,125.4458,982567.0
2015-03-26,131.25,132.7,131.87,131.97,124.6054,567090.0
2015-03-27,130.29,132.9897,131.71,131.22,123.8973,561984.0
2015-03-30,131.92,133.12,132.76,132.27,124.8887,457292.0
2015-03-31,131.13,132.89,131.45,131.5,124.1617,623291.0
2015-04-01,130.03,132.76,131.57,132.7,125.2947,1026852.0
2015-04-02,132.47,134.81,132.91,134.67,127.1548,1398034.0
2015-04-06,133.76,138.02,133.76,137.82,130.129,1807792.0
2015-04-07,139.0,140.49,139.06,139.19,131.4225,1541969.0
2015-04-08,138.6,140.66,139.89,139.44,131.6586,919783.0
2015-04-09,139.21,141.08,139.33,140.26,132.4328,879215.0
2015-04-10,137.135,140.14,139.92,138.12,130.4122,917649.0
2015-04-13,136.8,138.0,137.68,137.53,129.8552,662521.0
2015-04-14,136.73,137.99,137.34,137.09,129.4397,506059.0
2015-04-15,137.48,138.37,138.0,137.57,129.8929,629025.0
2015-04-16,136.62,138.17,137.78,137.32,129.6569,686857.0
2015-04-17,133.46,136.75,136.16,133.78,126.3144,782219.0
2015-04-20,134.83,137.61,135.09,136.95,129.3075,710834.0
2015-04-21,134.55,137.84,137.14,135.95,128.3633,759782.0
2015-04-22,135.33,136.63,136.63,136.39,128.7788,615702.0
2015-04-23,136.342,138.68,136.91,137.37,129.7041,585191.0
