Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,0.0,26.5,26.5,26.5,26.5,26.5
2015-01-05,2899000.0,26.0,25.0,25.5,26.0,25.5
2015-01-06,4610400.0,25.7,25.3,25.5,26.1,25.5
2015-01-07,1642400.0,25.8,25.5,25.8,26.0,25.8
2015-01-08,2455000.0,26.0,25.95,26.4,26.75,26.4
2015-01-09,3767300.0,26.4,26.4,26.5,26.8,26.5
2015-01-12,441700.0,26.5,25.8,26.3,26.55,26.3
2015-01-13,1134000.0,26.3,25.8,25.8,26.4,25.8
2015-01-14,2588200.0,26.5,26.0,26.25,27.0,26.25
2015-01-15,0.0,26.25,26.25,26.25,26.25,26.25
2015-01-16,0.0,26.25,26.25,26.25,26.25,26.25
2015-01-20,7562700.0,25.8,25.8,26.5,26.95,26.5
2015-01-21,668800.0,26.55,26.0,26.45,26.8,26.45
2015-01-22,612700.0,26.45,25.8,26.3,26.5,26.3
2015-01-23,1895900.0,26.5,26.15,26.3,26.5,26.3
2015-01-26,1720900.0,26.3,26.3,26.85,26.9,26.85
2015-01-27,4570500.0,26.85,26.6,26.8,27.2,26.8
2015-01-28,3482700.0,26.65,26.65,27.35,27.4,27.35
2015-01-29,2265500.0,27.35,26.35,26.5,27.4,26.5
2015-01-30,2425500.0,26.5,26.5,27.8,27.8,27.8
2015-02-02,309700.0,27.6,26.8,27.4,27.6,27.4
2015-02-03,1574000.0,27.35,27.1,27.4,27.45,27.4
2015-02-04,3604800.0,27.85,27.0,27.15,27.9,27.15
2015-02-05,3186400.0,27.25,26.3,26.6,27.25,26.6
2015-02-06,4716800.0,26.8,26.5,26.75,26.8,26.75
2015-02-09,3599500.0,27.0,26.8,26.8,27.45,26.8
2015-02-10,426400.0,27.45,26.5,26.55,27.45,26.55
2015-02-11,801300.0,26.55,26.2,27.0,27.0,27.0
2015-02-12,343300.0,27.0,26.5,26.9,27.05,26.9
2015-02-13,2822300.0,26.5,26.25,26.4,27.0,26.4
2015-02-17,3721700.0,26.6,26.3,26.5,27.0,26.5
2015-02-18,5325900.0,26.55,26.4,26.55,26.8,26.55
2015-02-19,0.0,26.55,26.55,26.55,26.55,26.55
2015-02-20,2162800.0,27.0,26.85,27.3,27.3,27.3
2015-02-23,5082600.0,27.35,27.0,28.2,28.3,28.2
2015-02-24,736600.0,28.4,27.7,27.7,28.4,27.7
2015-02-25,1688300.0,28.05,28.0,28.1,28.35,28.1
2015-02-26,3805200.0,28.0,27.9,28.2,28.3,28.2
2015-02-27,3179100.0,28.2,27.75,28.0,28.2,28.0
2015-03-02,1867800.0,27.5,27.5,28.8,29.4,28.8
2015-03-03,2909300.0,28.8,28.65,29.0,29.3,29.0
2015-03-04,7166300.0,29.0,29.0,29.8,30.0,29.8
2015-03-05,1662200.0,29.0,29.0,29.0,30.0,29.0
2015-03-06,2462700.0,29.0,28.5,28.65,29.0,28.65
2015-03-09,4072400.0,27.25,27.25,28.0,28.15,28.0
2015-03-10,2951500.0,27.9,27.7,27.95,28.6,27.95
2015-03-11,1847300.0,27.95,27.4,27.45,28.75,27.45
2015-03-12,2815900.0,27.45,27.45,28.5,28.95,28.5
2015-03-13,3083000.0,28.6,28.5,28.5,29.6,28.5
2015-03-16,1131500.0,28.5,28.5,28.8,29.0,28.8
2015-03-17,2778500.0,28.9,28.8,29.0,29.8,29.0
2015-03-18,1272100.0,29.0,28.6,28.8,29.6,28.8
2015-03-19,3691200.0,29.0,28.9,29.0,30.6,29.0
2015-03-20,1820500.0,29.45,28.75,28.95,29.45,28.95
2015-03-23,5307700.0,28.85,28.85,30.55,30.7,30.55
2015-03-24,1391000.0,30.6,30.3,30.4,30.65,30.4
2015-03-25,3859600.0,30.25,29.95,30.0,30.4,30.0
2015-03-26,3325100.0,30.0,29.3,30.1,30.3,30.1
2015-03-27,8562800.0,30.1,30.1,31.3,31.8,31.3
2015-03-30,5128500.0,31.05,31.0,31.3,31.55,31.3
2015-03-31,5605800.0,31.3,30.2,30.8,31.6,30.8
2015-04-01,5043100.0,30.8,30.0,30.1,31.0,30.1
2015-04-02,0.0,30.1,30.1,30.1,30.1,30.1
2015-04-06,1367900.0,30.1,29.7,30.05,30.1,30.05
2015-04-07,1191600.0,30.05,29.75,29.95,30.1,29.95
2015-04-08,1399700.0,29.75,29.2,29.25,31.1,29.25
2015-04-09,0.0,29.25,29.25,29.25,29.25,29.25
2015-04-10,3341400.0,29.5,28.75,28.75,30.35,28.75
2015-04-13,2992600.0,29.25,28.9,29.1,29.85,29.1
2015-04-14,8851800.0,29.0,29.0,29.0,29.35,29.0
2015-04-15,11286500.0,29.3,28.75,29.1,29.3,29.1
2015-04-16,5445600.0,29.15,28.9,29.1,29.45,29.1
2015-04-17,2468200.0,29.1,29.05,29.2,29.65,29.2
2015-04-20,3872500.0,29.3,29.0,29.45,30.0,29.45
2015-04-21,3162000.0,29.45,29.4,29.7,30.0,29.7
2015-04-22,1523300.0,29.7,29.4,29.9,30.0,29.9
2015-04-23,2258700.0,29.9,29.3,29.65,29.9,29.65
2015-04-24,8775800.0,29.7,29.3,29.9,30.0,29.9
2015-04-27,1193300.0,30.0,29.65,29.9,30.4,29.9
2015-04-28,3851400.0,29.6,29.3,29.9,30.1,29.9
2015-04-29,4018200.0,29.9,29.9,30.2,30.45,30.2
2015-04-30,6459400.0,30.0,29.8,29.95,30.0,29.95
2015-05-01,0.0,29.95,29.95,29.95,29.95,29.95
2015-05-04,5273600.0,29.95,29.9,29.9,30.05,29.9
2015-05-05,2229900.0,29.9,29.3,29.35,30.0,29.35
2015-05-06,1112200.0,29.35,29.35,29.4,29.5,29.4
2015-05-07,4857600.0,29.4,28.8,29.0,29.4,29.0
2015-05-08,4200900.0,29.0,28.9,29.1,29.2,29.1
2015-05-11,994800.0,29.0,28.8,28.95,29.1,28.95
2015-05-12,3216600.0,28.95,28.7,29.15,29.3,29.15
2015-05-13,3354800.0,29.5,28.8,29.15,29.5,29.15
2015-05-14,727400.0,28.95,28.95,30.0,30.0,30.0
2015-05-15,1279800.0,30.0,29.7,30.0,30.2,30.0
2015-05-18,466400.0,29.5,29.5,29.9,30.0,29.9
2015-05-19,5806300.0,29.5,29.0,29.2,29.5,29.2
2015-05-20,4976200.0,29.6,28.85,29.1,29.6,29.1
2015-05-21,2197200.0,29.0,28.85,28.95,29.0,28.95
2015-05-22,5928200.0,28.9,28.6,28.6,29.0,28.6
2015-05-26,7464000.0,28.6,28.35,28.55,28.85,28.55
2015-05-27,6178000.0,28.3,28.05,28.95,29.0,28.95
2015-05-28,7240400.0,28.95,28.15,28.7,28.95,28.7
2015-05-29,2494700.0,28.95,28.95,29.5,29.6,29.5
2015-06-01,5275300.0,29.5,29.5,29.6,29.9,29.6
2015-06-02,795700.0,29.6,28.75,28.85,29.6,28.85
2015-06-03,2729200.0,28.85,28.35,28.75,29.6,28.75
2015-06-04,2078900.0,29.75,26.8,28.2,29.75,28.2
2015-06-05,928000.0,28.2,28.2,29.0,29.45,29.0
2015-06-08,2549700.0,29.0,27.45,27.65,29.0,27.65
2015-06-09,3559600.0,27.35,26.0,27.0,27.35,27.0
2015-06-10,1276100.0,26.7,26.7,28.0,28.5,28.0
2015-06-11,1516100.0,28.0,27.95,28.5,28.5,28.5
2015-06-12,0.0,28.5,28.5,28.5,28.5,28.5
