Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,82.13,38.8813,81.44,82.975,3453049.0,80.89
2015-01-05,80.14,38.1365,79.88,80.67,5811898.0,79.49
2015-01-06,80.34,37.8262,79.23,80.39,3832170.0,78.56
2015-01-07,79.75,38.7571,81.18,81.23,4866277.0,79.4
2015-01-08,82.33,39.3826,82.49,83.3,6585274.0,82.02
2015-01-09,80.99,38.0935,79.79,81.51,13687530.0,79.12
2015-01-12,80.29,38.3036,80.23,80.83,5010743.0,79.82
2015-01-13,81.48,38.6091,80.87,82.14,5520351.0,80.13
2015-01-14,80.05,38.3943,80.42,80.78,4647542.0,79.61
2015-01-15,80.6,37.9933,79.58,80.9,4063301.0,79.19
2015-01-16,79.26,38.485,80.61,80.78,4507751.0,79.0
2015-01-20,80.8,38.7786,81.225,81.47,5369152.0,80.33
2015-01-21,81.05,38.8097,81.29,81.63,5422091.0,80.53
2015-01-22,81.36,39.5019,82.74,82.84,11956528.0,80.89
2015-01-23,86.5,42.1182,88.22,88.7,19053597.0,86.44
2015-01-26,88.09,42.0705,88.12,88.5,7049287.0,87.41
2015-01-27,87.78,42.1755,88.34,89.21,5497904.0,87.45
2015-01-28,88.7,41.8055,87.565,89.59,5981601.0,87.49
2015-01-29,88.01,42.5145,89.05,89.3,6237930.0,87.57
2015-01-30,88.58,41.7888,87.53,88.94,5035228.0,87.39
2015-02-02,87.68,42.0084,87.99,88.09,6819416.0,85.86
2015-02-03,87.98,42.3999,88.49,88.49,4626213.0,86.93
2015-02-04,88.0,42.5005,88.7,89.43,5748349.0,87.99
2015-02-05,88.71,42.9509,89.64,89.77,3799336.0,88.71
2015-02-06,89.5,42.6442,89.0,89.675,3917666.0,88.68
2015-02-09,88.51,42.558,88.82,89.2069,3455807.0,88.14
2015-02-10,89.37,43.6888,91.18,91.38,6234750.0,89.33
2015-02-11,91.16,43.5019,90.79,91.79,3233455.0,90.705
2015-02-12,91.09,43.9978,91.825,91.94,3598779.0,90.09
2015-02-13,91.99,43.8805,91.58,91.99,3054761.0,90.905
2015-02-17,91.77,44.0961,92.03,92.24,3193450.0,91.26
2015-02-18,92.39,44.5608,93.0,93.33,3270993.0,92.0
2015-02-19,93.15,44.6423,93.17,93.78,3054588.0,93.01
2015-02-20,93.46,44.8052,93.51,93.67,3231331.0,92.97
2015-02-23,93.85,44.8387,93.58,93.928,2927286.0,93.08
2015-02-24,93.26,44.7765,93.45,93.99,3168944.0,93.16
2015-02-25,93.3,45.1646,94.26,94.83,4060330.0,93.25
2015-02-26,94.3,45.3035,94.55,94.8225,3408176.0,94.08
2015-02-27,94.79,44.7932,93.485,94.8,4329202.0,93.27
2015-03-02,93.33,45.1478,94.225,94.55,3973509.0,93.33
2015-03-03,94.1,45.04,94.0,94.21,3789187.0,93.2
2015-03-04,93.81,44.5896,93.06,94.19,3887267.0,92.01
2015-03-05,93.28,44.8627,93.63,93.96,2924375.0,93.0606
2015-03-06,93.3,44.1847,92.215,93.695,3407207.0,91.88
2015-03-09,92.39,44.58,93.04,93.13,2992440.0,92.09
2015-03-10,92.16,44.1679,92.18,92.9099,3038492.0,91.77
2015-03-11,92.12,43.8038,91.42,92.98,4092947.0,91.22
2015-03-12,91.97,44.7429,93.38,93.53,3647672.0,91.84
2015-03-13,92.68,44.6998,93.29,94.37,2917626.0,92.68
2015-03-16,94.0,45.0616,94.045,94.62,3386303.0,93.74
2015-03-17,93.76,45.2245,94.385,94.48,2754398.0,93.6
2015-03-18,94.0,45.9216,95.84,96.57,7714964.0,93.35
2015-03-19,96.76,46.8416,97.76,99.2,11010309.0,96.38
2015-03-20,98.49,46.6978,97.46,98.9,8680306.0,97.01
2015-03-23,97.88,46.6547,97.37,97.9,3992993.0,96.71
2015-03-24,97.11,46.9159,97.915,98.33,3859244.0,96.76
2015-03-25,98.14,45.8881,95.77,98.48,4953585.0,95.77
2015-03-26,95.35,45.5575,95.08,95.75,5172152.0,93.66
2015-03-27,95.0,45.5527,95.07,95.95,3996675.0,94.75
2015-03-30,96.04,45.9887,95.98,96.5,3415135.0,95.5
2015-03-31,95.67,45.3754,94.7,96.2,4358877.0,94.69
2015-04-01,94.28,44.5704,93.02,94.5,7062675.0,92.56
2015-04-02,93.42,45.2269,94.39,94.635,4431509.0,93.22
2015-04-06,93.85,45.2891,94.52,94.8,3029447.0,93.45
2015-04-07,94.41,45.0735,94.07,94.9599,2677335.0,93.96
2015-04-08,93.84,45.6293,95.23,95.28,3413944.0,93.84
2015-04-09,47.65,45.96,47.96,47.99,7109621.0,47.25
2015-04-10,48.6,46.1612,48.17,48.6,6643106.0,47.88
2015-04-13,48.56,46.4774,48.5,48.89,8171030.0,48.38
2015-04-14,48.52,46.2858,48.3,48.71,5952424.0,47.97
2015-04-15,48.81,46.1325,48.14,48.81,5162169.0,48.13
2015-04-16,48.23,46.2331,48.245,48.48,5312499.0,48.16
2015-04-17,47.9,45.6341,47.62,48.0,7539865.0,47.39
2015-04-20,47.9,45.9695,47.97,48.12,4868425.0,47.7
2015-04-21,48.35,46.3529,48.37,48.4799,6213360.0,48.02
2015-04-22,48.5,46.3193,48.335,48.6,7248119.0,47.98
2015-04-23,48.55,47.3687,49.43,49.7,15866051.0,48.28
2015-04-24,51.32,49.6782,51.84,52.09,22284881.0,50.62
2015-04-27,51.81,48.7486,50.87,51.94,11222608.0,50.76
2015-04-28,50.6,48.4994,50.61,50.8,8882901.0,49.9801
2015-04-29,50.42,48.5378,50.65,50.95,7161992.0,50.2
2015-04-30,50.63,47.5124,49.58,50.68,8492048.0,49.43
2015-05-01,49.95,48.1928,50.29,50.42,5916509.0,49.68
2015-05-04,50.3,48.3413,50.445,50.93,7493420.0,50.27
2015-05-05,49.94,47.498,49.405,50.05,10691207.0,49.36
2015-05-06,49.68,47.0414,48.93,49.7,8033489.0,48.57
2015-05-07,48.74,47.4451,49.35,49.55,5681417.0,48.72
2015-05-08,49.99,47.8586,49.78,50.4265,6039840.0,49.46
2015-05-11,49.71,47.5894,49.5,50.22,5047180.0,49.38
2015-05-12,49.15,47.7913,49.71,49.99,5868552.0,49.0
2015-05-13,49.85,47.6759,49.59,50.15,4927094.0,49.425
2015-05-14,49.98,48.6036,50.555,50.59,7339742.0,49.67
2015-05-15,50.79,48.8392,50.8,50.85,6016694.0,50.39
2015-05-18,50.65,49.2045,51.18,51.29,8999761.0,50.56
2015-05-19,51.48,49.4352,51.42,51.715,6976052.0,50.96
2015-05-20,51.31,49.0603,51.03,51.44,5644662.0,50.43
2015-05-21,50.94,49.3487,51.33,51.45,5084042.0,50.78
2015-05-22,51.33,49.4929,51.48,51.65,5857672.0,51.21
2015-05-26,51.38,48.8776,50.84,51.78,7369923.0,50.66
2015-05-27,51.04,49.5987,51.59,51.7,6213573.0,50.91
2015-05-28,51.84,49.8102,51.81,51.94,5874382.0,51.445
2015-05-29,51.95,49.9544,51.96,52.23,9399112.0,51.45
2015-06-01,51.96,50.2044,52.22,52.46,7075082.0,51.67
2015-06-02,51.98,49.7333,51.73,52.3,7877799.0,51.66
2015-06-03,52.0,50.1082,52.12,52.27,5522702.0,51.67
2015-06-04,51.87,49.7237,51.72,52.18,6230805.0,51.57
2015-06-05,51.57,50.1755,52.19,52.44,7123248.0,51.27
2015-06-08,52.0,49.541,51.53,52.23,6320181.0,51.49
2015-06-09,51.35,49.5506,51.54,51.7,5034038.0,51.1
2015-06-10,51.8,50.6562,52.69,52.86,8003611.0,51.66
2015-06-11,52.81,50.4639,52.49,53.0,6030167.0,52.44
2015-06-12,52.41,50.5985,52.63,52.74,5236747.0,52.16
2015-06-15,52.23,50.2524,52.27,52.46,5554964.0,52.01
2015-06-16,52.27,50.9206,52.965,53.14,6106529.0,52.2
2015-06-17,53.09,51.185,53.24,53.47,6735294.0,52.72
2015-06-18,53.5,52.0214,54.11,54.28,10712142.0,53.4
2015-06-19,54.08,51.8484,53.93,54.44,10609714.0,53.84
2015-06-22,54.325,51.8195,53.9,54.43,7100665.0,53.88
2015-06-23,54.04,52.0262,54.115,54.18,5679984.0,53.72
2015-06-24,53.75,51.6369,53.71,53.97,5524969.0,53.5194
2015-06-25,54.09,51.983,54.07,54.45,5389863.0,54.0
2015-06-26,54.46,52.5117,54.62,54.75,6637183.0,54.3
2015-06-29,53.87,51.483,53.55,54.39,6534077.0,53.5144
2015-06-30,54.15,51.5455,53.615,54.3,9793969.0,53.14
2015-07-01,53.86,51.8099,53.89,54.21,6107698.0,53.6
2015-07-02,54.03,52.1464,54.24,54.7,5684667.0,53.9501
2015-07-06,53.64,52.2089,54.305,54.405,5396439.0,53.63
2015-07-07,54.29,52.2762,54.375,54.54,9462256.0,53.36
2015-07-08,53.86,51.3292,53.39,54.02,8139303.0,53.3101
2015-07-09,54.07,51.9637,54.05,54.5,7681013.0,53.88
2015-07-10,54.54,52.4637,54.57,54.732,8087800.0,54.18
2015-07-13,55.0,53.55,55.7,55.89,7477170.0,54.9
2015-07-14,55.96,53.5981,55.75,56.06,7028025.0,55.52
2015-07-15,55.92,53.2039,55.34,55.95,8212573.0,55.285
2015-07-16,56.06,53.5885,55.74,56.16,7305520.0,55.66
2015-07-17,55.9,53.5404,55.69,55.9,8715431.0,55.37
2015-07-20,55.73,54.0404,56.21,56.74,8029646.0,55.7
2015-07-21,56.38,54.0307,56.2,56.47,6717452.0,55.78
2015-07-22,56.43,54.5018,56.69,56.87,6876059.0,56.25
2015-07-23,56.98,54.3769,56.56,57.0,12439229.0,56.16
2015-07-24,59.12,55.0787,57.29,59.31,14559687.0,57.15
2015-07-27,57.21,54.7806,56.98,57.47,8993523.0,56.85
2015-07-28,57.39,54.9345,57.14,57.4,8689215.0,56.56
2015-07-29,57.38,55.2902,57.51,57.8,8470512.0,57.14
2015-07-30,57.3,55.819,58.06,58.15,7337948.0,57.01
2015-07-31,58.44,55.694,57.93,58.44,6519528.0,57.73
2015-08-03,58.62,55.9439,58.19,58.96,7664002.0,58.0386
2015-08-04,58.25,56.5881,58.7,58.72,9113083.0,58.03
2015-08-05,59.15,56.8869,59.01,59.3198,7299159.0,58.83
2015-08-06,59.13,55.171,57.23,59.2,11064470.0,57.09
2015-08-07,57.33,55.142,57.2,57.36,7781995.0,56.51
2015-08-10,57.29,54.2455,56.27,57.626,12029150.0,55.75
2015-08-11,55.79,54.3226,56.35,56.435,8062553.0,55.24
2015-08-12,55.69,54.3515,56.38,56.4,10075571.0,54.95
2015-08-13,56.52,54.8046,56.85,57.25,6731474.0,56.51
2015-08-14,56.95,55.0456,57.1,57.12,4803903.0,56.66
2015-08-17,57.0,55.6626,57.74,57.76,5768362.0,56.73
2015-08-18,57.96,55.7494,57.83,58.06,5575441.0,57.66
2015-08-19,57.58,55.518,57.59,58.08,6044193.0,57.115
2015-08-20,57.0,53.8021,55.81,57.15,7470885.0,55.77
2015-08-21,54.72,50.9389,52.84,54.86,20211503.0,52.601
2015-08-24,48.05,48.5289,50.34,52.67,27158813.0,42.05
2015-08-25,52.96,49.2519,51.09,53.61,19659002.0,51.05
2015-08-26,52.99,52.0186,53.96,54.15,15517591.0,51.27
2015-08-27,54.74,53.937,55.95,56.21,15987923.0,54.41
2015-08-28,55.84,53.6285,55.63,56.31,7584826.0,55.2
2015-08-31,55.23,52.7416,54.71,55.47,7971204.0,54.5
2015-09-01,52.82,51.5752,53.5,54.36,13424932.0,52.74
2015-09-02,54.47,53.2718,55.26,55.29,9891071.0,53.751
2015-09-03,55.72,52.7223,54.69,55.76,7968868.0,54.475
2015-09-04,53.87,52.3271,54.28,54.57,6994267.0,53.84
2015-09-08,55.31,53.2236,55.21,55.45,8051710.0,54.53
2015-09-09,55.9,52.7223,54.69,56.0,8406656.0,54.57
2015-09-10,54.34,53.3779,55.37,55.69,8924778.0,54.33
2015-09-11,55.19,54.4961,56.53,56.54,8363110.0,55.03
2015-09-14,56.54,54.2648,56.29,56.91,5464463.0,56.05
2015-09-15,56.43,54.8625,56.91,57.21,6741341.0,56.115
2015-09-16,56.83,55.1999,57.26,57.35,6593362.0,56.21
2015-09-17,57.32,55.2192,57.28,58.1,7525349.0,57.04
2015-09-18,56.49,54.795,56.84,57.63,16268035.0,56.28
2015-09-21,57.2,55.4698,57.54,57.84,6220131.0,56.96
2015-09-22,56.85,55.0649,57.12,57.25,8585093.0,56.7
2015-09-23,57.16,55.7108,57.79,57.93,6829205.0,57.05
2015-09-24,57.38,56.2699,58.37,58.54,10027330.0,57.17
2015-09-25,58.92,55.9036,57.99,58.96,10627026.0,57.74
2015-09-28,58.01,53.7635,55.77,58.43,11447003.0,55.6201
