Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,59.94,60.84,60.83,60.81,54.1501,607690.0
2015-01-05,60.0397,60.91,60.69,60.25,53.6515,1065883.0
2015-01-06,60.31,61.44,60.45,60.53,53.9008,1461100.0
2015-01-07,60.185,61.85,60.69,61.63,54.8803,1102852.0
2015-01-08,61.74,62.36,61.84,61.81,55.0406,978917.0
2015-01-09,60.83,62.115,61.82,61.03,54.346,654592.0
2015-01-12,60.55,61.29,61.24,60.94,54.2659,565339.0
2015-01-13,60.95,62.32,61.43,61.39,54.6666,718396.0
2015-01-14,60.84,62.11,61.21,62.03,55.2365,605111.0
2015-01-15,61.67,62.38,62.03,62.15,55.3434,707699.0
2015-01-16,61.79,62.66,62.24,62.62,55.7619,939745.0
2015-01-20,62.34,63.125,62.93,62.97,56.0736,809353.0
2015-01-21,62.17,63.55,62.93,63.45,56.501,697032.0
2015-01-22,63.03,63.89,63.72,63.55,56.59,552974.0
2015-01-23,63.3,63.98,63.62,63.74,56.7592,537227.0
2015-01-26,62.88,63.65,63.45,63.62,56.6524,831687.0
2015-01-27,63.47,64.5,63.47,64.41,57.3559,978131.0
2015-01-28,64.0,65.5,64.34,64.21,57.1778,1051732.0
2015-01-29,64.08,65.57,64.29,65.36,58.2018,1014479.0
2015-01-30,63.72,65.37,65.0,63.77,56.786,1306695.0
2015-02-02,62.82,64.0,63.73,63.38,56.4387,1398724.0
2015-02-03,63.07,64.0,63.27,63.76,56.777,954460.0
2015-02-04,63.19,64.04,63.57,63.32,56.3852,1206549.0
2015-02-05,63.09,63.95,63.54,63.86,56.8661,614787.0
2015-02-06,60.05,63.77,63.49,60.47,53.8474,1491120.0
2015-02-09,59.81,60.78,60.45,60.14,53.5535,1066888.0
2015-02-10,60.07,61.39,60.09,61.27,54.5598,850894.0
2015-02-11,59.315,61.08,60.97,59.45,52.9391,1192650.0
2015-02-12,58.89,59.76,59.49,59.03,52.5651,1026859.0
2015-02-13,57.23,58.97,58.73,57.8,51.4698,1166589.0
2015-02-17,57.13,58.58,57.7,57.8,51.4698,1392391.0
2015-02-18,57.77,59.51,57.88,59.42,52.9124,1332293.0
2015-02-19,57.61,59.4,59.4,58.27,51.8883,1220737.0
2015-02-20,57.13,58.66,58.55,58.3,51.915,1320791.0
2015-02-23,58.07,59.08,58.65,58.86,52.4137,1274238.0
2015-02-24,58.58,59.4,58.8,59.29,52.7966,1100122.0
2015-02-25,57.89,59.6997,59.21,58.05,51.6924,1217927.0
2015-02-26,56.9,58.2448,58.22,57.02,50.7752,1185283.0
2015-02-27,56.51,57.13,57.13,56.95,50.7129,938794.0
2015-03-02,55.18,57.0,56.81,55.56,49.4751,1223480.0
2015-03-03,55.0,55.84,55.51,55.75,49.6443,1116113.0
2015-03-04,54.81,55.67,55.54,55.18,49.1367,1295248.0
2015-03-05,55.24,55.8999,55.34,55.61,49.5196,818339.0
2015-03-06,53.02,54.55,54.55,53.26,47.9123,1103805.0
2015-03-09,53.28,53.96,53.31,53.56,48.1822,918350.0
2015-03-10,53.1,54.03,53.4,53.28,47.9303,847131.0
2015-03-11,52.21,53.46,53.29,52.23,46.9857,1694711.0
2015-03-12,52.51,53.72,52.51,53.34,47.9843,1332773.0
2015-03-13,52.03,53.13,53.13,52.58,47.3006,818729.0
2015-03-16,52.89,54.25,52.89,53.66,48.2722,1584166.0
2015-03-17,53.415,54.08,53.57,53.92,48.506,1044274.0
2015-03-18,53.8,56.05,53.89,55.49,49.9184,1714647.0
2015-03-19,55.04,56.05,55.29,55.21,49.6665,1040807.0
2015-03-20,55.27,56.085,55.48,55.97,50.3502,1744641.0
2015-03-23,55.77,56.47,55.8,55.96,50.3412,942439.0
2015-03-24,55.27,56.24,55.83,55.39,49.8284,970829.0
2015-03-25,54.75,55.8499,55.44,54.75,49.2527,1206730.0
2015-03-26,54.05,54.95,54.55,54.31,48.8569,753798.0
2015-03-27,54.22,55.16,54.44,54.63,49.1448,757225.0
2015-03-30,54.5,55.24,54.84,55.01,49.4866,639734.0
2015-03-31,54.75,55.71,54.9,54.99,49.4686,1044107.0
2015-04-01,54.22,55.7302,54.9,55.67,50.0803,1193591.0
2015-04-02,55.07,55.68,55.63,55.21,49.6665,838572.0
2015-04-06,55.27,56.26,55.46,55.9,50.2872,507541.0
2015-04-07,55.05,55.84,55.81,55.13,49.5946,583559.0
2015-04-08,54.65,55.25,55.15,54.88,49.3697,842301.0
2015-04-09,54.24,54.85,54.8,54.7,49.2077,789340.0
2015-04-10,54.7,55.56,54.86,55.15,49.6125,1082991.0
2015-04-13,54.5,55.32,55.22,54.5,49.0278,737781.0
2015-04-14,54.6,54.985,54.67,54.7,49.2077,541269.0
2015-04-15,54.545,55.35,54.82,54.55,49.0728,515784.0
2015-04-16,53.67,54.65,54.49,54.3,48.8479,987576.0
2015-04-17,53.87,54.68,54.05,54.05,48.623,665710.0
2015-04-20,54.17,55.19,54.17,54.58,49.0998,665772.0
2015-04-21,54.0075,55.04,54.62,54.36,48.9019,1111823.0
2015-04-22,53.92,54.63,54.63,54.26,48.8119,702810.0
2015-04-23,54.22,54.97,54.26,54.5,49.0278,714498.0
2015-04-24,54.35,55.35,54.36,54.72,49.2257,647829.0
2015-04-27,53.72,55.29,54.94,53.91,48.497,891341.0
2015-04-28,53.61,54.45,53.71,54.29,48.8389,610798.0
2015-04-29,53.3,54.12,53.93,54.05,48.623,1121004.0
2015-04-30,52.56,54.15,54.1,52.98,47.6604,1491866.0
2015-05-01,52.42,53.69,53.09,53.45,48.0832,1086844.0
2015-05-04,53.4,54.36,53.46,53.67,48.2811,934256.0
2015-05-05,52.345,53.57,53.57,52.5,47.2286,757331.0
2015-05-06,51.78,52.74,52.49,52.33,47.0757,734397.0
2015-05-07,52.46,53.19,52.49,52.64,47.3546,833876.0
2015-05-08,51.79,53.66,53.05,52.25,47.0037,1446879.0
2015-05-11,51.85,52.69,52.12,52.06,46.8328,1118026.0
2015-05-12,51.26,51.92,51.81,51.79,46.5899,1304147.0
2015-05-13,51.48,52.17,51.94,51.61,46.428,848235.0
2015-05-14,51.88,52.45,51.93,52.17,46.9318,1049418.0
2015-05-15,52.22,53.18,52.22,53.09,47.7594,1984717.0
2015-05-18,52.74,53.57,52.74,53.44,48.0742,813947.0
2015-05-19,53.02,53.55,53.35,53.36,48.0023,1187926.0
2015-05-20,53.19,53.87,53.33,53.45,48.0832,605552.0
2015-05-21,52.97,53.51,53.51,53.37,48.0113,495844.0
2015-05-22,52.65,53.405,53.24,53.22,47.8763,637225.0
2015-05-26,52.58,53.08,53.08,52.93,47.6154,612001.0
2015-05-27,52.95,53.37,53.09,53.08,47.7504,716356.0
