Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,42.76,41.1111,42.7,42.94,1401837.0,42.14
2015-01-05,42.33,40.5238,42.09,42.66,1826132.0,41.68
2015-01-06,42.37,40.7356,42.31,42.58,3261689.0,41.63
2015-01-07,42.64,40.7934,42.37,42.92,2935181.0,42.27
2015-01-08,42.85,41.5444,43.15,43.61,2699262.0,42.85
2015-01-09,43.25,40.8897,42.47,43.47,1637490.0,42.43
2015-01-12,42.57,41.3614,42.96,43.0425,1264896.0,42.28
2015-01-13,43.16,41.3037,42.9,43.66,2395751.0,42.58
2015-01-14,42.51,40.6008,42.17,42.7,2590680.0,41.73
2015-01-15,42.25,40.0521,41.6,42.36,2666871.0,41.49
2015-01-16,41.56,40.312,41.87,42.05,2670493.0,41.32
2015-01-20,42.07,40.0521,41.6,42.31,1773927.0,41.25
2015-01-21,41.52,40.3601,41.92,41.95,1933536.0,41.27
2015-01-22,42.0,41.4481,43.05,43.09,3025880.0,41.81
2015-01-23,43.08,38.5501,40.04,43.11,5659230.0,39.88
2015-01-26,40.14,37.9532,39.42,40.22,4044039.0,39.16
2015-01-27,38.79,38.0494,39.52,39.92,4572453.0,38.42
2015-01-28,39.99,37.9628,39.43,40.04,1699205.0,39.27
2015-01-29,39.42,39.2144,40.73,40.85,3698105.0,39.42
2015-01-30,40.27,38.993,40.5,40.93,2177986.0,40.24
2015-02-02,40.63,38.993,40.5,40.86,2749391.0,40.11
2015-02-03,40.67,39.9654,41.51,41.61,2073809.0,40.49
2015-02-04,41.28,40.1002,41.65,41.93,1725781.0,41.08
2015-02-05,41.86,40.4083,41.97,42.54,2401158.0,41.75
2015-02-06,42.02,39.9269,41.47,42.08,3032753.0,41.37
2015-02-09,41.18,39.407,40.93,41.46,4821078.0,40.57
2015-02-10,43.49,43.5855,45.27,45.65,8133102.0,42.86
2015-02-11,45.28,43.5373,45.22,45.79,3278918.0,44.78
2015-02-12,45.4,44.4905,46.21,46.33,2813860.0,45.38
2015-02-13,46.37,44.3365,46.05,46.42,1957546.0,45.78
2015-02-17,45.88,44.9141,46.65,46.9099,1887763.0,45.77
2015-02-18,46.76,45.2993,47.05,47.095,1409302.0,46.26
2015-02-19,47.14,45.9058,47.68,47.7,1687332.0,46.64
2015-02-20,47.5,46.3872,48.18,48.44,1731190.0,47.17
2015-02-23,47.9,46.1273,47.91,48.16,1454036.0,47.462
2015-02-24,47.6,46.5027,48.3,48.44,1042851.0,47.56
2015-02-25,48.16,45.7806,47.55,48.41,1459138.0,47.27
2015-02-26,47.56,46.3102,48.1,48.34,1024698.0,47.44
2015-02-27,47.69,45.3763,47.13,48.0,3173909.0,47.09
2015-03-02,47.24,45.7421,47.51,47.88,2039579.0,47.2
2015-03-03,47.26,45.0874,46.83,47.56,2057610.0,46.7
2015-03-04,46.35,44.9719,46.58,46.88,1700786.0,45.71
2015-03-05,46.57,44.5471,46.14,46.69,1139347.0,46.08
2015-03-06,45.82,43.7071,45.27,46.05,1879638.0,45.0
