Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,262.18,254.2153,262.44,264.94,566944.0,260.34
2015-01-05,260.15,253.4597,261.66,262.49,722874.0,259.78
2015-01-06,261.06,252.6945,260.87,264.44,710957.0,259.11
2015-01-07,262.82,257.005,265.32,265.38,829078.0,261.0
2015-01-08,266.02,264.0375,272.58,273.59,1079297.0,265.59
2015-01-09,272.95,265.8199,274.42,275.54,969413.0,271.01
2015-01-12,273.24,262.6039,271.1,274.17,903807.0,270.89
2015-01-13,274.26,260.7053,269.14,274.26,788245.0,266.955
2015-01-14,265.49,260.7828,269.22,269.82,694561.0,265.49
2015-01-15,271.25,262.1099,270.59,273.24,721755.0,268.33
2015-01-16,271.48,265.2387,273.82,274.55,835816.0,269.665
2015-01-20,273.68,263.9697,272.51,276.23,639255.0,270.39
2015-01-21,273.14,264.6575,273.22,275.39,550361.0,271.96
2015-01-22,275.49,268.4256,277.11,277.29,595245.0,272.77
2015-01-23,277.07,265.4227,274.01,277.12,484208.0,273.3
2015-01-26,274.29,266.6626,275.29,275.448,471684.0,272.58
2015-01-27,275.0,265.5874,274.18,275.3799,627702.0,272.0
2015-01-28,275.74,262.4392,270.93,276.82,685100.0,270.45
2015-01-29,269.12,266.2558,274.87,275.72,711412.0,265.14
2015-01-30,273.73,262.7686,271.27,276.0,990686.0,271.18
2015-02-02,272.76,264.3087,272.86,274.3799,731156.0,268.4292
2015-02-03,273.92,264.9965,273.57,274.0,898757.0,270.31
2015-02-04,271.21,265.5099,274.1,277.0,761667.0,271.21
2015-02-05,275.42,269.1908,277.9,278.12,536219.0,274.785
2015-02-06,277.7,271.5253,280.31,280.79,571409.0,276.59
2015-02-09,279.98,265.7908,274.39,280.59,664194.0,274.035
2015-02-10,275.7,271.2831,280.06,280.38,644303.0,273.64
2015-02-11,280.01,269.2392,277.95,280.89,516452.0,277.01
2015-02-12,278.55,274.1503,283.02,283.18,476642.0,278.55
2015-02-13,283.0,276.0683,285.0,285.51,523141.0,282.49
2015-02-17,284.21,277.1338,286.1,287.7999,508175.0,283.98
2015-02-18,285.43,279.0227,288.05,288.2,441381.0,285.05
2015-02-19,288.04,277.7731,286.76,289.28,374429.0,286.1
2015-02-20,286.51,280.6694,289.75,290.29,451076.0,285.01
2015-02-23,289.75,280.4854,289.56,290.5,474772.0,288.165
2015-02-24,289.65,281.5122,290.62,291.27,433507.0,288.34
2015-02-25,290.46,278.7321,287.75,290.91,440874.0,287.56
2015-02-26,287.02,279.3327,287.7,289.73,559091.0,286.36
2015-02-27,287.81,276.9054,285.2,288.31,527013.0,285.06
2015-03-02,286.56,282.4299,290.89,290.99,698702.0,285.34
2015-03-03,288.75,277.6142,285.93,289.92,617927.0,283.22
2015-03-04,284.87,277.5947,285.91,288.45,696541.0,282.72
2015-03-05,286.43,280.7599,289.17,289.77,689780.0,286.12
2015-03-06,287.79,278.1093,286.44,289.21,575754.0,285.43
2015-03-09,286.92,277.4297,285.74,288.4,577016.0,284.82
2015-03-10,283.35,273.2742,281.46,284.42,576556.0,281.42
2015-03-11,282.13,272.779,280.95,282.88,554414.0,280.92
2015-03-12,282.11,276.9345,285.23,286.24,515298.0,281.04
2015-03-13,284.75,276.9442,285.24,286.14,571729.0,283.78
2015-03-16,285.83,279.7599,288.14,288.63,600433.0,285.35
2015-03-17,286.66,277.7307,286.05,287.54,568809.0,285.38
2015-03-18,285.29,274.5752,282.8,286.04,1240172.0,275.84
2015-03-19,283.14,276.216,284.49,285.77,857976.0,282.36
2015-03-20,286.5,281.5658,290.0,290.0,2149807.0,284.79
2015-03-23,287.9,279.488,287.86,289.6,782642.0,286.85
2015-03-24,287.11,277.5462,285.86,288.25,930573.0,285.5801
2015-03-25,286.83,273.1674,281.35,287.845,761469.0,281.2
2015-03-26,280.74,271.1964,279.32,280.95,708887.0,278.28
2015-03-27,280.39,273.4878,281.68,282.11,485267.0,278.76
2015-03-30,284.29,275.9733,284.24,285.04,437112.0,282.73
2015-03-31,281.97,276.2257,284.5,285.95,619925.0,281.95
2015-04-01,285.13,277.5074,285.82,285.87,691495.0,282.47
2015-04-02,286.2,276.0801,284.35,287.23,706776.0,283.17
2015-04-06,283.31,278.5365,286.88,287.15,490010.0,282.57
2015-04-07,286.88,279.2356,287.6,288.9999,484885.0,285.55
2015-04-08,288.5,282.1969,290.65,290.65,545705.0,287.94
2015-04-09,290.46,282.5852,291.05,292.42,631126.0,289.69
2015-04-10,291.8,282.1969,290.65,292.46,529617.0,289.9
2015-04-13,291.53,281.3716,289.8,292.51,744118.0,289.27
2015-04-14,290.45,281.7503,290.19,291.39,511796.0,288.62
2015-04-15,291.36,280.3327,288.73,292.31,644125.0,287.4
2015-04-16,285.99,275.5558,283.81,287.85,1331325.0,280.0
2015-04-17,281.94,273.9344,282.14,284.685,940388.0,280.8905
2015-04-20,283.52,273.7111,281.91,285.01,592046.0,280.9
2015-04-21,283.31,274.2062,282.42,284.02,563984.0,280.97
2015-04-22,282.9,273.4489,281.64,282.9,529365.0,279.75
2015-04-23,281.25,274.148,282.36,283.64,704419.0,280.08
2015-04-24,282.72,274.4004,282.62,284.34,718286.0,281.18
2015-04-27,282.94,274.682,282.91,284.76,682436.0,282.04
2015-04-28,282.31,273.6819,281.88,283.08,753779.0,280.17
2015-04-29,281.14,271.0799,279.2,281.82,975903.0,277.1678
2015-04-30,278.05,269.9148,278.0,281.17,1058944.0,277.31
2015-05-01,279.58,273.9538,282.16,283.25,527404.0,278.2
2015-05-04,282.24,271.8955,280.04,284.09,547188.0,279.69
2015-05-05,280.58,266.9341,274.93,281.09,719789.0,274.13
2015-05-06,276.18,269.808,277.89,278.19,628087.0,274.022
2015-05-07,278.65,273.2159,281.4,281.94,615341.0,277.4809
2015-05-08,284.63,278.8472,287.2,288.47,784800.0,283.787
2015-05-11,287.0,278.6045,286.95,288.77,540557.0,285.945
2015-05-12,286.14,280.3133,288.71,289.84,735453.0,284.54
2015-05-13,287.91,280.2065,287.93,289.55,758550.0,285.04
2015-05-14,288.96,283.4861,291.3,291.74,478478.0,288.17
2015-05-15,291.75,283.4082,291.22,292.23,662910.0,289.7
2015-05-18,290.84,283.2428,291.05,291.99,373288.0,289.48
2015-05-19,291.74,284.5955,292.44,294.35,671664.0,291.1
2015-05-20,292.52,279.9535,287.67,292.9325,603044.0,287.55
2015-05-21,288.45,279.7394,287.45,288.73,396480.0,287.06
2015-05-22,286.98,278.8246,286.51,288.03,523867.0,286.51
2015-05-26,286.32,278.7078,286.39,287.2575,697347.0,284.63
2015-05-27,286.95,281.9679,289.74,290.92,671247.0,286.26
2015-05-28,288.59,282.1334,289.91,290.27,484988.0,288.48
2015-05-29,289.77,280.4498,288.18,289.99,593613.0,287.08
2015-06-01,288.92,280.5082,288.24,288.92,519494.0,286.23
2015-06-02,287.57,278.8343,286.52,289.2,380734.0,285.75
2015-06-03,286.68,279.5545,287.26,287.7,328554.0,286.21
2015-06-04,285.84,274.6399,282.21,286.37,396106.0,281.77
2015-06-05,283.01,272.859,280.38,283.01,608832.0,278.42
2015-06-08,279.63,270.8348,278.3,280.22,432737.0,278.09
2015-06-09,278.66,270.7083,278.17,279.65,351812.0,276.89
2015-06-10,279.13,274.9124,282.49,282.84,739849.0,277.57
2015-06-11,283.49,275.1849,282.77,284.815,375503.0,282.53
2015-06-12,282.0,273.3748,280.91,283.49,336126.0,280.25
2015-06-15,279.33,271.3798,278.86,280.57,391275.0,278.09
2015-06-16,279.08,271.6231,279.11,279.27,328787.0,277.48
2015-06-17,280.35,272.713,280.23,281.59,588308.0,278.61
2015-06-18,281.54,275.9051,283.51,283.895,473581.0,281.3468
2015-06-19,284.65,274.4258,281.99,284.72,1757045.0,281.87
2015-06-22,283.19,277.5303,285.18,285.47,552377.0,282.5801
2015-06-23,286.0,276.888,284.52,286.29,415756.0,283.555
2015-06-24,284.15,274.4161,281.98,284.15,417104.0,281.98
2015-06-25,282.59,275.0195,282.6,284.03,399527.0,281.72
2015-06-26,282.85,275.4963,283.09,284.37,543946.0,281.5001
2015-06-29,279.63,268.8593,276.27,281.79,769651.0,276.25
2015-06-30,277.72,267.6428,275.02,278.91,504794.0,275.0
2015-07-01,276.16,273.2775,280.81,281.15,597392.0,275.32
2015-07-02,282.27,270.2217,277.67,282.39,507781.0,277.38
2015-07-06,275.0,272.4503,279.96,281.17,589558.0,275.0
2015-07-07,280.96,276.0218,283.63,283.97,698923.0,279.615
2015-07-08,282.14,273.404,280.94,284.11,834182.0,280.94
2015-07-09,284.42,269.9687,277.41,285.0,654502.0,277.14
2015-07-10,278.5,270.7472,278.21,280.0,683318.0,276.71
2015-07-13,280.56,274.5134,282.08,282.47,538206.0,279.44
2015-07-14,281.33,276.6544,284.28,284.66,565468.0,281.06
2015-07-15,284.0,274.5913,282.16,285.94,969441.0,282.01
