Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,384927.0,119.75,119.535,121.32,121.43,111.9143
2015-01-05,611536.0,120.93,120.38,121.98,122.5,112.5232
2015-01-06,664652.0,121.98,121.88,122.92,123.5,113.3903
2015-01-07,600705.0,123.48,122.15,124.34,124.51,114.7002
2015-01-08,587300.0,124.34,124.17,124.95,125.78,115.2629
2015-01-09,316790.0,124.77,124.04,125.2,125.77,115.4935
2015-01-12,796808.0,126.18,124.94,127.72,128.06,117.8181
2015-01-13,574875.0,128.23,126.5,127.42,128.55,117.5414
2015-01-14,576452.0,126.77,125.89,128.17,128.45,118.2333
2015-01-15,605453.0,128.29,127.49,128.31,128.71,118.3624
2015-01-16,711520.0,128.08,127.27,128.0,128.4,118.0764
2015-01-20,1043916.0,128.04,127.33,127.75,128.5099,117.8458
2015-01-21,569771.0,127.75,126.97,127.72,128.17,117.8181
2015-01-22,1021068.0,128.0,126.9,128.64,129.0,118.6668
2015-01-23,530684.0,127.86,127.4227,128.51,128.934,118.5469
2015-01-26,524629.0,128.54,128.0101,130.56,130.56,120.438
2015-01-27,461071.0,129.78,129.57,130.31,130.75,120.2073
2015-01-28,866107.0,130.57,129.56,130.02,131.64,119.9398
2015-01-29,733434.0,130.28,127.89,129.61,130.77,119.5616
2015-01-30,926092.0,128.29,125.98,126.0,128.86,116.2315
2015-02-02,763381.0,126.33,123.55,126.24,126.88,116.4529
2015-02-03,554465.0,125.22,124.79,127.61,127.62,117.7167
2015-02-04,357109.0,126.95,126.16,127.39,127.98,117.5137
2015-02-05,438525.0,127.43,127.225,129.38,129.42,119.3494
2015-02-06,1506280.0,128.98,126.86,127.58,128.99,117.689
2015-02-09,775804.0,127.28,126.55,126.59,128.55,116.7757
2015-02-10,508769.0,127.16,126.02,127.41,127.66,117.5322
2015-02-11,391542.0,127.67,126.0,127.46,128.115,117.5783
2015-02-12,499736.0,126.8,126.28,129.24,129.5,119.2203
2015-02-13,376738.0,129.34,127.925,128.59,129.88,118.6207
2015-02-17,400827.0,128.27,127.87,128.41,130.22,118.4546
2015-02-18,510451.0,128.66,127.7,129.93,130.19,119.8568
2015-02-19,406727.0,129.36,126.88,127.17,129.72,117.3108
2015-02-20,477682.0,126.74,126.38,128.64,128.85,118.6668
2015-02-23,536561.0,129.23,127.74,129.75,129.95,119.6908
2015-02-24,721240.0,129.48,125.81,126.88,129.48,117.0433
2015-02-25,390801.0,126.79,126.53,127.12,128.7,117.2647
2015-02-26,425140.0,127.32,125.5,125.76,127.32,116.0101
2015-02-27,630514.0,126.07,124.82,126.93,127.01,117.0894
2015-03-02,405927.0,127.21,126.77,127.89,129.1,117.975
2015-03-03,326404.0,127.64,126.94,128.11,128.66,118.1779
2015-03-04,376987.0,127.69,126.74,127.36,128.55,117.4861
2015-03-05,384784.0,127.85,127.36,127.91,129.36,117.9934
2015-03-06,668956.0,126.53,123.11,123.54,126.53,113.9622
2015-03-09,630416.0,124.48,123.85,125.17,125.34,115.4658
2015-03-10,1200400.0,124.82,123.85,124.23,125.66,114.5987
2015-03-11,663254.0,124.61,123.73,124.0,124.8299,114.3865
2015-03-12,689371.0,124.95,124.77,127.35,127.4,117.4768
2015-03-13,580509.0,127.4,126.29,127.42,127.68,117.5414
2015-03-16,1444652.0,128.3,127.6901,128.39,129.39,118.4362
2015-03-17,1081336.0,128.05,127.45,129.14,129.32,119.1281
2015-03-18,996171.0,128.76,127.05,130.6,130.81,120.4749
2015-03-19,1289768.0,130.13,129.84,130.42,131.52,120.3088
2015-03-20,16474471.0,130.87,130.86,134.0,135.81,123.6113
2015-03-23,1072966.0,133.18,132.87,133.42,135.09,123.0762
2015-03-24,1044264.0,133.1,131.24,131.63,134.02,121.425
2015-03-25,693739.0,131.83,128.71,129.28,132.1,119.2572
2015-03-26,858898.0,129.03,126.86,128.28,129.14,118.3347
2015-03-27,576442.0,127.85,127.18,127.74,128.55,118.3901
2015-03-30,601833.0,128.25,127.52,129.55,129.76,120.0676
2015-03-31,897696.0,129.16,128.15,128.38,129.94,118.9832
2015-04-01,594149.0,128.65,127.0,127.95,128.73,118.5847
2015-04-02,514622.0,127.72,127.72,129.88,130.09,120.3734
2015-04-06,563967.0,130.33,129.49,131.64,131.99,122.0046
2015-04-07,617453.0,131.4,129.43,129.48,131.57,120.0027
2015-04-08,470175.0,129.45,129.45,130.01,130.45,120.4939
2015-04-09,587707.0,129.72,127.0,127.1,130.02,117.7969
2015-04-10,378646.0,128.2,127.3,127.85,128.94,118.492
2015-04-13,492355.0,127.37,127.37,127.54,128.27,118.2047
2015-04-14,492503.0,127.7,127.7,128.32,129.08,118.9276
2015-04-15,517524.0,128.39,126.78,126.87,129.89,117.5838
