Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,136.85,129.8476,136.29,137.685,221007.0,134.82
2015-01-05,135.24,127.5134,133.84,136.04,437332.0,133.71
2015-01-06,133.84,127.1227,133.43,134.57,442504.0,131.77
2015-01-07,134.15,127.923,134.27,135.07,327197.0,133.5001
2015-01-08,135.15,130.8384,137.33,137.5,275464.0,135.15
2015-01-09,137.58,129.314,135.73,138.03,226627.0,135.63
2015-01-12,135.62,127.6658,134.0,136.27,282821.0,133.56
2015-01-13,135.13,127.5419,133.87,136.53,287017.0,132.65
2015-01-14,132.77,128.4185,134.79,134.9,390564.0,132.64
2015-01-15,135.26,126.9227,133.22,135.76,272466.0,133.0
2015-01-16,133.04,126.2939,132.56,133.39,458596.0,131.1
2015-01-20,132.8,126.4749,132.75,133.39,242117.0,131.23
2015-01-21,132.22,127.4753,133.8,134.14,298244.0,131.65
2015-01-22,134.04,128.5042,134.88,135.29,350379.0,133.38
2015-01-23,134.93,127.9897,134.34,135.37,219998.0,134.19
2015-01-26,133.96,128.5233,134.9,135.22,258558.0,133.556
2015-01-27,133.52,126.856,133.15,134.18,262910.0,132.25
2015-01-28,133.47,125.7794,132.02,134.29,283860.0,131.81
2015-01-29,131.69,128.8472,135.24,135.42,231139.0,131.6701
2015-01-30,134.54,126.4368,132.71,134.99,348475.0,132.4701
2015-02-02,131.2,125.284,131.5,131.62,870280.0,129.14
2015-02-03,131.95,126.8941,133.19,133.36,431117.0,131.72
2015-02-04,132.93,125.2363,131.45,132.94,591814.0,130.77
2015-02-05,135.84,133.0678,139.67,141.195,1142289.0,135.84
2015-02-06,141.0,134.3254,140.99,141.658,618937.0,139.92
2015-02-09,141.0,134.2396,140.9,142.5,512025.0,140.59
2015-02-10,141.9,135.4782,142.2,142.34,344406.0,140.69
2015-02-11,142.21,136.0212,142.77,143.17,437407.0,141.31
2015-02-12,143.49,137.8505,144.69,144.79,260784.0,143.38
2015-02-13,144.41,138.5269,145.4,145.97,385220.0,144.1
2015-02-17,145.46,138.5555,145.43,145.91,271510.0,144.26
2015-02-18,145.0,138.5174,145.39,145.93,333752.0,144.4
2015-02-19,144.97,138.6603,145.54,145.75,209719.0,144.48
2015-02-20,144.73,139.6607,146.06,146.18,247777.0,143.1
2015-02-23,146.02,139.4216,145.81,146.16,180042.0,145.07
2015-02-24,145.5,140.3587,146.79,147.23,305490.0,145.21
2015-02-25,146.61,141.5922,148.08,148.41,452620.0,146.61
2015-02-26,148.13,140.7603,147.21,148.21,294948.0,146.76
2015-02-27,147.45,140.7794,147.23,147.71,362709.0,146.48
2015-03-02,147.85,141.793,148.29,148.3199,252751.0,146.77
2015-03-03,148.0,141.4392,147.92,148.01,323084.0,147.2
2015-03-04,147.0,140.9898,147.45,147.53,357170.0,145.98
2015-03-05,147.51,140.8846,147.34,148.11,329914.0,146.8
2015-03-06,146.35,138.9722,145.34,147.01,255080.0,145.03
2015-03-09,145.59,139.9188,146.33,146.793,288588.0,145.56
2015-03-10,144.72,137.165,143.45,145.07,371825.0,143.45
2015-03-11,143.38,135.9698,142.2,143.5369,475217.0,141.97
2015-03-12,142.99,138.0256,144.35,144.52,387631.0,142.72
2015-03-13,144.34,136.2566,142.5,144.34,461908.0,141.63
2015-03-16,143.44,137.9108,144.23,144.38,387195.0,142.94
2015-03-17,144.29,137.71,144.02,144.92,280574.0,143.14
2015-03-18,144.04,139.5746,145.97,146.48,333902.0,142.76
2015-03-19,145.4,138.0543,144.38,146.32,292774.0,144.17
2015-03-20,144.62,137.3945,143.69,145.68,696098.0,143.59
2015-03-23,143.99,136.9355,143.21,144.89,363880.0,143.17
2015-03-24,142.92,136.5148,142.77,143.72,364336.0,142.085
2015-03-25,143.04,135.3674,141.57,144.43,300010.0,141.55
2015-03-26,141.18,135.9698,142.2,142.5,261460.0,140.835
2015-03-27,142.26,137.7483,144.06,144.26,372473.0,142.12
2015-03-30,145.06,139.9571,146.37,146.74,272982.0,145.06
2015-03-31,145.76,140.6169,147.06,147.37,436263.0,145.0
2015-04-01,146.88,140.7794,147.23,149.18,546838.0,146.4
2015-04-02,147.22,141.3244,147.8,148.8499,300808.0,147.22
2015-04-06,146.51,143.3037,149.87,150.83,379055.0,146.44
2015-04-07,150.37,141.8503,148.35,150.37,233534.0,148.32
2015-04-08,148.31,141.9651,148.47,149.14,277662.0,147.015
2015-04-09,148.43,141.1619,147.63,149.1,388351.0,147.47
2015-04-10,148.02,141.8599,148.36,148.37,209621.0,147.2
2015-04-13,148.5,140.8081,147.26,148.93,248031.0,147.05
2015-04-14,147.18,140.5499,146.99,147.765,186815.0,146.02
2015-04-15,147.5,141.6017,148.09,148.49,250891.0,147.28
2015-04-16,147.5,141.64,148.13,148.57,234622.0,146.99
2015-04-17,146.88,139.7563,146.16,147.27,338670.0,145.28
2015-04-20,147.09,142.0989,148.61,148.7,298198.0,146.92
2015-04-21,148.94,141.946,148.45,148.94,288251.0,147.43
2015-04-22,148.45,142.6727,149.21,149.36,378999.0,147.03
2015-04-23,151.03,146.0289,152.72,153.25,606193.0,148.6049
2015-04-24,153.0,147.1859,153.93,154.32,492332.0,152.98
2015-04-27,154.84,146.354,153.06,154.975,428325.0,152.91
2015-04-28,152.77,144.9388,151.58,153.19,542442.0,151.49
2015-04-29,150.67,143.8392,150.43,151.13,468610.0,149.35
2015-04-30,149.76,142.9978,149.55,150.73,357948.0,148.98
2015-05-01,149.86,145.0918,151.74,152.11,254057.0,149.58
2015-05-04,152.29,146.0193,152.71,153.23,205032.0,152.13
2015-05-05,152.7,144.738,151.37,153.26,278962.0,151.23
2015-05-06,151.99,146.2488,152.95,153.17,378847.0,151.62
2015-05-07,152.7,147.1094,153.85,154.07,254358.0,152.42
2015-05-08,154.85,148.6679,155.48,155.71,308057.0,154.67
2015-05-11,155.22,148.5915,155.4,155.9629,223121.0,153.926
2015-05-12,155.22,148.6871,155.5,156.06,238768.0,154.32
2015-05-13,156.12,149.5476,156.4,157.355,297087.0,155.74
2015-05-14,157.41,150.6855,157.59,158.13,225354.0,156.39
