Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,183.15,166.2063,185.34,185.57,1229303.0,182.97
2015-01-05,185.55,166.8879,186.1,186.72,1266610.0,183.83
2015-01-06,187.19,171.5331,191.28,192.28,2915633.0,186.9
2015-01-07,191.95,174.6897,194.8,194.96,2138387.0,190.8
2015-01-08,195.2,174.4386,194.52,195.68,1640920.0,193.34
2015-01-09,194.96,176.277,196.57,196.67,1557548.0,194.22
2015-01-12,196.88,176.4474,196.76,197.64,1133200.0,196.1
2015-01-13,196.81,176.564,196.89,198.03,1367910.0,195.93
2015-01-14,195.86,178.1243,198.63,199.0299,1720929.0,195.31
2015-01-15,199.16,179.4157,200.07,200.42,1469035.0,198.06
2015-01-16,200.42,180.0703,200.8,201.03,1604573.0,198.38
2015-01-20,201.3,179.0211,199.63,201.86,1872340.0,199.04
2015-01-21,199.07,179.5502,200.22,200.55,1199814.0,198.03
2015-01-22,201.01,182.9669,204.03,204.47,1432510.0,199.92
2015-01-23,204.62,182.1418,203.11,204.91,1245092.0,202.52
2015-01-26,202.63,183.9802,205.16,205.27,970247.0,202.1601
2015-01-27,204.38,183.5498,204.68,205.68,992654.0,203.69
2015-01-28,205.8,182.5005,203.51,206.31,1615519.0,203.51
2015-01-29,203.17,183.6215,204.76,205.05,1255406.0,202.93
2015-01-30,202.47,178.1512,198.66,203.87,2183436.0,198.35
2015-02-02,199.04,178.8238,199.41,199.575,1616992.0,195.015
2015-02-03,200.14,179.4336,200.09,200.14,2118976.0,197.0
2015-02-04,200.09,180.994,201.83,202.86,1716208.0,198.49
2015-02-05,202.18,182.2405,203.22,203.5,1055366.0,200.91
2015-02-06,201.75,174.9408,195.08,202.35,2347061.0,193.71
2015-02-09,195.64,174.071,194.11,196.47,859555.0,193.78
2015-02-10,195.0,174.6449,194.75,195.5,1894886.0,192.14
2015-02-11,194.17,173.8109,192.42,194.855,1281355.0,191.01
2015-02-12,192.92,175.8885,194.72,194.93,1238218.0,191.89
2015-02-13,193.85,174.4342,193.11,194.28,1016112.0,191.8
2015-02-17,192.93,174.1632,192.81,195.65,1006740.0,192.27
2015-02-18,192.88,175.491,194.28,194.6,934673.0,190.77
2015-02-19,193.31,171.4533,189.81,193.77,1168019.0,189.35
2015-02-20,189.33,173.2599,191.81,192.2,1335336.0,189.2
2015-02-23,192.19,174.8858,193.61,193.83,755820.0,191.69
2015-02-24,192.85,171.6791,190.06,193.16,1367216.0,189.57
2015-02-25,190.12,172.0585,190.48,192.5,875324.0,189.8
2015-02-26,190.03,169.0415,187.14,190.47,1431577.0,187.13
2015-02-27,187.89,171.9501,190.36,191.46,2095099.0,186.7925
2015-03-02,190.49,171.6611,190.04,192.93,1278706.0,189.53
2015-03-03,189.29,171.2726,189.61,190.09,1088658.0,188.12
2015-03-04,189.5,169.4209,187.56,189.87,1017426.0,187.16
2015-03-05,188.12,169.0325,187.13,189.4,1422787.0,186.99
2015-03-06,183.96,163.1159,180.58,183.96,2257055.0,180.13
2015-03-09,181.82,162.9895,180.44,183.22,2257908.0,180.29
2015-03-10,180.03,162.5198,179.92,181.65,2559704.0,179.13
2015-03-11,179.69,162.0049,179.35,180.61,1440431.0,178.84
2015-03-12,180.15,165.8439,183.6,183.62,1826885.0,180.15
2015-03-13,183.34,166.1871,183.98,185.0,2203057.0,182.32
2015-03-16,185.15,168.9783,187.07,187.97,1580163.0,184.37
2015-03-17,186.17,168.1292,186.13,187.35,1600334.0,185.3
2015-03-18,186.0,172.9799,191.5,191.7,1824041.0,185.32
2015-03-19,190.84,173.5218,192.1,192.65,2209390.0,190.48
2015-03-20,194.09,178.2551,197.34,197.56,2895014.0,193.03
2015-03-23,197.32,178.4357,197.54,199.09,2100886.0,195.83
2015-03-24,197.48,177.7944,196.83,198.28,1971446.0,196.32
2015-03-25,197.36,175.3736,194.15,197.92,1904413.0,193.14
2015-03-26,192.69,174.0186,192.65,193.98,1803138.0,191.63
2015-03-27,192.38,175.4729,194.26,194.97,1465133.0,192.01
2015-03-30,194.8,177.9209,196.97,197.46,1196893.0,194.07
2015-03-31,196.5,176.7195,195.64,197.91,1872616.0,194.97
2015-04-01,195.82,178.8422,197.99,198.58,2409560.0,194.01
2015-04-02,200.0,180.0797,199.36,200.98,1670353.0,198.535
2015-04-06,199.88,181.3805,200.8,202.28,1130791.0,199.47
2015-04-07,200.26,179.1132,198.29,200.86,987173.0,198.29
2015-04-08,198.13,178.3635,197.46,199.25,1240698.0,197.08
2015-04-09,196.87,174.4522,193.13,196.87,1753344.0,192.49
2015-04-10,193.99,172.7721,191.27,194.765,1903898.0,190.91
2015-04-13,191.65,171.923,190.33,191.97,1371940.0,190.33
2015-04-14,191.17,172.9076,191.42,192.46,1508837.0,190.81
2015-04-15,191.49,171.6611,190.04,192.18,1104208.0,189.76
2015-04-16,189.06,171.7153,190.1,191.27,921402.0,188.41
2015-04-17,189.41,170.0532,188.26,190.47,1165151.0,187.65
2015-04-20,188.45,170.3603,188.6,189.79,1048461.0,187.78
2015-04-21,188.5,170.5681,188.83,190.93,853817.0,188.5
2015-04-22,188.83,170.821,189.11,190.54,755862.0,188.68
2015-04-23,189.09,170.7758,189.06,190.1291,1107348.0,188.23
2015-04-24,189.17,170.4597,188.71,190.96,890555.0,188.4
2015-04-27,189.74,171.5165,189.88,190.63,986469.0,189.04
2015-04-28,189.09,170.0442,188.25,189.466,999868.0,187.5
2015-04-29,185.89,165.3922,183.1,187.65,1879059.0,182.61
2015-04-30,182.26,163.9379,181.49,183.19,2136003.0,180.55
2015-05-01,181.76,166.3588,184.17,185.79,1895313.0,181.76
2015-05-04,184.91,165.6361,183.37,185.95,1579099.0,182.93
2015-05-05,183.8,163.0076,180.46,184.06,2488845.0,180.104
2015-05-06,180.35,164.0463,181.61,182.21,2084418.0,180.185
2015-05-07,181.61,165.4374,183.15,184.7,1681324.0,181.0
2015-05-08,185.67,169.5022,187.65,189.26,1612161.0,185.56
2015-05-11,187.03,166.3588,184.17,188.08,1083224.0,183.6
2015-05-12,182.71,166.5936,184.43,185.07,1063895.0,181.75
2015-05-13,184.29,165.1574,181.34,185.79,1146497.0,180.92
2015-05-14,182.38,168.2722,184.76,185.01,911745.0,182.24
2015-05-15,185.44,169.0463,185.61,186.62,1262024.0,184.42
2015-05-18,184.57,168.2904,184.78,185.4789,916140.0,183.78
2015-05-19,183.99,167.6073,184.03,186.45,1117687.0,183.22
2015-05-20,185.2,167.2066,183.59,185.79,1175016.0,183.51
2015-05-21,184.21,167.1611,183.54,185.32,1605101.0,183.05
2015-05-22,182.86,167.2339,183.62,185.07,821181.0,182.21
2015-05-26,183.44,165.8313,182.08,183.57,971524.0,181.62
2015-05-27,182.98,167.7075,184.14,184.7,1223528.0,181.78
2015-05-28,183.54,167.4161,183.82,184.75,966836.0,182.92
2015-05-29,184.13,165.212,181.4,184.57,2486845.0,180.76
2015-06-01,181.64,167.0244,183.39,184.08,1136732.0,180.0
2015-06-02,183.25,165.8951,182.15,183.65,980863.0,181.08
2015-06-03,182.2,162.9624,178.93,182.21,1113035.0,178.45
2015-06-04,178.49,163.0535,179.03,180.04,1256118.0,178.0
2015-06-05,177.24,160.8495,176.61,178.705,1487717.0,175.43
2015-06-08,176.59,159.9387,175.61,176.59,1607675.0,175.33
2015-06-09,175.84,159.0006,174.58,176.15,1503138.0,174.21
2015-06-10,175.02,160.6127,176.35,177.99,1374177.0,174.72
2015-06-11,177.05,161.4324,177.25,177.73,926392.0,176.2
2015-06-12,176.87,161.0863,176.87,178.035,1064368.0,176.43
2015-06-15,176.37,160.1118,175.8,176.8,1486062.0,175.01
2015-06-16,175.93,161.4415,177.26,178.03,1113064.0,175.85
2015-06-17,177.32,163.5453,179.57,179.97,1305404.0,176.59
2015-06-18,180.0,165.6583,181.89,182.83,1038980.0,179.6
2015-06-19,181.63,163.4634,179.48,183.39,2610033.0,179.47
2015-06-22,179.91,160.7766,176.53,180.7705,1562499.0,176.42
2015-06-23,176.87,159.6017,175.24,176.97,898105.0,174.5
2015-06-24,175.54,158.3813,173.9,176.49,1502127.0,173.85
2015-06-25,174.04,156.9787,172.36,174.43,1390171.0,172.33
2015-06-26,172.67,158.3904,173.91,174.42,2714717.0,171.7
2015-06-29,173.71,155.7401,171.0,175.39,1223328.0,170.99
2015-06-30,172.33,157.5799,173.02,174.8,2167273.0,171.33
2015-07-01,171.87,159.1646,174.76,174.8,1638646.0,171.87
2015-07-02,176.02,159.1281,174.72,179.11,1046761.0,174.42
2015-07-06,173.86,160.0936,175.78,175.85,1242120.0,173.86
2015-07-07,176.45,162.7712,178.72,179.11,1520621.0,176.3
2015-07-08,177.28,162.4251,178.34,178.6,1201668.0,176.9
2015-07-09,179.16,162.2247,178.12,179.92,1364396.0,177.47
2015-07-10,179.19,162.8805,178.84,180.39,1044360.0,178.31
2015-07-13,180.04,163.3085,179.31,181.38,1022692.0,178.28
2015-07-14,179.53,163.9279,179.99,180.54,856552.0,178.3801
2015-07-15,179.66,165.2211,181.41,181.63,1234608.0,178.47
2015-07-16,182.22,167.0609,183.43,183.9,1141100.0,181.94
2015-07-17,182.82,166.7239,183.06,183.38,1020543.0,182.05
2015-07-20,183.28,166.6055,182.93,183.45,666032.0,181.69
2015-07-21,183.03,165.5399,181.76,183.32,889664.0,181.62
2015-07-22,181.99,166.1046,182.38,183.1,1142951.0,181.66
2015-07-23,182.23,165.1938,181.38,182.4,1143793.0,179.35
2015-07-24,183.57,168.172,184.65,185.3,286031.0,182.31
2015-07-27,184.76,169.1921,185.77,186.94,1591176.0,184.57
2015-07-28,186.33,169.7294,186.36,187.46,1133528.0,185.4
2015-07-29,186.49,169.8296,186.47,187.06,890892.0,185.27
2015-07-30,185.79,169.529,186.14,187.0,647057.0,184.62
2015-07-31,188.085,170.5127,187.22,189.05,1467068.0,186.64
2015-08-03,187.15,171.5782,188.39,188.72,771704.0,186.78
2015-08-04,188.61,171.724,188.55,190.47,1283712.0,187.77
2015-08-05,189.21,171.8606,188.7,189.8,1372183.0,188.1
2015-08-06,188.49,172.9535,189.9,190.29,1390530.0,186.96
2015-08-07,189.98,174.5838,191.69,192.21,1002300.0,188.44
2015-08-10,192.75,172.2795,189.16,193.2,1619113.0,188.41
2015-08-11,189.16,174.4563,191.55,192.31,1362526.0,188.63
2015-08-12,191.17,174.8843,192.02,192.17,1132757.0,189.79
2015-08-13,189.07,175.1393,190.75,192.03,792355.0,188.69
2015-08-14,190.69,175.9932,191.68,192.83,683791.0,189.32
2015-08-17,191.82,177.701,193.54,193.68,868350.0,190.5
2015-08-18,193.1,178.8395,194.78,195.17,1215869.0,192.775
2015-08-19,193.64,177.3796,193.19,194.35,928013.0,192.07
2015-08-20,192.39,176.4798,192.21,193.86,1337675.0,191.0
2015-08-21,192.24,174.4232,189.97,193.54,1993838.0,189.95
2015-08-24,183.77,167.1697,182.07,188.65,2744784.0,181.4
2015-08-25,191.69,162.5972,177.09,191.69,2181269.0,176.88
2015-08-26,180.0,167.0779,181.97,182.49,1988065.0,177.91
2015-08-27,183.49,170.5302,185.73,186.92,1467894.0,181.45
2015-08-28,185.27,169.2355,184.32,185.39,1447860.0,182.0
2015-08-31,184.17,164.6447,179.32,186.21,3230484.0,179.01
