Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,233026.0,131.51,130.75,131.64,132.266,131.64
2015-01-05,421779.0,131.02,129.92,130.1,132.15,130.1
2015-01-06,522154.0,130.36,129.975,130.5,131.94,130.5
2015-01-07,441001.0,130.74,130.635,131.3,131.87,131.3
2015-01-08,445998.0,131.87,131.826,133.27,133.68,133.27
2015-01-09,237738.0,133.16,131.72,131.92,133.99,131.92
2015-01-12,354954.0,131.7,131.25,132.325,132.69,132.325
2015-01-13,824566.0,133.57,132.33,135.205,136.8,135.205
2015-01-14,539475.0,134.52,133.98,134.75,135.115,134.75
2015-01-15,446369.0,134.82,133.45,133.51,136.16,133.51
2015-01-16,379330.0,133.16,132.68,134.15,134.38,134.15
2015-01-20,296600.0,134.24,133.03,134.2,134.98,134.2
2015-01-21,308525.0,134.03,133.4302,134.29,134.9,134.29
2015-01-22,426174.0,134.59,133.5,135.36,135.37,135.36
2015-01-23,212693.0,134.76,134.0,135.1,135.45,135.1
2015-01-26,342989.0,135.47,133.81,135.275,135.47,135.275
2015-01-27,331817.0,134.19,133.87,134.44,135.38,134.44
2015-01-28,389639.0,134.6,133.34,133.445,135.87,133.445
2015-01-29,297636.0,133.0,132.1,133.33,133.63,133.33
2015-01-30,501751.0,132.29,131.01,131.29,133.17,131.29
2015-02-02,474655.0,133.71,130.38,131.98,133.71,131.98
2015-02-03,539340.0,132.65,132.05,133.49,133.61,133.49
2015-02-04,478672.0,133.31,132.87,133.34,134.48,133.34
2015-02-05,484041.0,133.14,129.76,134.97,135.165,134.97
2015-02-06,812065.0,134.88,129.58,130.19,134.88,130.19
2015-02-09,541081.0,129.67,129.67,130.83,131.97,130.83
2015-02-10,461475.0,130.9,130.63,131.47,131.88,131.47
2015-02-11,389538.0,131.54,130.48,131.59,131.92,131.59
2015-02-12,447974.0,131.97,131.47,131.805,132.32,131.805
2015-02-13,494441.0,132.39,130.72,131.07,132.39,131.07
2015-02-17,566149.0,131.04,130.72,131.91,133.322,131.91
2015-02-18,521072.0,131.67,131.02,134.65,135.34,134.65
2015-02-19,503892.0,134.79,133.02,134.09,135.23,134.09
2015-02-20,595841.0,133.87,132.85,134.61,134.62,134.61
2015-02-23,345659.0,134.74,134.2301,134.86,136.0,134.86
2015-02-24,293569.0,134.25,134.04,134.57,135.085,134.57
2015-02-25,275104.0,134.77,134.34,135.4,135.69,135.4
2015-02-26,283171.0,135.31,134.34,135.0,135.33,135.0
2015-02-27,370072.0,134.85,134.05,134.97,135.65,134.97
2015-03-02,525057.0,135.37,135.03,137.145,137.19,137.145
2015-03-03,380785.0,132.01,132.01,136.295,136.53,136.295
2015-03-04,530942.0,134.98,134.75,135.11,135.82,135.11
2015-03-05,324249.0,135.37,134.75,136.285,136.45,136.285
2015-03-06,633550.0,136.63,134.75,136.19,136.63,136.19
2015-03-09,432071.0,136.88,136.38,137.54,137.56,137.54
2015-03-10,532216.0,135.27,135.27,136.06,137.04,136.06
2015-03-11,392488.0,135.98,135.02,135.67,136.3,135.67
2015-03-12,254489.0,136.51,135.85,136.88,137.03,136.88
2015-03-13,358034.0,137.26,135.61,136.41,137.26,136.41
2015-03-16,350510.0,136.83,136.83,138.68,138.83,138.68
2015-03-17,298965.0,138.05,137.77,138.81,139.15,138.81
2015-03-18,332413.0,138.5,138.01,140.51,140.9527,140.51
2015-03-19,372457.0,140.51,139.64,140.0,140.9,140.0
2015-03-20,612175.0,140.45,139.53,139.79,141.0,139.79
2015-03-23,422556.0,139.93,139.18,140.525,141.32,140.525
2015-03-24,310664.0,140.24,139.26,140.335,140.85,140.335
2015-03-25,622729.0,140.71,138.52,138.6,140.71,138.6
2015-03-26,366760.0,138.03,137.33,138.285,138.79,138.285
2015-03-27,313017.0,138.09,137.52,138.96,139.52,138.96
2015-03-30,283016.0,139.34,139.0,140.86,141.25,140.86
2015-03-31,383513.0,140.72,140.29,140.43,141.44,140.43
2015-04-01,426805.0,139.73,138.36,138.8,139.98,138.8
2015-04-02,337102.0,139.04,138.56,140.14,140.42,140.14
2015-04-06,387357.0,139.47,139.0,141.29,141.35,141.29
2015-04-07,283987.0,141.2,139.9,139.915,141.2,139.915
2015-04-08,299436.0,139.92,139.8073,140.66,141.7,140.66
2015-04-09,415125.0,140.76,140.21,141.54,141.58,141.54
2015-04-10,359125.0,141.64,141.0,141.93,142.68,141.93
2015-04-13,293831.0,141.63,141.12,141.56,142.69,141.56
2015-04-14,243449.0,140.92,139.9,140.81,141.65,140.81
2015-04-15,189775.0,141.2,140.85,141.19,141.72,141.19
2015-04-16,245069.0,141.07,139.88,140.83,141.07,140.83
2015-04-17,209630.0,139.71,137.52,138.06,139.91,138.06
2015-04-20,81044.0,138.33,138.33,138.92,139.5,138.92
2015-04-21,258113.0,139.62,138.865,139.38,139.856,139.38
2015-04-22,302657.0,140.28,138.71,139.66,140.94,139.66
2015-04-23,382733.0,138.85,138.85,140.5,141.01,140.5
2015-04-24,1313324.0,133.33,131.0,136.94,138.11,136.94
2015-04-27,642476.0,137.5,134.94,135.06,138.99,135.06
2015-04-28,587064.0,134.31,134.31,135.29,135.96,135.29
2015-04-29,642002.0,134.5,133.31,134.065,135.341,134.065
2015-04-30,586828.0,133.28,133.016,133.43,134.85,133.43
2015-05-01,628109.0,133.87,133.38,134.18,134.55,134.18
2015-05-04,397236.0,134.93,134.58,135.24,136.17,135.24
2015-05-05,606900.0,134.91,132.64,132.76,135.33,132.76
2015-05-06,392768.0,133.08,132.152,132.8,133.3537,132.8
2015-05-07,372396.0,132.74,132.35,133.1,133.34,133.1
2015-05-08,288056.0,134.0,132.79,134.01,135.279,134.01
2015-05-11,360682.0,133.81,133.48,133.57,134.8,133.57
2015-05-12,333050.0,132.8,132.53,134.34,134.54,134.34
2015-05-13,496525.0,134.5,133.93,134.42,135.355,134.42
2015-05-14,357974.0,135.47,135.04,136.71,136.82,136.71
2015-05-15,473185.0,137.02,136.18,136.8,137.77,136.8
2015-05-18,693002.0,136.36,136.36,138.2,138.75,138.2
2015-05-19,263732.0,138.41,137.89,138.46,138.91,138.46
2015-05-20,315123.0,138.67,137.39,137.8,138.75,137.8
2015-05-21,325154.0,137.5,137.5,138.25,138.61,138.25
2015-05-22,277939.0,138.61,137.91,138.24,139.22,138.24
2015-05-26,333678.0,137.59,136.68,137.36,138.0,137.36
2015-05-27,215006.0,137.89,137.4201,138.45,138.53,138.45
2015-05-28,314824.0,138.18,137.71,138.17,138.38,138.17
2015-05-29,494320.0,138.25,136.99,137.3,138.65,137.3
2015-06-01,288115.0,137.37,136.41,137.58,138.08,137.58
2015-06-02,284157.0,137.15,136.39,136.88,137.5,136.88
2015-06-03,295814.0,137.42,136.9955,137.53,137.87,137.53
2015-06-04,313939.0,137.53,136.63,136.715,137.74,136.715
2015-06-05,332297.0,135.41,135.2,136.4,136.87,136.4
2015-06-08,285915.0,136.13,135.92,136.4,136.81,136.4
2015-06-09,480618.0,135.98,135.12,135.34,136.4,135.34
2015-06-10,393739.0,135.38,135.18,136.61,136.99,136.61
2015-06-11,372144.0,136.63,136.4,137.09,137.59,137.09
2015-06-12,275838.0,136.69,135.46,135.82,136.911,135.82
2015-06-15,409045.0,135.2,133.87,134.75,135.2,134.75
2015-06-16,346521.0,134.3,134.075,135.46,135.59,135.46
2015-06-17,368682.0,135.12,134.92,135.61,136.01,135.61
2015-06-18,305172.0,136.29,136.065,137.475,138.32,137.475
2015-06-19,467369.0,137.56,136.41,137.09,137.81,137.09
2015-06-22,193982.0,137.51,136.97,137.52,138.12,137.52
2015-06-23,307163.0,137.97,136.843,137.39,138.03,137.39
2015-06-24,366313.0,137.25,135.69,135.71,137.56,135.71
