Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,65.5,67.21,66.67,66.02,54.3958,2397288.0
2015-01-05,65.19,66.5,65.86,65.67,54.1074,2269690.0
2015-01-06,63.61,65.91,65.9,63.86,52.6161,3425771.0
2015-01-07,63.18,64.7999,64.11,64.27,52.9539,1886459.0
2015-01-08,64.51,66.17,65.0,65.43,53.9097,3472521.0
2015-01-09,65.47,66.97,65.75,66.445,54.746,2500683.0
2015-01-12,64.76,66.45,66.25,65.04,53.5883,2133077.0
2015-01-13,64.13,66.91,65.69,64.75,53.3494,2144094.0
2015-01-14,63.61,64.73,64.22,64.59,53.2176,1926975.0
2015-01-15,62.1006,64.96,64.61,62.28,51.3143,3552234.0
2015-01-16,61.76,63.53,62.36,63.41,52.2453,2500286.0
2015-01-20,62.34,63.98,63.63,63.12,52.0064,1778126.0
2015-01-21,62.4,63.65,62.71,63.29,52.1465,1724004.0
2015-01-22,62.32,64.46,63.15,63.94,52.682,3563261.0
2015-01-23,63.47,64.42,64.15,63.98,52.715,2594249.0
2015-01-26,56.519,60.24,58.92,59.06,48.6613,15325550.0
2015-01-27,56.5,59.0,59.0,57.065,47.0175,8078021.0
2015-01-28,57.48,58.77,58.08,57.53,47.4006,7678240.0
2015-01-29,57.0,58.97,57.14,58.7,48.3646,5045957.0
2015-01-30,56.31,58.69,58.27,56.44,46.5026,5504545.0
2015-02-02,55.885,57.94,56.51,57.8,47.6231,5027870.0
2015-02-03,57.86,59.38,57.91,59.25,48.8178,4239014.0
2015-02-04,58.98,60.46,58.98,59.93,49.3781,4049131.0
2015-02-05,59.79,60.7,60.12,60.41,49.7736,2189466.0
2015-02-06,59.8,61.25,60.05,59.94,49.8312,4216359.0
2015-02-09,59.0,60.75,59.52,60.4,50.2137,3563914.0
2015-02-10,59.51,61.16,60.44,60.2,50.0474,3419197.0
2015-02-11,59.93,61.12,60.27,60.8,50.5462,3024752.0
2015-02-12,60.86,61.71,61.34,61.16,50.8455,1830038.0
2015-02-13,61.49,62.61,61.83,61.835,51.4066,2566191.0
2015-02-17,60.79,61.8,61.63,61.15,50.8372,2318293.0
2015-02-18,60.44,61.37,61.06,61.18,50.8621,2173743.0
2015-02-19,60.93,61.56,60.93,61.46,51.0949,1291282.0
2015-02-20,60.87,62.2,61.43,62.18,51.6935,1746926.0
2015-02-23,61.7,62.43,62.32,61.99,51.5355,1555459.0
2015-02-24,60.0,61.87,61.73,60.7,50.4631,3580870.0
2015-02-25,59.53,60.23,60.05,60.02,49.8977,3269699.0
2015-02-26,60.13,60.87,60.14,60.68,50.4464,2406039.0
2015-02-27,60.17,61.18,60.51,61.12,50.8122,2752338.0
2015-03-02,61.02,63.39,61.21,61.56,51.178,4083604.0
2015-03-03,57.81,60.4934,60.3,58.82,48.9001,6556271.0
2015-03-04,57.23,58.4875,58.48,58.08,48.2849,4209545.0
2015-03-05,57.4,58.75,58.12,58.435,48.58,3474465.0
2015-03-06,56.75,58.49,58.11,56.9,47.3039,3771724.0
2015-03-09,56.82,57.87,56.93,56.98,47.3704,3283423.0
2015-03-10,54.17,56.8,56.67,54.41,45.2339,6728398.0
