Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,7326458.0,27.09,26.66,27.17,27.42,27.17
2015-01-05,13336390.0,26.8,25.7,26.01,27.05,26.01
2015-01-06,12461742.0,25.8,24.69,24.71,26.2,24.71
2015-01-07,11652983.0,24.91,24.09,24.24,24.96,24.24
2015-01-08,11383148.0,24.64,24.05,25.07,25.14,25.07
2015-01-09,6644479.0,24.98,24.49,24.68,25.13,24.68
2015-01-12,17762288.0,23.66,23.15,24.07,24.3899,24.07
2015-01-13,14679801.0,24.07,23.665,24.13,24.29,24.13
2015-01-14,48673884.0,23.8,22.64,23.02,24.07,23.02
2015-01-15,81402490.0,23.61,23.31,23.78,24.44,23.78
2015-01-16,19914241.0,23.64,23.64,25.01,25.02,25.01
2015-01-20,15823617.0,24.68,23.67,24.5,24.85,24.5
2015-01-21,10863182.0,24.94,24.81,25.53,25.615,25.53
2015-01-22,19227206.0,25.71,24.66,25.52,25.72,25.52
2015-01-23,9405444.0,25.52,25.325,25.35,26.0,25.35
2015-01-26,9404234.0,25.46,25.35,25.8,26.035,25.8
2015-01-27,7593250.0,25.66,25.37,25.56,26.3065,25.56
2015-01-28,14013147.0,25.32,24.45,24.7,25.32,24.7
2015-01-29,11636783.0,24.8,23.8,24.28,24.95,24.28
2015-01-30,11937128.0,24.01,23.75,24.79,25.19,24.79
2015-02-02,11503713.0,25.17,25.13,25.96,26.06,25.96
2015-02-03,12854399.0,26.38,25.955,26.58,26.95,26.58
2015-02-04,9250059.0,26.07,25.339,25.92,26.34,25.92
2015-02-05,7361957.0,26.17,25.96,26.17,26.53,26.17
2015-02-06,6786156.0,26.47,26.33,26.48,26.88,26.48
2015-02-09,8697532.0,26.59,25.84,25.98,26.98,25.98
2015-02-10,11878557.0,26.16,25.58,26.89,27.035,26.89
2015-02-11,10529539.0,27.05,26.33,27.03,27.6,27.03
2015-02-12,7907450.0,27.29,26.63,26.85,27.5,26.85
2015-02-13,6892564.0,27.03,26.83,27.36,27.44,27.36
2015-02-17,6672722.0,27.14,26.7,27.38,27.39,27.38
2015-02-18,5468237.0,27.04,26.84,27.23,27.8,27.23
2015-02-19,9690440.0,26.43,26.35,27.52,27.79,27.52
2015-02-20,7246324.0,27.57,27.23,27.55,27.83,27.55
2015-02-23,6592288.0,27.255,26.78,27.24,27.83,27.24
2015-02-24,7126986.0,27.48,27.19,27.74,27.8,27.74
2015-02-25,7327210.0,27.87,27.53,27.97,28.02,27.97
2015-02-26,9672561.0,27.62,26.28,26.35,27.76,26.35
2015-02-27,13361194.0,27.18,24.85,25.08,27.59,25.08
2015-03-02,9271929.0,25.14,24.91,24.97,25.81,24.97
2015-03-03,10373540.0,24.86,24.29,24.89,25.06,24.89
2015-03-04,7311250.0,24.95,24.32,24.9,25.035,24.9
2015-03-05,9579278.0,24.69,23.98,24.54,25.02,24.54
2015-03-06,12582549.0,24.24,23.41,23.65,24.47,23.65
2015-03-09,11832576.0,23.27,22.23,22.29,23.51,22.29
2015-03-10,8245737.0,22.02,21.63,21.63,22.22,21.63
2015-03-11,12224682.0,21.74,21.455,22.3,22.41,22.3
2015-03-12,7570851.0,22.39,22.19,22.21,22.54,22.21
2015-03-13,6379784.0,22.0,21.74,22.35,22.37,22.35
2015-03-16,5664917.0,22.2,21.94,22.54,22.55,22.54
2015-03-17,6561757.0,22.65,22.319,22.57,23.08,22.57
