Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,25.79,19.5548,25.59,26.11,2508928.0,25.47
2015-01-05,25.56,19.2797,25.23,25.77,4176985.0,25.19
2015-01-06,25.45,18.9817,24.84,25.45,5315828.0,24.77
2015-01-07,24.9,19.1574,25.07,25.21,3040239.0,24.74
2015-01-08,25.21,19.5089,25.53,25.655,3527795.0,25.19
2015-01-09,25.53,19.379,25.36,25.73,5452270.0,25.07
2015-01-12,25.36,19.3255,25.29,25.44,3525503.0,24.97
2015-01-13,25.59,19.3638,25.34,26.05,3892280.0,25.125
2015-01-14,25.12,19.2644,25.21,25.35,2886093.0,24.94
2015-01-15,25.22,19.0352,24.91,25.36,2904028.0,24.84
2015-01-16,24.91,19.5854,25.63,25.67,4486536.0,24.8001
2015-01-20,25.72,19.6236,25.68,25.935,3941453.0,25.45
2015-01-21,25.63,19.5777,25.62,25.79,3257093.0,25.475
2015-01-22,25.75,20.3954,26.69,26.69,6008026.0,25.445
2015-01-23,26.7,20.361,26.645,27.32,5154633.0,26.56
2015-01-26,26.62,20.3151,26.585,26.66,2473963.0,26.227
2015-01-27,26.14,19.8222,25.94,26.34,4133397.0,25.68
2015-01-28,25.88,19.3905,25.375,26.05,3796909.0,25.36
2015-01-29,25.32,19.5624,25.6,25.62,3199793.0,25.08
2015-01-30,25.38,18.9282,24.77,25.44,4128602.0,24.74
2015-02-02,24.93,19.0581,24.94,25.0,3948125.0,24.36
2015-02-03,25.02,19.4593,25.465,25.5,2900139.0,25.01
2015-02-04,25.44,19.5624,25.6,25.785,3041694.0,25.23
2015-02-05,25.66,19.8452,25.97,26.02,3567452.0,25.47
2015-02-06,25.7,18.932,24.775,25.94,6443089.0,24.57
2015-02-09,24.64,18.9129,24.75,24.86,3335878.0,24.51
2015-02-10,24.89,19.2873,25.24,25.33,3133799.0,24.76
2015-02-11,25.19,19.6694,25.74,25.78,4637028.0,25.19
2015-02-12,25.89,19.9827,26.15,26.19,2678358.0,25.81
2015-02-13,26.22,20.1203,26.33,26.36,2851588.0,26.07
2015-02-17,26.0,19.8681,26.0,26.26,3658934.0,25.8
2015-02-18,25.97,19.6312,25.69,25.98,4780374.0,25.5
2015-02-19,25.59,19.5586,25.595,25.64,3519981.0,25.38
2015-02-20,25.61,19.6274,25.685,25.77,3672322.0,25.42
2015-02-23,25.76,19.4325,25.43,25.79,2470926.0,25.31
2015-02-24,25.22,19.379,25.21,25.3,2845515.0,25.06
2015-02-25,25.29,19.5943,25.49,25.55,3129138.0,25.22
2015-02-26,25.55,19.256,25.05,25.61,3825199.0,25.035
2015-02-27,25.08,19.3406,25.16,25.32,3787766.0,24.951
2015-03-02,25.2,19.4175,25.26,25.34,2902351.0,25.1
2015-03-03,25.05,19.0331,24.76,25.15,4076731.0,24.63
2015-03-04,24.54,18.814,24.475,24.7,3679302.0,24.44
2015-03-05,24.49,18.9409,24.64,24.65,2068604.0,24.3
2015-03-06,24.54,18.5757,24.165,24.54,4356893.0,24.07
2015-03-09,24.14,18.814,24.475,24.535,2933288.0,24.1
2015-03-10,24.2,18.3336,23.85,24.42,4771241.0,23.83
2015-03-11,23.89,18.0338,23.46,23.93,3769155.0,23.41
2015-03-12,23.52,18.2298,23.715,23.735,3942951.0,23.45
2015-03-13,23.6,17.9569,23.36,23.72,7741989.0,23.2
2015-03-16,23.53,18.2106,23.69,23.75,4589144.0,23.465
2015-03-17,23.71,18.2721,23.77,23.9,4368276.0,23.58
2015-03-18,23.77,18.6565,24.27,24.5,6650164.0,23.57
2015-03-19,24.27,18.4566,24.01,24.35,4368565.0,23.95
2015-03-20,24.17,18.741,24.38,24.52,7102239.0,24.14
2015-03-23,24.33,18.7641,24.41,24.55,4014002.0,24.26
2015-03-24,24.37,18.5411,24.12,24.48,5534050.0,24.11
2015-03-25,24.16,17.9185,23.31,24.21,5406378.0,23.31
2015-03-26,23.18,17.8954,23.28,23.469,5679209.0,23.02
2015-03-27,23.39,17.9531,23.355,23.42,4053739.0,23.1
2015-03-30,23.49,18.103,23.55,23.7,3223532.0,23.37
2015-03-31,23.44,17.9608,23.365,23.675,4245659.0,23.28
2015-04-01,22.94,17.9339,23.33,23.38,3651162.0,22.94
2015-04-02,23.38,18.103,23.55,23.63,3130268.0,23.27
2015-04-06,23.35,18.3182,23.83,23.96,3707099.0,23.24
2015-04-07,23.89,18.2952,23.8,23.925,3860312.0,23.73
2015-04-08,23.64,18.4566,24.01,24.2,4840631.0,23.52
2015-04-09,24.01,18.6219,24.225,24.34,3564718.0,23.86
2015-04-10,24.32,19.6635,25.58,26.15,12753076.0,24.19
2015-04-13,24.75,18.5527,24.135,24.99,11057023.0,24.05
2015-04-14,24.12,18.3028,23.81,24.28,4855443.0,23.71
2015-04-15,23.95,18.2875,23.79,24.04,4606210.0,23.74
2015-04-16,23.75,18.6757,24.295,24.345,5685262.0,23.71
2015-04-17,24.0,18.6334,24.24,25.1,9829793.0,23.85
2015-04-20,24.5,18.595,24.19,24.56,5144242.0,24.13
2015-04-21,24.37,18.5258,24.1,24.6,4501307.0,24.045
2015-04-22,24.23,18.7256,24.36,24.43,3253892.0,24.08
2015-04-23,24.32,18.9409,24.64,24.78,3035600.0,24.26
2015-04-24,24.79,18.9639,24.67,24.8,2575938.0,24.48
2015-04-27,24.71,19.0869,24.83,24.93,3461411.0,24.56
2015-04-28,24.76,19.1792,24.95,24.985,3648962.0,24.68
2015-04-29,24.76,19.1369,24.895,25.0,3273285.0,24.69
2015-04-30,24.75,19.16,24.925,25.0,4438457.0,24.65
2015-05-01,24.99,19.3214,25.135,25.23,2956790.0,24.88
2015-05-04,25.03,19.4636,25.32,25.41,3064372.0,24.96
2015-05-05,25.2,19.1369,24.895,25.25,3679134.0,24.88
2015-05-06,24.97,19.1715,24.94,25.05,3691188.0,24.66
2015-05-07,24.88,19.2022,24.98,25.07,2545698.0,24.71
2015-05-08,25.3,19.625,25.53,25.58,3577946.0,24.73
