Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,33.76,28.6259,33.97,33.87,20557653.0,33.69
2015-01-05,33.87,28.3555,33.92,33.55,30429132.0,33.52
2015-01-06,33.77,28.3977,33.8053,33.6,29528731.0,33.35
2015-01-07,33.58,28.4316,33.59,33.17,31657332.0,32.73
2015-01-08,33.24,28.7144,33.58,33.5,22788021.0,33.15
2015-01-09,33.62,28.6287,33.69,33.4,21398325.0,33.39
2015-01-12,33.59,28.7058,33.76,33.49,20166487.0,33.48
2015-01-13,33.72,28.7058,33.92,33.49,24421461.0,33.265
2015-01-14,33.28,28.5687,33.45,33.33,22091263.0,33.04
2015-01-15,33.49,28.5087,33.67,33.26,25799846.0,33.18
2015-01-16,33.14,28.9716,33.86,33.8,37526900.0,33.14
2015-01-20,33.87,29.1001,33.96,33.95,20216097.0,33.55
2015-01-21,33.81,29.143,34.23,34.0,34847841.0,33.65
2015-01-22,33.84,28.963,33.93,33.79,34753944.0,33.29
2015-01-23,33.8,28.603,33.8,33.37,25443686.0,33.34
2015-01-26,33.32,28.4401,33.34,33.18,28528639.0,33.05
2015-01-27,33.09,28.123,33.12,32.81,30806122.0,32.81
2015-01-28,33.47,28.0116,33.64,32.68,45843780.0,32.64
2015-01-29,32.68,28.2516,33.1,32.96,31068188.0,32.41
2015-01-30,32.77,28.2173,33.43,32.92,56275197.0,32.72
2015-02-02,33.31,28.7658,33.62,33.56,37288338.0,32.8
2015-02-03,33.66,29.4344,34.34,34.34,41631381.0,33.65
2015-02-04,34.33,29.4944,34.75,34.41,29853319.0,34.23
2015-02-05,34.49,29.6058,34.6,34.54,19076449.0,34.32
2015-02-06,34.49,29.8887,35.05,34.87,27708543.0,34.41
2015-02-09,34.71,29.6916,34.91,34.64,20108090.0,34.59
2015-02-10,34.86,29.8716,35.07,34.85,19874086.0,34.79
2015-02-11,34.79,29.4773,34.83,34.39,31901800.0,34.25
2015-02-12,34.41,29.6658,34.62,34.61,19865624.0,34.24
2015-02-13,34.55,29.7087,34.73,34.66,16082410.0,34.37
2015-02-17,34.6,29.7516,34.73,34.71,19254303.0,34.45
2015-02-18,34.73,29.563,34.73,34.49,17097444.0,34.35
2015-02-19,34.48,29.2201,34.48,34.09,18913965.0,34.03
2015-02-20,34.06,29.2116,34.0825,34.08,21281974.0,33.82
2015-02-23,33.97,29.0144,34.05,33.85,23418371.0,33.74
2015-02-24,33.75,29.1858,34.12,34.05,19382011.0,33.6
2015-02-25,34.13,29.323,34.22,34.21,17838244.0,33.98
2015-02-26,34.12,29.5716,34.59,34.5,23155696.0,34.06
2015-02-27,34.42,29.623,34.58,34.56,19863413.0,34.38
2015-03-02,34.37,29.6916,34.65,34.64,21637093.0,34.21
2015-03-03,34.53,29.4944,34.65,34.41,20201551.0,34.35
2015-03-04,34.45,29.143,34.45,34.0,23390705.0,33.97
2015-03-05,34.15,29.143,34.2,34.0,14524108.0,33.99
2015-03-06,33.58,28.6973,33.77,33.48,39761466.0,33.37
2015-03-09,33.45,28.5858,33.5888,33.35,19465163.0,33.31
2015-03-10,33.26,28.0973,33.26,32.78,32469515.0,32.75
2015-03-11,32.88,27.9601,32.89,32.62,29020224.0,32.52
2015-03-12,32.84,28.3973,33.21,33.13,27016791.0,32.7
2015-03-13,32.99,28.0801,33.03,32.76,26806912.0,32.6
2015-03-16,32.79,28.3373,33.1,33.06,20530020.0,32.68
2015-03-17,32.85,28.2001,33.12,32.9,23900002.0,32.77
2015-03-18,32.93,28.7916,33.59,33.59,47843856.0,32.69
2015-03-19,33.51,28.4573,33.51,33.2,19912068.0,33.18
2015-03-20,33.27,28.483,33.6,33.23,38651753.0,33.21
2015-03-23,33.37,28.5258,33.68,33.28,23983405.0,33.28
2015-03-24,33.23,28.3458,33.42,33.07,20117108.0,33.07
2015-03-25,33.02,27.9601,33.11,32.62,29157227.0,32.62
2015-03-26,32.63,28.1316,33.13,32.82,30623963.0,32.61
2015-03-27,32.94,28.0716,32.95,32.75,20850109.0,32.7
2015-03-30,32.82,28.2601,33.04,32.97,18904259.0,32.8
2015-03-31,32.97,27.9858,33.03,32.65,27897998.0,32.65
2015-04-01,32.62,28.1916,32.91,32.89,25365035.0,32.54
2015-04-02,32.9,28.3973,33.23,33.13,19273905.0,32.82
2015-04-06,33.15,28.5687,33.41,33.33,22972409.0,33.06
2015-04-07,33.35,28.423,33.45,33.16,23999077.0,33.155
2015-04-08,32.73,28.3887,32.85,32.65,21381233.0,32.565
2015-04-09,32.58,28.4235,32.79,32.69,21073592.0,32.44
2015-04-10,32.77,28.493,32.83,32.77,15062787.0,32.65
2015-04-13,32.76,28.5887,33.069,32.88,22730981.0,32.7
2015-04-14,32.92,28.4235,32.93,32.69,18265057.0,32.62
2015-04-15,32.71,28.5974,32.96,32.89,19856010.0,32.6399
2015-04-16,32.76,28.4756,32.9,32.75,17597252.0,32.7
2015-04-17,32.65,28.267,32.7,32.51,29715625.0,32.37
2015-04-20,32.65,28.5452,32.87,32.83,24314582.0,32.65
2015-04-21,32.84,28.3974,32.85,32.66,19720409.0,32.58
2015-04-22,32.78,28.5713,32.89,32.86,29739452.0,32.55
2015-04-23,33.45,29.7625,34.4,34.23,91333759.0,33.33
2015-04-24,34.21,29.5712,34.32,34.01,42046912.0,33.96
2015-04-27,34.05,29.6408,34.3,34.09,24464561.0,34.04
2015-04-28,34.28,30.3103,34.985,34.86,48687568.0,34.17
2015-04-29,34.58,30.2233,35.23,34.76,40721294.0,34.54
2015-04-30,34.7,30.119,34.9,34.64,29691362.0,34.55
2015-05-01,34.56,29.9277,34.72,34.42,34167621.0,34.13
2015-05-04,34.41,30.0233,34.71,34.53,21296693.0,34.25
2015-05-05,34.49,29.319,34.58,33.72,31802421.0,33.66
2015-05-06,33.71,29.0234,33.79,33.38,30701074.0,33.08
2015-05-07,33.25,29.0147,33.56,33.37,22643221.0,33.11
2015-05-08,33.72,29.293,33.83,33.69,27680289.0,33.59
2015-05-11,33.65,29.1191,33.7,33.49,21479565.0,33.38
2015-05-12,33.31,29.2669,33.94,33.66,41275983.0,33.035
2015-05-13,33.63,29.4756,34.14,33.9,34748757.0,33.57
2015-05-14,34.08,29.6755,34.2,34.13,23908414.0,34.0
2015-05-15,34.11,29.8494,34.385,34.33,28263928.0,34.01
2015-05-18,34.28,30.319,35.02,34.87,59611861.0,34.26
2015-05-19,34.79,29.8842,34.85,34.37,38270674.0,34.17
2015-05-20,34.43,30.1016,34.71,34.62,27280799.0,34.29
2015-05-21,34.55,30.4929,35.22,35.07,41572888.0,34.52
2015-05-22,34.89,30.1798,35.03,34.71,26349206.0,34.615
2015-05-26,34.6,30.1451,34.755,34.67,40641751.0,34.26
2015-05-27,34.75,30.3885,35.095,34.95,36631382.0,34.6
2015-05-28,34.96,30.2581,34.9699,34.8,19591680.0,34.64
2015-05-29,34.75,30.032,34.82,34.54,29882650.0,34.54
2015-06-01,34.53,29.8668,34.6,34.35,28228675.0,34.24
2015-06-02,34.37,29.8755,34.53,34.36,19508088.0,34.28
2015-06-03,34.45,30.4581,35.17,35.03,39115938.0,34.36
2015-06-04,34.92,30.6667,35.48,35.27,56219033.0,34.78
2015-06-05,35.16,30.0581,35.17,34.57,36713215.0,34.5
2015-06-08,34.5,30.0755,34.72,34.59,25928796.0,34.495
2015-06-09,34.59,30.0059,34.79,34.51,23986602.0,34.5
2015-06-10,34.59,30.1885,34.76,34.72,31312320.0,34.59
2015-06-11,34.82,30.3276,34.98,34.88,30440848.0,34.78
2015-06-12,34.75,30.1277,34.96,34.65,25869065.0,34.64
2015-06-15,34.54,29.919,34.57,34.41,24465457.0,34.4
2015-06-16,34.3,30.1451,34.75,34.67,29729847.0,34.26
2015-06-17,34.72,30.2581,34.85,34.8,30455930.0,34.54
2015-06-18,34.8,30.4494,35.1,35.02,37333201.0,34.76
2015-06-19,34.92,30.4233,35.06,34.99,35650834.0,34.88
2015-06-22,35.1,30.4668,35.15,35.04,23584328.0,35.0
2015-06-23,35.57,31.2232,36.25,35.91,69970850.0,35.51
2015-06-24,35.92,31.1102,35.95,35.78,33443204.0,35.68
2015-06-25,36.13,31.458,36.45,36.18,47566226.0,36.04
2015-06-26,36.38,31.4058,36.4,36.12,30002401.0,35.91
2015-06-29,35.87,31.1015,36.23,35.77,28998291.0,35.75
2015-06-30,36.03,30.8841,36.15,35.52,31390076.0,35.46
2015-07-01,35.59,30.9276,35.63,35.57,36972230.0,35.27
2015-07-02,35.85,31.0667,35.93,35.73,22254343.0,35.64
2015-07-06,35.6,30.9624,35.66,35.61,25638613.0,35.47
2015-07-07,35.79,31.1015,35.85,35.77,27017192.0,35.37
2015-07-08,35.28,30.6581,35.32,34.79,31591717.0,34.74
2015-07-09,35.02,30.3056,35.04,34.39,33071347.0,34.33
2015-07-10,34.62,30.5347,34.85,34.65,30999116.0,34.39
2015-07-13,34.75,30.7374,34.97,34.88,26803199.0,34.67
2015-07-14,34.74,30.9489,35.13,35.12,25141224.0,34.66
2015-07-15,35.1,30.6052,35.13,34.73,29044933.0,34.68
2015-07-16,34.85,30.9841,35.19,35.16,18452262.0,34.85
2015-07-17,35.1,30.8519,35.24,35.01,21899956.0,34.9
2015-07-20,35.04,30.755,35.06,34.9,22216806.0,34.71
2015-07-21,34.67,30.4642,34.67,34.57,27863858.0,34.39
2015-07-22,34.25,30.1998,34.35,34.27,51785807.0,34.02
2015-07-23,34.28,29.9002,34.34,33.93,37054344.0,33.86
2015-07-24,34.66,30.2174,35.09,34.29,87242492.0,34.29
2015-07-27,34.22,30.2439,34.66,34.32,50523631.0,34.02
2015-07-28,34.57,30.2527,34.58,34.33,52946743.0,34.22
2015-07-29,34.47,30.5699,34.91,34.69,42986075.0,34.37
2015-07-30,34.86,30.6669,34.89,34.8,25957524.0,34.68
2015-07-31,34.94,30.614,34.99,34.74,29880938.0,34.72
2015-08-03,34.95,30.5435,35.02,34.66,29677064.0,34.5
2015-08-04,34.79,30.473,34.8,34.58,26249913.0,34.5
2015-08-05,34.79,30.4642,34.83,34.57,22777882.0,34.51
2015-08-06,34.55,30.1734,34.59,34.24,32719843.0,33.95
2015-08-07,34.11,30.1469,34.26,34.21,25627574.0,34.04
2015-08-10,34.3,30.6492,34.78,34.78,29178771.0,34.2
2015-08-11,34.6,30.5347,34.96,34.65,35402719.0,34.57
2015-08-12,33.86,29.9795,34.07,34.02,62201296.0,33.45
2015-08-13,34.01,29.7944,34.17,33.81,35520939.0,33.79
2015-08-14,33.91,30.0059,34.05,34.05,22759594.0,33.78
2015-08-17,33.96,30.1646,34.23,34.23,21050631.0,33.9
2015-08-18,34.16,30.2703,34.43,34.35,20537759.0,34.12
2015-08-19,34.295,30.2791,34.5,34.36,21136421.0,34.07
2015-08-20,34.17,29.9178,34.46,33.95,38363358.0,33.95
2015-08-21,33.7,29.4155,33.95,33.38,41619364.0,33.38
2015-08-24,32.18,28.5255,33.27,32.37,77223472.0,30.97
