Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,43.97,44.0,44.0,44.235,1349813.0,43.23
2015-01-05,43.69,43.07,43.07,43.8,1988671.0,42.52
2015-01-06,43.33,42.63,42.63,43.6,1662933.0,42.28
2015-01-07,43.13,42.78,42.78,43.25,1665021.0,42.61
2015-01-08,43.24,43.33,43.33,43.9,1817709.0,43.045
2015-01-09,43.51,43.43,43.43,43.66,935404.0,42.8
2015-01-12,43.39,42.63,42.63,43.488,1098777.0,42.57
2015-01-13,42.87,42.83,42.83,43.89,1396848.0,42.46
2015-01-14,42.4,42.65,42.65,42.89,1738664.0,41.99
2015-01-15,42.88,41.95,41.95,43.17,1040929.0,41.93
2015-01-16,41.91,42.93,42.93,42.96,1728044.0,41.825
2015-01-20,43.25,43.32,43.32,43.58,1321764.0,42.83
2015-01-21,42.99,43.29,43.29,43.83,1192427.0,42.71
2015-01-22,43.55,44.25,44.25,44.35,1307324.0,43.26
2015-01-23,44.0,43.35,43.35,44.39,1600959.0,43.27
2015-01-26,43.47,44.36,44.36,44.39,1906186.0,43.1
2015-01-27,43.63,45.22,45.22,46.72,4125847.0,43.485
2015-01-28,45.73,44.58,44.58,45.83,1703325.0,44.44
2015-01-29,44.75,45.0,45.0,45.12,1556700.0,44.03
2015-01-30,44.53,44.56,44.56,45.09,1941500.0,44.21
2015-02-02,44.59,45.53,45.53,45.62,1646838.0,44.08
2015-02-03,45.9,46.69,46.69,46.89,2109094.0,45.73
2015-02-04,46.42,46.98,46.98,47.03,3131534.0,46.06
2015-02-05,42.4,42.19,42.19,43.43,10329700.0,41.18
2015-02-06,41.49,41.63,41.63,42.62,4081704.0,41.38
2015-02-09,41.48,42.5,42.5,42.63,3102792.0,41.41
2015-02-10,42.7,43.63,43.63,43.73,2243710.0,42.27
2015-02-11,43.65,43.83,43.83,43.98,1793982.0,43.36
2015-02-12,44.71,46.02,46.02,46.21,3727670.0,44.57
2015-02-13,45.92,45.73,45.73,46.3,1896979.0,44.94
2015-02-17,45.25,45.08,45.08,45.42,1650478.0,44.5704
2015-02-18,45.04,45.16,45.16,45.42,1215327.0,44.76
2015-02-19,44.91,45.17,45.17,45.4,1057073.0,44.71
2015-02-20,45.04,45.29,45.29,45.315,1120933.0,44.5
2015-02-23,45.32,44.63,44.63,45.32,2150353.0,44.07
2015-02-24,44.76,44.73,44.73,44.8825,1371943.0,44.06
2015-02-25,44.59,43.95,43.95,44.71,1676151.0,43.8
2015-02-26,44.07,43.96,43.96,44.39,2070347.0,43.35
2015-02-27,44.0,44.52,44.52,44.89,1374299.0,43.88
2015-03-02,44.55,44.96,44.96,45.03,1695080.0,43.94
2015-03-03,44.65,44.05,44.05,44.81,894807.0,43.975
2015-03-04,43.77,44.64,44.64,45.0,2182663.0,43.42
2015-03-05,44.62,44.03,44.03,44.65,1611541.0,43.92
2015-03-06,43.8,42.89,42.89,44.22,1769156.0,42.82
2015-03-09,42.89,42.85,42.85,43.01,1443826.0,42.55
2015-03-10,42.85,42.18,42.18,43.08,1383644.0,42.075
2015-03-11,42.11,42.24,42.24,42.44,1584202.0,41.71
2015-03-12,42.24,42.34,42.34,42.44,1429706.0,41.66
2015-03-13,42.17,42.14,42.14,42.26,1214432.0,41.67
2015-03-16,41.96,42.19,42.19,42.51,1397012.0,41.9
2015-03-17,42.1,42.74,42.74,42.83,1401203.0,42.1
2015-03-18,42.53,42.73,42.73,43.06,2065329.0,42.23
2015-03-19,42.68,42.73,42.73,43.32,1470142.0,42.63
2015-03-20,42.9,43.95,43.95,44.05,3203534.0,42.81
2015-03-23,43.89,44.23,44.23,44.55,1208531.0,43.79
2015-03-24,44.12,43.7,43.7,44.27,1302386.0,43.67
2015-03-25,43.6,42.67,42.67,43.725,1259605.0,42.64
2015-03-26,42.27,42.62,42.62,42.78,1212825.0,42.155
2015-03-27,42.5,42.71,42.71,42.72,1003900.0,42.21
2015-03-30,42.87,43.57,43.57,43.62,1123867.0,42.8
2015-03-31,43.41,44.14,44.14,44.45,1817902.0,43.15
2015-04-01,44.16,44.01,44.01,44.22,1160747.0,43.44
2015-04-02,43.94,43.97,43.97,44.36,682080.0,43.6
2015-04-06,43.59,44.72,44.72,44.92,1010155.0,43.52
2015-04-07,44.93,45.4,45.4,45.705,1743207.0,44.6
2015-04-08,45.45,45.62,45.62,45.69,1067330.0,45.19
2015-04-09,45.55,45.89,45.89,45.97,1012421.0,45.135
2015-04-10,45.79,44.86,44.86,46.0,2159009.0,44.69
2015-04-13,44.84,44.14,44.14,45.03,2067600.0,44.05
2015-04-14,44.01,43.59,43.59,44.21,2028310.0,43.345
2015-04-15,43.62,43.72,43.72,43.9,1285552.0,43.28
2015-04-16,43.55,43.74,43.74,43.97,765830.0,43.37
2015-04-17,43.39,43.1,43.1,43.406,1235814.0,42.52
2015-04-20,43.35,43.15,43.15,43.46,1003812.0,42.99
2015-04-21,43.41,43.45,43.45,44.01,880669.0,43.28
2015-04-22,43.66,43.72,43.72,43.84,982288.0,43.08
2015-04-23,43.79,44.45,44.45,44.91,1081947.0,43.65
2015-04-24,44.56,43.98,43.98,44.65,753084.0,43.75
2015-04-27,44.02,43.86,43.86,44.23,803006.0,43.75
2015-04-28,43.8,44.22,44.22,44.35,477719.0,43.65
2015-04-29,44.03,44.22,44.22,44.55,731174.0,43.96
2015-04-30,44.09,43.99,43.99,44.57,1097480.0,43.65
2015-05-01,44.15,45.01,45.01,45.06,1360501.0,43.91
2015-05-04,44.92,45.28,45.28,45.5,1361143.0,44.82
2015-05-05,45.16,44.54,44.54,45.65,2127284.0,44.49
2015-05-06,44.75,44.94,44.94,44.94,1840246.0,44.33
2015-05-07,42.2,41.8,41.8,42.42,7770000.0,40.04
2015-05-08,41.5,40.86,40.86,41.74,2835690.0,40.64
2015-05-11,40.75,40.11,40.11,40.97,3775420.0,39.92
2015-05-12,39.98,40.01,40.01,40.2,2015079.0,39.52
2015-05-13,40.02,40.64,40.64,40.91,2926412.0,40.01
2015-05-14,40.82,40.82,40.82,40.97,1409688.0,40.31
2015-05-15,40.83,40.22,40.22,40.93,1413886.0,40.02
2015-05-18,40.12,40.46,40.46,40.55,1397506.0,40.025
2015-05-19,40.56,40.29,40.29,40.76,1089657.0,40.115
2015-05-20,40.46,40.23,40.23,40.64,1891563.0,39.98
2015-05-21,40.12,39.93,39.93,40.28,742243.0,39.92
2015-05-22,39.92,39.57,39.57,40.07,1483264.0,39.36
2015-05-26,39.48,38.7,38.7,39.53,2101585.0,38.58
2015-05-27,38.79,38.83,38.83,39.06,1616356.0,38.46
2015-05-28,38.84,38.73,38.73,38.9,1287734.0,38.4
2015-05-29,38.66,38.94,38.94,39.17,1942829.0,38.54
2015-06-01,38.95,38.62,38.62,39.0,1305479.0,38.47
2015-06-02,38.53,39.25,39.25,39.36,1208703.0,38.5
2015-06-03,39.45,40.0,40.0,40.21,1675454.0,39.1901
2015-06-04,39.63,39.12,39.12,39.71,995619.0,39.0
2015-06-05,39.02,39.17,39.17,39.27,891807.0,38.84
2015-06-08,39.08,38.87,38.87,39.23,1001297.0,38.72
2015-06-09,38.9,38.77,38.77,38.995,877874.0,38.7
2015-06-10,38.95,39.04,39.04,39.52,1308573.0,38.86
2015-06-11,39.05,38.56,38.56,39.35,1909147.0,38.45
2015-06-12,38.49,38.57,38.57,38.83,1681855.0,38.34
2015-06-15,37.61,37.5,37.5,37.76,3755057.0,36.53
2015-06-16,37.53,38.25,38.25,38.31,1412298.0,37.52
2015-06-17,38.3,38.65,38.65,38.7165,1899234.0,38.16
2015-06-18,38.71,39.02,39.02,39.16,956254.0,38.61
2015-06-19,38.96,38.36,38.36,39.03,2180583.0,38.33
2015-06-22,38.59,38.56,38.56,38.95,1002754.0,38.505
2015-06-23,38.53,38.07,38.07,38.54,3601154.0,37.98
2015-06-24,38.07,37.6,37.6,38.24,1613377.0,37.58
2015-06-25,37.67,37.52,37.52,37.85,1605722.0,37.44
2015-06-26,37.5,37.3,37.3,37.61,2342435.0,37.2
2015-06-29,37.1,36.95,36.95,37.31,1794616.0,36.9
2015-06-30,37.28,37.0,37.0,37.28,1754937.0,36.87
2015-07-01,37.26,36.2,36.2,37.27,2476074.0,35.92
2015-07-02,36.28,36.02,36.02,36.49,1147093.0,35.94
2015-07-06,35.63,35.62,35.62,35.99,1250897.0,35.4
2015-07-07,35.66,35.91,35.91,35.96,858062.0,35.11
2015-07-08,35.63,35.41,35.41,35.95,1349338.0,35.36
2015-07-09,36.15,35.56,35.56,36.15,1093594.0,35.12
2015-07-10,35.93,35.93,35.93,36.11,710504.0,35.82
2015-07-13,36.24,36.3,36.3,36.42,512370.0,36.12
2015-07-14,36.26,36.31,36.31,36.44,832982.0,36.06
2015-07-15,36.28,35.99,35.99,36.43,782611.0,35.94
2015-07-16,36.01,35.76,35.76,36.22,1949170.0,35.41
