Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,30.66,30.66,30.66,30.66,14.9509,2336900.0
2015-01-05,29.77,30.36,30.33,30.12,14.6876,2187800.0
2015-01-06,29.303,30.17,30.15,29.62,14.4438,2670500.0
2015-01-07,29.41,30.05,29.95,29.87,14.5657,1958700.0
2015-01-08,30.13,30.73,30.21,30.49,14.868,3356700.0
2015-01-09,30.51,30.99,30.6,30.69,14.9656,1595500.0
2015-01-12,30.06,30.69,30.63,30.16,14.7071,1494300.0
2015-01-13,30.52,31.3,30.52,31.26,15.2435,2884100.0
2015-01-14,30.35,31.06,30.83,30.92,15.0777,1563100.0
2015-01-15,30.001,30.96,30.95,30.11,14.6827,1162600.0
2015-01-16,30.08,30.84,30.08,30.81,15.0241,962700.0
2015-01-20,30.49,31.03,30.76,31.02,15.1265,1425600.0
2015-01-21,30.54,31.425,30.85,31.36,15.2923,1850800.0
2015-01-22,31.5,32.58,32.35,32.06,15.6336,2391600.0
2015-01-23,31.62,32.07,31.96,31.77,15.4922,1190700.0
2015-01-26,31.54,32.4,31.77,32.35,15.775,1365800.0
2015-01-27,31.79,32.63,31.88,32.3,15.7507,1273200.0
2015-01-28,31.6,32.62,32.53,31.61,15.4142,1308800.0
2015-01-29,30.92,31.82,31.69,31.76,15.4873,1291200.0
2015-01-30,30.94,31.65,31.48,31.01,15.1216,1372500.0
2015-02-02,30.633,31.535,31.11,31.51,15.3654,2083100.0
2015-02-03,31.71,33.46,31.98,33.32,16.2481,2704300.0
2015-02-04,32.68,33.51,33.17,33.03,16.1066,2103500.0
2015-02-05,32.845,33.22,33.11,33.01,16.0969,1236700.0
2015-02-06,32.96,33.74,32.99,33.6,16.3846,1875300.0
2015-02-09,33.2,33.97,33.35,33.78,16.4724,2736200.0
2015-02-10,33.42,34.23,34.0,34.16,16.6577,1371700.0
2015-02-11,33.96,34.44,34.1,34.36,16.7552,1209400.0
2015-02-12,34.25,35.11,34.25,34.84,16.9893,2600600.0
2015-02-13,34.6,35.07,34.96,34.77,16.9551,1360000.0
2015-02-17,34.49,34.98,34.63,34.8,16.9698,1203100.0
2015-02-18,34.54,34.8,34.71,34.6,16.8722,1129500.0
2015-02-19,34.27,34.67,34.54,34.45,16.7991,975100.0
2015-02-20,33.88,34.69,34.35,34.66,16.9015,1251800.0
2015-02-23,34.51,34.965,34.66,34.95,17.0429,1142600.0
2015-02-24,34.85,35.2,34.88,35.17,17.1502,1406300.0
2015-02-25,35.075,35.45,35.15,35.25,17.1892,1527500.0
2015-02-26,35.18,36.0,35.25,35.68,17.3989,2722000.0
