Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,853934.0,50.99,49.81,50.21,51.21,50.21
2015-01-05,1340928.0,49.91,48.7,49.04,50.95,49.04
2015-01-06,1589203.0,49.0,47.76,48.56,49.65,48.56
2015-01-07,1264097.0,48.85,48.85,50.98,51.0,50.98
2015-01-08,1403514.0,51.45,51.2,52.16,52.34,52.16
2015-01-09,1433628.0,52.15,51.34,51.65,52.45,51.65
2015-01-12,5232739.0,52.1,46.4,47.0,52.1,47.0
2015-01-13,5302191.0,47.3,44.62,46.16,47.68,46.16
2015-01-14,2643205.0,45.53,44.43,45.25,45.88,45.25
2015-01-15,1898024.0,45.44,44.36,44.73,45.69,44.73
2015-01-16,2526967.0,44.45,43.88,44.98,45.04,44.98
2015-01-20,3438963.0,44.95,43.82,44.7,45.13,44.7
2015-01-21,2138593.0,44.48,44.36,44.71,45.96,44.71
2015-01-22,1688237.0,44.98,44.41,45.53,45.58,45.53
2015-01-23,1715977.0,45.32,43.8,43.88,45.62,43.88
2015-01-26,2334757.0,44.03,43.1499,44.41,44.49,44.41
2015-01-27,1441113.0,43.91,43.5,43.6,44.5299,43.6
2015-01-28,1106620.0,43.85,42.85,42.95,44.05,42.95
2015-01-29,1942516.0,42.95,41.84,43.39,43.52,43.39
2015-01-30,2061409.0,43.02,42.13,42.28,43.485,42.28
2015-02-02,3298670.0,42.22,41.47,42.22,42.637,42.22
2015-02-03,2754407.0,42.29,42.07,44.19,44.41,44.19
2015-02-04,1988566.0,43.86,42.91,43.42,44.27,43.42
2015-02-05,1812343.0,43.6,43.51,44.25,44.54,44.25
2015-02-06,1763147.0,44.2,43.46,43.68,44.96,43.68
2015-02-09,1299404.0,43.29,42.36,42.65,43.52,42.65
2015-02-10,1550325.0,42.85,42.69,43.86,44.08,43.86
2015-02-11,1055893.0,43.73,43.27,43.65,44.08,43.65
2015-02-12,698290.0,43.74,43.415,43.55,44.1,43.55
2015-02-13,1136181.0,43.43,43.31,44.3,44.36,44.3
2015-02-17,1231762.0,44.23,43.89,45.31,45.44,45.31
2015-02-18,946456.0,45.36,44.6501,44.96,45.69,44.96
2015-02-19,1005041.0,45.06,44.55,44.69,45.28,44.69
2015-02-20,1321697.0,44.64,44.3,44.85,45.37,44.85
2015-02-23,2437752.0,45.0,44.73,45.58,45.83,45.58
2015-02-24,2958068.0,45.54,44.8,45.29,48.08,45.29
2015-02-25,1594744.0,45.31,45.02,45.63,46.28,45.63
2015-02-26,2223107.0,45.55,45.19,46.74,47.16,46.74
2015-02-27,1596403.0,47.04,46.06,46.3,47.09,46.3
2015-03-02,2743243.0,46.21,46.13,47.02,47.8,47.02
2015-03-03,1930950.0,46.59,46.57,47.06,47.28,47.06
2015-03-04,5123874.0,46.94,46.35,49.99,50.84,49.99
2015-03-05,2255232.0,49.39,48.2672,49.23,49.8,49.23
2015-03-06,2223283.0,48.92,48.754,49.23,50.465,49.23
2015-03-09,1510526.0,49.28,47.53,47.59,49.28,47.59
2015-03-10,1279058.0,47.05,46.53,46.72,47.47,46.72
2015-03-11,1831131.0,47.0,46.42,47.82,48.19,47.82
2015-03-12,814318.0,47.94,47.48,47.73,48.22,47.73
2015-03-13,938467.0,47.7,46.905,47.29,48.19,47.29
2015-03-16,1266588.0,47.59,47.58,48.57,48.585,48.57
2015-03-17,1331644.0,48.28,47.95,49.2,49.56,49.2
2015-03-18,1230188.0,49.07,48.9,49.8,50.11,49.8
2015-03-19,1186968.0,49.73,49.53,50.37,50.44,50.37
2015-03-20,1851241.0,50.505,49.1,49.62,50.65,49.62
2015-03-23,4169807.0,51.25,50.55,52.07,52.69,52.07
2015-03-24,1868368.0,52.0,51.24,51.33,52.15,51.33
2015-03-25,1745680.0,51.33,49.64,49.95,51.68,49.95
2015-03-26,1713742.0,49.82,48.96,49.61,50.0,49.61
2015-03-27,1215652.0,49.58,49.368,49.95,50.17,49.95
2015-03-30,935265.0,50.4,50.27,50.39,51.14,50.39
2015-03-31,1402075.0,50.26,49.47,49.51,51.0,49.51
2015-04-01,2404918.0,49.76,47.58,48.79,49.76,48.79
2015-04-02,1872516.0,48.91,48.6,49.16,49.68,49.16
2015-04-06,2194933.0,48.87,48.555,49.99,50.52,49.99
2015-04-07,990204.0,49.98,49.69,49.73,50.63,49.73
2015-04-08,1218296.0,49.88,49.84,50.34,50.75,50.34
2015-04-09,934302.0,50.34,50.1754,50.55,50.85,50.55
2015-04-10,749409.0,50.55,50.22,50.54,50.75,50.54
2015-04-13,1183422.0,50.59,49.9,50.58,50.99,50.58
2015-04-14,798963.0,50.51,49.8,50.91,51.03,50.91
2015-04-15,1728955.0,52.04,51.881,52.15,52.89,52.15
2015-04-16,1543187.0,51.79,50.53,50.85,51.9,50.85
2015-04-17,1343201.0,50.44,50.0724,51.38,51.48,51.38
2015-04-20,832378.0,51.65,51.09,51.46,51.7316,51.46
2015-04-21,1031834.0,51.46,50.84,50.85,51.7,50.85
2015-04-22,1427011.0,50.91,50.19,50.58,51.25,50.58
2015-04-23,1813236.0,50.56,50.35,51.23,51.975,51.23
2015-04-24,1170543.0,51.2,50.545,50.65,51.57,50.65
2015-04-27,1161384.0,50.72,49.47,49.71,50.99,49.71
2015-04-28,1784603.0,49.74,47.87,49.87,50.25,49.87
2015-04-29,1775204.0,49.75,48.46,48.87,49.88,48.87
2015-04-30,1775813.0,48.74,47.76,47.86,49.41,47.86
2015-05-01,1429429.0,48.17,47.37,47.68,48.23,47.68
2015-05-04,4311380.0,47.8,47.8,49.49,49.97,49.49
2015-05-05,3114431.0,50.96,47.74,47.89,50.96,47.89
2015-05-06,1927341.0,48.32,46.82,46.99,48.32,46.99
2015-05-07,1479971.0,47.04,46.33,48.01,48.36,48.01
2015-05-08,922552.0,48.25,47.72,48.26,48.52,48.26
2015-05-11,1284843.0,48.31,48.13,49.0,49.37,49.0
2015-05-12,1240608.0,48.66,47.59,48.02,48.74,48.02
2015-05-13,1008481.0,48.05,47.93,48.17,48.58,48.17
2015-05-14,1339333.0,48.83,48.31,48.64,48.89,48.64
2015-05-15,1538467.0,48.72,48.01,48.45,48.83,48.45
2015-05-18,1765043.0,48.51,48.38,50.14,50.3,50.14
2015-05-19,1476439.0,50.27,50.05,50.99,51.655,50.99
2015-05-20,2627725.0,50.97,50.65,51.81,52.43,51.81
2015-05-21,1379225.0,51.77,51.57,51.97,52.44,51.97
2015-05-22,846026.0,51.82,51.42,51.92,52.7999,51.92
2015-05-26,2493801.0,51.85,51.69,52.45,53.69,52.45
2015-05-27,1542269.0,52.57,52.29,53.12,53.17,53.12
2015-05-28,1111762.0,52.95,52.18,53.07,53.23,53.07
2015-05-29,1473607.0,53.02,52.68,53.19,53.77,53.19
2015-06-01,1198413.0,53.63,52.75,53.25,53.89,53.25
2015-06-02,625417.0,52.97,52.55,52.61,53.23,52.61
2015-06-03,1103719.0,52.69,51.885,52.25,52.75,52.25
2015-06-04,1240768.0,52.15,51.28,51.37,52.39,51.37
2015-06-05,1067444.0,51.17,50.78,51.72,51.8325,51.72
2015-06-08,1444759.0,51.69,50.67,50.89,51.9591,50.89
2015-06-09,649541.0,50.96,50.65,51.04,51.345,51.04
2015-06-10,1282789.0,51.69,51.02,52.01,52.5,52.01
2015-06-11,1684678.0,52.09,51.97,52.84,52.855,52.84
2015-06-12,1095241.0,52.73,51.77,51.82,53.37,51.82
2015-06-15,836671.0,51.53,51.16,52.27,52.3,52.27
2015-06-16,1191827.0,52.17,51.273,51.42,52.6,51.42
2015-06-17,1848903.0,51.73,50.84,51.84,52.13,51.84
2015-06-18,1255636.0,52.0,51.13,52.07,52.12,52.07
2015-06-19,1376939.0,52.12,52.06,52.66,52.92,52.66
2015-06-22,1478625.0,53.0,52.18,52.24,53.09,52.24
2015-06-23,1422079.0,52.38,51.57,51.6,52.59,51.6
2015-06-24,2094789.0,51.6,49.99,50.08,51.68,50.08
2015-06-25,11331700.0,50.33,50.08,56.21,57.7,56.21
2015-06-26,4536295.0,57.32,57.02,57.8,58.61,57.8
2015-06-29,3173329.0,57.19,56.76,56.87,59.21,56.87
2015-06-30,2884421.0,57.75,56.39,57.88,58.08,57.88
2015-07-01,2377295.0,58.43,57.66,58.5,59.2875,58.5
2015-07-02,3246867.0,58.8,58.66,59.42,59.44,59.42
2015-07-06,3466807.0,59.09,58.95,59.69,60.1,59.69
2015-07-07,1556859.0,59.84,58.34,59.8,59.975,59.8
2015-07-08,1642610.0,59.49,58.08,58.49,59.66,58.49
2015-07-09,1644284.0,59.35,58.94,58.95,59.68,58.95
2015-07-10,1728134.0,59.57,59.01,59.43,59.87,59.43
2015-07-13,3021859.0,60.19,59.14,59.91,60.23,59.91
2015-07-14,1462781.0,59.82,59.68,60.78,60.93,60.78
2015-07-15,1980275.0,60.83,59.17,59.72,60.92,59.72
2015-07-16,2214675.0,59.27,58.13,59.01,59.32,59.01
2015-07-17,869487.0,59.06,58.38,58.73,59.29,58.73
2015-07-20,992094.0,58.74,58.34,58.68,59.31,58.68
2015-07-21,1551846.0,58.63,57.211,57.96,59.11,57.96
2015-07-22,972628.0,57.89,57.86,58.5,58.927,58.5
2015-07-23,1396934.0,58.51,58.08,58.38,59.31,58.38
2015-07-24,1132510.0,58.15,57.185,57.61,58.38,57.61
2015-07-27,1269360.0,57.19,56.18,56.42,57.19,56.42
2015-07-28,1112542.0,56.77,55.68,56.68,56.95,56.68
2015-07-29,1085094.0,56.9,56.34,56.72,57.17,56.72
2015-07-30,1288917.0,56.54,55.76,56.63,56.89,56.63
2015-07-31,1551127.0,57.14,56.07,56.3,57.22,56.3
2015-08-03,2354004.0,56.42,56.35,56.71,57.808,56.71
2015-08-04,2979032.0,56.9,56.19,57.5,59.77,57.5
2015-08-05,5217840.0,57.62,53.81,55.0,58.24,55.0
2015-08-06,2318630.0,54.89,53.59,54.19,55.43,54.19
2015-08-07,1889385.0,54.08,52.61,53.21,54.17,53.21
2015-08-10,1318019.0,53.63,52.88,53.13,54.02,53.13
2015-08-11,1514839.0,52.65,51.54,52.23,52.92,52.23
2015-08-12,1108553.0,51.88,50.99,52.47,52.63,52.47
2015-08-13,1067354.0,52.34,51.96,52.12,52.93,52.12
2015-08-14,770580.0,52.07,51.8,52.18,52.5,52.18
2015-08-17,1118563.0,51.53,51.41,52.4,52.69,52.4
2015-08-18,1018836.0,52.46,51.53,51.8,52.48,51.8
2015-08-19,1136290.0,51.23,51.02,51.51,51.91,51.51
2015-08-20,1978989.0,51.25,49.96,49.99,51.38,49.99
2015-08-21,2802275.0,49.59,49.0,49.23,49.94,49.23
2015-08-24,2639278.0,47.0,45.86,46.9,48.65,46.9
2015-08-25,1887557.0,48.26,46.19,46.19,48.56,46.19
2015-08-26,1883969.0,47.19,45.93,47.39,47.48,47.39
2015-08-27,2242003.0,47.8,47.7,49.7,49.97,49.7
2015-08-28,1852355.0,49.5,49.25,50.32,50.35,50.32
2015-08-31,1830668.0,50.86,49.17,49.23,51.47,49.23
2015-09-01,1308107.0,48.24,47.03,47.34,48.93,47.34
2015-09-02,1573529.0,47.93,46.77,47.81,48.0,47.81
2015-09-03,1191868.0,48.09,47.65,47.82,49.25,47.82
2015-09-04,970875.0,47.19,46.66,47.21,47.75,47.21
2015-09-08,1306436.0,48.12,47.62,48.28,48.48,48.28
2015-09-09,1022855.0,48.8,47.3,47.41,49.06,47.41
2015-09-10,1132938.0,47.56,46.93,47.17,48.17,47.17
2015-09-11,912052.0,46.94,46.34,46.86,47.13,46.86
2015-09-14,1245401.0,47.02,46.67,47.09,47.3599,47.09
2015-09-15,976315.0,47.13,46.28,46.94,47.238,46.94
2015-09-16,1844407.0,46.7,45.83,46.57,46.95,46.57
2015-09-17,1199144.0,46.73,46.1201,47.15,47.78,47.15
2015-09-18,2838073.0,46.41,44.26,44.5,46.95,44.5
2015-09-21,1724374.0,44.9,43.5,43.77,45.08,43.77
2015-09-22,1902153.0,43.25,42.79,43.6,44.03,43.6
2015-09-23,2316746.0,43.86,43.3,44.44,45.12,44.44
2015-09-24,2194574.0,43.94,42.01,42.44,43.96,42.44
