Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,106.63,98.8714,105.5,107.88,641735.0,104.69
2015-01-05,103.77,97.2313,103.75,104.62,1421261.0,102.98
2015-01-06,103.77,95.7506,102.17,103.79,1080897.0,100.77
2015-01-07,103.74,98.5715,105.18,105.24,939981.0,103.01
2015-01-08,105.68,98.534,105.14,106.52,1001033.0,104.33
2015-01-09,104.95,96.9502,103.45,104.96,1080891.0,102.72
2015-01-12,92.7,83.4175,89.01,93.7317,9995224.0,87.5
2015-01-13,89.71,80.8777,86.3,90.38,5277326.0,85.5
2015-01-14,85.48,81.2901,86.74,86.81,2400462.0,85.15
2015-01-15,86.94,80.3154,85.7,87.47,1821148.0,85.64
2015-01-16,85.8,82.8458,88.4,88.47,2211609.0,85.7
2015-01-20,89.9,84.289,89.94,90.54,2359261.0,88.9
2015-01-21,89.87,84.3265,89.98,91.078,1262551.0,89.47
2015-01-22,90.25,85.2543,90.97,91.132,1029487.0,89.86
2015-01-23,91.14,85.3574,91.08,91.4,1141645.0,90.43
2015-01-26,90.73,85.3293,91.05,91.47,1183726.0,90.5
2015-01-27,90.2,84.617,90.29,90.85,1184119.0,89.95
2015-01-28,90.68,83.1176,88.69,90.89,1074594.0,88.6
2015-01-29,88.7,83.5112,89.11,89.38,948557.0,87.61
2015-01-30,88.21,81.1964,86.64,88.37,1859848.0,86.12
2015-02-02,86.62,81.6462,87.12,87.28,1541918.0,85.5989
2015-02-03,88.28,84.3453,90.0,90.07,1064780.0,88.08
2015-02-04,89.38,82.8645,88.42,89.48,1190484.0,88.18
2015-02-05,88.67,82.4522,87.98,89.47,1440507.0,87.84
2015-02-06,88.38,81.1776,86.62,88.63,1493971.0,86.19
2015-02-09,86.62,82.1242,87.63,87.81,927560.0,86.62
2015-02-10,88.03,84.036,89.67,89.75,1061824.0,87.8
2015-02-11,89.69,82.1804,87.69,89.915,1197022.0,87.53
2015-02-12,87.99,82.5646,88.1,88.5,1181476.0,87.32
2015-02-13,88.58,83.4549,89.05,90.18,1087298.0,88.37
2015-02-17,89.26,83.7361,89.35,89.86,738672.0,88.88
2015-02-18,88.88,83.6892,89.3,89.99,875051.0,88.8
2015-02-19,89.34,83.0801,88.65,89.6,1122915.0,88.41
2015-02-20,88.6,84.5327,90.2,90.43,1604673.0,88.51
2015-02-23,90.22,84.3359,89.99,90.65,857970.0,89.17
2015-02-24,90.14,83.8954,89.52,90.4,618371.0,88.96
2015-02-25,89.6,84.1203,89.76,89.99,1038037.0,89.46
2015-02-26,89.86,83.1269,88.7,90.14,1264963.0,88.505
2015-02-27,88.86,82.6771,88.22,89.32,1026878.0,88.0
2015-03-02,88.45,84.9076,90.6,90.83,1045280.0,88.01
2015-03-03,89.55,83.3519,88.94,90.03,1208275.0,88.25
2015-03-04,89.41,81.3369,86.79,89.41,2700494.0,86.43
2015-03-05,87.0,81.515,86.98,87.41,1985673.0,86.5
2015-03-06,86.77,79.8187,85.17,87.49,3302778.0,84.9
2015-03-09,85.29,79.1065,84.41,85.498,3736325.0,83.72
2015-03-10,83.75,78.1974,83.44,84.41,2020319.0,82.75
2015-03-11,84.7,78.9097,84.2,85.4,2024040.0,83.3
2015-03-12,84.9,80.8777,86.3,87.0,1813412.0,84.87
2015-03-13,86.21,80.3998,85.79,86.4089,1283424.0,84.76
2015-03-16,86.22,80.381,85.77,86.86,1814657.0,85.38
2015-03-17,85.68,79.6407,84.98,85.79,1996548.0,84.58
2015-03-18,84.69,80.4373,85.45,85.54,2896008.0,83.87
2015-03-19,85.45,81.3033,86.37,86.675,2550414.0,84.72
2015-03-20,83.17,78.0651,82.93,85.83,7938724.0,82.75
2015-03-23,82.69,82.5929,87.74,88.55,5050401.0,82.64
2015-03-24,87.74,82.8847,88.05,88.68,1901167.0,87.26
2015-03-25,88.08,82.8941,88.06,89.44,2297991.0,87.9452
2015-03-26,87.83,81.228,86.29,87.93,1643011.0,86.14
2015-03-27,86.74,81.4068,86.48,86.84,1075530.0,85.83
2015-03-30,86.72,83.3931,88.59,89.16,1441229.0,86.57
2015-03-31,88.96,82.8471,88.01,89.36,1756517.0,87.92
2015-04-01,87.6,81.0774,86.13,87.65,1710119.0,85.85
2015-04-02,86.26,81.7175,86.81,87.32,1182162.0,86.16
2015-04-06,87.56,83.2707,88.46,88.81,1455331.0,87.19
2015-04-07,88.3,82.8565,88.02,89.29,844970.0,87.96
2015-04-08,88.21,84.1649,89.41,89.42,1013596.0,88.21
2015-04-09,89.2,84.0426,89.28,89.77,860243.0,88.66
2015-04-10,89.28,84.2026,89.45,89.97,726193.0,89.15
2015-04-13,89.76,83.8543,89.08,90.52,944833.0,88.99
2015-04-14,88.71,82.2729,87.4,89.056,884836.0,87.22
2015-04-15,87.21,82.2917,87.42,88.13,672019.0,87.01
2015-04-16,87.1,80.7102,85.74,87.26,1445627.0,85.57
2015-04-17,85.16,79.6277,84.59,85.31,1274466.0,84.393
2015-04-20,84.95,79.8913,84.87,85.5,974406.0,84.61
2015-04-21,84.93,79.2135,84.15,85.37,1277473.0,83.63
2015-04-22,84.39,80.1078,85.1,85.24,1656624.0,84.22
2015-04-23,85.24,81.4351,86.51,86.78,831507.0,85.24
2015-04-24,86.56,82.0093,87.12,87.3,683673.0,86.19
2015-04-27,87.19,80.9267,85.97,87.5,1133502.0,85.825
2015-04-28,85.68,81.3504,86.42,86.52,878182.0,85.21
2015-04-29,85.94,81.8398,86.94,88.04,2095006.0,85.702
2015-04-30,86.86,82.3482,87.48,87.8,1567533.0,86.76
2015-05-01,87.66,83.939,89.17,89.37,1272300.0,87.43
2015-05-04,89.23,83.5907,88.8,89.49,795662.0,88.61
2015-05-05,88.81,83.6001,88.81,89.36,1278137.0,88.54
2015-05-06,88.89,81.8775,86.98,88.955,1301865.0,86.66
2015-05-07,87.54,82.8188,87.98,88.16,873701.0,87.05
2015-05-08,88.47,83.4495,88.65,88.98,830553.0,88.38
2015-05-11,88.41,82.3388,87.47,88.68,1018907.0,87.33
2015-05-12,86.99,82.8565,88.02,88.42,994819.0,86.97
2015-05-13,87.96,81.8304,86.93,87.99,1024889.0,86.76
2015-05-14,87.22,80.522,85.54,87.22,2028268.0,84.85
2015-05-15,85.62,81.4445,86.52,87.1,1429011.0,85.46
2015-05-18,86.49,81.5574,86.64,86.86,748138.0,85.95
2015-05-19,87.03,81.3409,86.41,87.24,791341.0,85.59
2015-05-20,86.71,81.3409,86.41,87.13,823288.0,86.24
2015-05-21,86.24,81.8022,86.9,87.37,1859855.0,85.93
2015-05-22,87.17,81.8116,86.91,87.52,1396091.0,86.805
2015-05-26,87.11,80.5126,85.53,87.63,2388417.0,84.83
2015-05-27,92.39,88.994,94.54,96.33,7246654.0,92.32
2015-05-28,94.3,89.0787,94.63,94.8,2500687.0,93.72
2015-05-29,94.63,88.2315,93.73,94.8,1665934.0,93.58
2015-06-01,94.0,88.2786,93.78,94.37,979617.0,93.058
2015-06-02,93.41,88.5045,94.02,94.515,662322.0,93.07
2015-06-03,94.39,88.4104,93.92,94.56,1317468.0,93.64
2015-06-04,93.5,87.4126,92.86,93.99,1337362.0,92.6
2015-06-05,92.85,87.422,92.87,93.355,893848.0,92.3
2015-06-08,92.96,86.7819,92.19,93.29,839394.0,92.17
2015-06-09,92.0,86.6689,92.07,92.37,744426.0,91.45
2015-06-10,92.57,87.6479,93.11,93.5,814797.0,92.06
2015-06-11,93.42,87.4031,92.85,94.09,581711.0,92.7
2015-06-12,92.5,86.6783,92.08,92.78,704056.0,92.02
2015-06-15,91.54,86.283,91.66,92.13,911270.0,91.16
2015-06-16,91.56,86.7536,92.16,92.22,722592.0,91.305
2015-06-17,92.09,87.1584,92.59,93.065,964625.0,92.02
2015-06-18,92.57,88.0621,93.15,93.71,859661.0,92.44
2015-06-19,92.99,87.4192,92.47,93.3,818367.0,92.41
2015-06-22,92.97,88.1661,93.26,93.76,618865.0,92.72
2015-06-23,93.43,89.0075,94.15,94.43,192093.0,93.42
2015-06-24,94.04,88.4119,93.52,94.4,212844.0,93.42
2015-06-25,93.73,88.4308,93.54,94.15,616981.0,93.445
2015-06-26,93.55,89.0925,94.24,94.6,1084903.0,93.47
2015-06-29,93.43,86.1619,91.14,93.505,1032468.0,91.04
2015-06-30,91.83,86.7858,91.8,92.1,1214976.0,90.95
2015-07-01,92.53,88.6482,93.77,93.77,1478317.0,92.01
2015-07-02,93.94,88.8846,94.02,94.41,1354160.0,93.77
2015-07-06,93.26,87.8352,92.91,94.14,1110138.0,92.58
2015-07-07,93.97,89.3383,94.5,94.54,1506185.0,92.32
2015-07-08,94.04,85.3205,90.25,94.27,1721529.0,90.06
2015-07-09,91.51,86.0579,91.03,92.19,1265378.0,90.95
2015-07-10,92.32,86.9276,91.95,92.5,740506.0,91.45
2015-07-13,93.0,88.185,93.28,93.6,986390.0,92.59
2015-07-14,93.28,88.2323,93.33,93.8199,589577.0,92.93
2015-07-15,93.5,88.5631,93.68,94.3,870305.0,93.05
2015-07-16,94.16,88.8562,93.99,94.35,539550.0,93.5
2015-07-17,93.53,87.8068,92.88,94.022,820108.0,92.57
2015-07-20,92.91,88.8657,94.0,94.42,793086.0,92.72
2015-07-21,94.0,88.7711,93.9,94.5,675037.0,93.62
2015-07-22,93.74,89.5841,94.76,94.7931,763724.0,93.5
2015-07-23,95.0,90.0379,95.24,95.9,1180331.0,94.7
2015-07-24,95.39,88.1472,93.24,95.48,1226401.0,92.58
2015-07-27,92.8,85.8594,90.82,93.21,1061807.0,90.54
2015-07-28,91.11,86.9654,91.99,92.29,933523.0,90.07
2015-07-29,92.54,89.2249,94.38,94.8,1343601.0,92.34
2015-07-30,94.24,89.811,95.0,95.31,856768.0,93.97
2015-07-31,95.5,90.4728,95.7,95.99,1031839.0,95.02
2015-08-03,95.91,88.8846,94.02,95.95,1111536.0,93.6
2015-08-04,94.33,89.6125,94.79,95.64,648301.0,94.0
2015-08-05,95.63,89.6409,94.82,96.3,683737.0,94.74
2015-08-06,94.68,88.1661,93.26,94.955,838431.0,92.63
2015-08-07,93.21,88.2701,93.37,93.5,495452.0,92.52
2015-08-10,93.95,90.3877,95.61,96.43,1254730.0,93.66
2015-08-11,93.9,88.4875,93.6,94.93,1661834.0,92.73
2015-08-12,92.39,84.8478,89.75,92.39,2391893.0,88.65
2015-08-13,89.58,85.207,90.13,90.8,1164245.0,89.54
2015-08-14,90.18,85.3961,90.33,91.02,1383050.0,89.38
2015-08-17,90.05,86.0012,90.97,91.2,628422.0,89.27
2015-08-18,91.05,86.5495,91.55,92.1,754358.0,90.98
2015-08-19,91.81,86.3037,91.29,92.2,720391.0,90.65
2015-08-20,90.69,84.1293,88.99,91.5,1366822.0,88.82
2015-08-21,88.35,81.1986,85.89,88.8,1906346.0,85.88
2015-08-24,82.64,78.457,82.99,84.9799,3093425.0,81.5
2015-08-25,86.83,77.3698,81.84,86.83,2061173.0,81.82
2015-08-26,83.37,80.4329,85.08,85.25,2457047.0,82.77
2015-08-27,81.64,78.7406,83.29,85.24,5805936.0,81.5
2015-08-28,82.31,79.0432,83.61,84.039,1987163.0,81.86
2015-08-31,82.99,77.7574,82.25,83.83,1312617.0,82.15
2015-09-01,81.0,75.5736,79.94,81.39,1523373.0,79.61
2015-09-02,81.03,77.332,81.8,82.115,1380387.0,80.45
2015-09-03,81.64,76.935,81.38,82.63,1006724.0,80.99
2015-09-04,80.28,75.9234,80.31,81.29,934911.0,79.885
2015-09-08,81.67,77.3982,81.87,82.005,872157.0,80.6
2015-09-09,82.46,76.5379,80.96,83.45,738555.0,80.77
2015-09-10,80.28,75.8194,80.2,81.11,773532.0,79.98
2015-09-11,79.96,75.7249,80.1,80.5,1103329.0,79.08
2015-09-14,80.07,75.2522,79.6,80.5,1071502.0,79.32
2015-09-15,79.96,75.9329,80.32,80.57,1208711.0,79.29
2015-09-16,80.62,76.9917,81.44,81.53,1442992.0,79.91
2015-09-17,81.15,76.5852,80.61,82.18,1161526.0,80.4
2015-09-18,79.41,75.3881,79.35,80.29,1892533.0,78.9
2015-09-21,79.75,75.4071,79.37,80.19,1150427.0,78.99
2015-09-22,78.35,74.78,78.71,78.88,1328201.0,77.31
2015-09-23,78.98,74.7135,78.64,79.21,756720.0,78.025
2015-09-24,77.96,74.02,77.91,78.05,867153.0,76.97
2015-09-25,78.73,73.5165,77.38,78.79,771863.0,77.06
2015-09-28,76.66,71.1413,74.88,76.86,1363617.0,74.28
2015-09-29,75.17,71.4453,75.2,76.19,955597.0,74.76
2015-09-30,76.03,73.3644,77.22,77.49,1239652.0,75.4
2015-10-01,77.34,72.7564,76.58,77.45,1201106.0,75.975
2015-10-02,75.74,74.0105,77.9,77.96,991236.0,75.0
2015-10-05,78.71,76.2432,80.25,80.62,1385221.0,78.65
2015-10-06,80.15,75.8726,79.86,80.54,847847.0,79.385
2015-10-07,80.81,76.2052,80.21,81.9899,1140699.0,79.51
2015-10-08,79.76,77.5923,81.67,81.91,1035194.0,79.64
2015-10-09,81.86,77.3357,81.4,82.4499,818266.0,80.96
2015-10-12,81.39,76.5187,80.54,81.7,842621.0,80.2
2015-10-13,80.05,74.8466,78.78,80.275,1237314.0,78.69
2015-10-14,79.06,74.8751,78.81,79.82,868868.0,77.87
2015-10-15,78.95,75.3121,79.27,79.39,1315693.0,78.45
2015-10-16,79.67,75.0841,79.03,79.94,1107536.0,78.65
2015-10-19,78.75,76.0436,80.04,80.38,1123729.0,78.6201
2015-10-20,79.76,75.9106,79.9,81.05,963101.0,79.74
2015-10-21,80.55,75.1791,79.13,80.86,726574.0,78.96
2015-10-22,79.17,75.2931,79.25,79.3,1505231.0,78.0
2015-10-23,79.82,74.685,78.61,79.98,1668558.0,77.89
2015-10-26,78.51,74.9511,78.89,79.17,1212407.0,77.78
2015-10-27,78.66,75.5781,79.55,79.59,1326951.0,78.18
2015-10-28,79.73,77.1552,81.21,81.75,1323973.0,79.48
2015-10-29,80.85,77.2502,81.31,82.17,1222997.0,80.54
2015-10-30,81.1,78.3238,82.44,82.83,1472252.0,80.93
2015-11-02,82.58,78.5708,82.7,83.315,1091422.0,81.83
2015-11-03,82.44,79.2359,83.4,84.01,885015.0,82.28
2015-11-04,83.41,78.5423,82.67,83.56,914266.0,82.36
2015-11-05,82.89,79.7964,83.99,84.19,1144036.0,82.2
2015-11-06,82.57,77.8203,81.91,83.07,1984293.0,80.09
2015-11-09,81.82,76.2147,80.22,81.91,1258501.0,79.5
2015-11-10,79.86,76.0911,80.09,80.325,1329714.0,78.81
2015-11-11,79.94,73.526,77.39,79.9547,1746678.0,77.02
2015-11-12,78.26,72.9844,76.82,78.26,1530239.0,76.57
2015-11-13,75.5,70.7517,74.47,75.54,3117914.0,73.09
2015-11-16,74.14,71.4738,75.23,75.27,1629362.0,73.98
2015-11-17,75.61,70.4287,74.13,76.42,2076258.0,73.5
2015-11-18,74.44,70.7042,74.42,74.6,4063115.0,73.72
2015-11-19,74.46,70.5332,74.24,74.89,2187783.0,74.0
2015-11-20,74.77,71.3883,75.14,75.33,2797484.0,74.77
2015-11-23,75.31,72.7279,76.55,77.42,3502301.0,75.31
2015-11-24,75.4,75.3596,79.32,80.15,7883652.0,75.0
2015-11-25,78.89,76.7372,80.77,81.76,3050019.0,78.61
2015-11-27,80.8,75.7491,79.73,81.55,1061879.0,79.5
2015-11-30,79.5,75.7016,79.68,80.02,1874402.0,78.7
2015-12-01,79.76,75.4641,79.43,80.08,1539273.0,78.59
2015-12-02,79.4,73.963,77.85,79.81,1469885.0,77.74
2015-12-03,78.18,72.3289,76.13,78.5,2096145.0,75.85
2015-12-04,76.47,73.0414,76.88,77.475,1596200.0,76.12
2015-12-07,76.35,72.3194,76.12,76.55,1341301.0,75.49
2015-12-08,75.48,72.3099,76.11,76.91,1681712.0,75.43
2015-12-09,75.8,72.6329,76.45,77.4281,1815106.0,75.68
2015-12-10,76.55,72.6709,76.49,77.2,988308.0,76.04
2015-12-11,75.62,71.4643,75.22,75.82,1542660.0,74.5
2015-12-14,75.31,70.2862,73.98,76.015,2238553.0,73.1
2015-12-15,74.66,70.6187,74.33,75.06,1379115.0,73.81
2015-12-16,74.73,71.7398,75.51,75.65,1035813.0,74.34
2015-12-17,75.16,69.9537,73.23,75.46,1396310.0,73.2
2015-12-18,72.73,68.6259,71.84,72.93,2181985.0,71.8
2015-12-21,73.16,71.1478,74.48,74.88,2236683.0,72.84
2015-12-22,74.57,72.5807,75.98,76.4,1944630.0,74.52
2015-12-23,76.74,74.281,77.76,78.57,1801184.0,75.99
2015-12-24,77.6,73.5073,76.95,78.0,638094.0,76.67
2015-12-28,76.87,73.1729,76.6,77.19,744252.0,75.78
2015-12-29,77.12,74.1473,77.62,78.61,1311958.0,76.9
2015-12-30,77.47,73.6028,77.05,77.8,496825.0,76.99
2015-12-31,76.96,72.8768,76.29,77.56,787394.0,76.29
2016-01-04,75.2,71.186,74.52,75.2,2482989.0,73.6115
2016-01-05,74.93,70.9758,74.3,75.44,1526236.0,73.61
2016-01-06,73.25,69.6576,72.92,74.03,1723579.0,72.68
2016-01-07,72.1,67.747,70.92,73.18,2452909.0,70.71
2016-01-08,71.18,65.206,68.26,71.67,3029526.0,68.15
2016-01-11,68.27,64.8048,67.84,69.08,1803923.0,67.01
2016-01-12,68.58,65.3493,68.41,69.325,1501912.0,67.26
2016-01-13,68.49,63.7158,66.7,68.715,1711715.0,66.3601
2016-01-14,66.38,63.8687,66.86,67.36,2101792.0,65.5
2016-01-15,65.37,64.6233,67.65,69.0,3553086.0,65.09
2016-01-19,64.75,61.3468,64.22,67.87,10680581.0,62.9
2016-01-20,62.81,59.0351,61.8,63.21,5417683.0,59.73
2016-01-21,61.62,58.3186,61.05,62.91,3727005.0,60.85
2016-01-22,62.11,58.8918,61.65,62.44,4367488.0,61.3
2016-01-25,61.61,58.204,60.93,61.76,3220493.0,60.62
2016-01-26,61.31,59.6846,62.48,62.65,1913543.0,60.57
2016-01-27,62.39,58.8536,61.61,63.18,1651681.0,61.09
2016-01-28,62.21,58.6339,61.38,62.61,1967610.0,60.42
2016-01-29,61.91,60.9838,63.84,63.97,2429933.0,61.7
2016-02-01,63.04,61.834,64.73,65.21,2868002.0,62.51
2016-02-02,64.72,60.9074,63.76,65.36,7388056.0,63.21
2016-02-03,64.06,60.9074,63.76,64.58,6147004.0,62.655
2016-02-04,63.28,61.7862,64.68,64.99,3578104.0,63.14
2016-02-05,64.63,61.0029,63.86,64.93,3000441.0,63.29
2016-02-08,63.09,60.105,62.92,63.81,1975697.0,61.62
2016-02-09,62.14,59.3885,62.17,63.19,2389364.0,61.022
2016-02-10,62.49,58.93,61.69,62.79,1314598.0,61.48
2016-02-11,60.56,58.032,60.75,61.535,3319347.0,59.75
2016-02-12,61.26,58.9682,61.73,61.9078,1899313.0,60.43
2016-02-16,62.74,60.4106,63.24,63.35,1759992.0,61.56
2016-02-17,63.9,62.6842,65.62,66.25,2376359.0,63.81
2016-02-18,65.2,62.3403,65.26,65.57,1405141.0,64.59
2016-02-19,64.87,61.6238,64.51,64.87,1375227.0,63.29
2016-02-22,65.01,62.3403,65.26,65.6,1066058.0,64.88
2016-02-23,65.27,61.5378,64.42,65.96,1352250.0,64.38
2016-02-24,64.0,62.0346,64.94,65.19,1478776.0,62.98
2016-02-25,64.94,62.2065,65.12,65.15,984080.0,63.71
2016-02-26,65.92,62.5313,65.46,65.92,1628682.0,64.61
2016-02-29,65.69,62.0728,64.98,65.95,1223879.0,64.88
2016-03-01,65.69,64.5756,67.6,67.86,1913853.0,65.06
2016-03-02,67.09,64.6807,67.71,67.94,1458545.0,66.96
2016-03-03,67.51,66.0085,69.1,69.56,2414782.0,66.95
2016-03-04,69.13,66.6485,69.77,71.11,1433419.0,68.81
2016-03-07,69.3,67.5464,70.71,71.29,1856002.0,69.13
2016-03-08,70.51,66.2759,69.38,70.99,1455695.0,68.95
2016-03-09,69.63,67.0592,70.2,70.63,1036986.0,69.17
2016-03-10,70.49,67.3267,70.48,70.79,1089042.0,69.42
2016-03-11,70.97,68.6259,71.84,71.89,1247522.0,70.56
2016-03-14,71.67,68.645,71.86,72.39,1456055.0,71.44
2016-03-15,70.5,66.8682,70.0,71.14,2406880.0,69.47
2016-03-16,69.55,67.1452,70.29,70.49,2481133.0,68.88
2016-03-17,69.87,67.3649,70.12,71.32,2856119.0,69.6
2016-03-18,70.6,69.3536,72.19,72.9,3830294.0,70.3101
2016-03-21,71.99,68.7291,71.54,71.99,1817900.0,70.82
2016-03-22,71.53,69.7283,72.58,73.2,2454480.0,71.29
2016-03-23,72.36,69.1519,71.98,72.62,2103259.0,71.8
2016-03-24,71.9,68.1431,70.93,71.98,1740770.0,70.58
2016-03-28,70.98,68.3256,71.12,71.7113,1123952.0,70.73
2016-03-29,71.36,69.0174,71.84,71.95,1079103.0,71.06
2016-03-30,72.15,69.7379,72.59,73.29,1159495.0,71.75
2016-03-31,72.72,70.4968,73.38,73.89,1606316.0,72.43
2016-04-01,73.06,70.8715,73.77,73.98,1475806.0,72.48
2016-04-04,73.62,69.4497,72.29,74.06,2381531.0,72.05
2016-04-05,71.7,68.9309,71.75,72.16,1947862.0,71.34
2016-04-06,71.71,69.4112,72.25,72.47,966887.0,71.13
2016-04-07,71.75,68.0759,70.86,72.42,1504710.0,70.33
2016-04-08,71.26,67.8549,70.63,71.71,1386388.0,70.34
2016-04-11,70.83,68.047,70.83,71.25,1719353.0,70.31
2016-04-12,71.05,67.4802,70.24,71.5,1876071.0,69.67
2016-04-13,70.88,68.9789,71.8,72.2,1611778.0,70.54
2016-04-14,71.6,68.22,71.01,72.0,1623673.0,70.66
2016-04-15,71.01,68.3833,71.18,71.58,1256926.0,70.87
2016-04-18,71.19,68.3833,71.18,71.27,1486883.0,70.63
2016-04-19,71.36,68.9405,71.76,72.19,1307291.0,71.32
2016-04-20,71.83,69.3824,72.22,72.48,1016473.0,71.2
2016-04-21,72.62,69.344,72.18,73.36,1265484.0,72.13
2016-04-22,72.21,70.1606,73.03,73.3,1411232.0,71.76
2016-04-25,72.63,69.2575,72.09,73.04,1021646.0,71.72
2016-04-26,72.19,69.7475,72.6,72.97,1045306.0,71.7
2016-04-27,72.66,70.4776,73.36,73.58,838802.0,72.35
2016-04-28,72.69,69.2191,72.05,73.0,943785.0,71.92
2016-04-29,72.09,68.5466,71.35,72.09,1438767.0,70.95
2016-05-02,71.49,69.2095,72.04,72.18,1309683.0,70.71
2016-05-03,71.32,68.268,71.06,71.59,1666131.0,70.74
