Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,106.29,98.4617,105.44,106.74,1272314.0,104.94
2015-01-05,105.11,97.2757,104.17,105.24,1728836.0,103.87
2015-01-06,104.07,96.4073,103.24,104.69,2352040.0,103.04
2015-01-07,104.38,98.0508,105.0,105.05,1558424.0,103.65
2015-01-08,105.845,100.0865,107.18,107.24,1942587.0,105.66
2015-01-09,107.26,98.8258,105.83,107.425,1416644.0,105.81
2015-01-12,106.06,98.2375,105.2,106.274,1547179.0,104.95
2015-01-13,105.96,98.3869,105.36,107.23,2091775.0,104.66
2015-01-14,103.64,96.9022,103.77,104.99,2142927.0,102.99
2015-01-15,104.04,97.3131,104.21,104.62,1547910.0,103.41
2015-01-16,104.44,99.4888,106.54,106.69,2137319.0,104.17
2015-01-20,106.91,98.8352,105.84,107.27,2226808.0,104.93
2015-01-21,105.47,98.0601,105.01,106.04,2517782.0,104.59
2015-01-22,106.5,101.011,108.17,108.24,3486830.0,105.24
2015-01-23,107.99,99.9184,107.0,108.14,1885308.0,106.93
2015-01-26,106.91,99.9838,107.07,107.24,1806378.0,106.41
2015-01-27,106.67,99.0313,106.05,106.73,1681857.0,105.71
2015-01-28,106.5,97.6586,104.58,106.98,2262711.0,104.51
2015-01-29,104.89,97.6212,104.54,105.07,2797371.0,103.51
2015-01-30,102.75,96.0151,102.82,104.11,3675425.0,102.28
2015-02-02,102.94,97.6586,104.58,104.62,2060555.0,101.94
2015-02-03,104.82,99.0219,106.04,106.09,2478450.0,104.52
2015-02-04,105.66,99.6663,106.73,107.36,2308157.0,105.5801
2015-02-05,106.46,100.3013,107.41,107.48,1705660.0,106.46
2015-02-06,107.41,100.1052,107.2,108.07,2482478.0,106.91
2015-02-09,105.43,98.7698,105.77,106.16,2206901.0,105.16
2015-02-10,106.14,99.4702,106.52,106.7656,2065462.0,105.99
2015-02-11,106.58,100.6374,107.77,107.92,1865653.0,106.31
2015-02-12,107.78,100.8896,108.04,108.16,2151893.0,107.5588
