Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,85.98,80.0391,84.93,86.72,2465949.0,84.23
2015-01-05,84.63,78.4465,83.24,84.63,4617395.0,83.04
2015-01-06,83.24,77.5606,82.3,83.8,4526541.0,81.88
2015-01-07,82.73,78.3805,83.17,83.83,5075644.0,82.06
2015-01-08,84.03,80.5669,85.49,85.9,3893821.0,84.03
2015-01-09,85.71,79.3606,84.21,85.94,3150067.0,83.86
2015-01-12,84.29,79.2098,84.05,84.66,3472720.0,82.96
2015-01-13,84.28,80.2559,85.16,85.82,4655549.0,84.06
2015-01-14,84.34,77.6454,82.39,84.46,5798509.0,81.4601
2015-01-15,82.71,77.6737,82.42,82.87,3681641.0,81.41
2015-01-16,81.79,78.3899,83.18,83.27,4895995.0,81.52
2015-01-20,82.41,75.7229,80.35,82.41,10968806.0,79.07
2015-01-21,80.11,76.081,80.73,81.08,7048177.0,79.9
2015-01-22,81.1,77.014,81.72,82.18,5733975.0,80.4
2015-01-23,81.39,75.3648,79.97,81.65,4802463.0,79.92
2015-01-26,80.01,76.3072,80.97,81.02,4066573.0,79.64
2015-01-27,80.12,75.9962,80.64,81.47,3046092.0,79.84
2015-01-28,80.88,74.347,78.89,80.98,5218831.0,78.82
2015-01-29,78.89,75.1386,79.73,80.12,5621676.0,77.89
2015-01-30,79.23,73.4422,77.93,79.67,7306561.0,77.68
2015-02-02,77.93,74.0642,78.59,78.67,5707611.0,76.94
2015-02-03,78.9,75.704,80.33,80.42,4741728.0,78.89
2015-02-04,80.33,75.525,80.14,81.14,6374070.0,79.66
2015-02-05,79.92,75.3742,79.98,80.07,5346685.0,78.55
2015-02-06,80.2,75.7512,80.38,81.06,5049502.0,79.99
2015-02-09,80.05,75.9019,80.54,81.18,4771887.0,79.91
2015-02-10,80.76,76.1564,80.81,81.41,6313730.0,80.26
2015-02-11,81.26,76.3449,81.01,82.12,8320217.0,79.7
2015-02-12,81.91,78.5124,83.31,83.33,5830110.0,80.9
2015-02-13,83.0,79.0402,83.87,84.14,3443361.0,82.94
2015-02-17,83.27,79.2381,84.08,84.33,3938779.0,83.16
2015-02-18,83.65,78.7669,83.58,84.0,4037666.0,82.8
2015-02-19,83.51,79.0873,83.92,84.09,2392809.0,83.26
2015-02-20,83.84,79.6622,84.53,84.6,2421194.0,83.43
2015-02-23,84.47,78.9459,83.77,84.74,2992763.0,83.52
2015-02-24,83.6,78.8046,83.62,84.46,3196849.0,83.55
2015-02-25,83.43,78.0695,82.49,83.86,5776067.0,82.45
2015-02-26,82.43,78.0032,82.42,83.55,4519254.0,82.06
2015-02-27,82.85,77.4733,81.86,82.95,5298142.0,81.425
2015-03-02,81.65,78.3345,82.77,83.02,3001751.0,81.63
2015-03-03,82.31,78.7036,83.16,83.31,2938770.0,82.17
2015-03-04,82.86,78.6279,83.08,83.8,4475302.0,82.34
2015-03-05,83.6,78.7982,83.26,83.789,3434724.0,83.2
2015-03-06,83.21,79.6121,84.12,84.33,5034048.0,82.95
2015-03-09,84.0,80.6343,85.2,85.57,5816435.0,83.95
2015-03-10,84.53,78.9118,83.38,84.71,4423042.0,83.335
2015-03-11,83.24,78.4954,82.94,83.555,3569551.0,82.841
2015-03-12,83.47,80.038,84.57,84.7,2729191.0,83.47
2015-03-13,84.43,79.5838,84.09,84.51,3162514.0,83.435
2015-03-16,84.55,80.8709,85.45,85.49,3854736.0,84.16
2015-03-17,84.73,81.1643,85.76,86.09,4399091.0,84.16
2015-03-18,85.86,82.5271,87.2,87.52,4791724.0,85.19
2015-03-19,86.79,82.1769,86.83,87.0,4006995.0,86.43
2015-03-20,87.61,83.1801,87.89,87.905,6229817.0,87.16
2015-03-23,87.75,82.4135,87.08,88.25,4543406.0,87.07
2015-03-24,86.76,81.7132,86.34,87.0,4036369.0,86.09
2015-03-25,86.24,80.6059,85.17,86.31,3367974.0,85.055
2015-03-26,84.62,80.1895,84.73,85.16,2825949.0,84.14
2015-03-27,84.7,80.5491,85.11,85.545,2768815.0,84.6601
