Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,42.35,41.9392,42.17,42.55,992899.0,41.7
2015-01-05,41.82,41.1336,41.36,42.18,1284875.0,41.09
2015-01-06,41.52,40.9546,41.18,42.05,2530547.0,40.97
2015-01-07,41.64,41.2232,41.45,41.9,2543749.0,41.27
2015-01-08,41.86,43.0829,43.32,43.33,2938667.0,41.85
2015-01-09,43.42,42.347,42.58,43.43,1320969.0,42.44
2015-01-12,42.56,41.9094,42.14,42.7156,1180459.0,41.59
2015-01-13,42.58,42.1978,42.43,43.24,1339752.0,41.8
2015-01-14,41.69,41.9591,42.19,42.41,1426302.0,41.585
2015-01-15,42.49,42.0983,42.33,42.71,3081759.0,41.9
2015-01-16,42.17,42.6354,42.87,42.91,2073187.0,41.87
2015-01-20,43.13,42.3271,42.56,43.35,1627246.0,41.9701
2015-01-21,42.5,42.2276,42.46,42.93,1208489.0,42.17
2015-01-22,42.85,43.2222,43.46,43.685,1837876.0,42.44
2015-01-23,43.39,42.1381,42.37,43.39,2337525.0,42.36
2015-01-26,42.28,42.2177,42.45,42.74,1655247.0,42.1
2015-01-27,41.71,41.1436,41.37,41.83,4287416.0,41.22
2015-01-28,41.88,41.7602,41.99,43.86,4589820.0,41.79
2015-01-29,41.99,42.3271,42.56,42.83,4937057.0,40.95
2015-01-30,42.8,42.3271,42.56,43.26,4115765.0,42.51
2015-02-02,42.85,42.8542,43.09,43.155,2651338.0,42.23
2015-02-03,43.4,43.1426,43.38,43.69,2465788.0,43.02
2015-02-04,43.27,42.8741,43.11,43.7,1699157.0,42.93
2015-02-05,43.2,43.3017,43.54,43.67,1677515.0,43.04
2015-02-06,43.62,43.3117,43.55,44.0,2630122.0,43.38
2015-02-09,43.25,42.9835,43.22,43.76,1356856.0,43.11
2015-02-10,43.49,43.3415,43.58,43.73,1581474.0,43.16
2015-02-11,43.54,42.9337,43.17,43.75,1237899.0,42.93
2015-02-12,43.42,43.9482,44.19,44.2,1333498.0,43.15
2015-02-13,44.16,44.4355,44.68,44.6901,1760288.0,44.11
2015-02-17,44.72,43.8587,44.1,44.8,1154761.0,43.96
2015-02-18,43.92,44.0774,44.32,44.425,1176284.0,43.75
2015-02-19,44.25,44.5449,44.79,44.88,923882.0,44.12
2015-02-20,44.73,44.7438,44.99,45.06,999699.0,44.25
2015-02-23,44.72,44.6642,44.91,44.945,1224091.0,44.61
2015-02-24,44.82,45.0819,45.33,45.61,1188261.0,44.8
2015-02-25,45.3,44.7239,44.97,45.3,1911502.0,44.67
2015-02-26,44.94,43.9681,44.21,44.94,2004352.0,43.841
2015-02-27,44.25,44.0675,44.31,44.51,1290116.0,44.09
2015-03-02,44.3,44.1968,44.44,44.92,2606217.0,44.22
2015-03-03,44.22,43.6399,43.88,44.424,1214829.0,43.662
2015-03-04,43.77,43.4012,43.64,43.91,954064.0,43.5
2015-03-05,43.69,43.7691,44.01,44.02,1315828.0,43.584
2015-03-06,44.37,44.5349,44.78,45.27,3657323.0,44.1
2015-03-09,44.78,44.0476,44.29,44.9,1406658.0,44.29
2015-03-10,43.56,42.7547,42.99,43.68,1782117.0,42.97
2015-03-11,43.03,42.3868,42.6,43.27,1813444.0,42.45
2015-03-12,42.81,43.1529,43.37,43.42,1387798.0,42.7
2015-03-13,43.32,42.5858,42.8,43.644,1603765.0,42.64
2015-03-16,43.12,43.6603,43.88,43.9,1593881.0,43.08
2015-03-17,43.61,43.5708,43.79,43.85,1010378.0,43.4698
2015-03-18,43.65,44.4265,44.65,44.87,1625579.0,43.5
2015-03-19,44.37,44.1678,44.39,44.64,1978407.0,44.07
2015-03-20,44.5,44.7648,44.99,45.16,1970463.0,44.49
2015-03-23,45.26,44.3867,44.61,45.31,1334249.0,44.61
2015-03-24,44.53,44.8543,45.08,45.16,2615049.0,44.14
2015-03-25,45.14,44.1081,44.33,45.25,3444096.0,44.32
2015-03-26,44.01,43.7797,44.0,44.13,1352415.0,43.42
2015-03-27,43.99,43.9688,44.19,44.26,1205906.0,43.67
2015-03-30,44.4,44.8444,45.07,45.17,1302973.0,44.28
2015-03-31,44.63,44.1081,44.33,44.848,1399052.0,44.135
2015-04-01,44.12,44.5757,44.8,44.95,1951903.0,43.46
2015-04-02,44.71,44.715,44.94,45.42,1963014.0,44.61
2015-04-06,44.76,45.8692,46.1,46.15,2787751.0,44.72
2015-04-07,46.05,45.5409,45.77,46.29,1887897.0,45.715
2015-04-08,45.74,45.6205,45.85,46.03,1199271.0,45.5
2015-04-09,45.85,45.5807,45.81,46.17,981771.0,45.42
2015-04-10,45.95,45.8891,46.12,46.24,1317867.0,45.712
