Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,117.66,120.8,119.93,118.61,110.5774,3084343.0
2015-01-05,114.47,118.31,118.31,114.6,106.8389,4608447.0
2015-01-06,111.6601,114.29,114.28,112.23,104.6294,6323925.0
2015-01-07,111.8499,113.8,113.16,112.85,105.2075,4008375.0
2015-01-08,113.51,117.085,114.0,117.08,109.151,4844973.0
2015-01-09,114.85,117.47,117.08,114.98,107.1932,2984567.0
2015-01-12,112.79,114.45,114.33,113.97,106.2516,3273000.0
2015-01-13,110.73,116.15,115.0,111.83,104.2565,5543184.0
2015-01-14,109.54,111.98,110.51,111.36,103.8184,6226626.0
2015-01-15,110.37,112.87,112.15,110.8,103.2963,5655920.0
2015-01-16,109.87,112.04,110.91,111.9,104.3218,8549567.0
2015-01-20,112.15,114.42,112.53,113.95,106.233,5448352.0
2015-01-21,113.78,116.07,114.55,114.4,106.6525,4783077.0
2015-01-22,117.02,120.9,117.25,119.83,111.7147,6430415.0
2015-01-23,119.34,122.19,121.0,120.09,111.9571,5124092.0
2015-01-26,119.65,121.87,120.51,121.33,113.1132,3550765.0
2015-01-27,118.76,121.62,119.16,120.86,112.675,3841791.0
2015-01-28,119.09,122.09,121.68,119.15,111.0808,4577675.0
2015-01-29,117.575,120.336,119.39,120.09,111.9571,3479456.0
2015-01-30,117.13,119.92,119.2,117.21,109.2722,4419094.0
2015-02-02,116.7,119.06,118.13,119.01,110.9503,3259569.0
2015-02-03,119.8,122.0,120.18,121.79,113.542,3602274.0
2015-02-04,119.92,121.36,120.66,120.44,112.2834,3088143.0
2015-02-05,121.03,123.11,121.39,122.85,114.5302,3365058.0
2015-02-06,121.33,123.32,123.0,121.81,113.5607,2973696.0
2015-02-09,118.95,122.01,121.53,119.45,111.3605,4231069.0
2015-02-10,118.76,121.1,119.78,120.87,112.6843,4028859.0
2015-02-11,120.588,122.7,121.0,122.14,113.8683,3384644.0
2015-02-12,122.39,123.94,122.72,123.83,115.4439,4134314.0
2015-02-13,122.25,124.52,123.74,122.6,114.2972,3369853.0
2015-02-17,121.57,122.555,121.96,122.54,114.2412,3523962.0
2015-02-18,122.0201,123.62,122.4,123.35,114.9964,2099942.0
2015-02-19,121.84,123.82,122.85,121.96,113.7005,2600587.0
2015-02-20,120.44,123.7,121.7,123.66,115.2854,3731768.0
2015-02-23,122.6,123.9,123.79,123.75,115.3693,2743419.0
2015-02-24,122.13,123.36,122.93,122.69,114.3811,3720302.0
2015-02-25,121.86,123.1299,122.5,122.42,114.6421,2495264.0
2015-02-26,120.69,122.655,122.23,120.76,113.0876,3108088.0
2015-02-27,120.19,121.4,121.15,120.26,112.6193,2775550.0
2015-03-02,120.05,120.9999,120.26,120.75,113.0782,3066342.0
2015-03-03,117.8801,120.38,120.09,118.46,110.9337,3825978.0
2015-03-04,116.6,118.28,117.65,118.21,110.6996,3919793.0
2015-03-05,117.34,118.54,118.32,118.33,110.812,3345666.0
2015-03-06,116.09,118.25,117.37,116.45,109.0514,3326062.0
2015-03-09,116.2,117.865,116.38,117.17,109.7257,2605119.0
2015-03-10,114.75,116.84,115.92,114.75,107.4594,3990203.0
2015-03-11,114.28,115.77,114.93,114.29,107.0286,4271462.0
2015-03-12,114.31,115.54,115.08,115.13,107.8153,4850900.0
2015-03-13,113.77,115.8,115.23,114.52,107.244,4150933.0
2015-03-16,115.36,116.83,115.5,116.72,109.3042,5110916.0
2015-03-17,115.64,116.83,115.95,116.42,109.0233,2602663.0
2015-03-18,115.04,118.195,116.08,117.78,110.2969,3614455.0
2015-03-19,116.79,118.33,117.48,117.55,110.0815,3466719.0
2015-03-20,117.1,118.66,117.98,117.45,109.9879,5060190.0
2015-03-23,112.62,116.0,114.85,112.78,105.6146,6682242.0
2015-03-24,111.31,113.73,112.75,112.51,105.3617,5632070.0
2015-03-25,110.7,113.06,112.7,110.82,103.7791,5448230.0
2015-03-26,106.75,109.28,109.06,108.17,101.2975,9370961.0
2015-03-27,106.78,108.99,107.74,108.44,101.5503,6203123.0
2015-03-30,108.77,110.39,109.0,110.09,103.0955,5191047.0
2015-03-31,107.8,109.66,109.66,108.31,101.4286,5534715.0
