Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,35.26,35.1,35.1,35.53,1279379.0,34.795
2015-01-05,33.9,35.1,35.1,35.29,2962953.0,33.75
2015-01-06,35.25,34.48,34.48,35.25,2311870.0,34.05
2015-01-07,34.62,35.38,35.38,35.54,1871100.0,34.62
2015-01-08,36.38,36.69,36.69,36.78,4330949.0,35.98
2015-01-09,36.98,36.44,36.44,36.99,1555328.0,36.03
2015-01-12,36.53,36.42,36.42,36.585,1650699.0,36.041
2015-01-13,36.56,34.51,34.51,36.71,3981660.0,34.4
2015-01-14,34.24,33.85,33.85,34.24,2993919.0,33.32
2015-01-15,33.93,32.99,32.99,34.2,2004008.0,32.95
2015-01-16,33.06,33.32,33.32,33.53,2172687.0,32.58
2015-01-20,33.51,33.57,33.57,33.99,1496880.0,33.05
2015-01-21,33.46,33.89,33.89,34.06,1343884.0,33.31
2015-01-22,34.03,34.63,34.63,34.86,1222808.0,33.99
2015-01-23,34.56,34.8,34.8,35.07,1024524.0,34.41
2015-01-26,34.92,35.36,35.36,35.509,1281470.0,34.63
2015-01-27,35.08,35.66,35.66,35.83,1151607.0,34.91
2015-01-28,35.75,35.41,35.41,36.0699,1439088.0,35.34
2015-01-29,35.55,35.39,35.39,35.75,783484.0,35.11
2015-01-30,35.14,34.86,34.86,35.63,1181453.0,34.58
2015-02-02,34.92,35.14,35.14,35.21,1220725.0,34.21
2015-02-03,35.54,36.07,36.07,36.13,1333472.0,35.11
2015-02-04,36.41,36.025,36.025,36.41,1691498.0,35.385
2015-02-05,36.0,36.35,36.35,36.44,1185874.0,35.84
2015-02-06,36.51,36.665,36.665,36.87,1416523.0,36.18
2015-02-09,36.47,36.51,36.51,36.73,2105582.0,36.04
2015-02-10,38.92,37.25,37.25,38.92,3354770.0,36.84
2015-02-11,37.05,37.66,37.66,37.83,1205684.0,37.026
2015-02-12,38.59,38.2,38.2,38.6,1334683.0,37.7
2015-02-13,38.08,38.465,38.465,38.555,713339.0,37.89
2015-02-17,38.38,38.26,38.26,38.47,887143.0,37.82
2015-02-18,38.08,38.05,38.05,38.2,549237.0,37.7601
2015-02-19,38.08,37.9,37.9,38.24,571672.0,37.77
2015-02-20,37.88,38.34,38.34,38.41,757938.0,37.49
2015-02-23,38.4,38.54,38.54,38.71,648804.0,38.2
2015-02-24,38.57,38.3,38.3,38.73,942362.0,37.97
2015-02-25,38.25,38.83,38.83,39.02,896078.0,37.8801
2015-02-26,38.73,38.35,38.35,38.94,974607.0,38.202
2015-02-27,39.67,38.96,38.96,39.74,1647695.0,38.82
2015-03-02,38.92,39.02,39.02,39.2,843855.0,38.761
2015-03-03,38.68,38.84,38.84,38.89,938907.0,38.35
2015-03-04,38.78,38.835,38.835,39.13,928133.0,38.42
2015-03-05,38.93,38.74,38.74,39.17,1099567.0,38.54
2015-03-06,38.48,38.89,38.89,39.45,1417106.0,38.48
2015-03-09,39.69,39.51,39.51,39.82,3300318.0,38.85
2015-03-10,41.95,44.06,44.06,44.2,11104616.0,41.92
2015-03-11,43.9,44.33,44.33,45.18,3437580.0,43.8
2015-03-12,43.19,44.52,44.52,44.62,3939791.0,43.13
2015-03-13,44.41,44.83,44.83,45.09,1473297.0,44.3601
2015-03-16,44.97,44.52,44.52,45.38,1841420.0,44.25
2015-03-17,44.3,44.34,44.34,44.87,1692461.0,44.07
2015-03-18,44.34,45.1,45.1,45.4,1779186.0,44.182
2015-03-19,45.23,46.7,46.7,46.8,2133070.0,45.23
2015-03-20,46.82,47.01,47.01,47.25,2390349.0,46.58
2015-03-23,46.94,46.97,46.97,47.18,2054571.0,46.83
2015-03-24,46.85,46.18,46.18,47.03,2269724.0,45.99
2015-03-25,46.15,45.66,45.66,46.49,1980564.0,45.61
2015-03-26,45.44,45.46,45.46,45.69,1042133.0,45.2
2015-03-27,45.6,45.47,45.47,46.07,1297156.0,45.306
2015-03-30,45.53,45.78,45.78,46.34,1045569.0,45.43
2015-03-31,45.6,45.65,45.65,46.2,1976922.0,45.56
2015-04-01,45.52,44.75,44.75,45.63,2932827.0,44.2
2015-04-02,45.41,43.97,43.97,45.6,4811201.0,43.54
2015-04-06,43.93,44.14,44.14,44.42,2860391.0,43.93
2015-04-07,44.08,43.81,43.81,44.52,2505394.0,43.72
2015-04-08,43.89,43.52,43.52,44.24,2268222.0,43.47
2015-04-09,43.6,43.52,43.52,43.97,1441598.0,43.24
2015-04-10,43.72,43.85,43.85,44.03,973069.0,43.55
2015-04-13,43.52,43.96,43.96,44.39,1328138.0,43.51
2015-04-14,45.81,43.87,43.87,45.94,2405891.0,43.62
2015-04-15,43.82,43.41,43.41,44.23,1889987.0,43.29
2015-04-16,43.43,43.13,43.13,43.78,1256254.0,43.08
2015-04-17,42.95,42.0,42.0,42.96,2747699.0,41.83
2015-04-20,42.29,42.39,42.39,42.59,1470315.0,41.7
2015-04-21,42.6,42.14,42.14,42.74,1088381.0,42.09
2015-04-22,42.24,42.17,42.17,42.4,778435.0,41.82
2015-04-23,42.16,42.39,42.39,42.65,856162.0,41.7
2015-04-24,42.28,41.895,41.895,42.47,1427677.0,41.81
2015-04-27,42.09,41.56,41.56,42.41,1153648.0,41.52
