Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,75.19,68.5928,73.76,75.47,1314525.0,73.13
2015-01-05,73.25,68.0162,73.14,73.76,1961966.0,72.82
2015-01-06,73.14,67.6163,72.71,73.76,1992935.0,72.23
2015-01-07,73.18,68.4812,73.64,73.84,1688477.0,72.93
2015-01-08,74.4,70.0249,75.3,75.33,2143795.0,74.27
2015-01-09,75.51,69.9691,75.24,75.74,2453201.0,74.57
2015-01-12,75.45,70.0342,75.31,75.96,2104350.0,75.0
2015-01-13,75.78,69.8203,75.08,76.89,2984856.0,74.49
2015-01-14,73.8,68.8625,74.05,74.78,1844104.0,73.54
2015-01-15,74.09,66.891,71.93,74.6099,3102228.0,71.85
2015-01-16,71.93,67.4862,72.57,72.62,2244272.0,71.35
2015-01-20,71.96,66.8352,71.87,72.97,2912756.0,71.27
2015-01-21,71.49,66.6585,71.68,72.12,3244865.0,71.27
2015-01-22,71.97,67.0863,72.14,72.59,4013016.0,71.57
2015-01-23,72.2,66.147,71.13,72.24,3446533.0,71.06
2015-01-26,70.82,66.4818,71.49,71.75,2455611.0,70.58
2015-01-27,70.76,66.0819,71.06,71.33,2695648.0,70.05
2015-01-28,71.65,66.054,71.03,72.27,2678482.0,71.0
2015-01-29,71.3,66.3888,71.39,71.85,3120737.0,70.66
2015-01-30,69.97,64.5103,69.37,70.98,2972864.0,69.29
2015-02-02,68.32,64.4452,69.3,69.347,3897379.0,68.29
2015-02-03,69.83,66.1563,71.14,71.2,3054704.0,69.7
2015-02-04,69.6,64.0547,68.88,70.1,7709868.0,68.17
2015-02-05,69.36,65.3194,70.24,70.34,2755124.0,69.17
2015-02-06,70.63,64.3987,69.25,70.78,3643016.0,69.24
2015-02-09,69.07,63.8966,68.71,69.08,4288851.0,67.85
2015-02-10,69.34,64.7614,69.64,70.05,3708396.0,69.11
2015-02-11,69.52,65.1613,70.07,70.172,2898583.0,69.52
2015-02-12,70.27,66.0261,71.0,71.26,4011795.0,70.18
2015-02-13,72.84,69.9877,75.26,75.73,5572565.0,72.43
2015-02-17,74.89,70.1179,75.4,75.92,2980977.0,74.2101
2015-02-18,74.99,70.0621,75.34,75.71,3325373.0,74.99
2015-02-19,75.36,69.2344,74.45,75.44,3656673.0,74.43
2015-02-20,74.44,70.4899,75.8,75.83,2256180.0,74.2
2015-02-23,75.85,70.834,76.17,76.31,2541822.0,75.66
2015-02-24,76.24,70.9734,76.32,76.68,1736235.0,76.11
2015-02-25,76.51,72.1731,77.61,77.83,2771298.0,76.51
2015-02-26,77.39,71.4942,76.88,77.55,1926694.0,76.7
2015-02-27,76.76,71.2896,76.66,76.95,1733199.0,76.52
2015-03-02,76.53,71.829,77.24,77.43,1940535.0,76.35
2015-03-03,76.72,71.3175,76.69,77.05,1483732.0,76.235
2015-03-04,76.59,71.1315,76.49,76.8,1209183.0,76.0
2015-03-05,76.82,70.741,76.07,76.905,1748280.0,75.95
2015-03-06,75.47,69.5692,74.49,75.57,1564419.0,74.33
2015-03-09,74.7,70.1109,75.07,75.27,1356577.0,74.4291
2015-03-10,74.18,69.0929,73.98,74.56,1349508.0,73.9
2015-03-11,74.02,67.9162,72.72,74.2,2153889.0,72.57
2015-03-12,73.19,68.3831,73.22,73.42,2684139.0,72.73
2015-03-13,73.34,68.1123,72.93,73.74,1525320.0,72.47
2015-03-16,73.26,68.3271,73.16,73.5,1223306.0,72.91
2015-03-17,72.92,68.2617,73.09,73.36,2067318.0,72.72
2015-03-18,72.92,69.0182,73.9,74.15,2200376.0,72.24
2015-03-19,73.91,69.1676,74.06,74.2,1095549.0,73.53
2015-03-20,74.31,70.279,75.25,75.36,5110021.0,74.1
2015-03-23,75.38,70.9701,75.99,76.4845,1934900.0,75.26
2015-03-24,75.92,70.4098,75.39,75.99,1328362.0,75.15
2015-03-25,75.4,69.177,74.07,75.5999,1794953.0,74.07
2015-03-26,73.66,68.9995,73.88,74.29,1144086.0,73.02
2015-03-27,74.05,69.4478,74.36,74.73,845102.0,73.88
2015-03-30,74.63,70.167,75.13,75.38,883814.0,74.63
2015-03-31,75.05,70.3351,75.31,75.78,2563462.0,74.89
2015-04-01,75.38,70.0736,75.03,75.38,1581718.0,74.25
2015-04-02,75.01,70.4938,75.48,75.64,1075118.0,74.92
2015-04-06,74.96,70.7834,75.79,76.18,1275035.0,74.78
2015-04-07,75.77,70.6339,75.63,76.03,1450760.0,75.34
2015-04-08,75.69,70.5966,75.59,76.06,1355357.0,75.03
2015-04-09,75.66,70.2977,75.27,76.01,1034729.0,74.95
2015-04-10,75.28,70.5872,75.58,75.63,1358381.0,74.9
2015-04-13,75.47,69.9335,74.88,75.82,1144166.0,74.88
2015-04-14,74.89,69.728,74.66,75.07,1265799.0,74.31
2015-04-15,75.04,69.6253,74.55,75.55,1271522.0,74.46
2015-04-16,74.49,69.5972,74.52,74.93,772912.0,74.37
2015-04-17,74.08,68.8688,73.74,74.33,1461471.0,73.52
2015-04-20,74.23,69.0836,73.97,74.57,1339593.0,73.7799
2015-04-21,74.39,69.4198,74.33,74.58,1181982.0,74.04
2015-04-22,74.55,69.0275,73.91,74.5613,972973.0,73.61
2015-04-23,73.82,69.0275,73.91,74.37,1576526.0,73.61
2015-04-24,74.17,68.8314,73.7,74.2,918904.0,73.66
2015-04-27,73.95,68.6073,73.46,74.2,1194019.0,73.3
2015-04-28,73.34,68.5886,73.44,73.56,998864.0,72.71
2015-04-29,73.33,68.3458,73.18,73.39,1484424.0,72.59
2015-04-30,73.0,67.6453,72.43,73.46,2631144.0,72.2
2015-05-01,72.71,67.2904,72.05,72.98,4271984.0,69.31
2015-05-04,72.34,66.5526,71.26,72.48,2676121.0,71.02
2015-05-05,71.28,66.7767,71.5,72.09,1983694.0,71.2
2015-05-06,71.45,66.095,70.77,71.75,1928265.0,70.42
2015-05-07,70.59,66.2818,70.97,71.19,1978619.0,70.59
2015-05-08,71.61,67.1503,71.9,72.32,1443901.0,71.59
2015-05-11,71.94,67.0663,71.81,72.25,1797430.0,71.64
