Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,1976737.0,75.83,74.77,75.4,76.29,69.2819
2015-01-05,3142907.0,74.8,73.11,73.3,75.0825,67.3523
2015-01-06,3568991.0,73.46,71.68,71.85,73.46,66.02
2015-01-07,3639112.0,72.35,70.87,71.3,72.39,65.5146
2015-01-08,3710929.0,71.72,71.57,72.29,72.61,66.4243
2015-01-09,2897962.0,72.47,71.21,71.67,72.68,65.8546
2015-01-12,2981735.0,71.83,71.19,72.4,72.76,66.5253
2015-01-13,3169162.0,73.09,72.15,72.63,74.17,66.7367
2015-01-14,9048200.0,71.28,67.24,67.8,71.28,62.2986
2015-01-15,8232368.0,68.1,65.73,66.48,68.25,61.0857
2015-01-16,5164188.0,66.81,66.75,68.07,68.49,62.5467
2015-01-20,5429378.0,67.88,64.79,66.36,67.88,60.9754
2015-01-21,3366266.0,66.36,66.1845,67.48,67.55,62.0046
2015-01-22,2811154.0,67.88,67.52,68.61,68.73,63.0429
2015-01-23,2173152.0,68.3,67.695,67.8,68.74,62.2986
2015-01-26,2311828.0,67.48,66.9801,67.48,67.8,62.0046
2015-01-27,2718168.0,66.57,66.1,67.14,67.52,61.6921
2015-01-28,4338859.0,67.28,66.15,66.5,67.79,61.1041
2015-01-29,5472614.0,66.84,64.94,67.49,67.77,62.0137
2015-01-30,5959176.0,66.5,64.2,64.42,66.55,59.1929
2015-02-02,5749516.0,64.47,63.11,65.13,65.14,59.8452
2015-02-03,5533931.0,65.39,65.24,66.77,66.93,61.3522
2015-02-04,4305214.0,66.88,65.55,66.08,67.18,60.7182
2015-02-05,4114161.0,66.25,65.4,66.25,66.39,60.8744
2015-02-06,5345322.0,66.18,65.97,67.07,67.67,61.6278
2015-02-09,3667462.0,66.76,66.76,68.24,68.56,62.7029
2015-02-10,2523168.0,68.83,67.295,68.14,68.97,62.611
2015-02-11,3625611.0,67.69,66.675,67.155,67.84,61.7059
2015-02-12,2569261.0,67.5,66.34,67.71,68.04,62.2159
2015-02-13,3087071.0,67.94,67.76,68.98,69.17,63.3828
2015-02-17,2215012.0,68.87,68.33,69.34,69.57,63.7136
2015-02-18,2702695.0,69.34,68.01,68.09,69.54,62.5651
2015-02-19,2845171.0,68.16,67.77,69.305,69.505,63.6815
2015-02-20,2313667.0,69.3,68.39,69.71,69.77,64.0536
2015-02-23,4257712.0,69.44,69.13,70.32,70.36,64.6141
2015-02-24,4536303.0,70.37,70.0,70.93,71.0,65.1746
2015-02-25,3806588.0,70.84,69.829,70.35,71.27,64.6417
2015-02-26,3787282.0,70.14,68.9,69.61,70.54,63.9617
2015-02-27,4442975.0,70.21,69.59,69.94,70.8,64.265
2015-03-02,3070908.0,70.0,69.87,70.75,70.83,65.0092
2015-03-03,3358323.0,70.63,70.5,71.48,71.8899,65.68
2015-03-04,3452138.0,71.48,70.12,70.86,71.49,65.1103
2015-03-05,2495584.0,71.21,69.97,70.34,71.21,64.6325
2015-03-06,2702909.0,69.97,69.94,70.32,70.99,64.6141
2015-03-09,3659148.0,70.24,69.995,71.28,71.99,65.4962
2015-03-10,3907238.0,70.81,69.82,69.85,71.03,64.1823
2015-03-11,2317649.0,69.44,68.86,69.12,69.78,63.8147
2015-03-12,2911949.0,69.3,68.64,69.71,70.02,64.3594
2015-03-13,4093986.0,69.43,67.76,68.13,69.94,62.9007
2015-03-16,3435321.0,68.59,68.21,69.32,69.52,63.9994
2015-03-17,3313021.0,68.81,68.32,68.8,69.16,63.5193
2015-03-18,3991908.0,68.71,67.865,68.87,69.05,63.5839
2015-03-19,2521499.0,68.84,68.49,68.81,69.28,63.5285
2015-03-20,5251338.0,69.13,68.88,69.76,70.2,64.4056
2015-03-23,3360685.0,69.97,66.93,70.4,70.995,64.9965
2015-03-24,3127584.0,70.16,69.06,69.07,70.46,63.7686
2015-03-25,3114170.0,69.0,67.73,67.73,69.21,62.5314
2015-03-26,2695192.0,67.4,66.8,67.25,67.71,62.0882
2015-03-27,2021848.0,67.38,67.24,67.85,67.98,62.6422
2015-03-30,1910632.0,68.17,68.03,68.14,68.96,62.9099
2015-03-31,2905725.0,67.87,67.58,68.3,69.04,63.0577
2015-04-01,4556481.0,67.69,65.8,67.31,68.515,62.1436
2015-04-02,2390705.0,67.37,66.99,67.59,67.95,62.4021
2015-04-06,2502228.0,67.14,67.01,68.6,68.64,63.3346
2015-04-07,5375576.0,67.91,66.99,67.28,68.72,62.1159
2015-04-08,3266319.0,67.63,67.31,68.23,68.86,62.993
2015-04-09,2515711.0,67.69,67.63,69.32,69.41,63.9994
2015-04-10,2029135.0,69.59,69.15,69.265,69.66,63.9486
2015-04-13,4148997.0,69.72,69.13,69.54,70.445,64.2025
2015-04-14,1797953.0,69.37,68.87,69.61,70.0,64.2671
2015-04-15,2903095.0,69.55,69.55,70.45,70.84,65.0426
2015-04-16,2502123.0,70.14,70.09,70.91,71.19,65.4673
2015-04-17,3586706.0,70.22,68.77,69.14,70.5,63.8332
2015-04-20,1877739.0,69.47,69.29,70.35,70.5,64.9503
2015-04-21,2311875.0,70.54,70.09,70.385,70.84,64.9826
2015-04-22,1199507.0,70.46,69.73,70.42,70.7,65.0149
2015-04-23,2565524.0,70.18,69.98,70.7,71.38,65.2734
2015-04-24,1973765.0,70.79,70.16,70.74,71.05,65.3104
2015-04-27,2528724.0,70.74,69.86,69.95,71.18,64.581
2015-04-28,3418826.0,70.98,70.57,71.31,71.42,65.8366
2015-04-29,4046857.0,71.2,70.89,72.24,72.33,66.6952
2015-04-30,6690712.0,71.67,68.62,69.45,73.52,64.1194
2015-05-01,3458434.0,69.77,68.31,69.17,70.1175,63.8609
2015-05-04,1918146.0,69.54,69.06,69.83,70.225,64.4702
2015-05-05,2382659.0,69.91,68.81,68.88,70.71,63.5931
2015-05-06,2345983.0,69.38,67.29,67.76,69.67,62.5591
2015-05-07,4378898.0,67.51,66.29,66.68,67.99,61.562
2015-05-08,3944533.0,67.44,66.06,66.44,67.62,61.3404
2015-05-11,3518168.0,66.53,65.39,65.43,66.53,60.4079
2015-05-12,5411409.0,65.23,63.98,64.48,65.35,59.5309
2015-05-13,2600703.0,64.54,64.105,64.39,64.89,59.4478
2015-05-14,1975757.0,64.8,64.32,65.1,65.13,60.1033
2015-05-15,2277910.0,65.08,65.08,65.57,65.645,60.5372
2015-05-18,1815280.0,65.4,65.31,65.76,65.91,60.7126
2015-05-19,2750812.0,65.67,65.152,65.58,65.86,60.5464
2015-05-20,2788141.0,65.67,65.34,65.92,66.34,60.8603
2015-05-21,2150144.0,65.94,65.68,66.91,67.02,61.7743
2015-05-22,2271828.0,66.95,66.6625,66.8,67.28,61.6728
2015-05-26,2243538.0,66.65,65.58,65.94,66.96,60.8788
2015-05-27,4755044.0,66.24,66.06,68.35,68.52,63.1038
2015-05-28,2974352.0,67.98,67.01,67.34,68.32,62.1713
2015-05-29,2997931.0,67.05,66.59,66.88,67.4,61.7466
