Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,49.55,45.5645,50.34,50.46,5897048.0,49.07
2015-01-05,49.84,43.6908,48.27,49.84,7732696.0,48.09
2015-01-06,48.22,43.1568,47.68,48.95,8586686.0,47.29
2015-01-07,48.07,42.8219,47.31,48.95,8825701.0,47.16
2015-01-08,48.09,45.2748,50.02,50.12,8922844.0,47.76
2015-01-09,49.99,44.0348,48.65,50.3,8371380.0,48.37
2015-01-12,48.31,42.8762,47.37,48.43,6898460.0,47.0
2015-01-13,48.25,41.5909,45.95,48.53,11061020.0,45.53
2015-01-14,45.47,40.6043,44.86,45.54,13608521.0,43.73
2015-01-15,45.3,39.8893,44.07,45.32,10720627.0,43.45
2015-01-16,44.7,41.0931,45.4,45.73,9632950.0,44.6
2015-01-20,45.15,42.0978,46.51,46.53,8515969.0,44.92
2015-01-21,46.72,42.7133,47.19,47.36,6943773.0,46.31
2015-01-22,48.0,43.4464,48.0,48.17,9023296.0,46.86
2015-01-23,48.08,45.4015,50.16,50.9,11629549.0,47.74
2015-01-26,50.04,46.3338,51.19,51.71,9803131.0,50.04
2015-01-27,50.8,46.37,51.23,51.6,6593372.0,50.5
2015-01-28,51.54,46.6235,51.51,52.31,12498576.0,51.1
2015-01-29,52.88,47.1394,52.08,53.2,11391471.0,51.18
2015-01-30,51.75,47.8635,52.88,53.9,10200035.0,51.5
2015-02-02,53.4,49.2755,54.44,54.44,9904445.0,52.92
2015-02-03,54.69,49.2212,54.38,54.871,10521146.0,53.505
2015-02-04,54.0,49.1397,54.29,54.7,7770024.0,53.42
2015-02-05,54.66,49.7914,55.01,55.22,6611697.0,54.01
2015-02-06,55.3,49.6557,54.86,55.46,7785763.0,54.4
2015-02-09,54.59,49.6466,54.45,54.83,5035527.0,54.0
2015-02-10,54.42,50.6222,55.52,55.54,7759704.0,54.11
2015-02-11,55.42,50.4763,55.36,55.99,6647321.0,54.9
2015-02-12,55.64,51.5614,56.55,57.07,10149258.0,55.28
2015-02-13,57.82,53.4305,58.6,58.97,13179674.0,57.39
2015-02-17,58.59,53.549,58.73,59.38,8449979.0,58.17
2015-02-18,59.26,54.0414,59.27,59.43,6655660.0,58.482
2015-02-19,59.2,54.8711,60.18,60.68,7449200.0,58.99
2015-02-20,60.23,55.3635,60.72,60.75,6927844.0,59.48
2015-02-23,60.63,56.9865,62.5,62.91,9826446.0,60.54
2015-02-24,62.4,56.1659,61.6,62.64,6310430.0,60.92
2015-02-25,61.28,55.865,61.27,61.6703,5407489.0,60.8
