Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,66.39,65.6777,66.98,67.91,981300.0,66.18
2015-01-05,66.29,63.8636,65.13,66.39,897194.0,64.815
2015-01-06,65.02,63.7165,64.98,66.13,691594.0,64.28
2015-01-07,65.3,64.9226,66.21,66.33,532368.0,65.06
2015-01-08,66.86,66.9524,68.28,68.64,1383252.0,66.81
2015-01-09,68.4,66.9622,68.29,68.575,838769.0,67.61
2015-01-12,68.08,66.923,68.25,68.445,1132865.0,67.28
2015-01-13,69.02,66.0503,67.36,69.09,972536.0,66.32
2015-01-14,66.35,66.4229,67.74,67.89,808563.0,65.37
2015-01-15,68.14,64.9324,66.22,68.28,1019308.0,65.94
2015-01-16,66.26,65.5894,66.89,67.34,1486754.0,66.17
2015-01-20,67.19,65.6875,66.99,67.46,1025789.0,66.12
2015-01-21,66.71,66.6582,67.98,68.04,857059.0,66.35
2015-01-22,68.75,68.5605,69.92,70.0,1793642.0,67.752
2015-01-23,69.87,68.384,69.74,70.37,1110258.0,69.18
2015-01-26,69.83,69.1488,70.52,70.57,826862.0,69.05
2015-01-27,69.41,68.8645,70.23,70.43,1172939.0,68.935
2015-01-28,70.92,68.6684,70.03,70.95,1372562.0,69.99
2015-01-29,69.99,69.9529,71.34,71.56,1328662.0,69.53
2015-01-30,70.68,69.139,70.51,71.75,1148173.0,69.85
2015-02-02,71.17,70.0509,71.44,71.89,1308217.0,70.1
2015-02-03,72.0,70.4236,71.82,72.0,1256401.0,71.19
2015-02-04,71.25,70.0804,71.47,72.92,1541622.0,71.08
2015-02-05,73.37,72.571,74.01,75.36,2129899.0,73.11
2015-02-06,74.53,73.7673,75.23,76.985,2654895.0,74.3
2015-02-09,75.21,74.689,76.17,76.81,1602985.0,75.156
2015-02-10,76.91,76.2481,77.76,78.15,1778146.0,76.82
2015-02-11,77.52,76.4834,78.0,79.305,1740882.0,77.49
2015-02-12,78.48,77.866,79.41,79.88,1256087.0,78.264
2015-02-13,79.66,78.317,79.87,79.99,1095841.0,79.0
2015-02-17,79.9,79.1897,80.76,80.89,910621.0,79.67
2015-02-18,80.64,79.4937,81.07,81.2,576235.0,80.33
2015-02-19,80.98,79.68,81.26,82.24,850445.0,80.68
2015-02-20,81.25,79.4055,80.98,81.41,998603.0,79.92
2015-02-23,81.01,78.6602,80.22,81.19,1051856.0,79.88
2015-02-24,80.37,79.1603,80.73,81.1,966552.0,80.07
2015-02-25,80.78,80.8763,82.38,82.59,1801569.0,80.53
2015-02-26,83.0,80.8861,82.39,83.49,1291863.0,82.23
2015-02-27,82.39,81.485,83.0,83.19,852652.0,82.21
2015-03-02,83.52,82.9576,84.5,84.535,1186554.0,82.7601
2015-03-03,84.1,83.2227,84.77,84.8,1344692.0,83.45
2015-03-04,84.28,83.0558,84.6,84.99,1835416.0,84.0
2015-03-05,84.74,83.419,84.97,85.36,1161341.0,84.45
2015-03-06,84.52,83.203,84.75,85.8,1669683.0,84.34
2015-03-09,85.07,82.8103,84.35,85.07,1791859.0,84.12
2015-03-10,83.63,80.9254,82.43,83.78,1082347.0,82.41
2015-03-11,82.58,81.7206,83.24,83.425,887079.0,82.27
2015-03-12,83.73,83.5466,85.1,85.3,1141615.0,83.63
2015-03-13,84.92,83.0656,84.61,84.95,914134.0,83.85
2015-03-16,84.62,83.5565,85.11,85.36,716796.0,84.62
2015-03-17,84.56,83.5466,85.1,85.6,727460.0,84.52
2015-03-18,84.62,84.2044,85.77,86.25,761649.0,84.0
2015-03-19,85.57,82.6631,84.2,85.88,930054.0,83.96
2015-03-20,84.62,82.5158,84.05,85.25,1257873.0,84.01
2015-03-23,84.05,82.7711,84.31,85.24,1084806.0,83.94
2015-03-24,84.48,83.5859,85.14,85.51,1431783.0,84.2
2015-03-25,85.48,82.4078,83.94,86.02,1116876.0,83.94
2015-03-26,83.46,82.4765,84.01,84.32,713119.0,83.02
2015-03-27,83.79,82.6336,84.17,84.625,565465.0,83.79
2015-03-30,84.58,83.8313,85.39,85.64,601411.0,84.5
2015-03-31,85.0,82.7612,84.3,85.47,847423.0,84.3
2015-04-01,84.36,82.6827,84.22,84.46,1149944.0,83.46
2015-04-02,84.0,82.7711,84.31,85.01,870809.0,83.664
2015-04-06,84.06,82.9281,84.47,85.05,601642.0,84.05
2015-04-07,84.5,81.7108,83.23,84.8199,1109527.0,83.12
2015-04-08,82.97,81.6813,83.2,83.23,1469863.0,81.73
2015-04-09,82.83,81.2788,82.79,83.61,767422.0,82.31
2015-04-10,83.09,81.8188,83.34,83.66,786508.0,82.54
2015-04-13,83.0,81.5144,83.03,83.57,855403.0,82.11
2015-04-14,84.26,81.7304,83.25,84.37,1092560.0,82.52
2015-04-15,83.5,82.2802,83.81,84.74,829786.0,83.1601
2015-04-16,83.7,81.2395,82.75,83.74,1148228.0,82.36
2015-04-17,82.02,80.4345,81.93,82.6,1000071.0,81.29
2015-04-20,82.26,80.2774,81.77,82.47,651816.0,81.53
2015-04-21,81.89,79.8847,81.37,82.14,625657.0,81.2
2015-04-22,81.46,79.4331,80.91,81.66,807090.0,80.58
2015-04-23,80.88,80.8272,82.33,82.6,1050939.0,80.66
2015-04-24,82.45,81.9464,83.47,83.49,1105980.0,82.12
2015-04-27,83.96,81.6028,83.12,84.03,689397.0,82.92
2015-04-28,82.78,81.5733,83.09,83.14,867640.0,81.82
2015-04-29,82.43,81.5537,83.07,83.38,723968.0,81.78
2015-04-30,83.08,83.959,85.52,86.23,1937474.0,83.08
2015-05-01,86.12,86.7177,88.33,88.57,1859639.0,85.69
2015-05-04,88.24,86.4919,88.1,89.569,1862285.0,87.97
2015-05-05,85.54,83.9393,85.5,87.52,1773405.0,84.72
2015-05-06,86.48,85.7556,87.35,88.0,997298.0,85.16
2015-05-07,86.95,87.8663,89.5,89.93,1422511.0,86.84
2015-05-08,90.0,88.8186,90.47,91.1,947107.0,89.674
2015-05-11,90.13,89.6236,91.29,91.79,977835.0,89.98
2015-05-12,90.65,88.583,90.23,91.19,1042517.0,90.15
2015-05-13,90.57,89.2113,90.87,91.53,1094891.0,90.12
2015-05-14,91.57,91.0275,92.72,92.85,1105949.0,90.78
2015-05-15,92.82,90.3109,91.99,93.07,860862.0,91.44
2015-05-18,91.55,90.4974,92.18,92.54,897863.0,91.55
2015-05-19,92.2,90.6545,92.34,92.74,849649.0,91.89
2015-05-20,92.39,90.2618,91.94,92.39,515079.0,91.6
2015-05-21,91.86,90.2716,91.85,92.24,545969.0,91.34
2015-05-22,92.1,90.0062,91.58,92.71,583363.0,91.53
2015-05-26,91.11,88.7286,90.28,91.59,1147702.0,89.92
2015-05-27,90.64,89.4067,90.97,91.19,1059771.0,90.11
2015-05-28,90.48,88.9448,90.5,90.78,513894.0,89.79
2015-05-29,90.6,88.3846,89.93,91.02,1290703.0,89.46
2015-06-01,90.0,88.0308,89.57,90.132,940771.0,89.141
2015-06-02,89.34,88.65,90.2,90.73,688392.0,89.34
2015-06-03,90.62,87.6082,89.14,90.75,1236494.0,88.64
2015-06-04,88.39,87.0971,88.62,88.975,1242082.0,87.64
2015-06-05,88.34,87.5885,89.12,89.94,657067.0,88.13
2015-06-08,88.94,87.0283,88.55,89.45,755115.0,88.5
2015-06-09,88.66,86.5664,88.08,89.09,866661.0,87.96
2015-06-10,88.76,88.0799,89.62,90.0,897131.0,88.32
2015-06-11,89.8,87.9227,89.46,90.2472,563082.0,89.22
2015-06-12,89.11,87.3625,88.89,89.44,642762.0,88.44
2015-06-15,88.35,86.2715,87.78,88.41,726192.0,87.53
2015-06-16,87.52,86.2814,87.79,87.95,931611.0,86.885
2015-06-17,87.95,85.9669,87.47,88.14,616946.0,86.64
2015-06-18,87.86,87.3526,88.88,89.02,647917.0,87.52
