Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,586106.0,118.36,117.7,119.37,119.49,80.5667
2015-01-05,729527.0,118.75,118.62,119.67,120.1,80.7692
2015-01-06,1180919.0,119.85,119.7,120.64,121.15,81.4239
2015-01-07,928530.0,121.47,120.35,123.19,123.34,83.1449
2015-01-08,642265.0,123.46,122.55,123.61,124.17,83.4284
2015-01-09,646009.0,123.61,122.8769,123.6,124.49,83.4217
2015-01-12,616641.0,123.79,123.72,124.41,124.69,83.9684
2015-01-13,704277.0,124.92,123.45,124.15,125.55,83.7929
2015-01-14,921282.0,123.67,123.02,124.68,124.93,84.1506
2015-01-15,1468121.0,125.14,124.57,126.0,126.62,85.0415
2015-01-16,1430879.0,115.45,112.8,114.27,115.73,85.1427
2015-01-20,1103132.0,114.88,112.79,113.34,115.5,84.4498
2015-01-21,876987.0,112.41,111.26,112.41,113.22,83.7568
2015-01-22,823666.0,112.51,112.51,114.68,114.7997,85.4482
2015-01-23,580209.0,114.85,113.96,114.3,114.92,85.1651
2015-01-26,651700.0,114.16,113.62,114.75,114.76,85.5004
2015-01-27,630588.0,114.14,113.79,114.27,114.9,85.1427
2015-01-28,894149.0,114.49,113.07,113.08,114.99,84.2561
2015-01-29,720754.0,112.46,111.68,112.54,112.84,84.3231
2015-01-30,1279640.0,111.99,110.37,110.44,112.74,82.7497
2015-02-02,995222.0,110.5,108.87,111.05,111.25,83.2067
2015-02-03,747437.0,110.78,110.06,112.01,112.03,83.926
2015-02-04,622034.0,111.95,110.86,111.58,112.1,83.6038
2015-02-05,870674.0,111.96,111.5,113.97,114.08,85.3946
2015-02-06,1737989.0,113.44,111.89,112.64,113.48,84.3981
2015-02-09,804289.0,112.43,112.28,112.34,113.32,84.1733
2015-02-10,1163063.0,112.49,112.0,113.01,113.5,84.6753
2015-02-11,545192.0,113.59,111.83,112.68,113.82,84.428
2015-02-12,523870.0,112.8,112.16,113.7,113.948,85.1923
2015-02-13,556669.0,113.58,112.39,112.96,113.8499,84.6378
2015-02-17,760681.0,112.86,112.42,112.88,113.92,84.5779
2015-02-18,654230.0,112.92,112.06,113.96,114.15,85.3871
2015-02-19,923829.0,113.5,110.7,111.26,113.53,83.3641
2015-02-20,1009032.0,110.92,110.675,112.49,112.7,84.2857
2015-02-23,542796.0,112.92,111.93,113.16,113.29,84.7877
2015-02-24,832325.0,112.67,110.41,111.05,113.29,83.2067
2015-02-25,906224.0,111.0,110.22,110.45,112.02,82.7571
2015-02-26,646296.0,110.22,109.18,109.38,110.39,81.9554
2015-02-27,837546.0,109.57,108.91,110.04,110.56,82.4499
2015-03-02,564766.0,110.33,110.01,110.98,111.82,83.1543
2015-03-03,575015.0,110.71,109.68,110.66,111.36,82.9145
2015-03-04,800150.0,110.46,108.46,108.68,110.63,81.4309
2015-03-05,1028198.0,109.36,108.94,109.17,110.21,81.7981
2015-03-06,1297285.0,107.47,104.53,104.67,107.47,78.4264
2015-03-09,870995.0,105.38,104.9,105.29,106.09,78.8909
2015-03-10,969180.0,105.19,104.44,104.46,105.67,78.269
2015-03-11,931303.0,104.2,104.11,104.58,105.17,78.3589
2015-03-12,908234.0,105.09,105.03,106.24,106.51,79.6027
2015-03-13,808481.0,106.26,105.14,105.76,106.35,79.2431
2015-03-16,832408.0,106.09,105.67,106.66,107.19,79.9174
2015-03-17,754455.0,106.39,106.05,106.89,107.22,80.0897
2015-03-18,669030.0,106.74,106.19,108.89,109.49,81.5883
2015-03-19,762058.0,108.48,108.058,109.05,109.67,81.7082
2015-03-20,1682991.0,109.34,108.73,113.44,113.65,84.9975
2015-03-23,1147800.0,113.35,112.6,113.28,114.02,84.8776
2015-03-24,840538.0,112.9,112.28,112.46,113.175,84.2632
2015-03-25,804767.0,112.64,110.25,110.36,113.06,82.6897
2015-03-26,804477.0,110.0,109.3,110.27,110.74,82.6223
2015-03-27,896262.0,110.15,109.885,110.94,111.03,83.1243
2015-03-30,719772.0,111.42,110.51,112.35,112.63,84.1808
2015-03-31,1693692.0,112.07,111.5,112.0,112.63,83.9185
2015-04-01,1035166.0,111.95,109.88,110.3,111.95,82.6448
2015-04-02,470206.0,110.01,109.89,111.21,111.95,83.3266
2015-04-06,616037.0,111.34,111.27,112.62,113.12,84.3831
2015-04-07,715381.0,112.53,110.12,110.12,112.53,82.5099
2015-04-08,609985.0,110.11,109.535,109.74,110.73,82.2252
2015-04-09,1215014.0,109.63,106.66,107.14,109.67,80.2771
2015-04-10,763634.0,107.78,107.05,107.42,108.7,80.4869
2015-04-13,698138.0,107.5,107.16,107.24,107.65,80.352
2015-04-14,701552.0,107.26,107.21,108.31,108.94,81.1537
2015-04-15,579688.0,108.22,107.43,107.49,108.74,80.5393
2015-04-16,389103.0,107.11,106.71,107.65,108.37,80.6592
2015-04-17,489795.0,107.31,106.3,106.99,108.16,80.1647
2015-04-20,367372.0,107.14,106.51,106.79,107.74,80.0148
2015-04-21,477522.0,107.03,106.76,107.0,107.86,80.1722
2015-04-22,364302.0,106.98,106.49,107.12,107.8055,80.2621
2015-04-23,452713.0,107.05,106.41,106.94,107.38,80.1272
2015-04-24,449510.0,107.02,106.81,107.46,108.21,80.5168
2015-04-27,359279.0,107.76,107.27,107.64,108.32,80.6517
2015-04-28,455177.0,107.26,106.44,107.45,107.81,80.5093
2015-04-29,620665.0,106.585,105.18,105.33,106.83,78.9209
2015-04-30,771410.0,104.84,102.87,103.49,105.0,77.5422
2015-05-01,829126.0,104.2,103.88,104.5,105.29,78.299
2015-05-04,574714.0,104.75,104.34,104.59,105.5,78.3664
2015-05-05,1191043.0,100.4,98.5,100.73,102.83,75.4742
2015-05-06,596345.0,100.72,99.42,100.14,100.95,75.0321
2015-05-07,727338.0,100.5,100.14,101.48,102.22,76.0362
2015-05-08,612953.0,102.18,102.18,102.89,103.88,77.5647
2015-05-11,498388.0,102.48,100.516,100.87,102.97,76.0419
2015-05-12,501892.0,100.2,99.64,100.95,101.56,76.1022
2015-05-13,631618.0,101.33,99.69,99.96,102.217,75.3559
2015-05-14,502659.0,100.5,100.355,101.88,102.0,76.8033
2015-05-15,703010.0,102.25,101.816,102.72,103.28,77.4365
2015-05-18,620738.0,102.4,101.41,101.82,102.74,76.7581
2015-05-19,714009.0,101.56,101.16,102.07,102.38,76.9465
2015-05-20,679209.0,102.07,101.85,102.57,103.325,77.3235
2015-05-21,707623.0,102.63,101.96,102.25,102.97,77.0822
2015-05-22,405009.0,101.94,101.57,102.26,103.19,77.0898
2015-05-26,561162.0,102.13,100.9,101.12,102.25,76.2304
2015-05-27,529310.0,101.53,101.204,101.92,102.12,76.8334
2015-05-28,464870.0,102.18,100.91,101.39,102.42,76.4339
2015-05-29,1763914.0,101.39,99.58,99.89,101.85,75.3031
2015-06-01,686297.0,100.0,99.71,101.05,101.49,76.1776
2015-06-02,712849.0,100.71,99.5,100.22,100.76,75.5519
2015-06-03,758710.0,100.22,98.85,99.37,100.58,74.9111
2015-06-04,758589.0,99.37,98.62,99.5,99.924,75.0091
2015-06-05,1061297.0,98.75,97.73,98.19,99.17,74.0215
2015-06-08,576728.0,97.97,97.61,97.79,98.43,73.72
2015-06-09,502830.0,97.7,97.13,97.3,98.07,73.3506
2015-06-10,777779.0,97.48,96.99,98.25,99.48,74.0668
2015-06-11,601755.0,98.61,98.21,98.36,98.905,74.1497
2015-06-12,563197.0,98.18,97.6,98.03,98.53,73.9009
2015-06-15,1032263.0,97.8,97.445,97.73,98.35,73.6748
2015-06-16,516994.0,97.79,97.55,98.46,98.7,74.2251
2015-06-17,552976.0,98.45,97.63,99.3,99.55,74.8583
2015-06-18,1000404.0,99.49,99.16,101.29,101.58,76.3585
2015-06-19,1248845.0,100.7,99.77,100.1,101.13,75.4614
2015-06-22,1180898.0,100.29,99.35,99.51,100.87,75.0166
2015-06-23,867704.0,99.37,98.61,98.76,100.91,74.4512
2015-06-24,1190530.0,98.93,97.23,97.23,99.11,73.2978
2015-06-25,1159514.0,97.35,96.06,96.06,97.36,72.4158
2015-06-26,1214856.0,96.18,95.65,96.69,97.05,72.8908
2015-06-29,892760.0,96.59,94.82,94.89,97.0438,71.5338
2015-06-30,939935.0,96.39,94.55,94.93,96.39,71.564
2015-07-01,912594.0,93.94,93.42,96.42,96.42,72.6872
2015-07-02,692067.0,96.9,95.94,96.27,97.77,72.5741
2015-07-06,725200.0,95.8,95.8,96.5,97.1,72.7475
2015-07-07,940160.0,97.12,96.93,97.98,98.32,73.8632
2015-07-08,413468.0,97.45,97.11,97.26,98.38,73.3205
2015-07-09,528851.0,97.68,96.64,96.87,98.4,73.0264
2015-07-10,713385.0,97.47,96.89,97.13,98.11,73.2225
2015-07-13,793819.0,97.07,96.28,96.84,98.35,73.0038
2015-07-14,481702.0,97.01,96.3,97.04,97.41,73.1546
2015-07-15,472105.0,96.86,96.53,97.25,97.48,73.3129
2015-07-16,514254.0,97.64,97.46,98.23,98.96,74.0517
2015-07-17,1161911.0,98.13,97.11,97.31,98.28,73.3581
2015-07-20,830685.0,97.22,96.51,96.79,97.29,72.9661
2015-07-21,925178.0,96.87,96.44,96.47,97.46,72.7249
2015-07-22,1086181.0,96.56,96.38,96.94,97.3,73.0792
2015-07-23,715042.0,96.77,95.14,95.89,96.795,72.2877
2015-07-24,595272.0,95.72,95.42,96.03,96.43,72.3932
2015-07-27,788176.0,95.91,95.83,96.31,96.97,72.6043
2015-07-28,498303.0,96.23,95.72,96.27,96.66,72.5741
2015-07-29,693186.0,96.22,95.4,97.05,97.31,73.1621
2015-07-30,454734.0,97.0,96.13,96.43,97.15,72.6948
2015-07-31,1084316.0,97.65,97.16,97.55,98.115,73.5391
2015-08-03,513863.0,97.58,97.0,97.88,98.128,73.7878
2015-08-04,782467.0,97.6,95.73,96.69,97.95,72.8908
2015-08-05,801812.0,97.07,95.41,95.64,97.1,72.0992
2015-08-06,863456.0,95.64,93.85,95.17,95.8,71.7449
2015-08-07,721946.0,94.73,93.71,95.13,96.1,72.1897
2015-08-10,758627.0,95.75,95.25,95.83,96.17,72.7209
2015-08-11,735443.0,95.72,95.22,96.55,97.06,73.2672
2015-08-12,572315.0,96.06,95.76,96.9,96.92,73.5328
2015-08-13,735762.0,96.58,95.77,97.05,97.575,73.6467
2015-08-14,613754.0,96.85,96.09,96.93,97.04,73.5556
2015-08-17,650148.0,96.9,96.09,96.94,97.86,73.5632
2015-08-18,599456.0,96.76,96.3,96.68,97.28,73.3659
2015-08-19,587756.0,96.19,95.05,95.43,96.48,72.4173
2015-08-20,813291.0,94.97,94.22,94.43,95.22,71.6585
2015-08-21,1148259.0,93.86,92.12,92.16,94.33,69.9359
2015-08-24,1512289.0,92.16,87.14,87.43,92.53,66.3465
2015-08-25,1191924.0,89.35,84.73,84.8,89.35,64.3507
2015-08-26,1319962.0,86.25,85.44,88.12,88.29,66.8701
2015-08-27,980749.0,88.59,88.47,90.28,91.24,68.5092
2015-08-28,929853.0,89.89,88.74,89.52,90.81,67.9325
2015-08-31,1183541.0,89.27,87.13,87.19,90.12,66.1644
2015-09-01,1082529.0,85.8,85.18,85.98,87.125,65.2462
2015-09-02,730723.0,86.92,86.34,87.23,87.59,66.1947
2015-09-03,806096.0,87.46,87.03,87.28,88.19,66.2327
2015-09-04,996308.0,86.48,84.6,84.92,86.574,64.4418
2015-09-08,959635.0,86.37,85.46,86.61,86.83,65.7242
2015-09-09,844996.0,87.55,85.81,86.04,87.6,65.2917
2015-09-10,770879.0,85.7,85.7,86.87,87.82,65.9215
2015-09-11,851497.0,86.6,86.26,88.87,88.89,67.4392
2015-09-14,712478.0,89.09,88.11,88.5,89.09,67.1585
2015-09-15,816886.0,88.51,88.0,89.8,89.99,68.145
2015-09-16,642969.0,89.6,89.26,90.99,91.22,69.048
2015-09-17,835729.0,90.88,90.62,92.02,93.61,69.8296
2015-09-18,1499948.0,90.54,90.54,91.76,92.9,69.6323
2015-09-21,656899.0,92.05,91.65,92.33,93.01,70.0649
2015-09-22,873267.0,91.67,90.76,91.03,92.13,69.0784
2015-09-23,567562.0,91.09,90.54,91.38,91.84,69.344
2015-09-24,799383.0,90.97,90.02,90.59,91.53,68.7445
2015-09-25,510197.0,91.39,90.25,91.11,91.7699,69.1391
2015-09-28,695764.0,90.4,89.24,89.66,90.74,68.0387
2015-09-29,613388.0,89.69,89.55,90.63,90.81,68.7748
2015-09-30,996952.0,91.33,89.84,90.42,91.56,68.6155
2015-10-01,708412.0,90.85,89.32,90.57,90.96,68.7293
2015-10-02,659266.0,90.3,89.57,91.7,91.71,69.5868
2015-10-05,658199.0,92.15,91.73,92.9,92.97,70.4974
2015-10-06,512603.0,92.69,92.155,92.88,93.29,70.4822
2015-10-07,953099.0,93.01,92.96,94.3,94.37,71.5598
2015-10-08,785225.0,94.03,93.78,95.88,95.95,72.7588
2015-10-09,556752.0,95.82,94.68,95.23,96.0,72.2655
2015-10-12,667413.0,95.3,95.11,96.24,96.29,73.032
2015-10-13,786256.0,96.1,94.985,95.69,96.5,72.6146
2015-10-14,535343.0,95.94,94.99,95.42,96.21,72.4097
2015-10-15,1098611.0,95.94,95.62,97.63,97.69,74.0868
2015-10-16,682135.0,98.16,97.82,98.27,98.81,74.5725
2015-10-19,777309.0,98.15,98.0,100.23,100.27,76.0598
2015-10-20,777835.0,99.75,98.8402,99.52,100.59,75.521
2015-10-21,534990.0,99.88,98.78,98.82,100.3,74.9898
2015-10-22,821031.0,99.21,98.95,100.21,100.61,76.0446
2015-10-23,1101393.0,100.11,98.79,99.53,100.78,75.5286
2015-10-26,619425.0,99.74,99.06,99.76,99.875,75.7032
2015-10-27,504473.0,99.47,98.94,99.54,100.03,75.5362
2015-10-28,972571.0,99.69,98.51,100.72,100.75,76.4317
2015-10-29,454135.0,100.17,99.97,100.7,100.81,76.4165
2015-10-30,1477966.0,100.69,100.09,100.55,100.87,76.3026
2015-11-02,935800.0,100.56,98.31,103.41,103.41,78.473
2015-11-03,1287240.0,103.26,98.71,100.8,103.26,76.4924
2015-11-04,995186.0,101.0,99.53,99.9,101.34,75.8094
2015-11-05,918861.0,99.7,99.12,99.78,100.01,75.7183
2015-11-06,991075.0,97.76,95.55,96.48,98.2,73.6922
2015-11-09,855418.0,96.48,94.1,95.0,96.67,72.5618
2015-11-10,772541.0,95.11,95.01,95.7,96.13,73.0964
