Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,113.57,113.88,113.88,114.92,493482.0,113.23
2015-01-05,113.62,113.02,113.02,114.3,341676.0,112.91
2015-01-06,112.95,112.53,112.53,113.81,396926.0,111.77
2015-01-07,113.47,115.93,115.93,115.98,438964.0,113.11
2015-01-08,117.11,118.09,118.09,118.4,491290.0,116.49
2015-01-09,118.14,116.52,116.52,118.64,438351.0,116.29
2015-01-12,116.82,116.46,116.46,117.52,405200.0,115.42
2015-01-13,117.52,116.02,116.02,118.03,414289.0,115.4
2015-01-14,114.68,114.4,114.4,115.18,316439.0,113.74
2015-01-15,114.82,112.79,112.79,114.97,272576.0,112.77
2015-01-16,112.34,113.46,113.46,113.95,495729.0,112.3
2015-01-20,114.06,113.96,113.96,114.48,384142.0,112.45
2015-01-21,113.54,114.27,114.27,114.52,265183.0,113.1
2015-01-22,114.58,115.91,115.91,116.03,428450.0,113.43
2015-01-23,115.91,114.45,114.45,116.48,562072.0,114.44
2015-01-26,114.11,116.11,116.11,116.22,721436.0,113.445
2015-01-27,116.51,119.35,119.35,122.8,1231409.0,116.51
2015-01-28,119.43,118.95,118.95,120.28,596719.0,118.73
2015-01-29,118.8,120.62,120.62,120.72,466959.0,117.84
2015-01-30,119.84,119.05,119.05,121.125,582165.0,118.6
2015-02-02,119.0,119.06,119.06,119.47,467246.0,117.16
2015-02-03,119.79,119.48,119.48,119.79,389915.0,118.32
2015-02-04,118.67,119.13,119.13,120.1,301479.0,118.19
2015-02-05,119.65,120.1,120.1,121.48,316070.0,119.62
2015-02-06,119.84,119.06,119.06,119.91,496191.0,118.54
2015-02-09,118.69,117.74,117.74,118.92,446445.0,117.29
2015-02-10,118.69,118.68,118.68,118.96,353104.0,117.86
2015-02-11,118.4,118.75,118.75,119.48,435728.0,117.93
2015-02-12,119.01,119.15,119.15,119.54,274085.0,118.52
2015-02-13,119.36,119.86,119.86,120.16,388227.0,118.54
2015-02-17,119.5,119.99,119.99,120.18,288305.0,118.53
2015-02-18,119.88,120.01,120.01,120.87,252699.0,119.29
2015-02-19,119.66,119.49,119.49,119.95,252541.0,119.09
2015-02-20,119.33,121.04,121.04,121.2,280771.0,118.46
2015-02-23,121.04,121.62,121.62,122.25,301146.0,120.27
2015-02-24,121.43,120.56,120.56,121.75,313713.0,120.25
2015-02-25,120.7,120.73,120.73,121.43,230238.0,120.5
2015-02-26,120.78,120.93,120.93,121.39,172076.0,119.91
2015-02-27,120.52,120.38,120.38,120.69,381839.0,119.55
2015-03-02,120.17,121.36,121.36,121.68,367900.0,119.96
2015-03-03,120.89,119.53,119.53,121.52,826155.0,119.32
2015-03-04,119.43,120.24,120.24,120.81,321594.0,119.05
2015-03-05,120.29,121.89,121.89,122.12,301192.0,120.19
2015-03-06,121.45,118.94,118.94,121.57,465780.0,118.57
2015-03-09,118.92,119.17,119.17,119.46,289805.0,118.03
2015-03-10,117.48,116.87,116.87,118.58,378323.0,116.83
2015-03-11,117.22,119.76,119.76,119.93,683559.0,116.935
2015-03-12,120.04,121.98,121.98,122.35,511403.0,119.73
2015-03-13,121.98,120.95,120.95,122.62,305315.0,119.94
2015-03-16,121.87,124.6,124.6,124.69,425321.0,121.7
2015-03-17,123.43,123.46,123.46,124.0,319483.0,122.23
2015-03-18,122.98,124.07,124.07,124.42,364681.0,121.44
2015-03-19,123.61,123.61,123.61,123.94,365037.0,122.17
2015-03-20,124.12,124.82,124.82,125.02,630778.0,123.45
2015-03-23,124.52,123.84,123.84,124.81,259724.0,123.5301
2015-03-24,123.59,123.14,123.14,124.47,357533.0,122.75
2015-03-25,123.07,121.54,121.54,123.96,299033.0,121.46
2015-03-26,120.84,121.85,121.85,122.29,328217.0,120.6201
2015-03-27,122.27,124.11,124.11,124.28,346782.0,121.78
2015-03-30,124.64,124.94,124.94,125.47,264056.0,124.03
2015-03-31,124.48,124.32,124.32,125.86,300431.0,124.2
2015-04-01,124.02,123.47,123.47,124.48,417493.0,121.8
2015-04-02,123.64,124.2,124.2,124.94,338651.0,122.965
2015-04-06,123.57,125.63,125.63,126.17,255297.0,122.93
2015-04-07,125.92,124.94,124.94,126.61,262674.0,124.82
2015-04-08,124.9,124.92,124.92,126.22,280101.0,124.2
2015-04-09,125.03,125.43,125.43,125.88,344173.0,124.61
2015-04-10,125.75,125.77,125.77,126.74,332594.0,125.11
2015-04-13,125.67,124.75,124.75,126.04,309554.0,124.6
2015-04-14,125.0,124.56,124.56,125.02,329805.0,124.32
2015-04-15,125.19,124.58,124.58,125.41,289843.0,124.07
2015-04-16,124.12,124.94,124.94,125.5,534895.0,123.88
2015-04-17,124.1,124.41,124.41,124.94,472580.0,123.31
2015-04-20,124.94,124.02,124.02,125.21,316141.0,123.98
2015-04-21,124.4,124.16,124.16,124.45,393354.0,123.48
2015-04-22,123.68,124.08,124.08,124.89,477385.0,123.68
2015-04-23,123.87,124.35,124.35,124.8,357998.0,123.38
2015-04-24,124.25,123.54,123.54,124.784,411044.0,122.88
2015-04-27,123.9,122.0,122.0,124.37,547272.0,120.79
2015-04-28,127.19,125.59,125.59,129.41,1012431.0,122.17
2015-04-29,125.55,125.45,125.45,126.56,343485.0,124.44
2015-04-30,124.64,125.19,125.19,127.0,684013.0,124.18
2015-05-01,125.99,126.59,126.59,127.0799,301864.0,125.34
2015-05-04,126.83,127.02,127.02,128.29,274178.0,126.48
2015-05-05,126.58,127.69,127.69,127.99,570757.0,126.02
