Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,966972.0,111.8,109.26,110.43,111.92,101.2178
2015-01-05,1667975.0,110.22,108.56,108.97,111.225,99.8796
2015-01-06,2022892.0,108.39,106.13,106.54,109.34,97.6523
2015-01-07,1552708.0,107.51,106.32,108.14,108.45,99.1188
2015-01-08,2533122.0,109.24,109.24,110.38,111.44,101.1719
2015-01-09,2170359.0,110.94,110.72,112.22,113.8797,102.8584
2015-01-12,1518236.0,111.45,109.69,110.32,111.78,101.1169
2015-01-13,1604566.0,111.0,108.74,109.38,112.57,100.2554
2015-01-14,1330921.0,109.31,107.57,108.77,109.67,99.6962
2015-01-15,2176346.0,109.28,104.66,104.7,109.39,95.9658
2015-01-16,1876983.0,104.6,103.11,106.37,106.58,97.4964
2015-01-20,1401691.0,107.14,105.2,106.59,107.14,97.6981
2015-01-21,1037854.0,106.05,105.7001,106.63,107.29,97.7348
2015-01-22,3319433.0,106.54,104.44,105.29,106.68,96.5065
2015-01-23,2250235.0,105.3,105.26,106.1,107.04,97.249
2015-01-26,5792227.0,101.47,96.7,100.98,101.99,92.5561
2015-01-27,3305014.0,99.09,97.23,97.63,100.1,89.4856
2015-01-28,5081896.0,104.23,99.64,99.83,104.95,91.502
2015-01-29,2533655.0,100.25,98.82,101.06,101.51,92.6294
2015-01-30,2381021.0,99.87,96.96,97.23,101.04,89.1189
2015-02-02,2317808.0,97.26,95.54,98.42,98.5,90.2097
2015-02-03,2227024.0,98.46,97.39,100.685,100.75,92.2857
2015-02-04,4537801.0,100.69,100.65,104.04,105.24,95.3608
2015-02-05,1603135.0,103.85,103.21,104.11,104.92,95.425
2015-02-06,1747411.0,104.25,103.12,103.4,106.16,94.7742
2015-02-09,964128.0,103.23,102.27,102.6,103.53,94.0409
2015-02-10,1302009.0,103.18,101.64,104.08,104.13,95.3975
2015-02-11,1872593.0,104.0,103.73,106.09,106.21,97.2398
2015-02-12,1718155.0,106.4,106.11,107.19,107.91,98.248
2015-02-13,1246795.0,107.96,107.05,107.61,108.8599,98.633
2015-02-17,1302750.0,105.5,105.5,106.77,107.23,97.8631
2015-02-18,2778129.0,106.83,105.13,109.0,109.05,99.9071
2015-02-19,2792051.0,109.18,108.73,109.84,109.88,100.677
2015-02-20,2268148.0,109.71,108.17,111.31,111.53,102.0243
