Date,Close,High,Volume,Open,Adj Close,Low
2015-01-02,53.19,53.26,1250306.0,52.97,47.806,52.53
2015-01-05,52.54,53.43,1406330.0,53.19,47.2218,52.35
2015-01-06,52.68,53.79,2181081.0,52.7,47.3476,52.57
2015-01-07,53.33,53.54,1244302.0,52.77,47.9319,52.44
2015-01-08,53.92,54.12,1490130.0,53.51,48.4621,53.51
2015-01-09,53.62,54.2199,1613350.0,54.07,48.1925,53.22
2015-01-12,53.46,53.91,1275976.0,53.74,48.0487,53.19
2015-01-13,53.72,54.46,1385850.0,53.71,48.2824,53.31
2015-01-14,54.36,54.4,1226363.0,53.56,48.8576,53.35
2015-01-15,55.05,55.17,1376798.0,54.38,49.4778,54.12
2015-01-16,55.86,55.895,1717221.0,55.12,50.2058,54.85
2015-01-20,55.76,56.13,1735446.0,56.0,50.1159,55.21
2015-01-21,56.45,56.52,1259744.0,55.6,50.736,55.2
2015-01-22,56.61,56.81,1252412.0,56.59,50.8798,56.11
2015-01-23,56.95,57.25,1343815.0,56.77,51.1854,56.595
2015-01-26,57.02,57.04,1996400.0,56.74,51.2483,56.3
2015-01-27,57.09,57.49,1209067.0,56.87,51.3113,56.8
2015-01-28,56.79,58.01,2277221.0,57.02,51.0416,56.645
2015-01-29,57.47,57.58,1506422.0,56.73,51.6528,56.45
2015-01-30,55.77,57.48,2491758.0,57.37,50.1249,55.71
2015-02-02,56.22,56.38,1520023.0,55.84,50.5293,55.2
2015-02-03,55.96,56.18,1850315.0,56.08,50.2956,55.48
2015-02-04,55.31,56.02,1437686.0,55.88,49.7114,55.14
2015-02-05,56.02,56.12,1501067.0,55.59,50.3496,55.11
2015-02-06,53.43,55.77,2686044.0,55.72,48.0217,53.17
2015-02-09,52.61,53.66,2303226.0,53.34,47.2847,52.22
2015-02-10,53.79,53.88,1521652.0,52.64,48.3453,52.55
2015-02-11,51.76,52.9,3594652.0,52.9,46.9005,51.5
2015-02-12,52.27,52.35,1990094.0,51.94,47.3626,51.35
2015-02-13,50.96,52.23,3922013.0,52.23,46.1756,50.54
2015-02-17,51.01,51.56,2452483.0,50.88,46.2209,50.41
2015-02-18,52.21,52.255,1889476.0,50.96,47.3083,50.76
2015-02-19,51.47,52.24,1417011.0,52.2,46.6377,51.28
2015-02-20,51.93,51.93,3689875.0,51.56,47.0545,50.9
2015-02-23,52.54,52.56,1921199.0,51.85,47.6073,51.84
2015-02-24,52.56,52.88,1639245.0,52.47,47.6254,52.26
2015-02-25,51.57,52.74,1510796.0,52.68,46.7283,51.46
2015-02-26,50.79,51.63,1731866.0,51.56,46.0216,50.755
2015-02-27,50.98,51.24,1319112.0,50.92,46.1937,50.62
2015-03-02,50.11,50.83,1854560.0,50.79,45.4054,49.52
2015-03-03,50.67,50.68,2462463.0,50.12,45.9128,49.36
2015-03-04,49.94,50.48,1331533.0,50.42,45.2514,49.7
2015-03-05,50.48,50.58,1386692.0,50.18,45.7407,49.94
2015-03-06,48.4,49.82,2828743.0,49.82,43.856,48.19
2015-03-09,48.62,48.85,1472615.0,48.5,44.0553,48.415
2015-03-10,48.35,49.11,1857556.0,48.52,43.8107,48.28
2015-03-11,47.82,48.74,2199235.0,48.48,43.3304,47.77
2015-03-12,48.56,48.8,2019666.0,48.07,44.0009,48.02
2015-03-13,48.21,48.57,2007634.0,48.54,43.6838,47.51
2015-03-16,49.06,49.65,1589454.0,48.37,44.454,48.37
2015-03-17,48.7,49.29,1172632.0,48.88,44.1278,48.61
2015-03-18,49.92,50.3,1882417.0,48.7,45.2333,48.445
2015-03-19,49.63,50.56,1807543.0,49.74,44.9705,49.29
2015-03-20,50.19,50.49,2817628.0,50.07,45.4779,49.56
2015-03-23,50.17,50.53,1793639.0,50.13,45.4598,49.98
2015-03-24,49.62,50.45,1518433.0,50.05,44.9614,49.42
2015-03-25,49.09,50.07,1051543.0,49.63,44.4812,49.055
2015-03-26,48.87,49.37,1611256.0,48.99,44.2818,48.63
2015-03-27,49.45,49.7999,1753453.0,48.88,44.8074,48.78
2015-03-30,49.73,49.9701,1075547.0,49.56,45.0611,49.3
2015-03-31,49.5,50.08,2133040.0,49.64,44.8527,49.18
2015-04-01,49.93,50.03,1373552.0,49.49,45.2423,48.88
2015-04-02,49.79,50.13,1258080.0,50.01,45.1155,49.74
2015-04-06,50.23,50.655,1262789.0,50.0,45.5142,49.93
2015-04-07,49.54,50.26,934880.0,50.21,44.8889,49.51
2015-04-08,49.36,49.67,1287675.0,49.52,44.7258,49.0564
2015-04-09,49.05,49.41,976234.0,49.41,44.4449,48.77
2015-04-10,49.65,49.96,1317399.0,49.22,44.9886,49.17
2015-04-13,49.43,50.04,1145095.0,49.64,44.7893,49.41
2015-04-14,49.78,50.09,1172555.0,49.68,45.1064,49.38
2015-04-15,49.7,50.39,1082984.0,49.82,45.0339,49.66
2015-04-16,49.45,49.78,1149144.0,49.7,44.8074,48.94
2015-04-17,49.54,49.96,1117140.0,49.22,44.8889,49.22
2015-04-20,50.33,50.8,1178142.0,49.73,45.6048,49.68
2015-04-21,50.17,50.91,1724929.0,50.39,45.4598,49.85
2015-04-22,50.28,50.46,967354.0,50.32,45.5595,49.83
2015-04-23,50.66,50.95,1326429.0,50.29,45.9038,50.19
2015-04-24,51.11,51.54,1667911.0,50.57,46.3115,50.3501
2015-04-27,50.21,51.2,1466859.0,51.15,45.496,49.92
2015-04-28,50.34,50.49,1129600.0,49.89,45.6138,49.69
2015-04-29,49.9,50.07,1101570.0,49.96,45.2151,49.375
2015-04-30,49.12,49.83,2045474.0,49.77,44.5084,48.59
2015-05-01,49.6,49.66,1700774.0,49.04,44.9433,48.93
2015-05-04,49.85,50.31,1491401.0,49.56,45.1698,49.47
2015-05-05,47.97,50.245,2771588.0,49.54,43.4663,47.835
2015-05-06,47.65,48.365,1848334.0,47.91,43.1764,47.08
2015-05-07,47.8,48.28,1234287.0,47.75,43.3123,47.74
2015-05-08,48.09,48.83,1367200.0,48.63,43.5751,47.96
2015-05-11,47.89,48.66,1044227.0,48.0,43.3938,47.82
2015-05-12,47.31,47.54,1455266.0,47.21,43.2511,46.84
2015-05-13,46.84,47.85,1020362.0,47.49,42.8215,46.64
2015-05-14,47.55,47.57,804347.0,47.21,43.4705,47.07
2015-05-15,48.0,48.145,984579.0,47.59,43.8819,47.57
2015-05-18,48.26,48.36,1126067.0,47.84,44.1196,47.82
2015-05-19,48.23,48.47,862207.0,47.98,44.0922,47.8
