Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,55.11,50.1712,54.7,55.19,11700856.0,54.1935
2015-01-05,54.14,48.7954,53.2,54.36,15000528.0,53.1
2015-01-06,53.35,47.7773,52.09,53.47,20209175.0,51.85
2015-01-07,52.63,48.0616,52.4,52.64,15714605.0,52.11
2015-01-08,53.0,49.1255,53.56,53.585,16711959.0,52.96
2015-01-09,53.54,48.3184,52.68,53.59,14239747.0,52.665
2015-01-12,52.58,47.7406,52.05,52.69,16967380.0,51.71
2015-01-13,52.3,47.5571,51.85,52.53,25148035.0,51.25
2015-01-14,51.0,47.0068,51.25,51.73,37589633.0,50.42
2015-01-15,51.21,46.5207,50.72,51.5354,32143987.0,50.46
2015-01-16,50.53,47.3645,51.64,51.7,23174862.0,50.51
2015-01-20,51.98,47.6947,52.0,52.3,17663122.0,51.7
2015-01-21,51.99,47.7864,52.1,52.7,17927334.0,51.71
2015-01-22,52.49,49.3182,53.77,53.82,21488009.0,52.48
2015-01-23,53.73,48.8504,53.26,53.98,17779652.0,53.24
2015-01-26,52.91,49.1439,53.58,53.6,13429409.0,52.89
2015-01-27,52.93,48.5844,52.97,53.34,14351619.0,52.57
2015-01-28,53.31,47.8415,52.16,53.355,18773167.0,52.15
2015-01-29,52.24,48.3918,52.76,52.9,16694843.0,51.895
2015-01-30,52.2,47.6213,51.92,52.77,21754253.0,51.9
2015-02-02,52.19,48.4376,52.81,52.91,17712312.0,51.985
2015-02-03,53.01,49.0247,53.45,53.525,20258946.0,52.97
2015-02-04,53.03,48.9605,53.03,53.5,14435159.0,52.9
2015-02-05,53.24,49.5513,53.67,53.84,13281754.0,53.22
2015-02-06,54.12,50.2715,54.45,55.08,19315694.0,53.83
2015-02-09,54.27,50.0499,54.21,54.45,9739238.0,54.075
2015-02-10,54.62,50.3823,54.57,54.71,12342504.0,54.22
2015-02-11,54.06,49.7637,53.9,54.26,18296643.0,53.66
2015-02-12,54.19,50.65,54.86,54.9,20159495.0,53.97
2015-02-13,54.98,51.0839,55.33,55.56,18809017.0,54.81
2015-02-17,55.31,51.1209,55.37,55.46,11908512.0,54.95
2015-02-18,55.09,50.3361,54.52,55.2,13231301.0,54.4
2015-02-19,54.41,50.373,54.56,54.82,10784561.0,54.13
2015-02-20,54.41,50.6223,54.83,54.94,15049057.0,54.03
2015-02-23,54.68,50.8716,55.1,55.11,13713064.0,54.27
2015-02-24,55.19,51.1209,55.37,55.54,11957816.0,55.02
2015-02-25,55.39,51.0839,55.33,55.58,10516855.0,55.24
2015-02-26,55.22,50.9178,55.15,55.35,13577057.0,54.96
2015-02-27,54.82,50.5854,54.79,55.28,12936930.0,54.79
2015-03-02,54.79,51.2871,55.55,55.56,12988112.0,54.72
2015-03-03,55.45,51.1947,55.45,55.5801,11759571.0,55.14
2015-03-04,55.17,50.6131,54.82,55.2,16638965.0,54.67
2015-03-05,54.94,50.6316,54.84,55.01,9576125.0,54.65
2015-03-06,54.98,50.4007,54.59,55.49,17298431.0,54.51
2015-03-09,54.78,50.4746,54.67,55.01,11937920.0,54.63
2015-03-10,54.16,49.2005,53.29,54.17,18723168.0,53.29
2015-03-11,53.87,49.579,53.7,53.99,16606462.0,53.6
2015-03-12,54.52,51.324,55.59,55.64,26266876.0,54.2
2015-03-13,55.49,51.0932,55.34,55.65,17591416.0,55.02
2015-03-16,55.5,51.4533,55.73,55.815,15505153.0,55.33
2015-03-17,55.5,51.6194,55.91,55.98,13096770.0,55.255
2015-03-18,55.68,51.8595,56.17,56.28,19999679.0,55.49
2015-03-19,55.95,51.2501,55.51,55.98,14840011.0,55.237
2015-03-20,55.53,51.7118,56.01,56.21,26487212.0,55.52
2015-03-23,56.03,51.4994,55.78,56.29,16051193.0,55.73
2015-03-24,55.7,51.1024,55.35,55.87,13886610.0,55.35
2015-03-25,55.26,50.3546,54.54,55.36,15412062.0,54.54
2015-03-26,54.35,50.3176,54.5,54.75,15038404.0,53.97
2015-03-27,54.54,49.9668,54.12,54.595,13600225.0,53.96
2015-03-30,54.39,50.5669,54.77,55.02,11705834.0,54.39
2015-03-31,54.47,50.2253,54.4,54.69,13306210.0,54.19
2015-04-01,54.42,49.8006,53.94,54.42,15436876.0,53.78
2015-04-02,53.95,50.1976,54.37,54.48,13498903.0,53.82
2015-04-06,53.82,49.9299,54.08,54.37,10780517.0,53.56
2015-04-07,54.28,49.8745,54.02,54.39,10853676.0,53.98
2015-04-08,53.98,49.856,54.0,54.36,9828654.0,53.83
