Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,194.17,190.4709,193.01,196.14,505517.0,191.26
2015-01-05,191.33,186.5432,189.03,192.3,733536.0,188.5
2015-01-06,190.01,185.0038,187.47,190.5,826781.0,186.14
2015-01-07,189.39,189.3557,191.88,192.81,605309.0,188.3
2015-01-08,193.47,194.2406,196.83,197.37,882872.0,192.27
2015-01-09,197.35,194.6354,197.23,199.92,880037.0,196.285
2015-01-12,197.95,196.3426,198.96,200.44,872725.0,195.26
2015-01-13,201.08,194.7735,197.37,205.16,1186534.0,194.81
2015-01-14,195.19,196.1354,198.75,200.73,1110714.0,194.8
2015-01-15,198.82,192.9084,195.48,200.72,901052.0,195.13
2015-01-16,194.77,197.5367,200.17,200.45,612498.0,194.35
2015-01-20,201.4,195.2768,197.88,201.6279,726468.0,196.29
2015-01-21,197.7,195.0597,197.66,199.11,875188.0,196.67
2015-01-22,199.71,197.0827,199.71,200.84,945197.0,198.24
2015-01-23,200.22,198.2768,200.92,201.97,380633.0,199.31
2015-01-26,200.59,200.3985,203.07,203.76,451290.0,199.81
2015-01-27,200.49,199.2143,201.87,203.24,471168.0,199.8
2015-01-28,204.26,198.7604,201.41,207.15,1154012.0,201.075
2015-01-29,201.02,201.267,203.95,204.14,1010862.0,199.5
2015-01-30,203.77,196.461,199.08,203.77,804363.0,198.8
2015-02-02,199.46,198.4742,201.12,202.23,1282488.0,197.0
2015-02-03,202.18,198.415,201.06,202.91,1185578.0,198.2
2015-02-04,207.19,212.0532,214.88,217.11,2154341.0,206.06
2015-02-05,215.25,208.5597,211.34,215.4999,1158697.0,210.54
2015-02-06,211.57,208.3624,211.14,213.1,840023.0,209.5
2015-02-09,210.12,203.5762,206.29,211.14,1081007.0,205.805
2015-02-10,207.97,205.3426,208.08,209.23,805594.0,205.33
2015-02-11,208.3,205.0466,207.78,209.74,598266.0,206.51
2015-02-12,209.19,210.2472,213.05,213.89,1104462.0,207.77
2015-02-13,211.91,210.4249,213.23,214.325,488446.0,211.91
2015-02-17,212.31,210.7012,213.51,215.2,703048.0,212.08
2015-02-18,211.96,209.7538,212.55,213.907,745330.0,211.922
2015-02-19,212.54,209.5367,212.33,213.41,810930.0,210.26
