Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,51.25,47.8593,51.75,51.78,3146760.0,51.2
2015-01-05,51.43,47.3784,51.23,51.62,3859108.0,51.13
2015-01-06,51.27,47.4153,51.27,51.64,3013167.0,50.86
2015-01-07,51.42,47.4523,51.31,51.62,2243273.0,51.05
2015-01-08,51.64,47.998,51.9,51.94,2941842.0,51.535
2015-01-09,51.82,47.6558,51.53,51.89,1659795.0,51.37
2015-01-12,51.6,47.6003,51.47,51.69,1315833.0,51.24
2015-01-13,51.68,47.6373,51.51,52.11,1788089.0,51.07
2015-01-14,51.25,47.9147,51.81,51.88,1624100.0,51.1
2015-01-15,51.8,47.924,51.82,52.14,1352568.0,51.76
2015-01-16,51.78,48.3124,52.24,52.28,1311210.0,51.56
2015-01-20,52.54,48.932,52.91,52.95,2422928.0,52.3188
2015-01-21,52.72,48.7656,52.73,53.06,2409886.0,52.56
2015-01-22,52.98,48.8118,52.78,53.19,2857920.0,52.46
2015-01-23,52.71,49.0153,53.0,53.06,2400285.0,52.62
2015-01-26,52.95,49.2095,53.21,53.35,1599892.0,52.66
2015-01-27,52.96,49.1448,53.14,53.35,2293123.0,52.89
2015-01-28,53.18,48.6823,52.64,53.49,1752362.0,52.59
2015-01-29,52.56,48.5991,52.55,52.64,1447217.0,52.01
2015-01-30,52.23,47.5633,51.43,52.3,3119529.0,51.39
2015-02-02,51.46,47.6835,51.56,51.58,4397815.0,50.821
2015-02-03,51.43,48.3124,52.24,52.24,2220476.0,51.38
2015-02-04,52.2,48.2939,52.22,52.59,1773767.0,52.01
2015-02-05,52.22,48.6454,52.6,52.62,1086972.0,52.21
2015-02-06,52.56,48.4974,52.44,52.81,1387613.0,52.2
2015-02-09,52.2,48.5806,52.53,52.76,1629999.0,52.2
2015-02-10,52.74,48.7378,52.7,52.96,1554408.0,52.52
2015-02-11,52.77,48.6084,52.56,52.98,1605477.0,52.42
2015-02-12,52.59,48.7378,52.7,52.97,1692439.0,52.45
2015-02-13,51.6,47.4338,51.29,51.65,4966281.0,50.67
2015-02-17,52.2,49.8846,53.94,54.49,5269825.0,52.2
2015-02-18,54.08,50.5227,54.63,54.77,2558172.0,53.74
2015-02-19,54.5,50.3008,54.39,54.62,1962015.0,53.85
2015-02-20,54.48,50.4118,54.51,54.72,2262311.0,54.18
2015-02-23,54.51,50.4672,54.57,54.8,1442982.0,54.355
2015-02-24,54.4,50.3748,54.47,54.73,1605613.0,54.3501
2015-02-25,54.62,50.4302,54.53,54.84,1683468.0,54.44
2015-02-26,54.62,50.199,54.28,54.66,1759260.0,54.03
2015-02-27,54.31,50.384,54.48,54.6799,1702588.0,54.12
2015-03-02,54.66,50.7262,54.85,54.9,2004178.0,54.49
2015-03-03,54.7,51.0314,55.18,55.27,3237487.0,54.66
2015-03-04,55.0,50.9296,55.07,55.16,3351770.0,54.87
2015-03-05,54.72,50.7586,54.5,54.84,2054411.0,54.23
2015-03-06,54.16,49.9669,53.65,54.295,2521169.0,53.64
2015-03-09,53.61,49.9855,53.67,53.84,2991321.0,53.58
2015-03-10,53.32,49.2777,52.91,53.53,2854037.0,52.905
2015-03-11,52.93,49.0728,52.69,53.07,2797539.0,52.67
2015-03-12,52.72,49.4454,53.09,53.19,1974612.0,52.71
2015-03-13,53.18,49.6596,53.32,53.4,1908663.0,52.84
2015-03-16,53.5,50.6654,54.4,54.5,2280052.0,53.49
2015-03-17,54.41,50.7306,54.47,54.66,1508115.0,54.32
2015-03-18,54.27,51.2894,55.07,55.2,2049004.0,54.05
2015-03-19,55.12,50.9728,54.73,55.31,1704854.0,54.73
2015-03-20,54.79,50.8051,54.55,54.85,5120323.0,54.38
2015-03-23,54.72,51.1497,54.92,55.13,2467674.0,54.47
2015-03-24,54.92,50.861,54.61,54.96,1879185.0,54.57
2015-03-25,54.65,50.1625,53.86,54.7,1508432.0,53.84
2015-03-26,53.64,49.7341,53.4,53.71,1376145.0,53.38
2015-03-27,53.38,49.7341,53.4,53.6963,1590865.0,53.38
2015-03-30,53.56,50.3022,54.01,54.23,1585978.0,53.53
2015-03-31,53.88,50.5071,54.23,54.4,2337277.0,53.82
2015-04-01,54.25,49.9669,53.65,54.38,2061428.0,53.57
2015-04-02,53.69,50.1997,53.9,54.0,1401459.0,53.66
2015-04-06,53.89,50.8051,54.55,54.73,3344045.0,53.75
2015-04-07,54.47,50.9821,54.74,54.89,2023189.0,54.35
2015-04-08,54.76,50.861,54.61,55.09,3859855.0,54.58
2015-04-09,54.67,51.1963,54.97,55.13,4105704.0,54.42
2015-04-10,55.17,51.3546,55.14,55.93,4470917.0,54.99
2015-04-13,55.0,51.0752,54.84,55.16,2603161.0,54.74
2015-04-14,54.73,50.5164,54.24,54.76,1967510.0,54.145
2015-04-15,54.37,50.5257,54.25,54.64,1233737.0,54.22
2015-04-16,54.06,50.2836,53.99,54.15,2056264.0,53.63
2015-04-17,53.61,49.2498,52.88,53.825,2859729.0,52.75
2015-04-20,53.16,49.3802,53.02,53.44,2767713.0,53.0
2015-04-21,53.11,49.2125,52.84,53.36,4163606.0,52.745
2015-04-22,52.81,48.9983,52.61,53.17,3544450.0,52.2
2015-04-23,52.49,49.0635,52.68,52.805,4064251.0,52.451
2015-04-24,52.64,49.0449,52.66,52.76,3995240.0,52.26
2015-04-27,52.94,48.7003,52.29,52.94,1868330.0,52.17
2015-04-28,52.34,48.8679,52.47,52.69,1767709.0,52.08
2015-04-29,51.5,46.4557,49.88,52.02,5639938.0,49.63
2015-04-30,49.77,46.1298,49.53,50.1,4134180.0,49.43
2015-05-01,49.57,46.6513,50.09,50.23,2120643.0,49.57
2015-05-04,50.11,46.4278,49.85,50.45,2826585.0,49.8
2015-05-05,49.87,45.5057,48.86,50.04,2948278.0,48.75
2015-05-06,49.02,45.1425,48.47,49.2,3185966.0,48.086
2015-05-07,48.5,45.5057,48.86,48.995,2224225.0,48.48
2015-05-08,49.16,45.9435,49.33,49.59,1681324.0,49.13
2015-05-11,49.16,46.0366,49.43,49.9,3939271.0,49.051
2015-05-12,49.23,46.1111,49.51,49.7,1924136.0,49.08
2015-05-13,49.54,45.9807,49.37,49.805,2035570.0,49.32
2015-05-14,49.49,46.3067,49.72,49.86,1434377.0,49.49
2015-05-15,49.81,46.4092,49.83,49.97,1572104.0,49.73
2015-05-18,49.94,46.4278,49.85,49.95,1540866.0,49.69
2015-05-19,49.79,46.4371,49.86,49.95,1572174.0,49.61
2015-05-20,49.81,46.3067,49.72,49.95,1337768.0,49.67
2015-05-21,49.71,46.6792,50.12,50.251,2043369.0,49.655
2015-05-22,49.98,46.6234,50.06,50.27,1388308.0,49.98
2015-05-26,50.0,46.167,49.57,50.14,2593611.0,49.44
2015-05-27,49.79,46.4185,49.84,49.97,1181620.0,49.48
2015-05-28,49.81,46.3719,49.79,50.0,1625887.0,49.71
2015-05-29,49.64,46.2415,49.65,49.86,2362564.0,49.41
2015-06-01,49.82,46.3253,49.74,49.91,1357814.0,49.54
2015-06-02,49.61,46.1577,49.56,49.84,1699578.0,49.4999
2015-06-03,49.28,46.2275,49.25,49.34,1696228.0,49.06
2015-06-04,49.0,45.6925,48.68,49.27,3159719.0,48.47
2015-06-05,48.6,45.4391,48.41,48.67,2020037.0,48.33
2015-06-08,48.37,45.486,48.46,48.615,1363621.0,48.3
2015-06-09,48.46,45.3546,48.32,48.563,1431818.0,48.23
2015-06-10,48.39,45.4673,48.44,48.755,1810652.0,48.39
2015-06-11,48.59,45.5142,48.49,48.771,1906429.0,48.31
2015-06-12,48.45,45.4673,48.44,48.5,1876364.0,48.193
2015-06-15,48.11,44.7821,47.71,48.11,1686829.0,47.63
2015-06-16,47.79,44.8665,47.8,47.9,1489421.0,47.69
2015-06-17,47.93,44.9416,47.88,48.015,2002122.0,47.57
2015-06-18,48.0,45.3358,48.3,48.39,1504245.0,48.0
2015-06-19,48.25,44.829,47.76,48.25,2121472.0,47.74
2015-06-22,48.07,44.7727,47.7,48.11,1643739.0,47.57
2015-06-23,47.68,44.4348,47.34,47.845,1629384.0,47.3
2015-06-24,47.25,44.2752,47.17,47.4,1881707.0,47.115
2015-06-25,47.28,44.0593,46.94,47.29,1161061.0,46.88
2015-06-26,46.98,44.1438,47.03,47.19,1268429.0,46.82
2015-06-29,46.75,43.5055,46.35,46.8999,1606830.0,46.33
2015-06-30,46.7,43.5055,46.35,46.8,1345961.0,46.31
2015-07-01,46.64,43.6557,46.51,46.68,1241150.0,46.24
2015-07-02,46.57,43.5243,46.37,46.67,884581.0,46.2236
2015-07-06,46.04,43.6745,46.53,46.54,1228540.0,45.86
2015-07-07,46.53,44.1344,47.02,47.11,1986316.0,46.41
2015-07-08,46.66,43.9373,46.81,47.26,2051667.0,46.6
2015-07-09,47.17,44.2564,47.15,47.34,2254252.0,47.07
2015-07-10,47.56,44.8196,47.75,47.89,1920274.0,47.31
2015-07-13,48.14,44.9885,47.93,48.1699,2082372.0,47.78
2015-07-14,47.86,45.6174,48.6,48.665,2285072.0,47.83
2015-07-15,48.63,45.4297,48.4,48.74,1573892.0,48.32
2015-07-16,48.67,45.9366,48.94,49.23,2299899.0,48.48
2015-07-17,48.83,45.6925,48.68,48.89,1602073.0,48.51
2015-07-20,48.64,45.5517,48.53,48.73,1022934.0,48.44
2015-07-21,48.51,45.2701,48.23,48.61,1269456.0,48.02
2015-07-22,48.22,44.8665,47.8,48.47,2750066.0,47.55
2015-07-23,47.76,46.068,49.08,49.36,4709274.0,47.76
2015-07-24,49.21,45.8333,48.83,49.5558,3129720.0,48.73
2015-07-27,48.73,46.0492,49.06,49.54,3871662.0,48.69
2015-07-28,49.71,47.0817,50.16,50.25,3520456.0,49.52
2015-07-29,50.27,47.5886,50.7,50.79,3278939.0,50.21
2015-07-30,50.54,48.0579,51.2,51.38,2769387.0,50.54
2015-07-31,51.43,47.9922,51.13,51.46,1658329.0,51.04
2015-08-03,51.05,47.6824,50.8,51.13,2178613.0,50.67
2015-08-04,50.87,47.842,50.97,51.38,1854808.0,50.79
2015-08-05,51.21,48.4333,51.6,51.83,2046872.0,51.18
2015-08-06,51.6,47.8514,50.98,51.8,1820746.0,50.95
2015-08-07,50.96,47.6449,50.76,51.12,2309141.0,50.56
2015-08-10,51.03,48.2362,51.39,51.43,1606822.0,50.95
2015-08-11,51.01,48.3582,51.52,51.57,1590608.0,50.94
2015-08-12,51.24,48.668,51.85,51.91,2531555.0,51.1501
2015-08-13,51.72,48.7149,51.9,52.27,1872906.0,51.61
2015-08-14,51.96,49.0434,52.25,52.29,1104621.0,51.83
2015-08-17,51.92,49.4095,52.64,52.7,1428350.0,51.63
2015-08-18,52.54,49.4658,52.7,53.055,2028810.0,52.5
