Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,44.83,37.6523,45.22,45.57,7433471.0,44.83
2015-01-05,44.54,36.1618,43.43,44.84,8826753.0,43.25
2015-01-06,43.28,35.6706,42.84,43.61,8068089.0,42.2048
2015-01-07,43.32,35.4791,42.61,43.757,8251953.0,42.365
2015-01-08,43.14,35.8204,43.02,43.89,7745532.0,42.86
2015-01-09,42.96,35.3708,42.48,43.37,6150153.0,41.95
2015-01-12,42.05,34.3716,41.28,42.05,6567352.0,40.79
2015-01-13,41.33,34.0885,40.94,41.715,7303545.0,40.4
2015-01-14,40.53,34.5798,41.53,41.68,9703173.0,40.07
2015-01-15,42.11,34.6631,41.63,42.3058,7622402.0,41.38
2015-01-16,41.9,34.9711,42.0,42.44,9881644.0,41.485
2015-01-20,41.9,35.0461,42.09,42.145,8936207.0,41.14
2015-01-21,42.19,35.6123,42.77,43.13,7294133.0,42.08
2015-01-22,43.26,36.0702,43.32,43.56,7012660.0,42.29
2015-01-23,43.25,36.0952,43.35,43.98,6276311.0,42.72
2015-01-26,43.5,36.4283,43.75,43.925,7027207.0,43.2199
2015-01-27,43.54,36.6031,43.96,44.44,7887017.0,43.52
2015-01-28,43.95,35.3958,42.51,44.02,9389634.0,42.42
2015-01-29,42.93,36.2951,43.59,43.78,9570455.0,42.02
2015-01-30,43.17,36.5199,43.86,44.52,15053281.0,42.67
2015-02-02,44.67,37.3275,44.83,44.95,11948498.0,43.61
2015-02-03,45.29,38.3683,46.08,46.2,11402777.0,44.85
2015-02-04,45.37,37.7688,45.36,46.01,6519397.0,45.03
2015-02-05,46.13,38.6348,46.4,46.73,7436944.0,45.71
2015-02-06,46.89,38.6181,46.38,47.01,6867075.0,46.2
2015-02-09,46.49,38.3434,46.05,46.9,3895009.0,45.87
2015-02-10,46.21,39.4258,47.35,47.595,10771535.0,45.785
2015-02-11,46.9,39.2509,47.14,47.61,10203277.0,46.46
2015-02-12,47.88,39.942,47.97,48.21,5187132.0,47.48
2015-02-13,48.37,41.1411,49.41,49.59,13487394.0,48.16
2015-02-17,49.36,41.3409,49.65,49.76,7170714.0,48.651
2015-02-18,49.21,40.5332,48.68,49.35,11322284.0,48.41
2015-02-19,49.21,41.1411,49.41,50.69,13619977.0,48.43
2015-02-20,49.22,40.7747,48.97,49.5,8858351.0,48.66
2015-02-23,48.31,40.9246,49.15,49.48,5623765.0,48.31
2015-02-24,48.9,41.0495,49.3,49.3,7144063.0,48.54
2015-02-25,49.19,41.1161,49.38,49.55,5145954.0,48.8
2015-02-26,49.04,40.6415,48.81,49.37,6584158.0,48.46
2015-02-27,49.1,40.833,49.04,49.17,6442313.0,48.6
2015-03-02,48.93,40.8246,49.03,49.25,6012189.0,48.42
2015-03-03,49.23,40.9246,49.15,49.6,6623472.0,48.73
2015-03-04,49.15,40.7164,48.9,49.19,6131830.0,48.0
2015-03-05,48.88,39.9504,47.98,49.14,6173024.0,47.97
2015-03-06,47.685,39.7922,47.79,48.35,6994314.0,47.54
2015-03-09,47.98,40.2251,48.31,48.91,6374605.0,47.89
2015-03-10,47.74,39.7089,47.69,48.31,5246660.0,47.61
