Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,35.87,32.118,36.11,36.19,2427157.0,35.865
2015-01-05,35.9,32.118,36.11,36.24,2385433.0,35.9
2015-01-06,36.21,32.0824,36.07,36.495,3405886.0,35.98
2015-01-07,35.79,32.1803,36.18,36.345,2873072.0,35.78
2015-01-08,36.42,32.5272,36.57,36.73,3004544.0,36.33
2015-01-09,36.57,32.4827,36.52,36.79,1994887.0,36.445
2015-01-12,36.52,32.5272,36.57,36.67,1888905.0,36.35
2015-01-13,36.8,32.6339,36.69,37.04,2645144.0,36.52
2015-01-14,36.46,32.4115,36.44,36.48,2776926.0,36.015
2015-01-15,36.62,32.3493,36.37,36.77,2959758.0,36.33
2015-01-16,36.31,32.5805,36.63,36.7,2814654.0,36.09
2015-01-20,36.75,31.9401,35.91,36.89,5039726.0,35.78
2015-01-21,35.79,31.7267,35.67,35.9,3368612.0,35.42
2015-01-22,35.93,32.4471,36.48,36.53,3112686.0,35.725
2015-01-23,36.53,32.0558,36.04,36.56,2613447.0,36.04
2015-01-26,36.04,32.1269,36.12,36.12,2727652.0,35.76
2015-01-27,35.88,31.9401,35.91,36.11,2257572.0,35.82
2015-01-28,36.11,31.6377,35.57,36.28,2361766.0,35.56
2015-01-29,35.66,31.4954,35.41,35.695,4823835.0,35.12
2015-01-30,35.33,31.8868,35.85,36.35,5314381.0,35.19
2015-02-02,35.83,31.3442,35.24,35.83,5203869.0,34.87
2015-02-03,35.28,31.6377,35.57,35.58,3914506.0,35.09
2015-02-04,35.48,31.3887,35.29,35.6,3147669.0,35.07
2015-02-05,35.43,31.5844,35.51,35.655,2601387.0,35.31
2015-02-06,35.61,31.0151,34.87,35.61,3632981.0,34.75
2015-02-09,34.85,30.9973,34.85,35.135,2385145.0,34.82
2015-02-10,35.02,31.3264,35.22,35.3799,2391224.0,34.92
2015-02-11,35.22,31.2197,35.1,35.4,2089582.0,34.99
2015-02-12,35.26,31.6288,35.56,35.64,1967340.0,35.17
2015-02-13,35.45,31.5933,35.52,35.57,1796850.0,35.29
2015-02-17,35.45,31.1396,35.01,35.53,3608152.0,34.93
2015-02-18,34.89,31.5399,35.46,35.54,2710478.0,34.83
