Date,Close,High,Volume,Open,Adj Close,Low
2015-01-02,85.39,86.26,612740.0,86.26,79.4136,84.11
2015-01-05,83.85,85.22,868042.0,84.97,77.9814,83.55
2015-01-06,82.85,84.11,1507310.0,84.06,77.0513,82.21
2015-01-07,84.4,84.45,755519.0,83.83,78.4929,83.14
2015-01-08,86.6,86.64,1106215.0,85.18,80.5389,85.1
2015-01-09,85.64,86.5999,740988.0,86.55,79.6461,85.05
2015-01-12,85.43,86.16,758299.0,86.11,79.4508,85.02
2015-01-13,85.03,87.12,771741.0,85.95,79.0788,84.47
2015-01-14,84.56,84.83,1086247.0,84.36,78.6417,83.65
2015-01-15,84.1,85.47,711266.0,84.81,78.2139,83.91
2015-01-16,85.01,85.06,720749.0,83.86,79.0602,83.47
2015-01-20,84.9,85.77,670074.0,85.31,78.9579,83.95
2015-01-21,84.83,85.5799,572943.0,84.62,78.8928,84.25
2015-01-22,87.96,88.15,1128813.0,85.21,81.8037,85.21
2015-01-23,87.23,88.41,932612.0,88.15,81.1248,87.17
2015-01-26,87.26,87.67,926298.0,87.33,81.1527,86.58
2015-01-27,86.55,87.22,595263.0,86.3,80.4924,85.76
2015-01-28,84.84,86.94,809930.0,86.9,78.9021,84.69
2015-01-29,85.56,85.85,651958.0,84.73,79.5717,84.21
2015-01-30,83.79,84.86,995223.0,84.63,77.9256,83.7
2015-02-02,81.98,83.39,2782604.0,83.39,76.2422,79.55
2015-02-03,83.44,83.62,1448063.0,82.13,77.6,82.0
2015-02-04,82.77,83.825,1157818.0,83.12,76.9769,82.34
2015-02-05,83.48,83.87,719653.0,83.13,77.6372,82.74
2015-02-06,82.05,83.74,1836042.0,83.34,76.3073,81.73
2015-02-09,81.01,81.8,2419641.0,81.38,75.3401,80.14
2015-02-10,88.07,88.64,3988074.0,85.34,81.906,85.15
2015-02-11,88.99,89.32,1901033.0,89.0,82.7616,87.56
2015-02-12,89.64,90.0,1165610.0,89.92,83.3661,88.98
2015-02-13,90.57,90.92,996788.0,89.74,84.231,89.74
2015-02-17,90.11,91.16,964074.0,90.5,83.8032,89.9
2015-02-18,91.39,91.42,1234793.0,90.2,84.9936,89.96
2015-02-19,91.35,92.24,668840.0,91.81,84.9564,91.16
2015-02-20,91.77,91.94,676724.0,91.22,85.347,90.7
2015-02-23,91.92,92.24,687415.0,91.63,85.4865,91.45
2015-02-24,91.44,92.01,812481.0,91.8,85.0401,91.01
2015-02-25,92.06,92.58,696524.0,91.79,85.6167,91.56
2015-02-26,91.81,92.24,702079.0,92.09,85.3842,91.228
2015-02-27,91.48,92.61,1228430.0,91.88,85.0773,91.295
2015-03-02,94.11,94.35,938826.0,91.81,87.5233,91.598
2015-03-03,92.75,93.94,831102.0,93.68,86.2584,92.39
2015-03-04,91.7,92.61,1004788.0,92.27,85.2819,91.305
2015-03-05,91.34,92.17,903584.0,92.11,84.9471,91.26
2015-03-06,89.73,91.33,970304.0,91.1,83.4498,89.56
2015-03-09,90.83,90.9,1060227.0,90.05,84.4728,89.64
2015-03-10,89.25,90.06,960539.0,89.87,83.0034,89.1
2015-03-11,89.04,89.71,615028.0,89.25,83.1987,88.76
2015-03-12,89.77,90.2,606884.0,89.29,83.8808,89.11
2015-03-13,89.59,89.84,888773.0,89.49,83.7126,88.91
2015-03-16,90.57,90.79,774348.0,90.01,84.6283,89.695
2015-03-17,89.96,90.64,631300.0,90.31,84.0584,89.95
2015-03-18,90.48,90.91,954198.0,89.43,84.5442,89.07
2015-03-19,91.53,91.61,854897.0,90.38,85.5254,90.29
2015-03-20,92.12,92.34,1332693.0,91.64,86.0767,91.64
2015-03-23,91.41,92.69,806300.0,91.82,85.4132,91.4
2015-03-24,90.58,91.903,655084.0,91.35,84.6377,90.49
2015-03-25,88.99,90.898,813407.0,90.53,83.152,88.99
2015-03-26,90.25,90.65,1677820.0,88.47,84.3293,87.92
2015-03-27,91.42,91.7,1065826.0,90.26,85.4226,90.04
2015-03-30,90.88,92.09,790771.0,91.91,84.918,90.72
2015-03-31,90.47,91.45,584926.0,90.56,84.5349,90.15
2015-04-01,90.51,90.53,1009352.0,90.04,84.5723,88.75
2015-04-02,91.43,91.74,706411.0,90.72,85.4319,90.41
2015-04-06,91.59,92.13,777135.0,90.66,85.5814,90.27
2015-04-07,90.54,92.0,627261.0,92.0,84.6003,90.47
2015-04-08,91.15,91.74,839095.0,90.86,85.1703,90.39
2015-04-09,91.59,91.99,464065.0,91.22,85.5814,90.8
2015-04-10,90.9,91.66,626009.0,91.35,84.9367,90.555
2015-04-13,91.19,91.44,734293.0,90.68,85.2077,90.19
2015-04-14,90.99,91.15,632568.0,91.11,85.0208,90.23
2015-04-15,90.82,91.45,804198.0,91.13,84.8619,90.45
2015-04-16,90.52,91.1795,677165.0,90.67,84.5816,89.81
2015-04-17,89.32,89.91,809752.0,89.81,83.4603,88.69
2015-04-20,89.49,89.77,1083459.0,89.66,83.6192,88.74
2015-04-21,90.23,90.36,739199.0,90.1,84.3106,89.25
2015-04-22,90.73,90.91,564159.0,90.48,84.7778,89.12
2015-04-23,90.77,91.46,766362.0,90.66,84.8152,90.3601
2015-04-24,91.33,91.43,649138.0,91.11,85.3385,90.52
2015-04-27,90.1,92.0,1419698.0,91.9,84.1892,90.01
2015-04-28,86.38,90.55,2572676.0,90.0,80.7132,86.05
2015-04-29,86.11,88.68,2307888.0,86.29,80.4609,85.87
2015-04-30,85.4,86.35,1366724.0,86.17,79.7975,84.83
2015-05-01,86.5,86.75,795012.0,85.76,80.8253,85.76
2015-05-04,85.84,87.12,899327.0,86.6,80.2086,85.48
2015-05-05,85.5,85.96,1238370.0,85.66,79.8909,84.81
2015-05-06,85.11,86.3745,900303.0,85.66,79.5265,84.51
2015-05-07,85.76,85.94,1036823.0,84.68,80.1339,84.68
2015-05-08,86.71,88.3,1073918.0,86.75,81.0216,86.04
2015-05-11,87.23,87.86,1517424.0,86.72,81.5075,86.4
2015-05-12,86.51,87.05,719199.0,86.84,80.8347,86.24
2015-05-13,85.7,87.1404,839709.0,86.6,80.0778,85.6
2015-05-14,87.06,87.14,733192.0,86.1,81.3486,86.0
2015-05-15,86.6,88.01,840611.0,87.46,80.9188,86.24
2015-05-18,87.15,87.51,621849.0,86.56,81.4327,86.42
2015-05-19,86.85,87.78,569125.0,87.22,81.1524,86.61
2015-05-20,86.49,87.01,520470.0,86.8,80.816,86.135
2015-05-21,86.72,86.82,724234.0,86.49,81.0309,86.03
2015-05-22,86.89,87.16,608457.0,86.69,81.1898,86.3
2015-05-26,85.02,86.81,963199.0,86.8,79.4424,84.67
2015-05-27,85.62,85.87,671688.0,85.1,80.3955,85.05
2015-05-28,85.3,85.85,716986.0,85.56,80.095,84.57
2015-05-29,84.91,85.33,925181.0,85.09,79.7288,84.65
2015-06-01,84.87,85.69,782796.0,85.07,79.6913,84.7001
2015-06-02,85.07,85.4,931616.0,84.43,79.8791,84.24
