Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,105.1,105.6039,106.88,107.98,1236935.0,102.55
2015-01-05,104.81,99.4878,100.69,104.81,1545180.0,99.23
2015-01-06,100.06,97.739,98.92,101.76,1575663.0,97.955
2015-01-07,100.67,96.909,98.08,101.61,1181772.0,96.61
2015-01-08,98.71,99.3297,100.53,101.0,1508589.0,96.5
2015-01-09,100.84,99.8435,101.05,101.42,828212.0,98.63
2015-01-12,98.69,94.9724,96.12,98.73,1203686.0,95.49
2015-01-13,96.58,95.8715,97.03,98.27,1719390.0,95.28
2015-01-14,95.77,94.755,95.9,97.85,2494115.0,93.09
2015-01-15,98.13,90.7929,91.89,98.79,2084351.0,91.74
2015-01-16,92.62,97.7686,98.95,99.23,1974024.0,92.23
2015-01-20,95.88,97.4425,98.62,98.83,1594755.0,93.895
2015-01-21,98.99,101.5924,102.82,103.41,1101774.0,98.99
2015-01-22,103.06,101.2861,102.51,103.58,1512684.0,99.5
2015-01-23,101.9,99.0531,100.25,104.2,1549900.0,100.03
2015-01-26,100.48,101.7702,103.0,104.53,1433197.0,99.59
2015-01-27,102.37,102.867,104.11,105.41,1070645.0,101.43
2015-01-28,103.18,99.5866,100.79,103.41,1211287.0,100.09
2015-01-29,101.14,99.4384,100.64,101.55,1517322.0,96.39
2015-01-30,99.5,101.9679,103.2,104.0672,1400924.0,98.33
2015-02-02,105.55,106.1276,107.41,107.69,1525651.0,103.45
2015-02-03,110.36,112.0461,113.4,113.84,2360612.0,109.73
2015-02-04,111.14,108.7954,110.11,112.71,2144332.0,108.67
2015-02-05,111.23,110.9493,112.29,113.0,1576946.0,109.74
2015-02-06,113.59,108.7756,110.09,113.75,1995136.0,109.49
2015-02-09,110.9,106.6315,107.92,111.9099,1268280.0,107.82
2015-02-10,107.85,105.4458,106.72,107.85,1660362.0,103.94
2015-02-11,104.18,105.6336,106.75,108.2,1432671.0,102.86
2015-02-12,108.7,109.8094,110.97,112.5,1640787.0,108.7
2015-02-13,112.67,110.8385,112.01,113.17,1780179.0,110.34
2015-02-17,111.34,111.363,112.54,113.503,2017827.0,110.67
2015-02-18,109.0,111.9567,113.14,115.58,2406579.0,107.17
2015-02-19,109.0,115.8456,117.07,118.87,2528132.0,107.75
2015-02-20,116.6,114.6879,115.9,117.91,1327715.0,114.59
2015-02-23,113.96,114.4801,115.69,117.03,1312186.0,113.83
2015-02-24,116.61,113.4311,114.63,117.0751,881191.0,113.81
2015-02-25,114.44,115.8357,117.06,117.16,1299339.0,113.25
2015-02-26,115.45,111.5114,112.69,116.36,1533892.0,110.75
2015-02-27,113.26,108.5329,109.68,113.26,1629802.0,108.51
2015-03-02,109.3,108.7011,109.85,110.07,986234.0,107.58
2015-03-03,110.0,109.5324,110.69,111.81,841102.0,109.68
2015-03-04,111.04,108.899,110.05,111.12,1034989.0,107.3
2015-03-05,108.88,109.9381,111.1,111.3,737070.0,108.74
2015-03-06,109.55,108.2954,109.44,111.02,807834.0,109.065
2015-03-09,109.49,107.0684,108.2,110.49,1152794.0,107.32
2015-03-10,106.96,106.2471,107.37,109.88,1774110.0,106.96
2015-03-11,107.54,106.6231,107.75,109.15,908078.0,106.31
2015-03-12,108.33,105.8117,106.93,108.65,732745.0,106.79
2015-03-13,105.56,105.6336,106.75,106.92,871430.0,104.46
2015-03-16,105.75,106.4648,107.59,107.65,946175.0,104.48
2015-03-17,107.09,105.0893,106.2,108.69,665047.0,106.09
2015-03-18,105.11,109.4235,110.58,111.51,1010295.0,104.55
2015-03-19,109.3,106.1085,107.23,109.97,1148209.0,106.95
2015-03-20,108.8,109.4631,110.62,111.52,1744204.0,108.74
2015-03-23,110.8,107.583,108.72,112.135,860205.0,108.34
2015-03-24,108.68,108.7506,109.9,110.37,717122.0,108.01
2015-03-25,110.78,110.413,111.58,112.73,911379.0,109.82
2015-03-26,113.23,112.3921,113.58,115.9,1163997.0,113.09
2015-03-27,112.54,111.3234,112.5,113.27,892215.0,111.2
2015-03-30,113.84,114.3118,115.52,116.28,1693727.0,113.5
2015-03-31,113.94,113.8863,115.09,116.42,927811.0,113.75
2015-04-01,116.22,115.2915,116.51,119.85,1379192.0,115.48
2015-04-02,115.52,117.4091,118.65,118.99,1782348.0,115.32
2015-04-06,119.8,121.9214,123.21,124.87,2339630.0,119.21
2015-04-07,122.75,122.8714,124.17,126.13,1855764.0,122.59
2015-04-08,124.78,120.8428,122.12,125.68,1842548.0,121.5
2015-04-09,122.72,124.5041,125.82,126.47,1109941.0,122.33
2015-04-10,126.28,123.7026,125.01,126.61,1052909.0,123.44
2015-04-13,125.07,122.7922,124.09,125.59,742973.0,123.0
2015-04-14,125.33,125.6817,127.01,127.91,838739.0,124.6
2015-04-15,127.0,128.0863,129.44,129.97,1214808.0,125.97
2015-04-16,128.65,127.3441,128.69,131.58,1179769.0,127.53
2015-04-17,127.14,126.8592,128.2,129.36,1305842.0,126.29
2015-04-20,128.05,125.7015,127.03,130.41,836060.0,126.94
2015-04-21,126.93,122.9406,124.24,127.84,1311390.0,123.2
2015-04-22,125.11,121.862,123.15,125.46,1377220.0,122.57
2015-04-23,124.33,122.3964,123.69,125.86,1011951.0,123.48
2015-04-24,123.1,120.2392,121.51,123.42,901384.0,120.41
2015-04-27,122.52,119.0913,120.35,122.89,730519.0,119.77
2015-04-28,120.68,121.5553,122.84,123.03,1008401.0,120.43
2015-04-29,122.34,124.8801,126.2,127.29,1217560.0,122.03
2015-04-30,126.82,123.099,124.4,127.59,895168.0,123.21
2015-05-01,124.01,121.5058,122.79,124.96,1014784.0,121.72
2015-05-04,123.32,121.8818,123.17,124.93,1348304.0,121.14
2015-05-05,132.18,117.9731,119.22,132.18,2603942.0,118.51
2015-05-06,121.02,118.5372,119.79,121.64,1605009.0,118.26
2015-05-07,119.89,117.3003,118.54,120.31,1480245.0,117.59
2015-05-08,119.92,117.2013,118.44,120.54,1178494.0,116.0001
2015-05-11,119.62,114.5196,115.73,119.66,1122636.0,115.27
2015-05-12,115.99,116.6867,117.92,118.39,1036198.0,115.68
2015-05-13,119.15,115.8654,116.93,119.66,999811.0,115.45
2015-05-14,117.43,113.7746,114.82,117.97,756694.0,114.68
2015-05-15,114.03,113.9431,114.99,115.69,817527.0,113.05
2015-05-18,114.86,115.37,116.43,116.53,764224.0,113.83
2015-05-19,114.86,113.7152,114.76,115.84,1119815.0,113.89
2015-05-20,111.03,115.2511,116.31,116.76,4756118.0,110.92
2015-05-21,117.15,118.6399,119.73,120.41,1298281.0,116.31
2015-05-22,118.66,117.2626,118.34,119.85,933012.0,117.95
2015-05-26,116.57,115.37,116.43,118.17,873869.0,115.7001
2015-05-27,116.59,115.9051,116.97,117.78,968667.0,115.23
2015-05-28,116.46,113.3188,114.36,116.64,1233703.0,112.75
2015-05-29,114.2,114.4583,115.51,115.95,1120304.0,113.8
2015-06-01,115.4,114.062,115.11,115.77,735053.0,114.5
2015-06-02,115.62,115.3799,116.44,117.66,659586.0,114.59
2015-06-03,116.25,115.1817,116.24,118.16,596871.0,115.69
2015-06-04,113.97,113.7449,114.79,115.47,995495.0,113.63
2015-06-05,114.12,115.915,116.98,118.56,1131542.0,113.77
2015-06-08,116.37,115.6375,116.7,117.65,1040855.0,115.71
2015-06-09,118.13,117.7778,118.86,120.23,1252759.0,117.82
2015-06-10,120.38,120.1956,121.3,121.68,1293145.0,119.44
2015-06-11,121.47,118.7687,119.86,121.95,848605.0,119.56
2015-06-12,119.3,117.1338,118.21,119.62,712849.0,117.9
2015-06-15,117.26,117.8076,118.89,119.53,800007.0,116.955
2015-06-16,118.61,119.7993,120.9,121.25,726144.0,118.61
2015-06-17,121.61,118.7985,119.89,122.12,982301.0,118.37
2015-06-18,120.86,118.0454,119.13,121.11,882265.0,118.98
2015-06-19,118.57,116.1528,117.22,119.07,1328334.0,116.37
2015-06-22,117.57,116.4203,117.49,118.3,1027497.0,116.05
2015-06-23,117.45,116.6581,117.73,118.32,648334.0,116.99
2015-06-24,117.36,115.7366,116.8,118.8,508276.0,116.47
2015-06-25,116.75,114.7061,115.76,117.49,699553.0,115.45
2015-06-26,115.39,111.6938,112.72,115.6,2039468.0,112.62
2015-06-29,111.38,108.2256,109.22,112.25,997638.0,109.08
2015-06-30,110.5,109.3057,110.31,110.6875,1159842.0,108.59
2015-07-01,110.59,107.0167,108.0,111.27,1400880.0,107.21
2015-07-02,108.54,106.4123,107.39,109.0,1013883.0,107.1
2015-07-06,105.66,104.6287,105.59,107.74,1551592.0,104.88
2015-07-07,105.18,105.7979,106.77,107.3,1526669.0,103.34
2015-07-08,105.92,102.746,103.69,107.53,1902222.0,103.64
2015-07-09,106.03,104.698,105.66,106.54,873940.0,104.69
2015-07-10,106.54,104.3215,105.28,107.59,997838.0,105.16
2015-07-13,105.17,105.3421,106.31,106.4,989136.0,104.17
2015-07-14,105.69,108.0175,109.01,109.4,1226733.0,105.69
2015-07-15,108.24,105.0944,106.06,109.2,1155617.0,105.02
2015-07-16,106.6,104.5296,105.49,107.112,870778.0,105.095
2015-07-17,105.49,102.6072,103.55,105.49,1205806.0,103.24
2015-07-20,103.29,100.6453,101.57,103.29,1026797.0,101.42
2015-07-21,102.47,102.2208,103.16,104.9,1047691.0,101.83
2015-07-22,102.62,102.6766,103.62,103.91,1628531.0,101.86
2015-07-23,103.95,104.1629,105.12,105.77,1021073.0,103.0
2015-07-24,105.0,102.2604,103.2,105.135,1015794.0,102.0
2015-07-27,101.45,99.04,99.95,102.15,1251027.0,99.58
2015-07-28,100.34,101.4578,102.39,103.8,1289601.0,98.93
2015-07-29,101.99,104.8368,105.8,106.03,1311119.0,101.26
2015-07-30,105.1,104.807,105.77,107.23,938406.0,104.43
2015-07-31,105.26,103.172,104.12,106.19,862533.0,103.89
2015-08-03,103.08,101.4677,102.4,104.37,1056326.0,101.3
2015-08-04,103.36,103.39,104.34,106.232,1559068.0,102.71
2015-08-05,105.75,107.1356,108.12,112.21,2730816.0,105.5
2015-08-06,107.27,111.8226,112.85,113.58,2004242.0,106.5
2015-08-07,112.15,109.9002,110.91,114.35,1342092.0,110.45
2015-08-10,111.53,113.8341,114.88,115.45,1336030.0,111.5
2015-08-11,111.76,113.5269,114.57,114.73,1516194.0,111.76
2015-08-12,114.73,117.8769,118.8,118.87,2056813.0,113.84
2015-08-13,117.5,114.4537,115.35,118.15,1649376.0,114.34
2015-08-14,115.54,115.4361,116.34,116.88,1115343.0,114.25
2015-08-17,115.6,114.3843,115.28,116.31,914780.0,114.3
2015-08-18,115.19,116.3787,117.29,117.35,894142.0,114.4
2015-08-19,116.21,111.5167,112.39,116.29,1385982.0,111.26
2015-08-20,112.28,108.8675,109.72,112.91,1509902.0,108.94
2015-08-21,109.57,105.6725,106.5,109.99,1258853.0,106.5
2015-08-24,100.02,98.1613,98.93,105.06,2333762.0,97.97
2015-08-25,101.9,98.4193,99.19,102.3,1701556.0,99.18
2015-08-26,101.31,100.2252,101.01,101.86,1466783.0,98.735
2015-08-27,103.6,104.3132,105.13,107.28,2045062.0,102.12
2015-08-28,104.84,106.9128,107.75,110.29,1537300.0,104.84
2015-08-31,105.91,109.6514,110.51,111.32,1345604.0,104.68
2015-09-01,107.1,104.7894,105.61,109.88,1237695.0,104.62
2015-09-02,107.55,107.1311,107.97,108.5,1222408.0,104.34
2015-09-03,108.67,107.3494,108.19,111.65,1050670.0,106.97
2015-09-04,106.78,106.4464,107.28,109.01,1130730.0,105.79
2015-09-08,108.85,109.7109,110.57,110.64,1035286.0,106.31
2015-09-09,110.8,107.0616,107.9,112.84,1375719.0,107.54
2015-09-10,107.99,107.8653,108.71,109.0,890567.0,105.48
2015-09-11,105.91,105.1665,105.99,107.09,1350165.0,102.91
2015-09-14,105.59,103.2019,104.01,105.81,1092045.0,102.02
2015-09-15,104.52,104.2139,105.03,105.44,879837.0,103.35
2015-09-16,106.23,108.4111,109.26,109.69,1188978.0,105.57
2015-09-17,109.33,108.1531,109.0,111.59,1225068.0,108.26
2015-09-18,106.71,103.1622,103.97,107.5,1564773.0,103.67
2015-09-21,104.9,102.7851,103.59,105.0,880773.0,102.79
2015-09-22,102.02,102.8447,103.65,105.36,776548.0,101.68
2015-09-23,103.96,101.1082,101.9,104.63,572040.0,101.6
2015-09-24,100.96,101.6639,102.46,103.0,862989.0,99.85
2015-09-25,103.6,101.0686,101.86,103.83,593341.0,100.87
2015-09-28,100.62,96.9111,97.67,101.02,1004411.0,97.47
2015-09-29,98.16,98.7567,99.53,100.17,1212472.0,97.23
2015-09-30,100.71,101.6837,102.48,103.61,1286098.0,99.62
2015-10-01,104.42,102.9637,103.77,106.29,1454709.0,102.69
2015-10-02,102.66,108.2126,109.06,109.32,1197275.0,101.62
